pool_id,initial_marketcap,ath_marketcap,multiplier,marketcap_10s,marketcap_15s,marketcap_20s,marketcap_25s,marketcap_30s,marketcap_40s,marketcap_50s,marketcap_60s,marketcap_90s,marketcap_120s,marketcap_150s,marketcap_180s,marketcap_240s,marketcap_300s,marketcap_360s,marketcap_420s,marketcap_480s,marketcap_540s,marketcap_600s,token_amount_10s,sol_return_10s,roi_10s,token_amount_15s,sol_return_15s,roi_15s,token_amount_20s,sol_return_20s,roi_20s,token_amount_25s,sol_return_25s,roi_25s,token_amount_30s,sol_return_30s,roi_30s,token_amount_40s,sol_return_40s,roi_40s,token_amount_50s,sol_return_50s,roi_50s,token_amount_60s,sol_return_60s,roi_60s,token_amount_90s,sol_return_90s,roi_90s,token_amount_120s,sol_return_120s,roi_120s,token_amount_150s,sol_return_150s,roi_150s,token_amount_180s,sol_return_180s,roi_180s,token_amount_240s,sol_return_240s,roi_240s,token_amount_300s,sol_return_300s,roi_300s,token_amount_360s,sol_return_360s,roi_360s,token_amount_420s,sol_return_420s,roi_420s,token_amount_480s,sol_return_480s,roi_480s,token_amount_540s,sol_return_540s,roi_540s,token_amount_600s,sol_return_600s,roi_600s
13i8NqL286BQt4rwyWA8bojd9EfiTnNmhcF18eivaDUm,42781.01938473,332898.40284745,7.7814509246189845,42781.01938473,49930.84242093,59430.09594264,57327.37909172,64421.01786419,45804.7680363,34312.9712574,40719.23830898,35316.03289095,49616.73263394,29685.10630928,20187.62063825,26575.40238185,20889.36998295,17418.66019089,15078.92477332,10068.28482001,7779.27773337,9161.27370703,2.3374852081176305e-05,7.7814509246189845,7.7814509246189845,2.0027701346789618e-05,6.667189791051987,6.667189791051987,1.682649142894145e-05,5.601512122220915,5.601512122220915,1.7443672043685555e-05,5.806970563137635,5.806970563137635,1.552288419453668e-05,5.167543355947187,5.167543355947187,2.1831788324034433e-05,7.2677674643746695,7.2677674643746695,2.9143497731469062e-05,9.701823848194334,9.701823848194334,2.4558416157295003e-05,8.175457515226517,8.175457515226517,2.8315751179863055e-05,9.426268343202208,9.426268343202208,2.015449117493796e-05,6.709397922339872,6.709397922339872,3.368692668913856e-05,11.214324091653364,11.214324091653364,4.9535307697692445e-05,16.49022481711881,16.49022481711881,3.7628781142480926e-05,12.526561143428145,12.526561143428145,4.787123789832841e-05,15.936258638683848,15.936258638683848,5.7409696787299536e-05,19.111596368448396,19.111596368448396,6.631772590107731e-05,22.0770650329436,22.0770650329436,9.93217829925283e-05,33.06406292617369,33.06406292617369,0.00012854663816801382,42.79297053754085,42.79297053754085,0.00010915512754876424,36.33756762359331,36.33756762359331
26BcYnQcUxCpesk83wMeJs18s9BectD2T36aJDZaxHHQ,87272.8295863,2365497.67065532,27.10462903366953,87272.8295863,113523.01206748,135534.94475334,146468.69298101,167343.85130063,134574.34847049,127340.87730153,114616.46457198,363800.90560793,167062.90077885,1472953.61066577,1703479.48520154,1445939.64950358,462137.55340762,125183.13473202,83758.97983924,277508.33052176,404584.43757415,146574.6686474,1.1458319900251968e-05,27.10462903366953,27.10462903366953,8.808786710183334e-06,20.837164444238216,20.837164444238216,7.3781710083690936e-06,17.453046333993704,17.453046333993704,6.827397579970569e-06,16.15019307205815,16.15019307205815,5.975720005412803e-06,14.135551753292381,14.135551753292381,7.4308366443199544e-06,17.577626773159047,17.577626773159047,7.852937887588944e-06,18.576106280892557,18.576106280892557,8.72475000633083e-06,20.63837581702557,20.63837581702557,2.7487562141412174e-06,6.502176421750385,6.502176421750385,5.985769403847195e-06,14.159323581880424,14.159323581880424,6.789080068502655e-07,1.6059553087935492,1.6059553087935492,5.870337792073201e-07,1.388627037310905,1.388627037310905,6.915917966170441e-07,1.6359587839419456,1.6359587839419456,2.163857909028155e-06,5.118600843435193,5.118600843435193,7.988296523654754e-06,18.896296819209308,18.896296819209308,1.193901838249841e-05,28.241720173711034,28.241720173711034,3.6034954270375968e-06,8.524060038874532,8.524060038874532,2.4716719357667473e-06,5.846734206680366,5.846734206680366,6.822461269931982e-06,16.13851624216024,16.13851624216024
27yP2GNge5rNe64koTehUJmuexKYTxTnsPveyyYUZbx9,95295.04049488,821180.3428836,8.617241134681299,95295.04049488,88257.31562565,78700.54944432,85404.50104934,79483.83682591,57910.33247151,52283.59409327,68426.36430477,76067.93383975,109808.63577667,156511.42402102,175197.3356589,157279.06696007,165412.9228181,177379.63347063,225063.83215961,268050.61274933,310748.90767965,291751.40786131,1.0493725537098941e-05,8.617241134681299,8.617241134681299,1.13305054987348e-05,9.304388390495559,9.304388390495559,1.2706391595239013e-05,10.434239006991668,10.434239006991668,1.1708984745690145e-05,9.615188108284675,9.615188108284675,1.2581174235338648e-05,10.331412972453705,10.331412972453705,1.7268075614864886e-05,14.18020425435468,14.18020425435468,1.9126458640469037e-05,15.70627186452936,15.70627186452936,1.461425007977941e-05,12.000934891499936,12.000934891499936,1.314614384172271e-05,10.795354907542983,10.795354907542983,9.106751877273213e-06,7.478285629135085,7.478285629135085,6.3893099577555225e-06,5.24677574189928,5.24677574189928,5.70784935877648e-06,4.687173693568006,4.687173693568006,6.358125205904737e-06,5.2211674366817125,5.2211674366817125,6.045476876674698e-06,4.964426774482604,4.964426774482604,5.637625811001447e-06,4.629507496527602,4.629507496527602,4.443183919888218e-06,3.648655294828705,3.648655294828705,3.7306387392412315e-06,3.0635271990649557,3.0635271990649557,3.218032228872375e-06,2.6425848091158923,2.6425848091158923,3.427575576517425e-06,2.814657687184032,2.814657687184032
2B1Fh2X3rTQw8Whjq8FQvHAenzyfAG3vvHLopdt6Gaud,65259.21724713,561088.08305792,8.59783654672315,65259.21724713,68650.30900711,55639.75404663,73936.34319148,67794.71502033,76369.9291393,78107.06897134,74501.3612423,83984.54445345,123107.87829168,107559.60609794,127885.1083046,123842.22525806,202552.39268546,214781.87215692,350276.19036553,373293.50327241,307752.21134107,406208.05471091,1.532350589209647e-05,8.59783654672315,8.59783654672315,1.4566576821911051e-05,8.173132665722,8.173132665722,1.797276097162346e-05,10.084302000826407,10.084302000826407,1.3525148213108196e-05,7.588799483967129,7.588799483967129,1.4750412324915359e-05,8.276280575700675,8.276280575700675,1.3094159065880283e-05,7.346976609530253,7.346976609530253,1.280293849417051e-05,7.183576217202584,7.183576217202584,1.3422573538592273e-05,7.5312460564727,7.5312460564727,1.1906952719786064e-05,6.680849276606049,6.680849276606049,8.122956985991555e-06,4.557694364031941,4.557694364031941,9.297170529700854e-06,5.216531590372439,5.216531590372439,7.81951873253432e-06,4.387438776073178,4.387438776073178,8.074790306102944e-06,4.530668613945975,4.530668613945975,4.9369942598154445e-06,2.770088645307802,2.770088645307802,4.655886411444436e-06,2.612362381532777,2.612362381532777,2.8548900196626325e-06,1.6018447684736938,1.6018447684736938,2.6788572295892665e-06,1.5030748677360917,1.5030748677360917,3.249367390870632e-06,1.823181320494518,1.823181320494518,2.461792641486835e-06,1.3812825140979414,1.3812825140979414
2HFZH96bVNiRzQU7aivTr9v9rr5GkvGBraH9m1cd75cP,56900.3940136,438378.72326562,7.704317885054386,56900.3940136,47937.66103914,51449.18004732,57491.44083143,61551.26611928,61326.66304192,62558.16310203,61285.00273094,69431.84920552,4077.01125175,3765.73051623,2894.05999571,3391.7079637,3094.2516974,2985.15643784,2953.66760139,3167.22380009,2899.4026358,2911.66161924,1.757457074481744e-05,7.704317885054386,7.704317885054386,2.0860425359166414e-05,9.144766635729136,9.144766635729136,1.9436655726685198e-05,8.52061632201766,8.52061632201766,1.7393893517681852e-05,7.625112832899514,7.625112832899514,1.624661949377456e-05,7.122172311063225,7.122172311063225,1.6306121194242175e-05,7.148256590546351,7.148256590546351,1.598512408954588e-05,7.007538289617629,7.007538289617629,1.631720576713209e-05,7.153115831457777,7.153115831457777,1.4402612222525934e-05,6.313798757800733,6.313798757800733,0.0002452777140535886,107.52453113232201,107.52453113232201,0.0002655527249467479,116.4126645218617,116.4126645218617,0.0003455353384112101,151.47534049586022,151.47534049586022,0.00029483670489988296,129.25013826585305,129.25013826585305,0.00032317991482084916,141.67519844425567,141.67519844425567,0.0003349908190150263,146.8528475455116,146.8528475455116,0.000338562131882883,148.41843512090472,148.41843512090472,0.00031573392444562455,138.41103469011662,138.41103469011662,0.00034489863106718224,151.19622154329144,151.19622154329144,0.00034344650264031,150.55963933750147,150.55963933750147
2P6Hf8dHpF6jpARJURk4MEqc9oR7j7GA3LATepN5EjYW,79114.1665407,201464165172449.0,2546499242.5699954,79114.1665407,81993.98896394,77477.63470386,76334.00505897,78784.58345895,73822.42771077,71999.31527702,72246.69081627,81005.61135291,125569.46996785,125945.49481245,133153.94410755,138000.79400313,128126.47135731,159574.86835603,148605.23055175,171837.52232328,173104.11651576,190050.00733009,1.2639961257577726e-05,2546499242.5699954,2546499242.5699954,1.2196015984047175e-05,2457060178.655908,2457060178.655908,1.2906950551888481e-05,2600288017.8582926,2600288017.8582926,1.3100321399715291e-05,2639245314.2844095,2639245314.2844095,1.2692838574453351e-05,2557152127.070902,2557152127.070902,1.3546018886264686e-05,2729037386.3315425,2729037386.3315425,1.3889020974053203e-05,2798140015.600263,2798140015.600263,1.3841464414516816e-05,2788559073.034791,2788559073.034791,1.2344823812802156e-05,2487039623.6471553,2487039623.6471553,7.963719208626377e-06,1604404042.033709,1604404042.033709,7.939942603656736e-06,1599613908.1628654,1599613908.1628654,7.510104238386573e-06,1513016880.7446218,1513016880.7446218,7.2463351187480776e-06,1459876855.2583807,1459876855.2583807,7.804788420429304e-06,1572385183.4693866,1572385183.4693866,6.26665094762218e-06,1262505601.589839,1262505601.589839,6.729238239375175e-06,1355700364.14224,1355700364.14224,5.8194507606940936e-06,1172410789.2654088,1172410789.2654088,5.7768701295382345e-06,1163832317.9570777,1163832317.9570777,5.261773014631571e-06,1060058707.7196698,1060058707.7196698
2TTx8B2kryJYPpWkXacwEaZFcjM8DqZcd67kZZ5WcCtK,201869.68816239,2509437.63293982,12.430977903533263,201869.68816239,233412.57787692,282452.34598209,300333.38064212,321135.98517233,353930.38348656,327111.5194681,357514.15383613,401476.66093981,420664.78519137,488533.84213288,486183.69411568,438350.70831958,479363.63405538,506073.85560701,538092.93610014,819456.77935183,1240460.60323943,1273622.72532394,4.953690715545021e-06,12.430977903533261,12.430977903533261,4.284259267841627e-06,10.75108143599298,10.75108143599298,3.54042023097025e-06,8.884463764018236,8.884463764018236,3.3296332158016398e-06,8.355506895619069,8.355506895619069,3.113945637276912e-06,7.814252369111453,7.814252369111453,2.8254143940653613e-06,7.090201209117477,7.090201209117477,3.057061401035497e-06,7.671504925966208,7.671504925966208,2.797092057111561e-06,7.019128070912808,7.019128070912808,2.490804814554143e-06,6.250519337949857,6.250519337949857,2.3771897130516336e-06,5.965409326569182,5.965409326569182,2.0469410995850774e-06,5.136671027710009,5.136671027710009,2.0568357435740437e-06,5.161501019700463,5.161501019700463,2.2812783942645054e-06,5.724725853779874,5.724725853779874,2.086099004924666e-06,5.2349353489962684,5.2349353489962684,1.97599616917683e-06,4.958639149477257,4.958639149477257,1.8584150300272634e-06,4.663576613971401,4.663576613971401,1.2203206138473528e-06,3.0623184726407695,3.0623184726407695,8.061521642755332e-07,2.022988578908907,2.022988578908907,7.851618694583632e-07,1.9703147431681989,1.9703147431681989
2WEAgK2FxCpguiCEpQojXJSi8UAayCFLUDiriGCuymr8,71008.45888,1218678.03143027,17.162434597964758,71008.45888,66692.67233439,81053.94646485,72568.96445189,65323.65117222,65405.71670137,54106.49413873,62444.97739775,64751.07200298,85336.01461405,84055.17636026,94359.43702045,90742.92927813,137374.45168057,99007.90691142,102132.41856839,70775.88276603,74346.58366382,79910.31663585,1.408282922588053e-05,17.162434597964758,17.162434597964758,1.4994151006367025e-05,18.273042431407568,18.273042431407568,1.2337462191722666e-05,15.035394136653965,15.035394136653965,1.3779995450575232e-05,16.793377728825103,16.793377728825103,1.5308391096566065e-05,18.655999925927805,18.655999925927805,1.528918342972693e-05,18.632591964315917,18.632591964315917,1.848206977587538e-05,22.5236924112207,22.5236924112207,1.601409819768838e-05,19.51602966668991,19.51602966668991,1.5443759756656657e-05,18.820970738124362,18.820970738124362,1.1718381793697648e-05,14.280934455891767,14.280934455891767,1.1896947258952927e-05,14.4985482655705,14.4985482655705,1.0597774123888376e-05,12.915274506842941,12.915274506842941,1.102014237313155e-05,13.430005413369262,13.430005413369262,7.279373913901039e-06,8.871213071437777,8.871213071437777,1.0100203420062966e-05,12.308896021007616,12.308896021007616,9.791210411123077e-06,11.932333029147037,11.932333029147037,1.4129106708648016e-05,17.218831949563388,17.218831949563388,1.3450517168640793e-05,16.39184978479821,16.39184978479821,1.2514028752469892e-05,15.250571925321806,15.250571925321806
2ZqMM2eZ56NXM6gsqmMsqYJGLEzJPcujUYkF3gERJu7F,49289.9307894,4782007951.3507,97017.94818464405,49289.9307894,55123.33728626,59693.64484558,59382.85153165,55498.20841528,66167.94828765,66132.68013845,58321.54247078,58540.85819249,50975.23826277,47486.17596568,57728.20017402,64043.7886181,71568.18940882,59336.89207724,45513.17449901,48753.7316413,42179.13715623,34284.98809715,2.0288119378229154e-05,97017.94818464405,97017.94818464405,1.8141136753149e-05,86751.06020009895,86751.06020009895,1.6752202057469855e-05,80109.16344145441,80109.16344145441,1.68398784195639e-05,80528.43250213364,80528.43250213364,1.801859967293423e-05,86165.08690817661,86165.08690817661,1.511305739226988e-05,72270.76061905405,72270.76061905405,1.512111709228299e-05,72309.30216860224,72309.30216860224,1.714632291320168e-05,81993.85250735714,81993.85250735714,1.7082086441436667e-05,81686.67318861013,81686.67318861013,1.9617367845249576e-05,93810.40902055503,93810.40902055503,2.105876035844067e-05,100703.15947965221,100703.15947965221,1.732255634136399e-05,82836.6021621231,82836.6021621231,1.5614316728872923e-05,74667.78675237857,74667.78675237857,1.3972688260809359e-05,66817.50636493495,66817.50636493495,1.6852921765741965e-05,80590.80588726937,80590.80588726937,2.1971660096391474e-05,105068.65328531893,105068.65328531893,2.0511250448629975e-05,98084.96273749416,98084.96273749416,2.3708403429307627e-05,113373.7737127793,113373.7737127793,2.916728444432876e-05,139478.18613208772,139478.18613208772
2c148Fi2uVPxVyiFGp6mKUk6H664FbSCJNaciGSZDVS3,55038.52151634,657182.21683914,11.940404624496205,55038.52151634,51407.63962161,55314.64100281,57805.04023667,58675.38638588,58225.82617138,54163.54170075,53231.1302285,71008.20412071,82633.41710699,80966.11169829,83078.53294976,99589.96406891,94912.77596935,122169.60154008,118429.24565023,132484.93689384,122525.65822828,124596.25794364,1.8169092709060455e-05,11.940404624496207,11.940404624496207,1.945236169877822e-05,12.78374618395985,12.78374618395985,1.8078396277564195e-05,11.880800542586094,11.880800542586094,1.7299529520362245e-05,11.368943160465806,11.368943160465806,1.704292142915732e-05,11.200304886228892,11.200304886228892,1.7174509418838173e-05,11.28678217299676,11.28678217299676,1.846260360012892e-05,12.133294762555012,12.133294762555012,1.878599976568972e-05,12.345824971555537,12.345824971555537,1.408287975147288e-05,9.255018134551985,9.255018134551985,1.2101641624056831e-05,7.95298366989048,7.95298366989048,1.2350846286485558e-05,8.11675654239204,8.11675654239204,1.2036803786662061e-05,7.910373396176329,7.910373396176329,1.0041172414803391e-05,6.598879947224513,6.598879947224513,1.0535989383799375e-05,6.924064859838919,6.924064859838919,8.185342240573089e-06,5.379261359246876,5.379261359246876,8.443860251828412e-06,5.549154798976495,5.549154798976495,7.548027899966459e-06,4.960429708063637,4.960429708063637,8.161555828060765e-06,5.363629351941377,5.363629351941377,8.025923221966595e-06,5.27449401519274,5.27449401519274
