,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,52184.08173272,3053.93891593,-94.17774145,0.0,-0.11176125,3045.11988759,1099,0.0,0,12QspooeZFsA4d41KtLz4p3e8YyLzPxG4bShsUCBbEgU,-0.47501183,0,0,0,-0.21122947,3.05e-06,0,0,3045.11988759,0.0,0,0,0,-1,0,3045.11988759,-2,0,97,0,3051.06616355,0,0.0,2025-03-08 15:29:10.816000+00:00,48,marketContext_1741447750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1099
98,52184.08173272,3053.88116895,-94.17774145,0.0,-0.11176125,3045.11988759,1100,0.0,0,12QspooeZFsA4d41KtLz4p3e8YyLzPxG4bShsUCBbEgU,-0.47501183,0,0,0,0.0,3.05e-06,0,0,3045.11988759,0.0,0,0,0,-1,0,3045.11988759,-1,0,97,0,3050.58170633,0,0.0,2025-03-08 15:29:11.825000+00:00,48,marketContext_1741447751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1099
97,52184.08173272,3053.82342197,-94.17774145,0.0,-0.11176125,3045.11988759,1101,0.0,0,12QspooeZFsA4d41KtLz4p3e8YyLzPxG4bShsUCBbEgU,-0.27923424,0,0,0,0.0,3.05e-06,0,0,3045.11988759,0.0,0,0,0,-1,0,3045.11988759,-1,0,97,0,3050.0972491,0,0.0,2025-03-08 15:29:12.825000+00:00,48,marketContext_1741447752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1099
96,52184.08173272,3053.76567499,-94.17774145,0.0,-0.11176125,3045.11988759,1102,0.0,0,12QspooeZFsA4d41KtLz4p3e8YyLzPxG4bShsUCBbEgU,-0.27923424,0,0,0,0.0,3.05e-06,0,0,3045.11988759,0.0,0,0,0,-1,0,3045.11988759,-1,0,97,0,3049.81302154,0,0.0,2025-03-08 15:29:13.962000+00:00,48,marketContext_1741447753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1099
95,52184.08173272,3053.97293606,-94.14784647,0.0,0.40112497,3060.75536234,1104,0.513460071339486,0,12QspooeZFsA4d41KtLz4p3e8YyLzPxG4bShsUCBbEgU,0.23279208,0,0,0,0.51346007,3.06e-06,0,0,3046.68343507,0.51346007,0,0,0,-1,0,3045.11988759,-1,0,97,0,3050.04997646,0,0.0,2025-03-08 15:29:15.088000+00:00,48,marketContext_1741447755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1099
94,52184.08173272,3054.18019712,-94.14784647,0.0,0.40112497,3060.75536234,1105,0.0,0,12QspooeZFsA4d41KtLz4p3e8YyLzPxG4bShsUCBbEgU,0.23279208,0,0,0,0.51346007,3.06e-06,0,0,3048.24698254,0.51346007,0,0,0,-1,0,3045.11988759,-1,0,97,0,3050.28693138,0,0.0,2025-03-08 15:29:16.089000+00:00,48,marketContext_1741447756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1099
93,52184.08173272,3054.43862543,-94.14784647,0.0,0.50020895,3063.42752352,1106,0.0,0,12QspooeZFsA4d41KtLz4p3e8YyLzPxG4bShsUCBbEgU,0.32029929,0,0,0,0.60121232,3.06e-06,0,0,3050.07774614,0.60121232,0,0,0,-1,0,3045.11988759,-1,0,97,0,3050.50834605,0,0.0,2025-03-08 15:29:17.280000+00:00,48,marketContext_1741447757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1099
92,52184.08173272,3054.69705375,-94.14784647,0.0,0.50020895,3063.42752352,1107,0.0,0,12QspooeZFsA4d41KtLz4p3e8YyLzPxG4bShsUCBbEgU,0.32029929,0,0,0,0.60121232,3.06e-06,0,0,3051.90850973,0.60121232,0,0,0,-1,0,3045.11988759,-1,0,97,0,3050.84561533,0,0.0,2025-03-08 15:29:18.134000+00:00,48,marketContext_1741447758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1099
91,52184.08173272,3054.95548206,-94.14784647,0.0,0.50020895,3063.42752352,1108,0.0,0,12QspooeZFsA4d41KtLz4p3e8YyLzPxG4bShsUCBbEgU,0.32029929,0,0,0,0.60121232,3.06e-06,0,0,3053.73927332,0.60121232,0,0,0,-2,0,3045.11988759,-1,0,97,0,3051.1828846,0,0.0,2025-03-08 15:29:19.139000+00:00,48,marketContext_1741447759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1099
90,52184.08173272,3055.23134952,-94.14984571,0.0,0.53432764,3062.38098568,1109,-0.034162317692673916,0,12QspooeZFsA4d41KtLz4p3e8YyLzPxG4bShsUCBbEgU,0.28602755,0,0,0,0.56684461,3.06e-06,0,0,3055.46538313,0.05311184,0,0,0,-2,0,3045.11988759,-1,0,97,0,3051.48406636,0,0.0,2025-03-08 15:29:20.420000+00:00,48,marketContext_1741447760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1099
