,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,57876.29882069,24567.63794804,-52.48011037,0.0,14.25601602,27184.04128956,814,-0.5633383755215783,0.099,12YyqbMeNdmdqh29k17zHF3MagzKuTDySKZwyUnwfzVx,17.48940333,0,0,0,3.60698303,2.718e-05,0,0.0,27123.81368098,-0.20436102,0.0,2,0,1,0.099,20313.95022297,4,0,253,0,26341.73375747,0,0.0,2025-03-06 09:08:35.592000+00:00,193,marketContext_1741252115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.718e-05,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.099,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,814
98,57876.29882069,24629.3074484,-52.48011037,0.0,14.25601602,27184.04128956,815,0.0,0.099,12YyqbMeNdmdqh29k17zHF3MagzKuTDySKZwyUnwfzVx,8.72030422,0,0,0,1.26288093,2.718e-05,0,0.0,27161.48264156,-0.20436102,0.0,0,0,0,0.099,20313.95022297,3,-1,252,0,26371.81616933,0,0.0,2025-03-06 09:08:36.591000+00:00,193,marketContext_1741252116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.718e-05,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.099,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,814
97,57876.29882069,24696.35180985,-51.95929612,0.0,15.49700244,27481.97624391,816,1.0959921344047803,0.3987,12YyqbMeNdmdqh29k17zHF3MagzKuTDySKZwyUnwfzVx,9.9118702,0,0,0,2.37271414,2.748e-05,0,0.144965802,27232.25548595,0.52647961,0.2997,0,0,0,0.243965802,20313.95022297,3,0,252,0,26460.3279213,0,0.0,2025-03-06 09:08:37.592000+00:00,193,marketContext_1741252117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.718e-05,0.144965802,0.2997,0.15473419800000002,0,1,0,0,0,0,0,0,0,0,0,0.3987,0.154734198,0,2,0,0,0,0,0,0,0,0,0,0,0,814
96,57876.29882069,24745.87246705,-53.64410253,0.0,11.44647706,26518.17250948,817,-3.507039398764781,0.3987,12YyqbMeNdmdqh29k17zHF3MagzKuTDySKZwyUnwfzVx,6.05721761,0,0,0,-1.21753728,2.652e-05,0,0.144965802,27195.93902651,-2.99902363,0.2997,-1,0,-1,0.243965802,20313.95022297,2,-1,251,0,26514.41811132,0,0.0,2025-03-06 09:08:38.593000+00:00,193,marketContext_1741252118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.748e-05,0.289931604,0.2997,0.15473419800000002,0,1,0,0,0,0,0,0,0,0,0,0.3987,0.154734198,0,2,0,0,0,0,0,0,0,0,0,0,0,814
95,57876.29882069,24807.58226048,-53.64410253,0.0,14.67747358,26518.17250948,818,0.0,0.3987,12YyqbMeNdmdqh29k17zHF3MagzKuTDySKZwyUnwfzVx,8.4783314,0,0,0,-2.64883937,2.652e-05,0,0.0,27115.76834582,-2.99902363,0.0,-1,0,-1,0.243965802,20313.95022297,2,-1,251,0,26588.43877111,0,0.0,2025-03-06 09:08:39.595000+00:00,193,marketContext_1741252119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.652e-05,0.289931604,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.3987,0.154734198,0,2,0,0,0,0,0,0,0,0,0,0,0,814
94,57876.29882069,24869.29205392,-53.64410253,0.0,14.67747358,26518.17250948,819,0.0,0.3987,12YyqbMeNdmdqh29k17zHF3MagzKuTDySKZwyUnwfzVx,6.6950055,0,0,0,-2.64883937,2.652e-05,0,0.0,27035.59766512,-2.44948414,0.0,-2,0,1,0.243965802,20313.95022297,0,-1,251,0,26647.86694812,0,0.0,2025-03-06 09:08:40.595000+00:00,193,marketContext_1741252120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.652e-05,0.289931604,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.3987,0.154734198,0,2,0,0,0,0,0,0,0,0,0,0,0,814
93,57876.29882069,24931.46252048,-53.64410253,0.0,14.80326306,26518.17250948,820,0.0,0.3987,12YyqbMeNdmdqh29k17zHF3MagzKuTDySKZwyUnwfzVx,0.51535002,0,0,0,-2.64883937,2.652e-05,0,0.0,26955.42698442,-2.44948414,0.0,-2,0,1,0.243965802,20313.95022297,0,0,251,0,26652.72268859,0,0.0,2025-03-06 09:08:41.596000+00:00,193,marketContext_1741252121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.652e-05,0.289931604,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.3987,0.154734198,0,2,0,0,0,0,0,0,0,0,0,0,0,814
92,57876.29882069,24999.63327722,-53.64410253,0.0,16.46724802,26518.17250948,821,0.0,0.0,12YyqbMeNdmdqh29k17zHF3MagzKuTDySKZwyUnwfzVx,0.51535002,0,0,0,-2.99902363,2.652e-05,0,0.0,26864.32981887,-3.5070394,0.0,-1,0,1,0.0,20313.95022297,0,0,251,0,26657.57842906,0,0.0,2025-03-06 09:08:42.597000+00:00,193,marketContext_1741252122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.652e-05,0.289931604,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,814
91,57876.29882069,25026.75004923,-53.64410253,0.0,16.46724802,26518.17250948,822,0.0,0.0,12YyqbMeNdmdqh29k17zHF3MagzKuTDySKZwyUnwfzVx,0.51535002,0,0,0,-2.99902363,2.652e-05,0,0.0,26829.71408793,0.0,0.0,-1,0,1,0.0,20313.95022297,0,0,251,0,26652.77132838,0,0.0,2025-03-06 09:08:43.596000+00:00,193,marketContext_1741252123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.652e-05,0.289931604,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,814
90,57876.29882069,25093.70347103,-53.64410253,0.0,16.46724802,26518.17250948,823,0.0,0.0,12YyqbMeNdmdqh29k17zHF3MagzKuTDySKZwyUnwfzVx,0.51535002,0,0,0,-2.99902363,2.652e-05,0,-0.973097353,26747.72663894,0.0,0.0,-1,0,1,-0.973097353,20313.95022297,1,0,251,0,26657.45962952,0,0.0,2025-03-06 09:08:44.597000+00:00,193,marketContext_1741252124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.652e-05,1.263028957,0.0,0.973097353,0,1,0,0,0,0,0,0,0,0,0,0.0,0.973097353,0,2,0,0,0,0,0,0,0,0,0,0,0,814
