,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,218389381.66121927,13004986.61757437,24756.80222588,0.0,2.69267659,13091347.65721555,1094,-2.645510680321086,0,12ku9hUWjaWum6mrAL3KeY3N1RPva5GcmdYsLPP1Tut4,2.08101433,0,0,0,-0.38110733,0.01309135,0,0,13286915.97080567,-1.85671421,0,25,0,213,0,52688.95950701,93,-1,5292,0,13096258.8416861,0,0.0,2025-03-09 01:13:24.054000+00:00,17,marketContext_1741482804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01309135,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1094
98,218389381.66121927,13011116.91686749,24756.80222588,0.0,2.69293528,13091347.65721555,1095,0.0,0,12ku9hUWjaWum6mrAL3KeY3N1RPva5GcmdYsLPP1Tut4,2.08101433,0,0,0,-0.38110733,0.01309135,0,0,13281907.67525807,-1.83926791,0,16,0,205,0,52688.95950701,92,-1,5292,0,13105790.23562894,0,0.0,2025-03-09 01:13:25.054000+00:00,17,marketContext_1741482805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01309135,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1094
97,218389381.66121927,13013959.29641716,24761.76294235,0.0,1.23058272,13093960.32087853,1096,0.019957178828235278,0,12ku9hUWjaWum6mrAL3KeY3N1RPva5GcmdYsLPP1Tut4,1.3764627,0,0,0,-0.38499801,0.01309396,0,0,13276847.04321588,-1.8196778,0,17,0,206,0,52688.95950701,93,1,5293,0,13115414.93898831,0,0.0,2025-03-09 01:13:26.054000+00:00,17,marketContext_1741482806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01309135,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1094
96,218389381.66121927,13019514.27083627,25044.84870644,0.0,2.40549935,13243053.2782407,1097,1.1386391413180001,0,12ku9hUWjaWum6mrAL3KeY3N1RPva5GcmdYsLPP1Tut4,2.53077479,0,0,0,0.06286989,0.01324305,0,0,13277679.10937769,-1.60207751,0,8,0,197,0,52688.95950701,93,1,5293,0,13127089.19880778,0,0.0,2025-03-09 01:13:27.054000+00:00,17,marketContext_1741482807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01309396,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1094
95,218389381.66121927,13023716.44793787,24901.00804845,0.0,1.81969052,13167296.62845994,1098,-0.5720482141775796,0,12ku9hUWjaWum6mrAL3KeY3N1RPva5GcmdYsLPP1Tut4,1.93714725,0,0,0,-1.28733955,0.0131673,0,0,13260507.26772851,-2.0807122,0,19,0,208,0,52688.95950701,104,11,5304,0,13136025.72530359,0,0.0,2025-03-09 01:13:28.087000+00:00,17,marketContext_1741482808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01324305,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1094
94,218389381.66121927,13027918.62503946,24901.00804845,0.0,1.81969052,13167296.62845994,1099,0.0,0,12ku9hUWjaWum6mrAL3KeY3N1RPva5GcmdYsLPP1Tut4,1.93006343,0,0,0,-1.28733955,0.0131673,0,0,13243335.42607933,0.58014632,0,11,0,199,0,52688.95950701,95,11,5304,0,13144930.19122418,0,0.0,2025-03-09 01:13:29.242000+00:00,17,marketContext_1741482809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131673,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1094
93,218389381.66121927,13032128.55992226,24901.83292025,0.0,1.82304991,13167731.06420768,1100,0.0032993541499115064,0,12ku9hUWjaWum6mrAL3KeY3N1RPva5GcmdYsLPP1Tut4,1.93342647,0,0,0,-1.26653458,0.01316773,0,0,13226444.10493744,0.58346481,0,20,0,208,0,52688.95950701,104,9,5313,0,13153850.1727072,0,0.0,2025-03-09 01:13:30.238000+00:00,17,marketContext_1741482810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131673,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1094
92,218389381.66121927,13033832.91367815,25048.34549883,0.0,2.28830643,13244894.93608615,1102,0.5860073501061609,0,12ku9hUWjaWum6mrAL3KeY3N1RPva5GcmdYsLPP1Tut4,1.72429594,0,0,0,-1.58839371,0.01324489,0,0,13190446.67562757,0.0139066,0,33,0,221,0,52688.95950701,107,12,5325,0,13161868.38589226,0,0.0,2025-03-09 01:13:32.083000+00:00,17,marketContext_1741482812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01316773,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1094
91,218389381.66121927,13039234.72229176,25060.11344321,0.0,2.33617133,13251092.76675267,1103,0.0467941097036006,0,12ku9hUWjaWum6mrAL3KeY3N1RPva5GcmdYsLPP1Tut4,1.77189692,0,0,0,-1.45755785,0.01325109,0,0,13168668.99305741,0.63639592,0,32,0,212,0,52688.95950701,97,12,5325,0,13170107.95017256,0,0.0,2025-03-09 01:13:33.083000+00:00,17,marketContext_1741482813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01324489,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1094
90,218389381.66121927,13044636.53090537,25060.11344321,0.0,2.33617133,13251092.76675267,1104,0.0,0,12ku9hUWjaWum6mrAL3KeY3N1RPva5GcmdYsLPP1Tut4,1.77189692,0,0,0,1.22023426,0.01325109,0,0,13186418.44967265,0.63639592,0,41,0,221,0,52688.95950701,106,9,5334,0,13178347.51445285,0,0.0,2025-03-09 01:13:34.085000+00:00,17,marketContext_1741482814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01325109,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1094
