,athMarketCap,maMarketCap60s,priceChangeFromStart,timeFromStart,trade_last5Seconds.tradeCount.buy.small,marketCap,marketCapChange60s,trade_last10Seconds.tradeCount.buy.medium,priceChangePercent,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.tradeCount.buy.large,largeBuy10s,marketCapChange10s,trade_last10Seconds.volume.buy,largeBuy5s,maMarketCap10s,netVolume10s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,trade_last10Seconds.tradeCount.buy.super,holderDelta5s,trade_last10Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.small,originalTimestamp,trade_last10Seconds.tradeCount.bot,trade_last5Seconds.tradeCount.sell.big,initialHoldersCount,trade_last10Seconds.volume.sell,trade_last10Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,buyVolume10s,creationTime,poolAddress,marketCapChange30s,superBuy5s,bigBuy5s,netVolume5s,currentPrice,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.sell.small,marketCapChange5s,buyVolume5s,trade_last5Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,minMarketCap,holderDelta30s,trade_last10Seconds.tradeCount.buy.big,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,trade_last5Seconds.tradeCount.bot,timestamp,doc_id,lastPrice,totalVolume
99,93935.3034262288,25727.33501834517,-76.18296952022828,481,0,21817.132257472887,-26.465366955376897,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.3044085401552794,0.043338281,0,21867.666081637984,-0.31438089,0,0,-6,0,0,0,0,0,0,0,2025-01-30 21:29:01.600000+00:00,0,0,100,0.357719171,0,0,0.043338281,2025-01-30T21:21:00.000Z,12qbvNxwtXahXwCumrne6qCikF9fMcrAyDmq2G9LQETY,-21.164693316600086,0,0,0.0,2.18171322574e-05,0,0,3,-0.2064162040763681,0.0,0,1,21813.618171119975,-2,0,96,0,22704.22369467002,0,0,2025-01-30 21:29:01.600000+00:00,marketContext_0000000398,2.18171322574e-05,0.0
98,93935.3034262288,25481.628374993037,-76.18296952022828,483,0,21817.132257472887,-26.465366955376897,0,0.0,0,0,0,0,0.0,0.0,0,0,-0.1842179616583709,0.043338281,0,21827.36705897335,0.004475307,0,0,-6,0,0,0,0,0,0,0,2025-01-30 21:29:03.376000+00:00,0,0,100,0.038862974,0,0,0.043338281,2025-01-30T21:21:00.000Z,12qbvNxwtXahXwCumrne6qCikF9fMcrAyDmq2G9LQETY,-6.330491088497849,0,0,0.0,2.18171322574e-05,0,0,1,0.0,0.0,0,1,21813.618171119975,-2,0,96,0,22640.11617315404,0,0,2025-01-30 21:29:03.376000+00:00,marketContext_0000000399,2.18171322574e-05,0.0
97,93935.3034262288,25318.043774557886,-76.18296952022828,485,0,21817.132257472887,-26.465366955376897,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0161095987164657,0.043338281,0,21823.579006929,0.043338281,0,0,-3,0,0,0,0,0,0,0,2025-01-30 21:29:05.004000+00:00,0,0,100,0.0,0,0,0.043338281,2025-01-30T21:21:00.000Z,12qbvNxwtXahXwCumrne6qCikF9fMcrAyDmq2G9LQETY,-14.058209688829812,0,0,0.0,2.18171322574e-05,0,0,0,0.0,0.0,0,1,21813.618171119975,0,0,96,0,22484.950571871963,0,0,2025-01-30 21:29:05.004000+00:00,marketContext_0000000400,2.18171322574e-05,0.0
96,93935.3034262288,25154.45917412273,-76.18296952022828,486,0,21817.132257472887,-26.465366955376897,0,0.0,0,0,0,0,0.0,0.0,0,0,-0.2064162040763681,0.0,0,21822.773163246984,0.0,0,0,-3,0,0,0,0,0,0,0,2025-01-30 21:29:06.161000+00:00,0,0,100,0.0,0,0,0.0,2025-01-30T21:21:00.000Z,12qbvNxwtXahXwCumrne6qCikF9fMcrAyDmq2G9LQETY,-14.058209688829812,0,0,0.0,2.18171322574e-05,0,0,0,0.0,0.0,0,0,21813.618171119975,0,0,96,0,22329.784970589888,0,0,2025-01-30 21:29:06.161000+00:00,marketContext_0000000401,2.18171322574e-05,0.0
95,93935.3034262288,24990.87457368758,-76.18296952022828,487,0,21817.132257472887,-25.853982848577505,0,0.0,0,0,0,0,0.0,0.040055835,0,0,0.0,0.0,0,21817.132257472887,-0.040055835,0,0,-3,0,0,0,0,0,0,1,2025-01-30 21:29:07.323000+00:00,0,0,100,0.040055835,0,0,0.0,2025-01-30T21:21:00.000Z,12qbvNxwtXahXwCumrne6qCikF9fMcrAyDmq2G9LQETY,-6.330491088497849,0,0,-0.040055835,2.18171322574e-05,0,0,1,0.0,0.0,0,0,21813.618171119975,0,0,96,0,22265.67744907391,0,0,2025-01-30 21:29:07.323000+00:00,marketContext_0000000402,2.18171322574e-05,0.040055835
94,93935.3034262288,24832.386693718832,-76.18296952022828,488,0,21817.132257472887,-25.239056720635737,0,0.0,0,0,0,0,0.0,0.040055835,0,0,0.0,0.0,0,21817.132257472887,-0.040055835,0,0,-3,0,0,0,0,0,0,1,2025-01-30 21:29:08.554000+00:00,0,0,100,0.040055835,0,0,0.0,2025-01-30T21:21:00.000Z,12qbvNxwtXahXwCumrne6qCikF9fMcrAyDmq2G9LQETY,-6.330491088497849,0,0,-0.040055835,2.18171322574e-05,0,0,1,0.0,0.0,0,0,21813.618171119975,0,0,96,0,22201.56992755793,0,0,2025-01-30 21:29:08.554000+00:00,marketContext_0000000403,2.18171322574e-05,0.08011167
93,93935.3034262288,24678.940975502945,-76.18296952022828,489,0,21817.132257472887,-25.239056720635737,0,0.0,0,0,0,0,0.0,0.040055835,0,0,0.0,0.0,0,21817.132257472887,-0.040055835,0,0,-3,0,0,0,0,0,0,1,2025-01-30 21:29:09.814000+00:00,0,0,100,0.040055835,0,0,0.0,2025-01-30T21:21:00.000Z,12qbvNxwtXahXwCumrne6qCikF9fMcrAyDmq2G9LQETY,-6.330491088497849,0,0,-0.040055835,2.18171322574e-05,0,0,1,0.0,0.0,0,0,21813.618171119975,0,0,96,0,22137.462406041956,0,0,2025-01-30 21:29:09.814000+00:00,marketContext_0000000404,2.18171322574e-05,0.120167505
92,93935.3034262288,24525.495257287057,-76.18296952022828,491,0,21817.132257472887,-25.239056720635737,0,0.0,0,0,0,0,0.0,0.040055835,0,0,0.0,0.0,0,21817.132257472887,-0.040055835,0,0,-5,0,0,0,0,0,0,1,2025-01-30 21:29:11.033000+00:00,0,0,100,0.040055835,0,0,0.0,2025-01-30T21:21:00.000Z,12qbvNxwtXahXwCumrne6qCikF9fMcrAyDmq2G9LQETY,-6.330491088497849,0,0,-0.040055835,2.18171322574e-05,0,0,1,0.0,0.0,0,0,21813.618171119975,-2,0,94,0,22073.354884525976,0,0,2025-01-30 21:29:11.033000+00:00,marketContext_0000000405,2.18171322574e-05,0.16022334
91,93935.3034262288,24372.04953907117,-76.18296952022828,492,0,21817.132257472887,-23.58551134464624,0,0.0,0,0,0,0,0.0,0.040055835,0,0,0.0,0.0,0,21817.132257472887,-0.040055835,0,0,-5,0,0,0,0,0,0,1,2025-01-30 21:29:12.060000+00:00,0,0,100,0.040055835,0,0,0.0,2025-01-30T21:21:00.000Z,12qbvNxwtXahXwCumrne6qCikF9fMcrAyDmq2G9LQETY,-6.330491088497849,0,0,-0.040055835,2.18171322574e-05,0,0,1,0.0,0.0,0,0,21813.618171119975,-2,0,94,0,22009.24736301,0,0,2025-01-30 21:29:12.060000+00:00,marketContext_0000000406,2.18171322574e-05,0.20027917499999998
90,93935.3034262288,24234.107838562322,-76.05993055713482,493,0,21929.839730930264,-21.487644831327383,0,0.516600771023761,0,0,0,0,0.0,0.0,0,0,0.516600771023761,0.0,0,21829.65531007926,-0.040055835,0,0,-5,0,0,0,0,0,0,0,2025-01-30 21:29:13.198000+00:00,0,0,100,0.040055835,0,0,0.0,2025-01-30T21:21:00.000Z,12qbvNxwtXahXwCumrne6qCikF9fMcrAyDmq2G9LQETY,-2.749549876021201,0,0,0.0,2.19298397309e-05,0,0,1,0.516600771023761,0.0,0,0,21813.618171119975,-2,0,94,0,21982.289987788074,0,0,2025-01-30 21:29:13.198000+00:00,marketContext_0000000407,2.18171322574e-05,0.20027917499999998
