,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,63625.73884929,7161.90889966,-85.2921926,0.0,1.23098929,7142.25533158,919,0.0,0,13CBYnDE9H6dsVFqWiCKsEVTVUBPvAALC7ZrBUdrcHqm,-1.46758356,0,0,0,-1.29516389,7.14e-06,0,0,7182.42006441,0.0,0,0,0,-2,0,6230.37077499,-2,0,259,0,7223.74214773,0,0.0,2025-03-11 21:17:38.136000+00:00,282,marketContext_1741727858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,919
98,63625.73884929,7164.19445935,-85.2921926,0.0,1.23098929,7142.25533158,920,0.0,0,13CBYnDE9H6dsVFqWiCKsEVTVUBPvAALC7ZrBUdrcHqm,-1.46758356,0,0,0,-1.29516389,7.14e-06,0,0,7169.03182014,0.0,0,0,0,-2,0,6230.37077499,-2,0,259,0,7218.1432121,0,0.0,2025-03-11 21:17:39.137000+00:00,282,marketContext_1741727859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,919
97,63625.73884929,7164.19445935,-85.2921926,0.0,1.23098929,7142.25533158,921,0.0,0,13CBYnDE9H6dsVFqWiCKsEVTVUBPvAALC7ZrBUdrcHqm,-1.46758356,0,0,0,-1.29516389,7.14e-06,0,0,7169.03182014,0.0,0,0,0,-2,0,6230.37077499,-2,0,259,0,7218.1432121,0,0.0,2025-03-11 21:17:40.129000+00:00,282,marketContext_1741727860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,919
96,63625.73884929,7166.48001904,-85.2921926,0.0,1.23098929,7142.25533158,922,0.0,0,13CBYnDE9H6dsVFqWiCKsEVTVUBPvAALC7ZrBUdrcHqm,-1.46758356,0,0,0,-1.29516389,7.14e-06,0,0,7142.25533158,0.0,0,0,0,-2,0,6230.37077499,-2,0,259,0,7212.54427647,0,0.0,2025-03-11 21:17:41.152000+00:00,282,marketContext_1741727861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,919
95,63625.73884929,7166.48001904,-85.2921926,0.0,1.23098929,7142.25533158,923,0.0,0,13CBYnDE9H6dsVFqWiCKsEVTVUBPvAALC7ZrBUdrcHqm,-1.46758356,0,0,0,-1.29516389,7.14e-06,0,0,7142.25533158,0.0,0,0,0,-2,0,6230.37077499,-2,0,259,0,7212.54427647,0,0.0,2025-03-11 21:17:42.130000+00:00,282,marketContext_1741727862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,919
94,63625.73884929,7171.73652707,-85.29926912,0.0,1.18228298,7138.81890491,924,-0.048114027240775105,0,13CBYnDE9H6dsVFqWiCKsEVTVUBPvAALC7ZrBUdrcHqm,-1.51499147,0,0,0,-0.04811403,7.14e-06,0,0,7141.6825938,-0.04811403,0,0,0,-2,0,6230.37077499,-2,0,259,0,7206.76447627,0,0.0,2025-03-11 21:17:43.139000+00:00,282,marketContext_1741727863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,919
93,63625.73884929,7171.73652707,-85.29926912,0.0,1.18228298,7138.81890491,925,-0.048114027240775105,0,13CBYnDE9H6dsVFqWiCKsEVTVUBPvAALC7ZrBUdrcHqm,-1.51499147,0,0,0,-0.04811403,7.14e-06,0,0,7141.6825938,-0.04811403,0,0,0,-2,0,6230.37077499,-2,0,259,0,7206.76447627,0,0.0,2025-03-11 21:17:44.136000+00:00,282,marketContext_1741727864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,919
92,63625.73884929,7173.99098225,-85.29926912,0.0,1.05102023,7138.81890491,926,0.0,0,13CBYnDE9H6dsVFqWiCKsEVTVUBPvAALC7ZrBUdrcHqm,-1.51499147,0,0,0,-0.04811403,7.14e-06,0,0,7141.10985602,-0.04811403,0,0,0,-2,0,6230.37077499,-2,0,259,0,7200.98467608,0,0.0,2025-03-11 21:17:45.139000+00:00,282,marketContext_1741727865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,919
91,63625.73884929,7175.9977403,-85.29926912,0.0,1.05102023,7138.81890491,927,0.0,0,13CBYnDE9H6dsVFqWiCKsEVTVUBPvAALC7ZrBUdrcHqm,-1.51499147,0,0,0,-0.04811403,7.14e-06,0,0,7140.53711825,-0.04811403,0,0,0,-1,0,6230.37077499,-2,0,259,0,7195.20487588,0,0.0,2025-03-11 21:17:46.140000+00:00,282,marketContext_1741727866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,919
90,63625.73884929,7178.04602743,-85.29926912,0.0,1.07300407,7138.81890491,928,0.0,0,13CBYnDE9H6dsVFqWiCKsEVTVUBPvAALC7ZrBUdrcHqm,-1.51499147,0,0,0,-0.04811403,7.14e-06,0,0,7140.2916592,-0.04811403,0,0,0,-1,0,6230.37077499,-2,0,259,0,7192.38557734,0,0.0,2025-03-11 21:17:47.139000+00:00,282,marketContext_1741727867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,919
