,athMarketCap,maMarketCap60s,priceChangeFromStart,timeFromStart,trade_last5Seconds.tradeCount.buy.small,marketCap,marketCapChange60s,trade_last10Seconds.tradeCount.buy.medium,priceChangePercent,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.tradeCount.buy.large,largeBuy10s,marketCapChange10s,trade_last10Seconds.volume.buy,largeBuy5s,maMarketCap10s,netVolume10s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,trade_last10Seconds.tradeCount.buy.super,holderDelta5s,trade_last10Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.small,originalTimestamp,trade_last10Seconds.tradeCount.bot,trade_last5Seconds.tradeCount.sell.big,initialHoldersCount,trade_last10Seconds.volume.sell,trade_last10Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,buyVolume10s,creationTime,poolAddress,marketCapChange30s,superBuy5s,bigBuy5s,netVolume5s,currentPrice,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.sell.small,marketCapChange5s,buyVolume5s,trade_last5Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,minMarketCap,holderDelta30s,trade_last10Seconds.tradeCount.buy.big,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,trade_last5Seconds.tradeCount.bot,timestamp,doc_id,lastPrice,totalVolume
99,296385.9103341812,78787.53060275086,5.587641492679955,1894,0,86305.79230507395,11.277092810666916,0,-0.011644620455119456,0,0,0,0,0.0,0.0,0,0,2.955793235257804,0.0,0,84475.2467597744,0.0,0,0,0,0,0,0,0,0,0,0,2025-02-04 18:01:37.027000+00:00,0,0,116,0.0,0,0,0.0,2025-02-04T17:30:03.000Z,13UufXw2zaq4ffE16dcYhsCc6ZdxXXV5EwNq4mRJuT8F,15.911304186450709,0,0,0.0,8.6305792305e-05,0,0,0,2.923017146672788,0.0,0,0,27147.883457831496,0,0,390,0,80510.55131928592,0,0,2025-02-04 18:01:37.027000+00:00,marketContext_0000001709,8.6305792305e-05,0.0
98,296385.9103341812,78787.53060275086,5.587641492679955,1894,0,86305.79230507395,11.277092810666916,0,-0.011644620455119456,0,0,0,0,0.0,0.0,0,0,2.955793235257804,0.0,0,84475.2467597744,0.0,0,0,0,0,0,0,0,0,0,0,2025-02-04 18:01:37.475000+00:00,0,0,116,0.0,0,0,0.0,2025-02-04T17:30:03.000Z,13UufXw2zaq4ffE16dcYhsCc6ZdxXXV5EwNq4mRJuT8F,15.911304186450709,0,0,0.0,8.6305792305e-05,0,0,0,2.923017146672788,0.0,0,0,27147.883457831496,0,0,390,0,80510.55131928592,0,0,2025-02-04 18:01:37.475000+00:00,marketContext_0000001710,8.6305792305e-05,0.0
97,296385.9103341812,78962.6604283646,5.599938204684731,1894,0,86315.84345743722,11.290052114839993,0,0.011645976584891058,0,0,0,0,0.0,0.0,0,0,2.967783442830771,0.0,0,84628.62981791297,0.0,0,0,0,0,0,0,0,0,0,0,2025-02-04 18:01:37.956000+00:00,0,0,116,0.0,0,0,0.0,2025-02-04T17:30:03.000Z,13UufXw2zaq4ffE16dcYhsCc6ZdxXXV5EwNq4mRJuT8F,15.924803189795504,0,0,0.0,8.63158434574e-05,0,0,0,2.9438931125265877,0.0,0,0,27147.883457831496,0,0,390,0,80949.71302277286,0,0,2025-02-04 18:01:37.956000+00:00,marketContext_0000001711,8.6305792305e-05,0.0
96,296385.9103341812,78962.6604283646,5.599938204684731,1895,0,86315.84345743722,11.290052114839993,0,0.011645976584891058,0,0,0,0,0.0,0.0,0,0,2.967783442830771,0.0,0,84628.62981791297,0.0,0,0,0,0,0,0,0,0,0,0,2025-02-04 18:01:38.885000+00:00,0,0,116,0.0,0,0,0.0,2025-02-04T17:30:03.000Z,13UufXw2zaq4ffE16dcYhsCc6ZdxXXV5EwNq4mRJuT8F,15.924803189795504,0,0,0.0,8.63158434574e-05,0,0,0,2.9438931125265877,0.0,0,0,27147.883457831496,0,0,390,0,80949.71302277286,0,0,2025-02-04 18:01:38.885000+00:00,marketContext_0000001712,8.63158434574e-05,0.0
95,296385.9103341812,79137.79025397835,5.599938204684731,1897,0,86315.84345743722,11.290052114839993,0,0.0,0,0,0,0,0.0,0.0,0,0,2.935003537150153,0.0,0,84758.41548249175,0.0,0,0,0,0,0,0,0,0,0,0,2025-02-04 18:01:40.131000+00:00,0,0,116,0.0,0,0,0.0,2025-02-04T17:30:03.000Z,13UufXw2zaq4ffE16dcYhsCc6ZdxXXV5EwNq4mRJuT8F,15.924803189795504,0,0,0.0,8.63158434574e-05,0,0,0,0.6212446034305781,0.0,0,0,27147.883457831496,0,0,390,0,81388.87472625979,0,0,2025-02-04 18:01:40.131000+00:00,marketContext_0000001713,8.63158434574e-05,0.0
94,296385.9103341812,79278.53639522265,5.599938204684731,1898,0,86315.84345743722,10.601910534137161,0,0.0,0,0,0,0,0.0,0.0,0,0,2.935003537150153,0.0,0,84869.660337845,0.0,0,0,0,0,0,0,0,0,0,0,2025-02-04 18:01:41.164000+00:00,0,0,116,0.0,0,0,0.0,2025-02-04T17:30:03.000Z,13UufXw2zaq4ffE16dcYhsCc6ZdxXXV5EwNq4mRJuT8F,15.924803189795504,0,0,0.0,8.63158434574e-05,0,0,0,0.0,0.0,0,0,27147.883457831496,0,0,390,0,81828.03642974672,0,0,2025-02-04 18:01:41.164000+00:00,marketContext_0000001714,8.63158434574e-05,0.0
93,296385.9103341812,79440.77038493687,5.599938204684731,1899,0,86315.84345743722,10.601910534137161,0,0.0,0,0,0,0,0.0,0.0,0,0,2.935003537150153,0.0,0,85137.052183254,0.0,0,0,0,0,0,0,0,0,0,0,2025-02-04 18:01:42.070000+00:00,0,0,116,0.0,0,0,0.0,2025-02-04T17:30:03.000Z,13UufXw2zaq4ffE16dcYhsCc6ZdxXXV5EwNq4mRJuT8F,14.483188344985258,0,0,0.0,8.63158434574e-05,0,0,0,0.011645976584891,0.0,0,0,27147.883457831496,0,0,390,0,82232.47188086783,0,0,2025-02-04 18:01:42.070000+00:00,marketContext_0000001715,8.63158434574e-05,0.0
92,296385.9103341812,79603.00437465108,5.599938204684731,1900,0,86315.84345743722,10.601910534137161,0,0.0,0,0,0,0,5.308654322,0.0,1,1,2.9438931125265877,5.308654322,1,86247.97184193703,5.308654322,0,0,0,0,0,0,0,1,0,0,2025-02-04 18:01:43.111000+00:00,0,0,116,0.0,0,0,5.308654322,2025-02-04T17:30:03.000Z,13UufXw2zaq4ffE16dcYhsCc6ZdxXXV5EwNq4mRJuT8F,14.483188344985258,0,0,5.308654322,8.63158434574e-05,0,0,0,0.0,5.308654322,0,0,27147.883457831496,0,0,390,0,82636.90733198893,0,0,2025-02-04 18:01:43.111000+00:00,marketContext_0000001716,8.63158434574e-05,5.308654322
91,296385.9103341812,79765.23836436529,5.599938204684731,1901,0,86315.84345743722,10.601910534137161,0,0.0,0,0,0,0,5.308654322,0.0,1,1,0.6212446034305781,5.308654322,1,86255.51313254818,5.308654322,0,0,0,0,0,0,0,1,0,0,2025-02-04 18:01:44.328000+00:00,0,0,116,0.0,0,0,5.308654322,2025-02-04T17:30:03.000Z,13UufXw2zaq4ffE16dcYhsCc6ZdxXXV5EwNq4mRJuT8F,14.483188344985258,0,0,5.308654322,8.63158434574e-05,0,0,0,0.0,5.308654322,0,0,27147.883457831496,0,0,390,0,83041.34278311003,0,0,2025-02-04 18:01:44.328000+00:00,marketContext_0000001717,8.63158434574e-05,10.617308644
90,296385.9103341812,79967.16808904949,8.07671670313363,1902,1,88340.32594090687,13.196007070134634,0,2.3454355566460188,0,0,0,0,5.808654322,0.0,1,1,2.9812510518992026,5.808654322,1,86539.66916089348,5.808654322,0,0,0,0,0,0,0,1,0,0,2025-02-04 18:01:45.910000+00:00,0,0,116,0.0,0,0,5.808654322,2025-02-04T17:30:03.000Z,13UufXw2zaq4ffE16dcYhsCc6ZdxXXV5EwNq4mRJuT8F,17.168317750810573,0,0,5.808654322,8.83403259409e-05,0,0,0,2.3454355566460188,5.808654322,0,1,27147.883457831496,0,0,390,0,83520.75906695222,0,0,2025-02-04 18:01:45.910000+00:00,marketContext_0000001718,8.63158434574e-05,16.425962966
89,296385.9103341812,80370.52038291756,8.045073206935305,1904,1,88314.46101038951,13.162864710441857,0,-0.029278735664449235,0,0,0,0,5.808654322,0.0,1,1,2.315470107104759,5.808654322,1,86987.79707075849,5.808654322,0,0,0,0,0,0,0,1,0,0,2025-02-04 18:01:47.996000+00:00,0,0,116,0.0,0,0,5.808654322,2025-02-04T17:30:03.000Z,13UufXw2zaq4ffE16dcYhsCc6ZdxXXV5EwNq4mRJuT8F,17.134012348773833,0,0,5.808654322,8.83144610103e-05,0,0,0,2.315470107104759,5.808654322,0,1,27147.883457831496,0,0,390,0,84478.6336742471,0,0,2025-02-04 18:01:47.996000+00:00,marketContext_0000001719,8.83403259409e-05,22.234617288
88,296385.9103341812,80571.94295210142,8.045073206935305,1905,1,88314.46101038951,13.419437013009428,0,0.0,0,0,0,0,0.5,0.0,0,1,2.315470107104759,5.808654322,0,87209.8656877532,5.808654322,0,0,0,0,0,0,0,1,0,0,2025-02-04 18:01:48.997000+00:00,0,0,116,0.0,0,0,5.808654322,2025-02-04T17:30:03.000Z,13UufXw2zaq4ffE16dcYhsCc6ZdxXXV5EwNq4mRJuT8F,17.134012348773833,0,0,0.5,8.83144610103e-05,0,0,0,2.315470107104759,0.5,0,1,27147.883457831496,0,0,390,0,84957.09199769975,0,0,2025-02-04 18:01:48.997000+00:00,marketContext_0000001720,8.83144610103e-05,22.734617288
87,296385.9103341812,80834.54049209258,8.013518039167959,1908,0,88288.66827823846,13.386312232241602,0,-0.029205559152992742,0,0,0,0,0.0,0.0,0,1,2.2855883019599665,5.808654322,0,87429.06844562,5.808654322,0,0,0,0,0,0,0,1,0,0,2025-02-04 18:01:51.799000+00:00,0,0,116,0.0,0,0,5.808654322,2025-02-04T17:30:03.000Z,13UufXw2zaq4ffE16dcYhsCc6ZdxXXV5EwNq4mRJuT8F,10.298571358537634,0,0,0.0,8.82886682782e-05,0,0,0,-0.0584757437989782,0.0,0,1,27147.883457831496,0,0,390,0,85262.40710714235,0,0,2025-02-04 18:01:51.799000+00:00,marketContext_0000001721,8.83144610103e-05,22.734617288
86,296385.9103341812,81043.00651534952,8.013518039167959,1910,0,88288.66827823846,13.399709063091862,0,0.0,0,0,0,0,0.0,0.0,0,1,2.2855883019599665,5.808654322,0,87814.824671743,5.808654322,0,0,0,0,0,0,0,1,0,0,2025-02-04 18:01:53.161000+00:00,0,0,116,0.0,0,0,5.808654322,2025-02-04T17:30:03.000Z,13UufXw2zaq4ffE16dcYhsCc6ZdxXXV5EwNq4mRJuT8F,7.3640955027503345,0,0,0.0,8.82886682782e-05,0,0,0,-0.0292055591529927,0.0,0,1,27147.883457831496,0,0,390,0,85523.39313987573,0,0,2025-02-04 18:01:53.161000+00:00,marketContext_0000001722,8.82886682782e-05,22.734617288
85,296385.9103341812,81240.07994261819,7.305371431946219,1911,0,87709.83960908349,12.656250089708168,0,-0.6556092423218275,0,0,0,0,0.0,0.0,0,0,1.6149945314890626,0.5,0,87989.0741906988,0.5,0,0,0,0,0,0,0,0,0,0,2025-02-04 18:01:54.563000+00:00,0,0,116,0.0,0,0,0.5,2025-02-04T17:30:03.000Z,13UufXw2zaq4ffE16dcYhsCc6ZdxXXV5EwNq4mRJuT8F,6.660206569699069,0,0,0.0,8.7709839609e-05,0,0,0,-0.6846233271297414,0.0,0,1,27147.883457831496,0,0,390,0,85726.24072015272,0,0,2025-02-04 18:01:54.563000+00:00,marketContext_0000001723,8.82886682782e-05,22.734617288
84,296385.9103341812,81708.72471093244,6.603614757758129,1914,0,87136.23397763867,13.404567403942423,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.3630150788368554,0.0,0,87884.08087737382,0.0,0,0,0,0,0,0,0,0,0,0,2025-02-04 18:01:57.273000+00:00,0,0,116,0.0,0,0,0.0,2025-02-04T17:30:03.000Z,13UufXw2zaq4ffE16dcYhsCc6ZdxXXV5EwNq4mRJuT8F,3.946442632604082,0,0,0.0,8.71362339776e-05,0,0,0,-1.3053026204540152,0.0,0,0,27147.883457831496,0,0,390,0,86115.07665867585,0,0,2025-02-04 18:01:57.273000+00:00,marketContext_0000001724,8.7709839609e-05,22.734617288
83,296385.9103341812,82188.56604954941,6.577241416962304,1916,0,87114.67679498985,17.878538226117072,1,-0.024739630880017027,0,0,0,0,0.5249,0.0,0,0,-1.358536531473035,0.5249,0,87544.3649847809,0.5249,0,0,0,0,0,0,0,0,0,0,2025-02-04 18:01:59.514000+00:00,0,0,116,0.0,0,0,0.5249,2025-02-04T17:30:03.000Z,13UufXw2zaq4ffE16dcYhsCc6ZdxXXV5EwNq4mRJuT8F,3.8876433901931473,0,0,0.5249,8.71146767949e-05,0,1,0,-0.6785587760121587,0.5249,0,0,27147.883457831496,0,0,390,0,86187.24656779288,0,0,2025-02-04 18:01:59.514000+00:00,marketContext_0000001725,8.71362339776e-05,23.259517287999998
