,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,119816.2968923,4511.10765952,-92.28401436,0.0,-16.66313706,4263.73333013,524,0.0,0.0,13z1XPb2RLFG5qwGLSq67uKJhwcvhahAB2FDvJm6xwoG,-0.03668238,0,0,0,-0.70118564,4.26e-06,0,0.0,4275.11321833,0.04447034,0.0,0,0,-5,0.0,4193.99540168,-1,0,1110,0,4261.00400388,0,0.0,2025-03-06 17:01:05.161000+00:00,110,marketContext_1741280465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,524
98,119816.2968923,4496.65799909,-92.28401436,0.0,-16.66313706,4263.73333013,525,0.0,0.0,13z1XPb2RLFG5qwGLSq67uKJhwcvhahAB2FDvJm6xwoG,-0.03668238,0,0,0,-0.70118564,4.26e-06,0,0.0,4272.10243858,0.04447034,0.0,0,0,-5,0.0,4193.99540168,-1,0,1110,0,4260.95185012,0,0.0,2025-03-06 17:01:06.161000+00:00,110,marketContext_1741280466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,524
97,119816.2968923,4482.20833866,-92.28401436,0.0,-16.66313706,4263.73333013,526,0.0,0.0,13z1XPb2RLFG5qwGLSq67uKJhwcvhahAB2FDvJm6xwoG,1.17666922,0,0,0,-0.70118564,4.26e-06,0,0.0,4269.09165883,0.04447034,0.0,0,0,-5,0.0,4193.99540168,0,0,1110,0,4260.89969637,0,0.0,2025-03-06 17:01:07.162000+00:00,110,marketContext_1741280467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,524
96,119816.2968923,4467.75867824,-92.28401436,0.0,-16.66313706,4263.73333013,527,0.0,0.0,13z1XPb2RLFG5qwGLSq67uKJhwcvhahAB2FDvJm6xwoG,1.17666922,0,0,0,-0.70118564,4.26e-06,0,0.0,4266.08087907,0.02220487,0.0,0,0,-5,0.0,4193.99540168,0,0,1110,0,4262.55258196,0,0.0,2025-03-06 17:01:08.161000+00:00,110,marketContext_1741280468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,524
95,119816.2968923,4453.30901781,-92.28401436,0.0,-16.66313706,4263.73333013,528,0.0,0.005,13z1XPb2RLFG5qwGLSq67uKJhwcvhahAB2FDvJm6xwoG,1.4626635,0,0,0,-0.70118564,4.26e-06,0,0.005,4263.07009932,0.0,0.005,0,0,-6,0.005,4193.99540168,0,0,1110,0,4264.20546755,0,0.0,2025-03-06 17:01:09.161000+00:00,110,marketContext_1741280469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26e-06,0.005,0.005,0.0,0,1,0,0,0,0,0,0,0,0,0,0.005,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,524
94,119816.2968923,4437.15918766,-92.29523599,0.0,-18.28736804,4257.53243117,529,-0.14543355510670744,0.005,13z1XPb2RLFG5qwGLSq67uKJhwcvhahAB2FDvJm6xwoG,1.31510274,0,0,0,-0.10102789,4.26e-06,0,-0.011322264,4262.63953481,-0.14543356,0.005,0,0,-6,-0.011322264,4193.99540168,0,0,1110,0,4266.04760573,0,0.0,2025-03-06 17:01:10.161000+00:00,110,marketContext_1741280470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26e-06,0.016322264,0.005,0.016322264,0,1,0,0,0,0,0,0,0,0,0,0.005,0.016322264,0,2,0,0,0,0,0,0,0,0,0,0,0,524
93,119816.2968923,4420.94176662,-92.30245274,0.0,-18.36390503,4253.5445691,530,-0.09366604078865057,0.005,13z1XPb2RLFG5qwGLSq67uKJhwcvhahAB2FDvJm6xwoG,1.06496318,0,0,0,-0.1945993,4.25e-06,0,-0.011322264,4261.8101841,-0.23896337,0.005,-2,0,-8,-0.011322264,4193.99540168,-2,-2,1108,0,4267.75681518,0,0.0,2025-03-06 17:01:11.163000+00:00,110,marketContext_1741280471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26e-06,0.027644528,0.005,0.016322264,0,1,0,0,0,0,0,0,0,0,0,0.005,0.016322264,0,2,0,0,0,0,0,0,0,0,0,0,0,524
92,119816.2968923,4404.72434559,-92.30245274,0.0,-18.36390503,4253.5445691,531,0.0,0.005,13z1XPb2RLFG5qwGLSq67uKJhwcvhahAB2FDvJm6xwoG,0.27211458,0,0,0,-0.1945993,4.25e-06,0,0.0,4261.05876456,-0.23896337,0.0,-2,0,-8,-0.011322264,4193.99540168,-2,-2,1108,0,4269.25086027,0,0.0,2025-03-06 17:01:12.162000+00:00,110,marketContext_1741280472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25e-06,0.027644528,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.005,0.016322264,0,2,0,0,0,0,0,0,0,0,0,0,0,524
91,119816.2968923,4388.50692456,-92.30245274,0.0,-18.36390503,4253.5445691,532,0.0,0.005,13z1XPb2RLFG5qwGLSq67uKJhwcvhahAB2FDvJm6xwoG,0.27211458,0,0,0,-0.21681156,4.25e-06,0,0.0,4260.30480936,-0.23896337,0.0,-2,0,-8,-0.011322264,4193.99540168,-2,-2,1108,0,4269.63563041,0,0.0,2025-03-06 17:01:13.162000+00:00,110,marketContext_1741280473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25e-06,0.027644528,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.005,0.016322264,0,2,0,0,0,0,0,0,0,0,0,0,0,524
90,119816.2968923,4372.19215131,-92.30245274,0.0,-18.45379946,4253.5445691,533,0.0,0.005,13z1XPb2RLFG5qwGLSq67uKJhwcvhahAB2FDvJm6xwoG,0.27211458,0,0,0,-0.23896337,4.25e-06,0,0.0,4259.03773582,-0.23896337,0.0,-2,0,-8,-0.011322264,4193.99540168,-2,0,1108,0,4270.02040055,0,0.0,2025-03-06 17:01:14.162000+00:00,110,marketContext_1741280474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25e-06,0.027644528,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.005,0.016322264,0,2,0,0,0,0,0,0,0,0,0,0,0,524
