,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,81346.40944084,2877.03654094,-94.60883186,0.0,-0.03109762,2876.2507985,1090,0.0,0,14rZZtTzzwxxoX18W2BuLKUnXwQMAwRqEUQnhgE8Gtyy,-0.03109762,0,0,0,-0.02202755,2.88e-06,0,0.0,2876.60285805,-0.02202755,0,0,0,-1,0.0,2596.65044755,-1,0,33,0,2876.92755965,0,0.0,2025-03-08 02:05:41.605000+00:00,17,marketContext_1741399541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1090
98,81346.40944084,2877.01933471,-94.60883186,0.0,-0.03109762,2876.2507985,1091,0.0,0,14rZZtTzzwxxoX18W2BuLKUnXwQMAwRqEUQnhgE8Gtyy,-0.03109762,0,0,0,-0.02202755,2.88e-06,0,0.0,2876.53244614,-0.02202755,0,0,0,-1,0.0,2596.65044755,-1,0,33,0,2876.89314719,0,0.0,2025-03-08 02:05:42.636000+00:00,17,marketContext_1741399542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1090
97,81346.40944084,2877.00212849,-94.60883186,0.0,-0.03109762,2876.2507985,1092,0.0,0,14rZZtTzzwxxoX18W2BuLKUnXwQMAwRqEUQnhgE8Gtyy,-0.03109762,0,0,0,-0.02202755,2.88e-06,0,0.0,2876.46203423,0.0,0,0,0,-1,0.0,2596.65044755,-1,0,33,0,2876.85873474,0,0.0,2025-03-08 02:05:43.859000+00:00,17,marketContext_1741399543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1090
96,81346.40944084,2876.98492226,-94.60883186,0.0,-0.03109762,2876.2507985,1093,0.0,0,14rZZtTzzwxxoX18W2BuLKUnXwQMAwRqEUQnhgE8Gtyy,-0.03109762,0,0,0,-0.02202755,2.88e-06,0,0.0,2876.39162232,0.0,0,0,0,-1,0.0,2596.65044755,-1,0,33,0,2876.82432229,0,0.0,2025-03-08 02:05:44.943000+00:00,17,marketContext_1741399544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1090
95,81346.40944084,2876.96771604,-94.60883186,0.0,-0.03109762,2876.2507985,1095,0.0,0,14rZZtTzzwxxoX18W2BuLKUnXwQMAwRqEUQnhgE8Gtyy,-0.03109762,0,0,0,-0.02202755,2.88e-06,0,0.0,2876.32121041,0.0,0,0,0,-1,0.0,2596.65044755,-1,0,33,0,2876.78990984,0,0.0,2025-03-08 02:05:46.004000+00:00,17,marketContext_1741399546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1090
94,81346.40944084,2876.95050981,-94.60883186,0.0,-0.03109762,2876.2507985,1096,0.0,0,14rZZtTzzwxxoX18W2BuLKUnXwQMAwRqEUQnhgE8Gtyy,-0.03109762,0,0,0,-0.02202755,2.88e-06,0,0.0,2876.31416921,0.0,0,0,0,-1,0.0,2596.65044755,-1,0,33,0,2876.75549739,0,0.0,2025-03-08 02:05:47.035000+00:00,17,marketContext_1741399547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1090
93,81346.40944084,2876.93330359,-94.60883186,0.0,-0.03109762,2876.2507985,1097,0.0,0,14rZZtTzzwxxoX18W2BuLKUnXwQMAwRqEUQnhgE8Gtyy,-0.03109762,0,0,0,0.0,2.88e-06,0,0.0,2876.2507985,0.0,0,0,0,-1,0.0,2596.65044755,-1,0,33,0,2876.72108494,0,0.0,2025-03-08 02:05:48.330000+00:00,17,marketContext_1741399548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1090
92,81346.40944084,2876.91609736,-94.60883186,0.0,-0.03109762,2876.2507985,1098,0.0,0,14rZZtTzzwxxoX18W2BuLKUnXwQMAwRqEUQnhgE8Gtyy,-0.03109762,0,0,0,0.0,2.88e-06,0,0.0,2876.2507985,0.0,0,0,0,-1,0.0,2596.65044755,-1,0,33,0,2876.68667248,0,0.0,2025-03-08 02:05:49.377000+00:00,17,marketContext_1741399549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1090
91,81346.40944084,2876.89889113,-94.60883186,0.0,-0.03109762,2876.2507985,1099,0.0,0,14rZZtTzzwxxoX18W2BuLKUnXwQMAwRqEUQnhgE8Gtyy,-0.03109762,0,0,0,0.0,2.88e-06,0,0.0,2876.2507985,0.0,0,0,0,-1,0.0,2596.65044755,-1,0,33,0,2876.65226003,0,0.0,2025-03-08 02:05:50.499000+00:00,17,marketContext_1741399550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1090
90,81346.40944084,2876.88168491,-94.60883186,0.0,-0.03109762,2876.2507985,1100,0.0,0,14rZZtTzzwxxoX18W2BuLKUnXwQMAwRqEUQnhgE8Gtyy,-0.03109762,0,0,0,0.0,2.88e-06,0,0.0,2876.2507985,0.0,0,0,0,-1,0.0,2596.65044755,-1,0,33,0,2876.61784758,0,0.0,2025-03-08 02:05:51.592000+00:00,17,marketContext_1741399551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1090
89,81346.40944084,2876.86447868,-94.60883186,0.0,-0.03109762,2876.2507985,1101,0.0,0,14rZZtTzzwxxoX18W2BuLKUnXwQMAwRqEUQnhgE8Gtyy,-0.03109762,0,0,0,0.0,2.88e-06,0,0.0,2876.2507985,0.0,0,0,0,-1,0.0,2596.65044755,-1,0,33,0,2876.58343513,0,0.0,2025-03-08 02:05:52.754000+00:00,17,marketContext_1741399552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1090
88,81346.40944084,2876.84727246,-94.60883186,0.0,-0.03109762,2876.2507985,1102,0.0,0,14rZZtTzzwxxoX18W2BuLKUnXwQMAwRqEUQnhgE8Gtyy,-0.03109762,0,0,0,0.0,2.88e-06,0,0.0,2876.2507985,0.0,0,0,0,-1,0.0,2596.65044755,-1,0,33,0,2876.54902268,0,0.0,2025-03-08 02:05:53.787000+00:00,17,marketContext_1741399553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1090
87,81346.40944084,2876.83006623,-94.60883186,0.0,-0.03109762,2876.2507985,1103,0.0,0,14rZZtTzzwxxoX18W2BuLKUnXwQMAwRqEUQnhgE8Gtyy,-0.03109762,0,0,0,0.0,2.88e-06,0,0.0,2876.2507985,0.0,0,0,0,-1,0.0,2596.65044755,0,0,33,0,2876.53797734,0,0.0,2025-03-08 02:05:54.789000+00:00,17,marketContext_1741399554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1090
86,81346.40944084,2876.81286001,-94.60883186,0.0,-0.03109762,2876.2507985,1104,0.0,0,14rZZtTzzwxxoX18W2BuLKUnXwQMAwRqEUQnhgE8Gtyy,-0.03109762,0,0,0,0.0,2.88e-06,0,0.0,2876.2507985,0.0,0,0,0,-1,0.0,2596.65044755,0,0,33,0,2876.50483942,0,0.0,2025-03-08 02:05:55.937000+00:00,17,marketContext_1741399555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1090
85,81346.40944084,2876.80225507,-94.60883186,0.0,-0.03109762,2876.2507985,1105,0.0,0,14rZZtTzzwxxoX18W2BuLKUnXwQMAwRqEUQnhgE8Gtyy,-0.03109762,0,0,0,0.0,2.88e-06,0,0.0,2876.2507985,0.0,0,0,0,-1,0.0,2596.65044755,0,0,33,0,2876.47170151,0,0.0,2025-03-08 02:05:56.962000+00:00,17,marketContext_1741399556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1090
84,81346.40944084,2876.78537349,-94.60883186,0.0,-0.03109762,2876.2507985,1106,0.0,0,14rZZtTzzwxxoX18W2BuLKUnXwQMAwRqEUQnhgE8Gtyy,-0.03109762,0,0,0,0.0,2.88e-06,0,0.0,2876.2507985,0.0,0,0,0,-1,0.0,2596.65044755,0,0,33,0,2876.43856359,0,0.0,2025-03-08 02:05:57.999000+00:00,17,marketContext_1741399557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1090
