,athMarketCap,maMarketCap60s,priceChangeFromStart,timeFromStart,trade_last5Seconds.tradeCount.buy.small,marketCap,marketCapChange60s,trade_last10Seconds.tradeCount.buy.medium,priceChangePercent,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.tradeCount.buy.large,largeBuy10s,marketCapChange10s,trade_last10Seconds.volume.buy,largeBuy5s,maMarketCap10s,netVolume10s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,trade_last10Seconds.tradeCount.buy.super,holderDelta5s,trade_last10Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.small,originalTimestamp,trade_last10Seconds.tradeCount.bot,trade_last5Seconds.tradeCount.sell.big,initialHoldersCount,trade_last10Seconds.volume.sell,trade_last10Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,buyVolume10s,creationTime,poolAddress,marketCapChange30s,superBuy5s,bigBuy5s,netVolume5s,currentPrice,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.sell.small,marketCapChange5s,buyVolume5s,trade_last5Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,minMarketCap,holderDelta30s,trade_last10Seconds.tradeCount.buy.big,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,trade_last5Seconds.tradeCount.bot,timestamp,doc_id,lastPrice,totalVolume
99,622205.6429256648,25717.4964820711,-71.0610815367723,836,1,26411.292083892225,4.7511619615142395,0,0.5626045330948662,0,0,0,0,0.05949,0.051936318,0,0,0.4851966490606183,0.05949,0,26282.198005646493,-0.178323466,0,0,0,0,0,0,0,0,0,2,2025-01-30 21:18:23.810000+00:00,0,0,230,0.237813466,0,0,0.05949,2025-01-30T21:04:27.000Z,21xKHbq65nPWYQYS5o3kXrfU9A7TgCwfLP8Cu9tPNP8o,3.5208234129815166,0,0,0.007553682,2.64112920838e-05,0,0,3,0.5626045330948662,0.05949,0,1,21191.20874967748,0,0,649,0,25912.84216829945,0,0,2025-01-30 21:18:23.810000+00:00,marketContext_0000000687,2.64112920838e-05,0.007553682
98,622205.6429256648,25743.834880667215,-70.93070153585705,838,2,26530.28423940234,5.223102770559011,0,0.4505351541762983,0,0,0,0,0.15949,0.051936318,0,0,1.0156744184717463,0.15949,0,26309.589127687537,0.107553682,0,0,0,0,0,0,0,0,0,2,2025-01-30 21:18:25.038000+00:00,0,0,230,0.051936318,0,0,0.15949,2025-01-30T21:04:27.000Z,21xKHbq65nPWYQYS5o3kXrfU9A7TgCwfLP8Cu9tPNP8o,3.9872211143497664,0,0,0.107553682,2.65302842394e-05,0,0,2,1.0156744184717463,0.15949,0,2,21191.20874967748,0,0,649,0,25951.967578412885,0,0,2025-01-30 21:18:25.038000+00:00,marketContext_0000000688,2.64112920838e-05,0.115107364
97,622205.6429256648,25769.99129677177,-70.94067146930126,839,3,26521.185114824253,5.187014272148566,0,-0.03429712435788621,0,0,0,0,0.25949,0.051936318,0,0,0.9810289469954856,0.25949,0,26338.217222574465,0.207553682,0,0,0,0,0,0,0,0,0,2,2025-01-30 21:18:26.119000+00:00,0,0,230,0.051936318,0,0,0.25949,2025-01-30T21:04:27.000Z,21xKHbq65nPWYQYS5o3kXrfU9A7TgCwfLP8Cu9tPNP8o,3.951556487807867,0,0,0.207553682,2.65211851148e-05,0,0,2,0.9810289469954856,0.25949,0,3,21191.20874967748,0,0,649,0,25990.743022196395,0,0,2025-01-30 21:18:26.119000+00:00,marketContext_0000000689,2.65302842394e-05,0.322661046
96,622205.6429256648,25796.14771287632,-70.94067146930126,840,3,26521.185114824253,5.187014272148566,0,0.0,0,0,0,0,0.25949,0.0,0,0,0.9810289469954856,0.25949,0,26366.845317461393,0.207553682,0,0,0,0,0,0,0,0,0,0,2025-01-30 21:18:27.359000+00:00,0,0,230,0.051936318,0,0,0.25949,2025-01-30T21:04:27.000Z,21xKHbq65nPWYQYS5o3kXrfU9A7TgCwfLP8Cu9tPNP8o,3.951556487807867,0,0,0.25949,2.65211851148e-05,0,0,2,0.9810289469954856,0.25949,0,3,21191.20874967748,0,0,649,0,26029.518465979905,0,0,2025-01-30 21:18:27.359000+00:00,marketContext_0000000690,2.65211851148e-05,0.582151046
95,622205.6429256648,25834.73147223361,-70.94067146930126,842,2,26521.185114824253,5.187014272148566,0,0.0,0,0,0,0,0.2,0.0,0,0,0.9810289469954856,0.25949,0,26395.473412348325,0.207553682,0,0,0,0,0,0,0,0,0,0,2025-01-30 21:18:29.052000+00:00,0,0,230,0.051936318,0,0,0.25949,2025-01-30T21:04:27.000Z,21xKHbq65nPWYQYS5o3kXrfU9A7TgCwfLP8Cu9tPNP8o,4.212486303764005,0,0,0.2,2.65211851148e-05,0,0,2,0.4160835092163082,0.2,0,3,21191.20874967748,0,0,649,0,26068.293909763415,0,0,2025-01-30 21:18:29.052000+00:00,marketContext_0000000691,2.65211851148e-05,0.7821510460000001
94,622205.6429256648,25848.46054508542,-70.94067146930126,843,0,26521.185114824253,5.187014272148566,0,0.0,0,0,0,0,0.0,0.0,0,0,0.9810289469954856,0.25949,0,26424.101507235253,0.207553682,0,0,0,0,0,0,0,0,0,0,2025-01-30 21:18:30.253000+00:00,0,0,230,0.051936318,0,0,0.25949,2025-01-30T21:04:27.000Z,21xKHbq65nPWYQYS5o3kXrfU9A7TgCwfLP8Cu9tPNP8o,4.212486303764005,0,0,0.0,2.65211851148e-05,0,0,2,-0.0342971243578862,0.0,0,3,21191.20874967748,0,0,649,0,26109.526282130795,0,0,2025-01-30 21:18:30.253000+00:00,marketContext_0000000692,2.65211851148e-05,0.7821510460000001
93,622205.6429256648,25874.61696118997,-70.94067146930126,844,0,26521.185114824253,5.187014272148566,0,0.0,0,0,0,0,0.0,0.0,0,0,0.9810289469954856,0.25949,0,26476.379269782217,0.207553682,0,0,0,0,0,0,0,0,0,0,2025-01-30 21:18:31.459000+00:00,0,0,230,0.051936318,0,0,0.25949,2025-01-30T21:04:27.000Z,21xKHbq65nPWYQYS5o3kXrfU9A7TgCwfLP8Cu9tPNP8o,4.212486303764005,0,0,0.0,2.65211851148e-05,0,0,2,0.0,0.0,0,3,21191.20874967748,0,0,649,0,26150.758654498175,0,0,2025-01-30 21:18:31.459000+00:00,marketContext_0000000693,2.65211851148e-05,0.7821510460000001
92,622205.6429256648,25900.773377294525,-70.94067146930126,845,0,26521.185114824253,5.187014272148566,0,0.0,0,0,0,0,0.0,0.0,0,0,0.9810289469954856,0.25949,0,26481.35769700911,0.25949,0,0,0,0,0,0,0,0,0,0,2025-01-30 21:18:32.568000+00:00,0,0,230,0.0,0,0,0.25949,2025-01-30T21:04:27.000Z,21xKHbq65nPWYQYS5o3kXrfU9A7TgCwfLP8Cu9tPNP8o,4.212486303764005,0,0,0.0,2.65211851148e-05,0,0,0,0.0,0.0,0,3,21191.20874967748,0,0,649,0,26191.99102686555,0,0,2025-01-30 21:18:32.568000+00:00,marketContext_0000000694,2.65211851148e-05,0.7821510460000001
91,622205.6429256648,25926.929793399075,-70.94067146930126,846,0,26521.185114824253,5.187014272148566,0,0.0,0,0,0,0,0.0,0.0,0,0,0.4160835092163082,0.2,0,26522.32250539651,0.2,0,0,0,0,0,0,0,0,0,0,2025-01-30 21:18:33.875000+00:00,0,0,230,0.0,0,0,0.2,2025-01-30T21:04:27.000Z,21xKHbq65nPWYQYS5o3kXrfU9A7TgCwfLP8Cu9tPNP8o,4.212486303764005,0,0,0.0,2.65211851148e-05,0,0,0,0.0,0.0,0,2,21191.20874967748,0,0,649,0,26264.586597871352,0,0,2025-01-30 21:18:33.875000+00:00,marketContext_0000000695,2.65211851148e-05,0.7821510460000001
90,622205.6429256648,25953.08620950363,-70.94067146930126,847,0,26521.185114824253,5.187014272148566,0,0.0,0,0,0,0,0.0,0.0,0,0,-0.0342971243578862,0.1,0,26522.196128666263,0.1,0,0,0,0,0,0,0,0,0,0,2025-01-30 21:18:34.934000+00:00,0,0,230,0.0,0,0,0.1,2025-01-30T21:04:27.000Z,21xKHbq65nPWYQYS5o3kXrfU9A7TgCwfLP8Cu9tPNP8o,4.212486303764005,0,0,0.0,2.65211851148e-05,0,0,0,0.0,0.0,0,1,21191.20874967748,0,0,649,0,26307.46826513343,0,0,2025-01-30 21:18:34.934000+00:00,marketContext_0000000696,2.65211851148e-05,0.7821510460000001
