,athMarketCap,maMarketCap60s,priceChangeFromStart,timeFromStart,trade_last5Seconds.tradeCount.buy.small,marketCap,marketCapChange60s,trade_last10Seconds.tradeCount.buy.medium,priceChangePercent,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.tradeCount.buy.large,largeBuy10s,marketCapChange10s,trade_last10Seconds.volume.buy,largeBuy5s,maMarketCap10s,netVolume10s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,trade_last10Seconds.tradeCount.buy.super,holderDelta5s,trade_last10Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.small,originalTimestamp,trade_last10Seconds.tradeCount.bot,trade_last5Seconds.tradeCount.sell.big,initialHoldersCount,trade_last10Seconds.volume.sell,trade_last10Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,buyVolume10s,creationTime,poolAddress,marketCapChange30s,superBuy5s,bigBuy5s,netVolume5s,currentPrice,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.sell.small,marketCapChange5s,buyVolume5s,trade_last5Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,minMarketCap,holderDelta30s,trade_last10Seconds.tradeCount.buy.big,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,trade_last5Seconds.tradeCount.bot,timestamp,doc_id,lastPrice,totalVolume
99,199114.54841632253,61271.75234357882,-25.528871401044395,1098,1,63630.871432118685,24.167267853169378,3,0.0,0,0,0,0,1.462890553,0.0,0,0,2.688809183894471,2.63377196,0,62931.44918905988,1.370451673,3,0,16,0,1,0,0,0,0,0,2025-02-01 19:19:54.740000+00:00,0,0,880,1.263320287,1,0,2.63377196,2025-02-01T19:01:36.000Z,21y4tUztpkdwFk3tTeEJvheYmYBrAouQCSfFDZX87JwD,19.44507269402802,0,0,1.462890553,6.36308714321e-05,0,2,2,2.847203148038354,1.462890553,0,6,28246.567947430744,12,0,911,0,60883.271985651394,0,0,2025-02-01 19:19:54.740000+00:00,marketContext_0000001092,6.36308714321e-05,1.462890553
98,199114.54841632253,61489.02918823695,-25.528871401044395,1099,1,63630.871432118685,24.167267853169378,3,0.0,0,0,0,0,0.792294252,0.0,0,0,2.816194001496529,2.56877196,0,63105.73776312879,1.3904615,3,0,16,0,0,0,0,0,0,0,2025-02-01 19:19:55.803000+00:00,0,0,880,1.17831046,1,0,2.56877196,2025-02-01T19:01:36.000Z,21y4tUztpkdwFk3tTeEJvheYmYBrAouQCSfFDZX87JwD,18.62584323423659,0,0,0.792294252,6.36308714321e-05,0,1,1,0.8657604199665031,0.792294252,0,4,28246.567947430744,12,0,911,0,60974.85863386697,0,0,2025-02-01 19:19:55.803000+00:00,marketContext_0000001093,6.36308714321e-05,2.255184805
97,199114.54841632253,61706.30603289509,-25.528871401044395,1100,0,63630.871432118685,20.476433577598627,2,0.0,0,0,0,0,0.0,0.0,0,0,1.270068168858964,1.584890553,0,63185.539767634145,1.370720749,2,0,13,0,0,0,0,0,0,0,2025-02-01 19:19:56.804000+00:00,0,0,880,0.214169804,0,0,1.584890553,2025-02-01T19:01:36.000Z,21y4tUztpkdwFk3tTeEJvheYmYBrAouQCSfFDZX87JwD,18.62584323423659,0,0,0.0,6.36308714321e-05,0,0,1,0.5752017035369817,0.0,0,4,28246.567947430744,11,0,911,0,61307.88854928269,0,0,2025-02-01 19:19:56.804000+00:00,marketContext_0000001094,6.36308714321e-05,2.255184805
96,199114.54841632253,61896.0400620782,-25.528871401044395,1101,0,63630.871432118685,19.533313451069112,2,0.0,0,0,0,0,0.0,0.0,0,0,-0.256569961546316,1.584890553,0,63169.172002629275,1.584890553,2,0,13,0,0,0,0,0,0,0,2025-02-01 19:19:57.803000+00:00,0,0,880,0.0,0,0,1.584890553,2025-02-01T19:01:36.000Z,21y4tUztpkdwFk3tTeEJvheYmYBrAouQCSfFDZX87JwD,18.62584323423659,0,0,0.0,6.36308714321e-05,0,0,0,0.0,0.0,0,4,28246.567947430744,11,0,911,0,61640.918464698414,0,0,2025-02-01 19:19:57.803000+00:00,marketContext_0000001095,6.36308714321e-05,2.255184805
95,199114.54841632253,62078.463222847626,-25.528871401044395,1103,0,63630.871432118685,18.611499124837188,2,0.0,0,0,0,0,0.0,0.49182379,0,0,2.847203148038354,1.464890553,0,63363.709385636015,0.973066763,1,0,13,0,0,0,0,0,0,1,2025-02-01 19:19:59.288000+00:00,0,0,880,0.49182379,0,0,1.464890553,2025-02-01T19:01:36.000Z,21y4tUztpkdwFk3tTeEJvheYmYBrAouQCSfFDZX87JwD,11.157952089740071,0,0,-0.49182379,6.36308714321e-05,0,0,1,0.0,0.0,0,2,28246.567947430744,9,0,911,0,61962.728257909504,0,0,2025-02-01 19:19:59.288000+00:00,marketContext_0000001096,6.36308714321e-05,2.7470085949999996
94,199114.54841632253,62252.801333218995,-25.584040256096632,1104,0,63583.733133170776,18.523630702189998,1,-0.07408086340323021,0,0,0,0,0.0,0.49182379,0,0,0.7910381937691583,0.792294252,0,63535.150095591154,0.300470462,0,0,12,0,0,0,0,0,0,1,2025-02-01 19:20:00.288000+00:00,0,0,880,0.49182379,0,0,0.792294252,2025-02-01T19:01:36.000Z,21y4tUztpkdwFk3tTeEJvheYmYBrAouQCSfFDZX87JwD,11.075605319090643,0,0,-0.49182379,6.35837331331e-05,0,0,1,-0.0740808634032302,0.0,0,1,28246.567947430744,7,0,911,0,62174.06429065774,0,0,2025-02-01 19:20:00.288000+00:00,marketContext_0000001097,6.36308714321e-05,3.2388323849999994
93,199114.54841632253,62427.13944359035,-25.584040256096632,1105,0,63583.733133170776,17.60002286006107,1,0.0,0,0,0,0,0.0,0.49182379,0,0,0.5006947257454613,0.692294252,0,63585.052509845555,0.200470462,0,0,12,0,0,0,0,0,0,1,2025-02-01 19:20:01.295000+00:00,0,0,880,0.49182379,0,0,0.692294252,2025-02-01T19:01:36.000Z,21y4tUztpkdwFk3tTeEJvheYmYBrAouQCSfFDZX87JwD,4.604285155124838,0,0,-0.49182379,6.35837331331e-05,0,0,1,-0.0740808634032302,0.0,0,0,28246.567947430744,7,0,911,0,62385.400323405986,0,0,2025-02-01 19:20:01.295000+00:00,marketContext_0000001098,6.35837331331e-05,3.730656174999999
92,199114.54841632253,62543.58307623305,-28.953109053016792,1106,0,60705.07683379792,12.275861633108827,1,-4.527347102039058,0,0,0,0,0.6,2.737279064,0,0,-4.598074067619836,0.6,0,63328.864312497026,-2.137279064,0,0,12,0,0,1,0,0,0,2,2025-02-01 19:20:02.295000+00:00,0,0,880,2.737279064,0,1,0.6,2025-02-01T19:01:36.000Z,21y4tUztpkdwFk3tTeEJvheYmYBrAouQCSfFDZX87JwD,-0.2334666558705911,0,0,-2.137279064,6.07050768337e-05,0,1,2,-4.598074067619836,0.6,0,0,28246.567947430744,7,0,911,0,62382.73563147732,0,0,2025-02-01 19:20:02.295000+00:00,marketContext_0000001099,6.35837331331e-05,5.8679352389999995
91,199114.54841632253,62660.02670887575,-28.953109053016792,1107,0,60705.07683379792,12.285771467958607,1,0.0,0,0,0,0,0.6,2.737279064,0,0,-4.598074067619836,0.6,0,63036.284852664954,-2.137279064,1,0,13,0,1,1,0,0,0,2,2025-02-01 19:20:03.335000+00:00,0,0,880,2.737279064,0,1,0.6,2025-02-01T19:01:36.000Z,21y4tUztpkdwFk3tTeEJvheYmYBrAouQCSfFDZX87JwD,-0.3501324980598138,0,0,-2.137279064,6.07050768337e-05,0,1,2,-4.598074067619836,0.6,0,0,28246.567947430744,8,0,912,0,62378.00037246553,0,0,2025-02-01 19:20:03.335000+00:00,marketContext_0000001100,6.07050768337e-05,8.005214302999999
90,199114.54841632253,62932.11073847395,-28.953109053016792,1108,1,60705.07683379792,12.280866159383253,1,0.0,0,0,0,0,0.632533318,2.245455274,0,0,-4.598074067619836,0.632533318,0,62743.705392832875,-2.104745746,1,0,12,0,1,1,0,0,0,1,2025-02-01 19:20:04.654000+00:00,0,0,880,2.737279064,0,1,0.632533318,2025-02-01T19:01:36.000Z,21y4tUztpkdwFk3tTeEJvheYmYBrAouQCSfFDZX87JwD,-0.3501324980598138,0,0,-1.612921956,6.07050768337e-05,0,1,2,-4.598074067619836,0.632533318,0,1,28246.567947430744,8,0,912,0,62370.8905385609,0,0,2025-02-01 19:20:04.654000+00:00,marketContext_0000001101,6.07050768337e-05,9.618136259
