,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,334977.51867876,308006.30068494,512.38941976,0.0,22.88594263,320203.2753794,570,0.4617066060044067,0,22CAFtTjoagBGUTBrFd2JKnEKoqptYjmQZyyhMN5bhJK,-4.41051786,0,0,0,-3.31981912,0.0003202,0,0,320936.79911552,0.91409858,0,7,0,53,0,35893.02630426,8,3,1807,0,317333.41433392,0,0.0,2025-03-08 18:17:49.266000+00:00,26,marketContext_1741457869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003202,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,570
98,334977.51867876,308966.69369259,503.0346401,0.0,17.81221805,315311.89256004,571,-1.5275867536204595,0,22CAFtTjoagBGUTBrFd2JKnEKoqptYjmQZyyhMN5bhJK,-0.37971057,0,0,0,-5.61975828,0.00031531,0,0,319059.31227427,-0.60606667,0,7,0,53,0,35893.02630426,8,0,1807,0,317291.97170988,0,0.0,2025-03-08 18:17:50.265000+00:00,26,marketContext_1741457870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003202,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,570
97,334977.51867876,309803.05352339,503.0346401,0.0,17.81221805,315311.89256004,572,0.0,0,22CAFtTjoagBGUTBrFd2JKnEKoqptYjmQZyyhMN5bhJK,-0.72941137,0,0,0,-0.89247965,0.00031531,0,0,318775.36868684,-2.76373507,0,3,0,52,0,35893.02630426,2,0,1807,0,317212.08136739,0,0.0,2025-03-08 18:17:51.267000+00:00,26,marketContext_1741457871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031531,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,570
96,334977.51867876,310664.10779095,505.72664527,0.0,13.7005226,316719.47545598,573,0.44640970707282457,0,22CAFtTjoagBGUTBrFd2JKnEKoqptYjmQZyyhMN5bhJK,-2.51814294,0,0,0,1.38438264,0.00031672,0,0,319207.84253635,-4.61443829,0,3,0,52,0,35893.02630426,2,0,1807,0,316929.96170395,0,0.0,2025-03-08 18:17:52.268000+00:00,26,marketContext_1741457872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031531,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,570
95,334977.51867876,311472.90074047,520.90729998,0.0,23.52931236,324657.06418992,574,2.5061890250074144,0,22CAFtTjoagBGUTBrFd2JKnEKoqptYjmQZyyhMN5bhJK,3.96590737,0,0,0,3.08289029,0.00032466,0,0,320178.79136044,1.85905404,0,4,0,52,0,35893.02630426,3,1,1808,0,317187.53178682,0,0.0,2025-03-08 18:17:53.267000+00:00,26,marketContext_1741457873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031672,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,570
94,334977.51867876,312562.8319033,521.45589539,0.0,21.21890142,324943.91115663,575,0.08835383496920096,0,22CAFtTjoagBGUTBrFd2JKnEKoqptYjmQZyyhMN5bhJK,4.05776524,0,0,0,2.4081401,0.00032494,0,0,320942.9009915,1.48050821,0,4,0,52,0,35893.02630426,3,1,1808,0,317609.90811623,0,0.0,2025-03-08 18:17:54.266000+00:00,26,marketContext_1741457874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032466,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,570
93,334977.51867876,313560.72978146,521.45589539,0.0,11.55482955,324943.91115663,576,0.0,0,22CAFtTjoagBGUTBrFd2JKnEKoqptYjmQZyyhMN5bhJK,3.00056147,0,0,0,2.43017851,0.00032494,0,0,321713.83756579,3.05475906,0,2,0,59,0,35893.02630426,4,2,1809,0,317925.444966,0,0.0,2025-03-08 18:17:55.267000+00:00,26,marketContext_1741457875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032494,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,570
92,336683.65836719,314357.17504723,543.90818597,0.0,16.28239731,336683.65836719,577,3.6128534210004966,0,22CAFtTjoagBGUTBrFd2JKnEKoqptYjmQZyyhMN5bhJK,6.81623383,0,0,0,3.82691606,0.00033668,0,0,322954.8068146,6.77797645,0,2,0,59,0,35893.02630426,4,1,1809,0,318641.60157098,0,0.0,2025-03-08 18:17:56.267000+00:00,26,marketContext_1741457876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032494,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,570
91,336683.65836719,314994.08167121,523.17605116,0.0,8.32676271,325843.33804658,578,-3.21973462364529,0,22CAFtTjoagBGUTBrFd2JKnEKoqptYjmQZyyhMN5bhJK,6.68278951,0,0,0,-1.86662887,0.00032584,0,0,322335.00890751,2.88073936,0,2,0,59,0,35893.02630426,4,1,1809,0,319321.98074371,0,0.0,2025-03-08 18:17:57.268000+00:00,26,marketContext_1741457877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033668,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,570
90,336683.65836719,314994.08167121,523.17605116,0.0,8.32676271,325843.33804658,579,-3.21973462364529,0,22CAFtTjoagBGUTBrFd2JKnEKoqptYjmQZyyhMN5bhJK,6.68278951,0,0,0,-1.86662887,0.00032584,0,0,322335.00890751,2.88073936,0,2,0,59,0,35893.02630426,4,0,1809,0,319321.98074371,0,0.0,2025-03-08 18:17:58.267000+00:00,26,marketContext_1741457878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032584,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,570
