,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,78001.62757854,40253.16250126,-24.48638951,0.0,4.15293891,39778.91681174,1102,-0.019447725428834294,0,22WXWaztSRyyAHTKu2yf3LJA2mp5QCz3YAeiiFrh3J2a,-6.52843405,0,0,0,4.65734441,3.978e-05,0,0,39469.09198432,0.17664903,0,3,0,8,0,15862.9049646,2,1,444,0,40501.3631208,0,0.0,2025-03-09 03:53:30.712000+00:00,416,marketContext_1741492410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.978e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
98,78001.62757854,40253.16250126,-24.48638951,0.0,4.15293891,39778.91681174,1103,-0.019447725428834294,0,22WXWaztSRyyAHTKu2yf3LJA2mp5QCz3YAeiiFrh3J2a,-6.52843405,0,0,0,4.65734441,3.978e-05,0,0,39469.09198432,0.17664903,0,0,0,5,0,15862.9049646,-1,-2,441,0,40501.3631208,0,0.0,2025-03-09 03:53:31.711000+00:00,416,marketContext_1741492411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.978e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
97,78001.62757854,40219.39887751,-35.66893586,0.0,-9.87896798,33888.19620747,1104,-14.808650100110084,0,22WXWaztSRyyAHTKu2yf3LJA2mp5QCz3YAeiiFrh3J2a,-20.26390122,0,0,0,-14.17326466,3.389e-05,0,0,38954.0265325,-14.70594124,0,0,0,5,0,15862.9049646,2,-3,441,0,39995.5880463,0,0.0,2025-03-09 03:53:32.712000+00:00,416,marketContext_1741492412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.978e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
96,78001.62757854,40120.94080453,-35.67787302,0.0,-12.46371245,33883.48830919,1105,-0.013892442832517343,0,22WXWaztSRyyAHTKu2yf3LJA2mp5QCz3YAeiiFrh3J2a,-18.38325413,0,0,0,-14.18518809,3.388e-05,0,0,38253.90897086,-14.71779067,0,-2,0,5,0,15862.9049646,2,-3,441,0,39717.76533097,0,0.0,2025-03-09 03:53:33.711000+00:00,416,marketContext_1741492413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.389e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
95,78001.62757854,40027.44819115,-35.21599445,0.0,-11.83513971,34126.79582936,1106,0.7180710496832,0,22WXWaztSRyyAHTKu2yf3LJA2mp5QCz3YAeiiFrh3J2a,-17.7971879,0,0,0,-13.65378994,3.413e-05,0,0,37579.35692454,-14.22552025,0,-2,0,4,0,15862.9049646,2,0,441,0,39381.92136917,0,0.0,2025-03-09 03:53:34.712000+00:00,416,marketContext_1741492414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.388e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
94,78001.62757854,40027.44819115,-35.21599445,0.0,-11.83513971,34126.79582936,1107,0.7180710496832,0,22WXWaztSRyyAHTKu2yf3LJA2mp5QCz3YAeiiFrh3J2a,-17.7971879,0,0,0,-13.65378994,3.413e-05,0,0,37579.35692454,-14.22552025,0,4,0,10,0,15862.9049646,8,6,447,0,39381.92136917,0,0.0,2025-03-09 03:53:35.711000+00:00,416,marketContext_1741492415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.413e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
93,78001.62757854,39948.40109301,-34.12782272,0.0,-12.23517982,34700.02087507,1108,1.6796919598811049,0,22WXWaztSRyyAHTKu2yf3LJA2mp5QCz3YAeiiFrh3J2a,-15.43573801,0,0,0,-12.66263919,3.47e-05,0,0,36953.26307749,2.39559716,0,4,0,8,0,15862.9049646,8,6,447,0,39072.13309126,0,0.0,2025-03-09 03:53:36.711000+00:00,416,marketContext_1741492416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.413e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
92,78001.62757854,39843.20279695,-34.53033238,0.0,-12.77146372,34487.9875962,1109,-0.6110465455818094,0,22WXWaztSRyyAHTKu2yf3LJA2mp5QCz3YAeiiFrh3J2a,-15.95246501,0,0,0,-13.19631111,3.449e-05,0,0,36297.88451601,1.76991241,0,2,0,7,0,15862.9049646,7,5,446,0,38774.59128643,0,0.0,2025-03-09 03:53:37.713000+00:00,416,marketContext_1741492417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
91,78001.62757854,39750.66402835,-32.38351797,0.0,-11.08781447,35618.88242693,1110,3.2790977657975358,0,22WXWaztSRyyAHTKu2yf3LJA2mp5QCz3YAeiiFrh3J2a,-13.19646417,0,0,0,-10.34993329,3.562e-05,0,0,35783.86780838,5.12165129,0,2,0,6,0,15862.9049646,8,-1,446,0,38528.45379209,0,0.0,2025-03-09 03:53:38.713000+00:00,416,marketContext_1741492418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.449e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
90,78001.62757854,39657.97819466,-32.39831737,0.0,-11.10563979,35611.08642637,1111,-0.021887268856713202,0,22WXWaztSRyyAHTKu2yf3LJA2mp5QCz3YAeiiFrh3J2a,-13.2154631,0,0,0,-10.49489596,3.561e-05,0,0,35764.66987704,4.34934063,0,5,0,6,0,15862.9049646,8,-1,446,0,38281.96193409,0,0.0,2025-03-09 03:53:39.712000+00:00,416,marketContext_1741492419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.562e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
