,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,111514.02749357,89706.43323477,61.00728249,0.0,-22.28288055,78186.7133739,1101,-6.217126446924353,0,23zosUavsd9YkscbumradZER4JyqhLHVy24zBL1XbjCy,-13.64807931,0,0,0,-4.45865628,7.819e-05,0,0,81239.25919478,-5.42793158,0,-4,0,-34,0,46554.73741783,-10,0,717,0,83133.62452187,0,0.0,2025-03-11 21:17:38.148000+00:00,297,marketContext_1741727858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.819e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
98,111514.02749357,89586.73309212,75.36266518,0.0,-14.32818471,85157.82781401,1102,8.91598346993369,0,23zosUavsd9YkscbumradZER4JyqhLHVy24zBL1XbjCy,-5.94895633,0,0,0,9.0718283,8.516e-05,0,0,81713.88088765,3.00409841,0,-5,0,-33,0,46554.73741783,-6,0,717,0,82850.1277384,0,0.0,2025-03-11 21:17:39.157000+00:00,297,marketContext_1741727859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.819e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
97,111514.02749357,89349.17347386,86.10165239,0.0,-9.0817514,90372.7851841,1103,6.12387317050915,0,23zosUavsd9YkscbumradZER4JyqhLHVy24zBL1XbjCy,0.09297425,0,0,0,15.75124873,9.037e-05,0,0,83470.70762183,8.41949007,0,-5,0,-33,0,46554.73741783,-6,0,717,0,82854.54591603,0,0.0,2025-03-11 21:17:40.164000+00:00,297,marketContext_1741727860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.516e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
96,111514.02749357,89403.39530442,88.3483939,0.0,-12.10634615,91463.82486573,1104,1.2072657486605576,0,23zosUavsd9YkscbumradZER4JyqhLHVy24zBL1XbjCy,5.32172299,0,0,0,12.66967,9.146e-05,0,0,84469.84727732,9.70841402,0,-1,0,-35,0,46554.73741783,-10,0,717,0,83285.00986351,0,0.0,2025-03-11 21:17:41.166000+00:00,297,marketContext_1741727861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.037e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
95,111514.02749357,89403.39530442,88.3483939,0.0,-12.10634615,91463.82486573,1105,1.2072657486605576,0,23zosUavsd9YkscbumradZER4JyqhLHVy24zBL1XbjCy,5.32172299,0,0,0,12.66967,9.146e-05,0,0,84469.84727732,9.70841402,0,-1,0,-35,0,46554.73741783,-10,0,717,0,83285.00986351,0,0.0,2025-03-11 21:17:42.162000+00:00,297,marketContext_1741727862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.146e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
94,111514.02749357,88728.08279481,91.04524768,0.0,-10.60289984,92773.44347857,1106,1.4318432612647662,0,23zosUavsd9YkscbumradZER4JyqhLHVy24zBL1XbjCy,5.95227245,0,0,0,12.21569581,9.277e-05,0,0,85919.18450199,18.65627736,0,2,0,-15,0,46554.73741783,-10,2,719,0,83372.09376364,0,0.0,2025-03-11 21:17:43.151000+00:00,297,marketContext_1741727863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.146e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
93,111514.02749357,88527.4702311,89.94588614,0.0,-7.63374633,92239.58274665,1107,-0.5754456360628804,0,23zosUavsd9YkscbumradZER4JyqhLHVy24zBL1XbjCy,6.81234438,0,0,0,11.56995548,9.224e-05,0,0,87114.85570836,8.3160352,0,2,0,-15,0,46554.73741783,-10,0,719,0,83815.46821279,0,0.0,2025-03-11 21:17:44.166000+00:00,297,marketContext_1741727864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.277e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
92,111514.02749357,88527.4702311,89.94588614,0.0,-7.63374633,92239.58274665,1108,-0.5754456360628804,0,23zosUavsd9YkscbumradZER4JyqhLHVy24zBL1XbjCy,6.81234438,0,0,0,11.56995548,9.224e-05,0,0,87114.85570836,8.3160352,0,-3,0,-23,0,46554.73741783,-17,-5,714,0,83815.46821279,0,0.0,2025-03-11 21:17:45.147000+00:00,297,marketContext_1741727865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.224e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
91,111514.02749357,88528.73506631,89.10497037,0.0,0.05236662,91831.22581119,1109,-0.44271333769387017,0,23zosUavsd9YkscbumradZER4JyqhLHVy24zBL1XbjCy,6.03865847,0,0,0,10.14910164,9.183e-05,0,0,88174.41630482,0.4016899,0,-3,0,-23,0,46554.73741783,-17,-5,714,0,84089.19605052,0,0.0,2025-03-11 21:17:46.162000+00:00,297,marketContext_1741727866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.224e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
90,111514.02749357,88294.62256948,85.85926577,0.0,-8.97241889,90255.07986805,1110,-1.7163507611050774,0,23zosUavsd9YkscbumradZER4JyqhLHVy24zBL1XbjCy,4.21866315,0,0,0,15.43531627,9.026e-05,0,0,89035.06039277,-2.71453071,0,-3,0,-21,0,46554.73741783,-16,-5,714,0,84271.86764126,0,0.0,2025-03-11 21:17:47.167000+00:00,297,marketContext_1741727867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.183e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
