,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,103330.04268382,3582.94847313,-93.36599251,0.0,-0.05602036,3582.27916296,1101,0.0,0,241cV46pieKtzfVhXV6us47BCoYc7R4HfejgdTZsXrdu,0.0,0,0,0,0.0,3.58e-06,0,0.0,3582.27916296,0.0,0,0,0,0,0.0,3577.41477056,0,0,40,0,3582.27916296,0,0.0,2025-03-05 15:40:55.605000+00:00,134,marketContext_1741189255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
98,103330.04268382,3582.91500762,-93.36599251,0.0,-0.05602036,3582.27916296,1102,0.0,0,241cV46pieKtzfVhXV6us47BCoYc7R4HfejgdTZsXrdu,0.0,0,0,0,0.0,3.58e-06,0,0.0,3582.27916296,0.0,0,0,0,0,0.0,3577.41477056,0,0,40,0,3582.27916296,0,0.0,2025-03-05 15:40:56.605000+00:00,134,marketContext_1741189256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
97,103330.04268382,3582.88154211,-93.36599251,0.0,-0.05602036,3582.27916296,1103,0.0,0,241cV46pieKtzfVhXV6us47BCoYc7R4HfejgdTZsXrdu,0.0,0,0,0,0.0,3.58e-06,0,0.0,3582.27916296,0.0,0,0,0,0,0.0,3577.41477056,0,0,40,0,3582.27916296,0,0.0,2025-03-05 15:40:57.605000+00:00,134,marketContext_1741189257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
96,103330.04268382,3582.84807661,-93.36599251,0.0,-0.05602036,3582.27916296,1104,0.0,0,241cV46pieKtzfVhXV6us47BCoYc7R4HfejgdTZsXrdu,0.0,0,0,0,0.0,3.58e-06,0,0.0,3582.27916296,0.0,0,0,0,0,0.0,3577.41477056,0,0,40,0,3582.27916296,0,0.0,2025-03-05 15:40:58.605000+00:00,134,marketContext_1741189258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
95,103330.04268382,3582.8146111,-93.36599251,0.0,-0.05602036,3582.27916296,1105,0.0,0,241cV46pieKtzfVhXV6us47BCoYc7R4HfejgdTZsXrdu,0.0,0,0,0,0.0,3.58e-06,0,0.0,3582.27916296,0.0,0,0,0,0,0.0,3577.41477056,0,0,40,0,3582.27916296,0,0.0,2025-03-05 15:40:59.606000+00:00,134,marketContext_1741189259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
94,103330.04268382,3582.78114559,-93.36599251,0.0,-0.05602036,3582.27916296,1106,0.0,0,241cV46pieKtzfVhXV6us47BCoYc7R4HfejgdTZsXrdu,0.0,0,0,0,0.0,3.58e-06,0,0.0,3582.27916296,0.0,0,0,0,0,0.0,3577.41477056,0,0,40,0,3582.27916296,0,0.0,2025-03-05 15:41:00.605000+00:00,134,marketContext_1741189260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
93,103330.04268382,3582.74768008,-93.36599251,0.0,-0.05602036,3582.27916296,1107,0.0,0,241cV46pieKtzfVhXV6us47BCoYc7R4HfejgdTZsXrdu,0.0,0,0,0,0.0,3.58e-06,0,0.0,3582.27916296,0.0,0,0,0,0,0.0,3577.41477056,0,0,40,0,3582.27916296,0,0.0,2025-03-05 15:41:01.635000+00:00,134,marketContext_1741189261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
92,103330.04268382,3582.71421457,-93.36599251,0.0,-0.05602036,3582.27916296,1108,0.0,0,241cV46pieKtzfVhXV6us47BCoYc7R4HfejgdTZsXrdu,0.0,0,0,0,0.0,3.58e-06,0,0.0,3582.27916296,0.0,0,0,0,0,0.0,3577.41477056,0,0,40,0,3582.27916296,0,0.0,2025-03-05 15:41:02.639000+00:00,134,marketContext_1741189262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
91,103330.04268382,3582.68074906,-93.36599251,0.0,-0.05602036,3582.27916296,1109,0.0,0,241cV46pieKtzfVhXV6us47BCoYc7R4HfejgdTZsXrdu,0.0,0,0,0,0.0,3.58e-06,0,0.0,3582.27916296,0.0,0,0,0,0,0.0,3577.41477056,0,0,40,0,3582.27916296,0,0.0,2025-03-05 15:41:03.639000+00:00,134,marketContext_1741189263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
90,103330.04268382,3582.64728356,-93.36599251,0.0,-0.05602036,3582.27916296,1110,0.0,0,241cV46pieKtzfVhXV6us47BCoYc7R4HfejgdTZsXrdu,0.0,0,0,0,0.0,3.58e-06,0,0.0,3582.27916296,0.0,0,0,0,0,0.0,3577.41477056,0,0,40,0,3582.27916296,0,0.0,2025-03-05 15:41:04.642000+00:00,134,marketContext_1741189264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
89,103330.04268382,3582.61381805,-93.36599251,0.0,-0.05602036,3582.27916296,1111,0.0,0,241cV46pieKtzfVhXV6us47BCoYc7R4HfejgdTZsXrdu,0.0,0,0,0,0.0,3.58e-06,0,0.0,3582.27916296,0.0,0,0,0,0,0.0,3577.41477056,0,0,40,0,3582.27916296,0,0.0,2025-03-05 15:41:05.643000+00:00,134,marketContext_1741189265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
