,athMarketCap,maMarketCap60s,priceChangeFromStart,timeFromStart,trade_last5Seconds.tradeCount.buy.small,marketCap,marketCapChange60s,trade_last10Seconds.tradeCount.buy.medium,priceChangePercent,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.tradeCount.buy.large,largeBuy10s,marketCapChange10s,trade_last10Seconds.volume.buy,largeBuy5s,maMarketCap10s,netVolume10s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,trade_last10Seconds.tradeCount.buy.super,holderDelta5s,trade_last10Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.small,originalTimestamp,trade_last10Seconds.tradeCount.bot,trade_last5Seconds.tradeCount.sell.big,initialHoldersCount,trade_last10Seconds.volume.sell,trade_last10Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,buyVolume10s,creationTime,poolAddress,marketCapChange30s,superBuy5s,bigBuy5s,netVolume5s,currentPrice,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.sell.small,marketCapChange5s,buyVolume5s,trade_last5Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,minMarketCap,holderDelta30s,trade_last10Seconds.tradeCount.buy.big,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,trade_last5Seconds.tradeCount.bot,timestamp,doc_id,lastPrice,totalVolume
99,367758.5174545014,283738.1587104795,150.10172389684087,562,0,213600.62215155375,-36.955800061884624,1,4.251000128724234,0,0,0,0,29.408075811,16.464105685,6,6,23.91837958461953,30.653075811,6,190944.60849939327,-8.808637187,0,0,-13,0,0,4,0,6,1,4,2025-02-01 19:22:34.226000+00:00,0,0,42,39.461712998,2,3,30.653075811,2025-02-01T19:13:12.000Z,24pHSsn1RNgVwZugHzFAGJMzD6kvraKxJMAJjutpeYUj,-32.44994238823466,0,0,12.943970126,0.0002136006221515,1,0,6,24.21640001886072,29.408075811,0,1,77386.56844625772,-18,0,255,0,219058.9574215792,0,0,2025-02-01 19:22:34.226000+00:00,marketContext_0000000548,0.0002136006221515,12.943970126
98,367758.5174545014,280308.37975801,152.46598825549344,563,1,215619.8338949611,-36.375734581863185,2,0.9453210964782286,0,0,0,0,18.518276653,16.60310817,5,7,25.089806169246906,34.713075811,5,195749.92042718295,-6.594732758,0,0,-13,0,0,5,0,7,1,1,2025-02-01 19:22:35.392000+00:00,0,0,42,41.307808569,1,3,34.713075811,2025-02-01T19:13:12.000Z,24pHSsn1RNgVwZugHzFAGJMzD6kvraKxJMAJjutpeYUj,-31.562050522040636,0,0,1.915168483,0.0002156198338949,1,1,5,6.084143767402467,18.518276653,0,2,77386.56844625772,-16,0,255,0,215081.39576588492,0,0,2025-02-01 19:22:35.392000+00:00,marketContext_0000000549,0.0002136006221515,14.859138609
97,367758.5174545014,278027.4445154006,150.49853540954365,564,5,213939.520999069,-35.66660386666557,1,-0.77929421683476,0,0,0,0,19.634630643,4.861278431,5,8,24.274974080840128,36.758075811,5,200393.1868482168,2.585227347,0,0,-12,0,0,4,0,8,1,1,2025-02-01 19:22:36.443000+00:00,0,0,42,34.172848464,1,1,36.758075811,2025-02-01T19:13:12.000Z,24pHSsn1RNgVwZugHzFAGJMzD6kvraKxJMAJjutpeYUj,-31.670716290585315,0,0,14.773352212,0.000213939520999,1,1,5,5.267023049518205,19.634630643,0,5,77386.56844625772,-16,0,255,0,211114.9453627342,0,0,2025-02-01 19:22:36.443000+00:00,marketContext_0000000550,0.0002156198338949,29.632490821
96,367758.5174545014,276464.9175568727,171.87091234138225,565,10,232192.70589667177,-25.922134070173655,2,8.531936882144464,0,0,0,0,17.765617493,2.871217708,4,8,34.8780364297188,38.700575811,4,203573.1387530623,19.766510043,7,0,-5,0,0,4,0,8,0,1,2025-02-01 19:22:37.463000+00:00,0,0,42,18.934065768,1,1,38.700575811,2025-02-01T19:13:12.000Z,24pHSsn1RNgVwZugHzFAGJMzD6kvraKxJMAJjutpeYUj,-22.78318983171769,0,0,14.894399785,0.0002321927058966,0,2,4,13.325146567915445,17.765617493,0,10,77386.56844625772,-6,0,262,0,208374.5625448192,0,0,2025-02-01 19:22:37.463000+00:00,marketContext_0000000551,0.000213939520999,44.526890606
95,367758.5174545014,275058.34201941686,178.78902951601813,566,12,238101.1583039374,-23.499936602147127,2,2.544633081581371,0,0,0,0,9.5125,2.871217708,2,8,38.46433791682114,38.920575811,2,210168.2422624796,19.986510043,7,0,-5,0,0,4,0,8,0,1,2025-02-01 19:22:38.655000+00:00,0,0,42,18.934065768,1,1,38.920575811,2025-02-01T19:13:12.000Z,24pHSsn1RNgVwZugHzFAGJMzD6kvraKxJMAJjutpeYUj,-9.292084741109528,0,0,6.641282292,0.0002381011583039,0,2,4,16.208855737233197,9.5125,0,12,77386.56844625772,-6,0,262,0,207398.92281873713,0,0,2025-02-01 19:22:38.655000+00:00,marketContext_0000000552,0.0002321927058966,51.168172898
94,367758.5174545014,273731.0636116252,184.14628039724312,568,11,242676.5450842525,-26.223198287206714,2,1.9216146670208767,0,0,0,0,5.4525,0.0,1,6,19.395943465180384,23.970776653,1,217240.04967510095,7.367668483,7,0,-5,0,0,3,0,6,0,0,2025-02-01 19:22:40.043000+00:00,0,0,42,16.60310817,1,0,23.970776653,2025-02-01T19:13:12.000Z,24pHSsn1RNgVwZugHzFAGJMzD6kvraKxJMAJjutpeYUj,-12.323063852442456,0,0,5.4525,0.0002426765450842,0,1,1,12.54834061437593,5.4525,0,12,77386.56844625772,-1,0,262,0,206034.5874794956,0,0,2025-02-01 19:22:40.043000+00:00,marketContext_0000000553,0.0002381011583039,56.620672898
93,367758.5174545014,272139.56137420237,188.24290468530495,569,10,246175.28744802804,-29.177807318464644,4,1.4417307459857278,0,0,0,0,4.472083426,0.0,0,5,21.128342893345593,24.106714069,0,223565.23430592363,19.245435638,7,0,-5,0,0,1,0,5,0,0,2025-02-01 19:22:41.254000+00:00,0,0,42,4.861278431,1,0,24.106714069,2025-02-01T19:13:12.000Z,24pHSsn1RNgVwZugHzFAGJMzD6kvraKxJMAJjutpeYUj,0.5782974325447549,0,0,4.472083426,0.000246175287448,0,3,1,15.067700581184035,4.472083426,0,15,77386.56844625772,-1,0,262,0,206091.20507606317,0,0,2025-02-01 19:22:41.254000+00:00,marketContext_0000000554,0.0002426765450842,61.092756324
92,367758.5174545014,270194.7541624952,188.5836200912684,570,5,246466.27713636955,-29.10699432463772,4,0.11820426467580783,0,0,0,0,2.529583426,0.070504733,0,4,20.29157794886573,20.295200919,0,228184.74093358472,17.353478478,4,0,-2,0,0,1,0,4,0,1,2025-02-01 19:22:42.450000+00:00,0,0,42,2.941722441,0,0,20.295200919,2025-02-01T19:13:12.000Z,24pHSsn1RNgVwZugHzFAGJMzD6kvraKxJMAJjutpeYUj,1.486059169195065,0,0,2.459078693,0.0002464662771363,0,2,2,6.147295275524151,2.529583426,0,15,77386.56844625772,4,0,266,0,206235.5651878004,0,0,2025-02-01 19:22:42.450000+00:00,marketContext_0000000555,0.000246175287448,63.551835017
91,367758.5174545014,265147.27107606217,201.76900581825112,572,2,257681.07129065433,-25.881196155146856,5,0.0,0,0,0,0,6.14,3.343361981,1,3,20.636854282111887,17.862083426,1,238948.16348273313,12.048761362,4,0,-2,0,0,1,0,3,0,1,2025-02-01 19:22:44.683000+00:00,0,0,42,5.813322064,2,0,17.862083426,2025-02-01T19:13:12.000Z,24pHSsn1RNgVwZugHzFAGJMzD6kvraKxJMAJjutpeYUj,16.72187118934112,0,0,2.796638019,0.0002576810712906,2,1,1,6.182932182915564,6.14,0,16,77386.56844625772,7,0,266,0,208896.3068039928,0,0,2025-02-01 19:22:44.683000+00:00,marketContext_0000000556,0.0002464662771363,66.348473036
90,367758.5174545014,265003.69031095813,201.76900581825112,573,2,257681.07129065433,-25.687179748371648,5,4.569000043319374,0,0,0,0,6.14,3.343361981,1,3,19.50712818755961,17.862083426,1,240821.45426352523,12.048761362,4,0,-2,0,0,1,0,3,0,1,2025-02-01 19:22:45.135000+00:00,0,0,42,5.813322064,2,0,17.862083426,2025-02-01T19:13:12.000Z,24pHSsn1RNgVwZugHzFAGJMzD6kvraKxJMAJjutpeYUj,16.72187118934112,0,0,2.796638019,0.0002576810712906,2,1,1,6.182932182915564,6.14,0,16,77386.56844625772,7,0,266,0,210772.64389963364,0,0,2025-02-01 19:22:45.135000+00:00,marketContext_0000000557,0.0002576810712906,69.145111055
