,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,74567.69779813,4758.68774424,-91.36224001,0.0,-1.19594309,4739.41441897,1102,0.0,0.0,24toB9K7gCJCNsPF5T6W7AQwXsznBsasemjHWnoBMrWw,-0.30220712,0,0,0,0.26313291,4.74e-06,0,0.0,4740.15171756,-0.16207156,0.0,1,0,-1,-0.066382278,4726.9761891,0,0,204,0,4740.30286311,0,0.0,2025-03-05 03:38:58.501000+00:00,367,marketContext_1741145938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.066382278,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
98,74567.69779813,4758.68774424,-91.36224001,0.0,-1.19594309,4739.41441897,1103,0.0,0.0,24toB9K7gCJCNsPF5T6W7AQwXsznBsasemjHWnoBMrWw,-0.30220712,0,0,0,0.26313291,4.74e-06,0,0.0,4740.15171756,-0.16207156,0.0,1,0,-1,-0.066382278,4726.9761891,0,0,204,0,4740.30286311,0,0.0,2025-03-05 03:38:59.500000+00:00,367,marketContext_1741145939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.066382278,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
97,74567.69779813,4757.49260313,-91.36224001,0.0,-1.19594309,4739.41441897,1104,0.0,0.0,24toB9K7gCJCNsPF5T6W7AQwXsznBsasemjHWnoBMrWw,-0.30220712,0,0,0,0.26313291,4.74e-06,0,0.0,4741.70649629,-0.16207156,0.0,1,0,-1,-0.066382278,4726.9761891,0,0,204,0,4739.70426879,0,0.0,2025-03-05 03:39:00.501000+00:00,367,marketContext_1741145940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.066382278,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
96,74567.69779813,4757.1236606,-91.36224001,0.0,-1.19594309,4739.41441897,1105,0.0,0.0,24toB9K7gCJCNsPF5T6W7AQwXsznBsasemjHWnoBMrWw,-0.30220712,0,0,0,0.26313291,4.74e-06,0,0.0,4741.45182103,-0.16207156,0.0,1,0,-1,0.0,4726.9761891,0,0,204,0,4739.10567447,0,0.0,2025-03-05 03:39:01.502000+00:00,367,marketContext_1741145941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
95,74567.69779813,4755.95291012,-91.36224001,0.0,-1.19594309,4739.41441897,1106,0.0,0.0,24toB9K7gCJCNsPF5T6W7AQwXsznBsasemjHWnoBMrWw,-0.30220712,0,0,0,0.26313291,4.74e-06,0,0.0,4742.83384658,0.0,0.0,0,0,-1,0.0,4726.9761891,0,0,204,0,4739.11802425,0,0.0,2025-03-05 03:39:02.504000+00:00,367,marketContext_1741145942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
94,74567.69779813,4754.78215965,-91.36224001,0.0,-1.19594309,4739.41441897,1107,0.0,0.0,24toB9K7gCJCNsPF5T6W7AQwXsznBsasemjHWnoBMrWw,-0.30220712,0,0,0,-0.16207156,4.74e-06,0,0.0,4741.97898968,0.0,0.0,0,0,-1,0.0,4726.9761891,0,0,204,0,4738.5433737,0,0.0,2025-03-05 03:39:03.560000+00:00,367,marketContext_1741145943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
93,74567.69779813,4753.61140917,-91.36224001,0.0,-1.19594309,4739.41441897,1108,0.0,0.0,24toB9K7gCJCNsPF5T6W7AQwXsznBsasemjHWnoBMrWw,-0.30220712,0,0,0,-0.16207156,4.74e-06,0,0.0,4741.12413278,0.0,0.0,0,0,-1,0.0,4726.9761891,0,0,204,0,4738.57687544,0,0.0,2025-03-05 03:39:04.561000+00:00,367,marketContext_1741145944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
92,74567.69779813,4752.44065869,-91.36224001,0.0,-1.19594309,4739.41441897,1109,0.0,0.0,24toB9K7gCJCNsPF5T6W7AQwXsznBsasemjHWnoBMrWw,-0.30220712,0,0,0,-0.16207156,4.74e-06,0,0.0,4740.26927587,0.0,0.0,0,0,-1,0.0,4726.9761891,0,0,204,0,4738.02432684,0,0.0,2025-03-05 03:39:05.563000+00:00,367,marketContext_1741145945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
91,74567.69779813,4751.26990822,-91.36224001,0.0,-1.19594309,4739.41441897,1110,0.0,0.0,24toB9K7gCJCNsPF5T6W7AQwXsznBsasemjHWnoBMrWw,-0.30220712,0,0,0,-0.16207156,4.74e-06,0,0.0,4739.41441897,0.0,0.0,0,0,-1,0.0,4726.9761891,0,0,204,0,4737.47177823,0,0.0,2025-03-05 03:39:06.562000+00:00,367,marketContext_1741145946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
90,74567.69779813,4751.12134981,-91.3541706,0.0,-1.10364017,4743.84198795,1111,0.09342016925353165,0.05,24toB9K7gCJCNsPF5T6W7AQwXsznBsasemjHWnoBMrWw,-0.20906927,0,0,0,0.09342017,4.74e-06,0,0.05,4739.85717587,0.09342017,0.05,0,0,-1,0.05,4726.9761891,0,0,204,0,4737.08952074,0,0.0,2025-03-05 03:39:07.562000+00:00,367,marketContext_1741145947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74e-06,0.05,0.05,0.0,0,1,0,0,0,0,0,0,0,0,0,0.05,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
