,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,2365497.67065532,96427.58864573,125.12546193,0.0,37.27075904,118016.31196715,813,21.993743875717964,14.720732464,26BcYnQcUxCpesk83wMeJs18s9BectD2T36aJDZaxHHQ,9.36441589,0,3,0,28.56414578,0.00011802,0,-4.851643139,98948.76915085,19.36900591,1.265135725,0,0,0,6.515868506,52341.91181972,0,0,1106,0,92498.05377515,0,0.0,2025-03-08 11:52:29.495000+00:00,60,marketContext_1741434749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011802,4.851643139,1.265135725,6.1167788640000005,0,1,0,0,0,0,0,0,0,0,0,14.720732464,8.204863957999999,0,2,0,3,0,0,0,0,0,0,0,0,0,813
98,2365497.67065532,97006.90390812,115.94025034,0.0,31.20424404,113201.19781635,814,-4.080041199848591,20.962432464,26BcYnQcUxCpesk83wMeJs18s9BectD2T36aJDZaxHHQ,4.90230267,0,3,0,24.50751742,0.0001132,0,-8.501987134,102131.91639553,17.01634886,7.506835725,0,0,0,2.865524511,52341.91181972,0,0,1106,0,92728.05930942,0,0.0,2025-03-08 11:52:30.618000+00:00,60,marketContext_1741434750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011802,13.353630273,7.506835725,16.008822859,0,1,0,0,0,0,0,0,0,0,0,20.962432464,18.096907953,0,2,0,3,0,0,0,0,0,0,0,0,0,813
97,2365497.67065532,97579.72492875,115.94025034,0.0,31.20424404,113201.19781635,815,0.0,23.045369445,26BcYnQcUxCpesk83wMeJs18s9BectD2T36aJDZaxHHQ,4.90230267,0,3,0,22.38889963,0.0001132,0,-12.179863399,105090.22653143,17.01634886,9.589772706,0,0,0,-0.812351754,52341.91181972,0,0,1106,0,92958.0648437,0,0.0,2025-03-08 11:52:31.642000+00:00,60,marketContext_1741434751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001132,25.533493672,9.589772706,21.769636105,0,1,0,0,0,0,0,0,0,0,0,23.045369445,23.857721199,0,2,0,3,0,0,0,0,0,0,0,0,0,813
96,2365497.67065532,98097.65918451,111.01931034,0.0,28.21430487,110621.51986764,816,-2.2788433324647843,26.310732318,26BcYnQcUxCpesk83wMeJs18s9BectD2T36aJDZaxHHQ,19.61305968,0,3,0,11.88945527,0.00011062,0,-9.005927908,105781.63819846,14.3497296,12.855135579,0,0,0,2.361583737,52341.91181972,0,0,1106,0,93746.70436134,0,0.0,2025-03-08 11:52:32.686000+00:00,60,marketContext_1741434752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001132,34.539421579999996,12.855135579,21.861063487000003,0,1,0,0,0,0,0,0,0,0,0,26.310732318,23.949148581,0,2,0,3,0,0,0,0,0,0,0,0,0,813
95,2365497.67065532,98358.57294874,111.01931034,0.0,28.21430487,110621.51986764,817,0.0,30.310732318,26BcYnQcUxCpesk83wMeJs18s9BectD2T36aJDZaxHHQ,19.61305968,0,4,0,11.88945527,0.00011062,1,2.793281533,107250.97863951,-6.26590679,4.0,0,0,0,5.15486527,52341.91181972,0,0,1106,0,94449.8216741,0,0.0,2025-03-08 11:52:33.890000+00:00,60,marketContext_1741434753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011062,37.332703112999994,4.0,1.206718467,0,1,0,1,0,0,0,0,0,0,0,30.310732318,25.155867047999998,0,2,0,4,0,0,0,0,0,0,0,0,0,813
94,2365497.67065532,98833.50158779,108.0695532,0.0,24.71359005,109075.18452117,818,-1.3978612374190469,30.360732318,26BcYnQcUxCpesk83wMeJs18s9BectD2T36aJDZaxHHQ,17.7364389,0,4,0,10.32539595,0.00010908,1,1.799189777,108527.02716225,-7.57617934,4.05,0,0,0,4.160773514,52341.91181972,0,0,1106,0,95034.83618798,0,0.0,2025-03-08 11:52:34.998000+00:00,60,marketContext_1741434754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011062,39.131892889999996,4.05,2.2508102229999998,0,1,0,1,0,0,0,0,0,0,0,30.360732318,26.199958804,0,2,0,4,0,0,0,0,0,0,0,0,0,813
93,2365497.67065532,99251.91740378,105.14965763,0.0,22.96345095,107544.50334712,820,-1.4033266876997814,0.582126369,26BcYnQcUxCpesk83wMeJs18s9BectD2T36aJDZaxHHQ,27.25927837,0,0,0,11.16901027,0.00010754,1,1.725566553,109877.63474053,-4.99702704,4.632126369,0,0,0,-0.073623224,52341.91181972,0,0,1106,0,96094.32094686,0,0.0,2025-03-08 11:52:36.365000+00:00,60,marketContext_1741434756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010908,40.857459442999996,4.632126369,2.9065598159999997,0,1,0,1,0,0,0,0,0,0,0,0.582126369,0.655749593,0,2,0,0,0,0,0,0,0,0,0,0,0,813
92,2365497.67065532,99697.6690581,107.6526309,0.0,24.46369344,108856.62358703,821,1.2200718763619853,5.511651012,26BcYnQcUxCpesk83wMeJs18s9BectD2T36aJDZaxHHQ,38.78458346,0,1,0,12.52535209,0.00010886,2,3.489854438,109764.18905681,-1.59543666,9.561651012,0,0,0,1.690664661,52341.91181972,0,0,1106,0,96604.81305247,0,0.0,2025-03-08 11:52:37.413000+00:00,60,marketContext_1741434757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010754,44.347313881,9.561651012,6.071796574,0,1,0,2,0,0,0,0,0,0,0,5.511651012,3.8209863509999997,0,2,0,1,0,0,0,0,0,0,0,0,0,813
91,2365497.67065532,100251.78453835,117.57483476,0.0,30.41090506,114058.08723167,822,4.778270235870849,7.892714464,26BcYnQcUxCpesk83wMeJs18s9BectD2T36aJDZaxHHQ,42.94803459,0,2,0,17.9021175,0.00011406,0,0.0,111688.46066912,3.1065993,0.0,0,0,0,4.018988654,52341.91181972,0,0,1106,0,98029.70957755,0,0.0,2025-03-08 11:52:38.438000+00:00,60,marketContext_1741434758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010886,44.347313881,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,7.892714464,3.87372581,0,2,0,2,0,0,0,0,0,0,0,0,0,813
90,2365497.67065532,100590.75526865,117.73823484,0.0,16.62416604,114143.74557688,823,0.07510063274972155,12.472375685,26BcYnQcUxCpesk83wMeJs18s9BectD2T36aJDZaxHHQ,42.03621218,0,2,0,-3.28138232,0.00011414,0,2.274559819,111933.9891599,4.64685077,4.579661221,0,0,0,6.293548473,52341.91181972,0,0,1106,0,99403.8635859,0,0.0,2025-03-08 11:52:39.445000+00:00,60,marketContext_1741434759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011406,46.621873699999995,4.579661221,2.3051014020000005,0,1,0,0,0,0,0,0,0,0,0,12.472375685,6.178827211999999,0,2,0,2,0,0,0,0,0,0,0,0,0,813
89,2365497.67065532,101039.42014507,127.78224787,0.0,22.00390398,119409.06459065,824,4.6128843828967145,13.082375685,26BcYnQcUxCpesk83wMeJs18s9BectD2T36aJDZaxHHQ,36.91564309,0,2,0,5.48392322,0.00011941,0,2.652520056,112073.26442225,9.47408901,5.189661221,0,0,-2,6.67150871,52341.91181972,2,0,1108,0,100965.72913887,0,0.0,2025-03-08 11:52:40.519000+00:00,60,marketContext_1741434760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011414,49.274393755999995,5.189661221,2.5371411649999995,0,1,0,0,0,0,0,0,0,0,0,13.082375685,6.410866975,0,2,0,2,0,0,0,0,0,0,0,0,0,813
88,2365497.67065532,101654.95045091,125.86261803,0.0,33.25045564,118402.74735019,825,-0.8427477795810504,13.732375685,26BcYnQcUxCpesk83wMeJs18s9BectD2T36aJDZaxHHQ,35.76178955,0,2,0,4.5949598,0.0001184,0,2.606411695,112593.41937563,10.0965123,5.839661221,0,0,-2,6.625400349,52341.91181972,2,0,1108,0,102213.29493678,0,0.0,2025-03-08 11:52:41.537000+00:00,60,marketContext_1741434761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011941,51.88080545099999,5.839661221,3.2332495260000003,0,1,0,0,0,0,0,0,0,0,0,13.732375685,7.106975335999999,0,2,0,2,0,0,0,0,0,0,0,0,0,813
87,2365497.67065532,102111.88777498,125.86261803,0.0,22.73561426,118402.74735019,826,0.0,13.742275685,26BcYnQcUxCpesk83wMeJs18s9BectD2T36aJDZaxHHQ,39.43223482,0,2,0,7.03409923,0.0001184,0,1.824634841,113113.57432902,8.76944686,5.849561221,0,0,-2,5.843623495,52341.91181972,2,0,1108,0,103460.8607347,0,0.0,2025-03-08 11:52:42.560000+00:00,60,marketContext_1741434762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001184,53.70544029199999,5.849561221,4.02492638,0,1,0,0,0,0,0,0,0,0,0,13.742275685,7.898652189999999,0,2,0,2,0,0,0,0,0,0,0,0,0,813
86,2365497.67065532,102401.94861841,125.42662242,0.0,13.35515707,118174.1877125,827,-0.19303575534416967,15.482432437,26BcYnQcUxCpesk83wMeJs18s9BectD2T36aJDZaxHHQ,31.27759632,0,2,0,6.82748515,0.00011817,0,0.0,113868.8411135,3.60877565,0.0,0,0,-2,7.368410344,52341.91181972,2,0,1108,0,104791.11736065,0,0.0,2025-03-08 11:52:43.776000+00:00,60,marketContext_1741434763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001184,53.70544029199999,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,15.482432437,8.114022092999999,0,2,0,2,0,0,0,0,0,0,0,0,0,813
85,2365497.67065532,102663.06508233,119.74674362,0.0,10.90226495,115196.65535065,828,-2.5196131401336017,15.582563826,26BcYnQcUxCpesk83wMeJs18s9BectD2T36aJDZaxHHQ,27.96990875,0,2,0,5.61215721,0.0001152,0,-2.972924023,114326.3546618,0.92244193,0.100131389,0,0,-2,4.395486321,52341.91181972,2,0,1108,0,105798.24160413,0,0.0,2025-03-08 11:52:44.834000+00:00,60,marketContext_1741434764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011817,56.67836431499999,0.100131389,3.073055412,0,1,0,0,0,0,0,0,0,0,0,15.582563826,11.187077505,0,2,0,2,0,0,0,0,0,0,0,0,0,813
84,2365497.67065532,102886.41983315,119.0217817,0.0,19.61972631,114816.61245376,829,-0.32990792634472277,15.582563826,26BcYnQcUxCpesk83wMeJs18s9BectD2T36aJDZaxHHQ,26.95848897,0,2,0,6.76195331,0.00011482,0,-3.021678779,114900.49745506,-3.84598284,0.100131389,0,0,-2,4.346731565,52341.91181972,2,0,1108,0,106790.16413174,0,0.0,2025-03-08 11:52:45.870000+00:00,60,marketContext_1741434765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001152,59.70004309399999,0.100131389,3.121810168,0,1,0,0,0,0,0,0,0,0,0,15.582563826,11.235832260999999,0,2,0,2,0,0,0,0,0,0,0,0,0,813
