,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,49947.391816,9368.06467044,-80.2508276,0.0,-10.85766939,9285.40603884,1010,0.0,0.0,26U2kSoMvUmi2VNfRGPiavJBexfCLkxNfTAZt88WcfnW,2.41791702,0,0,0,-0.37170585,9.29e-06,0,-0.070923456,9309.68027625,-0.37170585,0.0,0,0,-13,-0.070923456,6746.93143688,-2,0,235,0,9138.54620191,0,0.0,2025-03-11 17:37:51.154000+00:00,426,marketContext_1741714671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.29e-06,0.070923456,0.0,0.070923456,0,1,0,0,0,0,0,0,0,0,0,0.0,0.070923456,0,2,0,0,0,0,0,0,0,0,0,0,0,1010
98,49947.391816,9368.06467044,-80.2508276,0.0,-10.85766939,9285.40603884,1011,0.0,0.0,26U2kSoMvUmi2VNfRGPiavJBexfCLkxNfTAZt88WcfnW,2.41791702,0,0,0,-0.37170585,9.29e-06,0,0.0,9309.68027625,-0.37170585,0.0,0,0,-13,0.0,6746.93143688,-2,0,235,0,9138.54620191,0,0.0,2025-03-11 17:37:52.910000+00:00,426,marketContext_1741714672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.29e-06,0.070923456,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1010
97,49947.391816,9309.63447785,-80.2508276,0.0,-11.28133069,9285.40603884,1012,0.0,0.0,26U2kSoMvUmi2VNfRGPiavJBexfCLkxNfTAZt88WcfnW,2.67622812,0,0,0,-0.37170585,9.29e-06,0,0.0,9304.73125227,-0.33645832,0.0,0,0,-13,0.0,6746.93143688,-2,0,235,0,9168.24959132,0,0.0,2025-03-11 17:37:53.984000+00:00,426,marketContext_1741714673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.29e-06,0.070923456,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1010
96,49947.391816,9309.02876687,-80.2508276,0.0,-11.28133069,9285.40603884,1013,0.0,0.0,26U2kSoMvUmi2VNfRGPiavJBexfCLkxNfTAZt88WcfnW,2.80310579,0,0,0,-0.37170585,9.29e-06,0,0.0,9299.78222829,0.0,0.0,0,0,-13,0.0,6746.93143688,-2,0,235,0,9174.41572014,0,0.0,2025-03-11 17:37:54.499000+00:00,426,marketContext_1741714674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.29e-06,0.070923456,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1010
95,49947.391816,9309.02876687,-80.2508276,0.0,-11.28133069,9285.40603884,1014,0.0,0.0,26U2kSoMvUmi2VNfRGPiavJBexfCLkxNfTAZt88WcfnW,2.80310579,0,0,0,-0.37170585,9.29e-06,0,-0.060967328,9299.78222829,0.0,0.0,0,0,-15,-0.060967328,6746.93143688,-4,0,233,0,9174.41572014,0,0.0,2025-03-11 17:37:55.692000+00:00,426,marketContext_1741714675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.29e-06,0.13189078399999998,0.0,0.060967328,0,1,0,0,0,0,0,0,0,0,0,0.0,0.060967328,0,2,0,0,0,0,0,0,0,0,0,0,0,1010
94,49947.391816,9279.51081509,-80.2508276,0.0,-11.28133069,9285.40603884,1015,0.0,0.0,26U2kSoMvUmi2VNfRGPiavJBexfCLkxNfTAZt88WcfnW,2.92982265,0,0,0,-0.37170585,9.29e-06,0,0.0,9290.63053725,0.0,0.0,0,0,-15,-0.060967328,6746.93143688,-4,0,233,0,9187.74112924,0,0.0,2025-03-11 17:37:56.288000+00:00,426,marketContext_1741714676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.29e-06,0.13189078399999998,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.060967328,0,2,0,0,0,0,0,0,0,0,0,0,0,1010
93,49947.391816,9249.57683626,-80.28622159,0.0,-11.44033016,9268.76495682,1016,-0.17921760179650853,0.0,26U2kSoMvUmi2VNfRGPiavJBexfCLkxNfTAZt88WcfnW,2.74535429,0,0,0,-0.51507293,9.27e-06,0,0.0,9287.5068829,-0.1792176,0.0,0,0,-11,-0.060967328,6746.93143688,-4,0,233,0,9200.77593227,0,0.0,2025-03-11 17:37:57.720000+00:00,426,marketContext_1741714677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.29e-06,0.13189078399999998,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.060967328,0,2,0,0,0,0,0,0,0,0,0,0,0,1010
92,49947.391816,9249.57683626,-80.28622159,0.0,-11.44033016,9268.76495682,1017,-0.17921760179650853,0.0,26U2kSoMvUmi2VNfRGPiavJBexfCLkxNfTAZt88WcfnW,2.74535429,0,0,0,-0.51507293,9.27e-06,0,0.0,9287.5068829,-0.1792176,0.0,-1,0,-12,-0.060967328,6746.93143688,-3,0,232,0,9200.77593227,0,0.0,2025-03-11 17:37:58.570000+00:00,426,marketContext_1741714678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27e-06,0.13189078399999998,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.060967328,0,2,0,0,0,0,0,0,0,0,0,0,0,1010
91,49947.391816,9190.20879549,-80.28622159,0.0,-10.598493,9268.76495682,1018,0.0,0.0,26U2kSoMvUmi2VNfRGPiavJBexfCLkxNfTAZt88WcfnW,2.74535429,0,0,0,-0.1792176,9.27e-06,0,0.0,9279.8590115,-0.1792176,0.0,0,0,-12,-0.060967328,6746.93143688,-3,0,232,0,9213.81073531,0,0.0,2025-03-11 17:37:59.960000+00:00,426,marketContext_1741714679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27e-06,0.13189078399999998,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.060967328,0,2,0,0,0,0,0,0,0,0,0,0,0,1010
90,49947.391816,9192.17269952,-80.28622159,0.0,-10.4627009,9268.76495682,1019,0.0,0.0,26U2kSoMvUmi2VNfRGPiavJBexfCLkxNfTAZt88WcfnW,2.74535429,0,0,0,-0.1792176,9.27e-06,0,0.0,9278.27414655,-0.1792176,0.0,0,0,-12,-0.060967328,6746.93143688,-3,0,232,0,9226.84553834,0,0.0,2025-03-11 17:38:00.979000+00:00,426,marketContext_1741714680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27e-06,0.13189078399999998,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.060967328,0,2,0,0,0,0,0,0,0,0,0,0,0,1010
