,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,111013.13072356,95824.4735193,104.50786203,0.0,0.41684908,95286.01416874,1024,-1.6701922334321477,0,26aNgGGWuDSBeS1iNVTVhbWprfs7jRzFfcj78kHVDaa8,-0.67061348,0,0,0,-0.39404538,9.529e-05,0,0,99945.54927137,-6.31299616,0,-3,0,5,0,41673.74948407,-8,2,960,0,97231.00663979,0,0.0,2025-03-11 13:21:12.284000+00:00,337,marketContext_1741699272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.529e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1024
98,111013.13072356,95919.01461768,110.42193616,0.0,5.06572421,98041.54906839,1025,2.891856610540796,0,26aNgGGWuDSBeS1iNVTVhbWprfs7jRzFfcj78kHVDaa8,0.8065659,0,0,0,-2.0494413,9.804e-05,0,0,99755.14925107,5.64877588,0,-3,0,7,0,41673.74948407,-2,2,960,0,97262.38434588,0,0.0,2025-03-11 13:21:13.284000+00:00,337,marketContext_1741699273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.529e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1024
97,111013.13072356,95868.0484818,100.11131253,0.0,-2.66042109,93237.53703953,1026,-4.899975647580091,0,26aNgGGWuDSBeS1iNVTVhbWprfs7jRzFfcj78kHVDaa8,-9.1454271,0,0,0,-4.50458611,9.324e-05,0,0,99069.61353652,-5.35869497,0,-3,0,7,0,41673.74948407,-2,0,960,0,96886.97248906,0,0.0,2025-03-11 13:21:14.283000+00:00,337,marketContext_1741699274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.804e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1024
96,111013.13072356,95816.52644177,101.08513132,0.0,-2.67598672,93691.26683789,1027,0.4866385500593337,0,26aNgGGWuDSBeS1iNVTVhbWprfs7jRzFfcj78kHVDaa8,1.12716587,0,0,0,-15.60343697,9.369e-05,0,0,98675.17846988,-4.89813389,0,9,0,8,0,41673.74948407,1,3,963,0,96928.74389548,0,0.0,2025-03-11 13:21:15.285000+00:00,337,marketContext_1741699275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.324e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1024
95,111013.13072356,95703.76411253,96.23078992,0.0,-5.80844278,91429.49147549,1028,-2.4140727719179624,0,26aNgGGWuDSBeS1iNVTVhbWprfs7jRzFfcj78kHVDaa8,1.61275866,0,0,0,-13.38193549,9.143e-05,0,0,96716.81454507,-5.64990676,0,9,0,8,0,41673.74948407,1,0,963,0,96986.78924559,0,0.0,2025-03-11 13:21:16.285000+00:00,337,marketContext_1741699276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.369e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1024
94,111013.13072356,95703.76411253,96.23078992,0.0,-5.80844278,91429.49147549,1029,-2.4140727719179624,0,26aNgGGWuDSBeS1iNVTVhbWprfs7jRzFfcj78kHVDaa8,1.61275866,0,0,0,-13.38193549,9.143e-05,0,0,96716.81454507,-5.64990676,0,4,0,4,0,41673.74948407,-3,-1,962,0,96986.78924559,0,0.0,2025-03-11 13:21:17.283000+00:00,337,marketContext_1741699277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.143e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1024
93,111013.13072356,95758.50780348,106.81377442,0.0,2.9236172,96360.40416139,1030,5.393131479043613,0,26aNgGGWuDSBeS1iNVTVhbWprfs7jRzFfcj78kHVDaa8,-0.33126147,0,0,0,3.83718781,9.636e-05,0,0,95140.78112699,-1.71472699,0,4,0,4,0,41673.74948407,-3,-1,962,0,97038.04287986,0,0.0,2025-03-11 13:21:18.285000+00:00,337,marketContext_1741699278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.143e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1024
92,111013.13072356,95774.93090482,106.10618949,0.0,0.86247119,96030.72026891,1031,-0.34213626991675355,0,26aNgGGWuDSBeS1iNVTVhbWprfs7jRzFfcj78kHVDaa8,-0.20166037,0,0,0,-2.52345806,9.603e-05,0,0,95499.80420347,2.99577114,0,3,0,6,0,41673.74948407,-1,0,963,0,97029.95757874,0,0.0,2025-03-11 13:21:19.285000+00:00,337,marketContext_1741699279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.636e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1024
91,111013.13072356,95803.83700885,106.78147954,0.0,1.5229762,96345.35706107,1032,0.32764181220014904,0,26aNgGGWuDSBeS1iNVTVhbWprfs7jRzFfcj78kHVDaa8,0.12532071,0,0,0,-0.57700995,9.635e-05,0,0,95258.53841979,2.83280429,0,3,0,6,0,41673.74948407,-1,1,963,0,97034.98214396,0,0.0,2025-03-11 13:21:20.285000+00:00,337,marketContext_1741699280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.603e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1024
90,111013.13072356,95686.84952695,92.81392124,0.0,-5.55220309,89837.47543206,1033,-6.754743381026263,0,26aNgGGWuDSBeS1iNVTVhbWprfs7jRzFfcj78kHVDaa8,-6.90571856,0,0,0,-7.29277779,8.984e-05,0,0,94473.31283483,-1.74125003,0,0,0,3,0,41673.74948407,-1,1,963,0,96747.08187548,0,0.0,2025-03-11 13:21:21.284000+00:00,337,marketContext_1741699281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.635e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1024
