,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,104846.96629476,51000.58479264,-8.77978745,0.0,-2.70752526,50464.30447053,1047,0.0,0,26h9HaXhuLhJzNP68YMXKxFXhHV4i9XYM4xGx2pCAs4X,-0.30007805,0,0,0,-0.15620664,5.046e-05,0,-0.008103821,50511.28295115,-0.15620664,0,-2,0,-8,-0.008103821,36881.35892368,-2,-1,155,0,50572.22922153,0,0.0,2025-03-05 02:58:07.644000+00:00,124,marketContext_1741143487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.046e-05,0.008103821,0,0.008103821,0,1,0,0,0,0,0,0,0,0,0,0,0.008103821,0,2,0,0,0,0,0,0,0,0,0,0,0,1047
98,104846.96629476,50973.04837862,-8.77978745,0.0,-2.70752526,50464.30447053,1048,0.0,0,26h9HaXhuLhJzNP68YMXKxFXhHV4i9XYM4xGx2pCAs4X,-0.30007805,0,0,0,-0.15620664,5.046e-05,0,-0.008103821,50506.58510309,-0.07062621,0,-2,0,-8,-0.008103821,36881.35892368,-2,-1,155,0,50566.38737222,0,0.0,2025-03-05 02:58:08.645000+00:00,124,marketContext_1741143488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.046e-05,0.016207642,0,0.008103821,0,1,0,0,0,0,0,0,0,0,0,0,0.008103821,0,2,0,0,0,0,0,0,0,0,0,0,0,1047
97,104846.96629476,50963.26484193,-8.77978745,0.0,-2.75752996,50464.30447053,1049,0.0,0,26h9HaXhuLhJzNP68YMXKxFXhHV4i9XYM4xGx2pCAs4X,-0.30007805,0,0,0,-0.15620664,5.046e-05,0,-0.008103821,50498.68991092,-0.07062621,0,-2,0,-9,-0.008103821,36881.35892368,-2,-1,155,0,50562.60652401,0,0.0,2025-03-05 02:58:09.646000+00:00,124,marketContext_1741143489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.046e-05,0.024311463000000002,0,0.008103821,0,1,0,0,0,0,0,0,0,0,0,0,0.008103821,0,2,0,0,0,0,0,0,0,0,0,0,0,1047
96,104846.96629476,50935.74504613,-8.77978745,0.0,-2.75752996,50464.30447053,1050,0.0,0,26h9HaXhuLhJzNP68YMXKxFXhHV4i9XYM4xGx2pCAs4X,-0.30007805,0,0,0,-0.15620664,5.046e-05,0,-0.008103821,50490.79471875,-0.07062621,0,-2,0,-9,-0.008103821,36881.35892368,-2,0,155,0,50556.9810395,0,0.0,2025-03-05 02:58:10.644000+00:00,124,marketContext_1741143490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.046e-05,0.032415284,0,0.008103821,0,1,0,0,0,0,0,0,0,0,0,0,0.008103821,0,2,0,0,0,0,0,0,0,0,0,0,0,1047
95,104846.96629476,50908.22525034,-8.77978745,0.0,-2.75752996,50464.30447053,1051,0.0,0,26h9HaXhuLhJzNP68YMXKxFXhHV4i9XYM4xGx2pCAs4X,-0.30007805,0,0,0,-0.15620664,5.046e-05,0,0.0,50482.89952659,0.0,0,-1,0,-9,-0.008103821,36881.35892368,-2,0,155,0,50551.35555498,0,0.0,2025-03-05 02:58:11.645000+00:00,124,marketContext_1741143491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.046e-05,0.032415284,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.008103821,0,2,0,0,0,0,0,0,0,0,0,0,0,1047
94,104846.96629476,50880.70545454,-8.77978745,0.0,-2.75752996,50464.30447053,1052,0.0,0,26h9HaXhuLhJzNP68YMXKxFXhHV4i9XYM4xGx2pCAs4X,-0.30007805,0,0,0,-0.15620664,5.046e-05,0,0.0,50475.00433442,0.0,0,-1,0,-9,-0.008103821,36881.35892368,-2,0,155,0,50545.73007047,0,0.0,2025-03-05 02:58:12.645000+00:00,124,marketContext_1741143492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.046e-05,0.032415284,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.008103821,0,2,0,0,0,0,0,0,0,0,0,0,0,1047
93,104846.96629476,50853.18565875,-8.77978745,0.0,-2.75752996,50464.30447053,1053,0.0,0,26h9HaXhuLhJzNP68YMXKxFXhHV4i9XYM4xGx2pCAs4X,-0.28941783,0,0,0,-0.07062621,5.046e-05,0,0.0,50471.43771312,0.0,0,-1,0,-9,-0.008103821,36881.35892368,-2,0,155,0,50540.30501032,0,0.0,2025-03-05 02:58:13.645000+00:00,124,marketContext_1741143493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.046e-05,0.032415284,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.008103821,0,2,0,0,0,0,0,0,0,0,0,0,0,1047
92,104846.96629476,50825.66586295,-8.77978745,0.0,-2.75752996,50464.30447053,1054,0.0,0,26h9HaXhuLhJzNP68YMXKxFXhHV4i9XYM4xGx2pCAs4X,-0.27878313,0,0,0,-0.07062621,5.046e-05,0,0.0,50467.87109182,0.0,0,-1,0,-9,0.0,36881.35892368,-2,0,155,0,50537.59070533,0,0.0,2025-03-05 02:58:14.644000+00:00,124,marketContext_1741143494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.046e-05,0.032415284,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1047
91,104846.96629476,50798.14606716,-8.77978745,0.0,-2.75752996,50464.30447053,1055,0.0,0,26h9HaXhuLhJzNP68YMXKxFXhHV4i9XYM4xGx2pCAs4X,-0.27878313,0,0,0,-0.07062621,5.046e-05,0,-0.002425811,50464.30447053,0.0,0,0,0,-9,-0.002425811,36881.35892368,-2,0,155,0,50532.55215994,0,0.0,2025-03-05 02:58:15.645000+00:00,124,marketContext_1741143495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.046e-05,0.034841095,0,0.002425811,0,1,0,0,0,0,0,0,0,0,0,0,0.002425811,0,2,0,0,0,0,0,0,0,0,0,0,0,1047
90,104846.96629476,50791.84716911,-8.77978745,0.0,-2.75752996,50464.30447053,1056,0.0,0,26h9HaXhuLhJzNP68YMXKxFXhHV4i9XYM4xGx2pCAs4X,-0.27878313,0,0,0,0.0,5.046e-05,0,0.0,50464.30447053,0.0,0,0,0,-9,-0.002425811,36881.35892368,-2,0,155,0,50527.51361455,0,0.0,2025-03-05 02:58:16.646000+00:00,124,marketContext_1741143496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.046e-05,0.034841095,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.002425811,0,2,0,0,0,0,0,0,0,0,0,0,0,1047
