,athMarketCap,maMarketCap60s,priceChangeFromStart,timeFromStart,trade_last5Seconds.tradeCount.buy.small,marketCap,marketCapChange60s,trade_last10Seconds.tradeCount.buy.medium,priceChangePercent,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.tradeCount.buy.large,largeBuy10s,marketCapChange10s,trade_last10Seconds.volume.buy,largeBuy5s,maMarketCap10s,netVolume10s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,trade_last10Seconds.tradeCount.buy.super,holderDelta5s,trade_last10Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.small,originalTimestamp,trade_last10Seconds.tradeCount.bot,trade_last5Seconds.tradeCount.sell.big,initialHoldersCount,trade_last10Seconds.volume.sell,trade_last10Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,buyVolume10s,creationTime,poolAddress,marketCapChange30s,superBuy5s,bigBuy5s,netVolume5s,currentPrice,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.sell.small,marketCapChange5s,buyVolume5s,trade_last5Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,minMarketCap,holderDelta30s,trade_last10Seconds.tradeCount.buy.big,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,trade_last5Seconds.tradeCount.bot,timestamp,doc_id,lastPrice,totalVolume
99,494343.62300984416,25137.5157164773,-74.25546029287591,627,2,22713.295746440734,2.095763957842907,0,0.0,0,0,0,0,0.086079124,0.349507409,0,0,-10.21506627515218,0.136029124,0,23152.92337630983,-0.292645,0,0,0,0,0,0,0,0,0,2,2025-01-31 19:10:17.129000+00:00,0,0,142,0.428674124,0,0,0.136029124,2025-01-31T18:59:50.000Z,26mWdwYysMuTCF9BJGJnF8aFQ9MguhSejxnpPm2xh1xs,-14.254571365432566,0,0,-0.263428285,2.27132957464e-05,0,0,3,-1.9135867466183831,0.086079124,0,3,20816.56087881833,0,0,871,0,24774.515761480026,0,0,2025-01-31 19:10:17.129000+00:00,marketContext_0000000514,2.27132957464e-05,0.263428285
98,494343.62300984416,25147.435836848545,-74.25546029287591,628,1,22713.295746440734,2.095763957842907,0,0.0,0,0,0,0,0.065749559,0.677892766,0,0,-6.058674739637282,0.136029124,0,22969.813771975063,-0.621030357,0,0,0,0,0,0,0,0,0,4,2025-01-31 19:10:18.217000+00:00,0,0,142,0.757059481,0,0,0.136029124,2025-01-31T18:59:50.000Z,26mWdwYysMuTCF9BJGJnF8aFQ9MguhSejxnpPm2xh1xs,-14.346905591200793,0,0,-0.612143207,2.27132957464e-05,0,0,5,-1.7490312994114827,0.065749559,0,3,20816.56087881833,0,0,871,0,24684.89749995658,0,0,2025-01-31 19:10:18.217000+00:00,marketContext_0000000515,2.27132957464e-05,0.875571492
97,494343.62300984416,25151.250930866194,-74.58069012614176,629,0,22426.359507822,0.8059918870697711,0,-1.263296360959408,0,0,0,0,0.0,0.369583336,0,0,-3.152708835843959,0.086079124,0,22878.556983935065,-0.712178336,0,0,0,0,0,0,0,0,0,5,2025-01-31 19:10:19.692000+00:00,0,0,142,0.79825746,0,0,0.086079124,2025-01-31T18:59:50.000Z,26mWdwYysMuTCF9BJGJnF8aFQ9MguhSejxnpPm2xh1xs,-15.42895801591628,0,0,-0.369583336,2.24263595078e-05,0,0,8,-2.6285090144681313,0.0,0,2,20816.56087881833,0,0,871,0,24507.009824655375,0,0,2025-01-31 19:10:19.692000+00:00,marketContext_0000000516,2.27132957464e-05,1.245154828
96,494343.62300984416,25131.54339606781,-74.58069012614176,631,2,22426.359507822,-3.9663831623752097,0,0.0,0,0,0,0,0.3,0.423052076,0,0,-3.152708835843959,0.386079124,0,22787.300195895063,-0.465647076,0,0,0,0,0,0,0,0,0,6,2025-01-31 19:10:21.209000+00:00,0,0,142,0.8517262,0,0,0.386079124,2025-01-31T18:59:50.000Z,26mWdwYysMuTCF9BJGJnF8aFQ9MguhSejxnpPm2xh1xs,-15.399518406427209,0,0,-0.123052076,2.24263595078e-05,0,0,9,-1.263296360959408,0.3,0,4,20816.56087881833,0,0,871,0,24230.05732526199,0,0,2025-01-31 19:10:21.209000+00:00,marketContext_0000000517,2.24263595078e-05,1.368206904
95,494343.62300984416,25111.835861269417,-74.58069012614176,632,2,22426.359507822,-4.781969919545466,0,0.0,0,0,0,0,0.3,0.094666719,0,0,-3.152708835843959,0.365749559,0,22696.043407855064,-0.406809926,0,0,0,0,0,0,0,0,0,4,2025-01-31 19:10:22.458000+00:00,0,0,142,0.772559485,0,0,0.365749559,2025-01-31T18:59:50.000Z,26mWdwYysMuTCF9BJGJnF8aFQ9MguhSejxnpPm2xh1xs,-11.92178891792744,0,0,0.205333281,2.24263595078e-05,0,0,8,-1.263296360959408,0.3,0,3,20816.56087881833,0,0,871,0,24092.079580583217,0,0,2025-01-31 19:10:22.458000+00:00,marketContext_0000000518,2.24263595078e-05,1.573540185
94,494343.62300984416,25092.81631457649,-74.31731845995482,633,2,22658.720956633668,-3.8789073647472945,0,1.0361086413986373,0,0,0,0,0.3,0.098014684,0,0,-1.9851056245571588,0.3,0,22638.679735345264,-0.47590745,0,0,0,0,0,0,0,0,0,5,2025-01-31 19:10:23.477000+00:00,0,0,142,0.77590745,0,0,0.3,2025-01-31T18:59:50.000Z,26mWdwYysMuTCF9BJGJnF8aFQ9MguhSejxnpPm2xh1xs,-12.120363383917349,0,0,0.201985316,2.26587209566e-05,0,0,9,-0.2402768423231454,0.3,0,2,20816.56087881833,0,0,871,0,23950.029953293273,0,0,2025-01-31 19:10:23.477000+00:00,marketContext_0000000519,2.24263595078e-05,1.775525501
93,494343.62300984416,25071.51658839005,-74.41559872271242,634,2,22572.0125244983,-4.242965200119074,0,-0.38267134451815255,0,0,0,0,0.3,0.056816705,0,0,-1.996108049194858,0.3,0,22581.21240549002,-0.126400041,0,0,0,0,0,0,0,0,0,2,2025-01-31 19:10:24.676000+00:00,0,0,142,0.426400041,0,0,0.3,2025-01-31T18:59:50.000Z,26mWdwYysMuTCF9BJGJnF8aFQ9MguhSejxnpPm2xh1xs,-12.45665357091378,0,0,0.243183295,2.25720125244e-05,0,0,7,0.6494724060117759,0.3,0,2,20816.56087881833,0,0,871,0,23804.03903363354,0,0,2025-01-31 19:10:24.676000+00:00,marketContext_0000000520,2.26587209566e-05,2.018708796
92,494343.62300984416,25049.63299810862,-74.44775456025867,635,1,22543.642817505228,-4.450320427365404,0,-0.125685323638215,0,0,0,0,0.042971167,0.153551757,0,0,-0.7469322410513277,0.342971167,0,22577.038006825045,-0.233632666,0,0,0,0,0,0,0,0,0,4,2025-01-31 19:10:25.873000+00:00,0,0,142,0.576603833,0,0,0.342971167,2025-01-31T18:59:50.000Z,26mWdwYysMuTCF9BJGJnF8aFQ9MguhSejxnpPm2xh1xs,-11.584789412787565,0,0,-0.11058059,2.25436428175e-05,0,0,10,0.5229707908781241,0.042971167,0,3,20816.56087881833,0,0,871,0,23749.2391981497,0,0,2025-01-31 19:10:25.873000+00:00,marketContext_0000000521,2.25720125244e-05,2.129289386
91,494343.62300984416,25026.791938604027,-74.47443322120411,637,1,22520.105386925137,-15.318713539040274,0,-0.1044082838369574,0,0,0,0,0.042971167,0.190196371,0,0,-0.8505606657539785,0.342971167,0,22535.85699443363,0.058108077,0,0,0,0,0,0,0,0,0,6,2025-01-31 19:10:27.412000+00:00,0,0,142,0.28486309,0,0,0.342971167,2025-01-31T18:59:50.000Z,26mWdwYysMuTCF9BJGJnF8aFQ9MguhSejxnpPm2xh1xs,-11.677102216812504,0,0,-0.147225204,2.25201053869e-05,0,0,10,0.4180164822134423,0.042971167,0,3,20816.56087881833,0,0,871,0,23534.439301418424,0,0,2025-01-31 19:10:27.412000+00:00,marketContext_0000000522,2.25436428175e-05,2.27651459
90,494343.62300984416,24951.036943240648,-73.89255345095229,638,1,23033.47278292264,-14.15363747362922,0,2.279595886329897,0,0,0,0,0.042971167,0.186848406,0,0,1.4096458746286504,0.342971167,0,22575.879123993873,0.099306056,0,0,0,0,0,0,0,0,0,5,2025-01-31 19:10:28.554000+00:00,0,0,142,0.243665111,0,0,0.342971167,2025-01-31T18:59:50.000Z,26mWdwYysMuTCF9BJGJnF8aFQ9MguhSejxnpPm2xh1xs,-9.663697072259605,0,0,-0.143877239,2.30334727829e-05,0,0,7,1.653896647591918,0.042971167,0,3,20816.56087881833,0,0,871,0,23512.658148440347,0,0,2025-01-31 19:10:28.554000+00:00,marketContext_0000000523,2.25201053869e-05,2.420391829
89,494343.62300984416,24872.501957118493,-73.77192651711651,639,2,23139.896718031498,-13.0925799183196,0,0.46204033630466335,0,0,0,0,0.542971167,0.186848406,0,0,3.1816898768639974,0.842971167,0,22638.54774555361,0.599306056,0,0,0,0,0,0,0,0,0,5,2025-01-31 19:10:29.563000+00:00,0,0,142,0.243665111,0,0,0.842971167,2025-01-31T18:59:50.000Z,26mWdwYysMuTCF9BJGJnF8aFQ9MguhSejxnpPm2xh1xs,-9.246306914407072,0,0,0.356122761,2.3139896718e-05,0,0,7,2.5158775404578995,0.542971167,0,4,20816.56087881833,0,0,871,0,23410.154911981655,0,0,2025-01-31 19:10:29.563000+00:00,marketContext_0000000524,2.30334727829e-05,2.77651459
88,494343.62300984416,24798.33133289053,-73.77192651711651,640,2,23139.896718031498,-13.0925799183196,0,0.0,0,0,0,0,0.6,0.079599903,0,0,3.1816898768639974,0.642971167,0,22717.82965779911,0.409819507,0,0,0,0,0,0,0,0,0,3,2025-01-31 19:10:30.675000+00:00,0,0,142,0.23315166,0,0,0.642971167,2025-01-31T18:59:50.000Z,26mWdwYysMuTCF9BJGJnF8aFQ9MguhSejxnpPm2xh1xs,-9.246306914407072,0,0,0.520400097,2.3139896718e-05,0,0,7,2.6448870990063664,0.6,0,3,20816.56087881833,0,0,871,0,23307.65167552296,0,0,2025-01-31 19:10:30.675000+00:00,marketContext_0000000525,2.3139896718e-05,3.296914687
