,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,66728.76934389,39674.62157584,-32.13455163,0.0,-19.45304727,35461.87355577,552,0.0,0,26uMXG2oD9VvnQVBE6j1j2AgKMrvSfNzSjyNcxiX1NXS,-13.23636379,0,0,0,1.98841709,3.546e-05,0,0,35291.62034906,-0.12269194,0,-1,0,-25,0,25553.00607817,-12,0,625,0,36669.57085915,0,0.0,2025-03-08 17:59:39.295000+00:00,543,marketContext_1741456779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.546e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,552
98,66728.76934389,39499.83658976,-32.13455163,0.0,-19.45304727,35461.87355577,553,0.0,0,26uMXG2oD9VvnQVBE6j1j2AgKMrvSfNzSjyNcxiX1NXS,-13.23636379,0,0,0,0.75684589,3.546e-05,0,0,35379.12088887,0.15179518,0,-1,0,-25,0,25553.00607817,-12,0,625,0,36453.17317022,0,0.0,2025-03-08 17:59:40.295000+00:00,543,marketContext_1741456780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.546e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,552
97,66728.76934389,39499.83658976,-32.13455163,0.0,-19.45304727,35461.87355577,554,0.0,0,26uMXG2oD9VvnQVBE6j1j2AgKMrvSfNzSjyNcxiX1NXS,-13.23636379,0,0,0,0.75684589,3.546e-05,0,0,35379.12088887,0.15179518,0,0,0,-23,0,25553.00607817,-10,0,625,0,36453.17317022,0,0.0,2025-03-08 17:59:41.292000+00:00,543,marketContext_1741456781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.546e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,552
96,66728.76934389,39221.23067881,-32.80056147,0.0,-19.57488788,35113.8620499,555,-0.981368074990603,0,26uMXG2oD9VvnQVBE6j1j2AgKMrvSfNzSjyNcxiX1NXS,-12.56528034,0,0,0,-0.7903872,3.511e-05,0,0,35348.0379385,-0.98136807,0,0,0,-23,0,25553.00607817,-10,0,625,0,36251.32405491,0,0.0,2025-03-08 17:59:42.294000+00:00,543,marketContext_1741456782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.546e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,552
95,66728.76934389,39059.73692926,-32.80056147,0.0,-18.08374745,35113.8620499,556,0.0,0,26uMXG2oD9VvnQVBE6j1j2AgKMrvSfNzSjyNcxiX1NXS,-6.90379413,0,0,0,0.71721087,3.511e-05,0,0,35373.59748938,-0.98136807,0,-4,0,-28,0,25553.00607817,-11,-4,621,0,36207.57551625,0,0.0,2025-03-08 17:59:43.327000+00:00,543,marketContext_1741456783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.511e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,552
94,66728.76934389,38898.02164821,-32.93700659,0.0,-18.13421769,35042.56509893,557,-0.2030450278232467,0,26uMXG2oD9VvnQVBE6j1j2AgKMrvSfNzSjyNcxiX1NXS,-7.09282135,0,0,0,-1.30366169,3.504e-05,0,0,35315.73864385,-1.18242048,0,-4,0,-28,0,25553.00607817,-11,-4,621,0,36104.68098571,0,0.0,2025-03-08 17:59:44.329000+00:00,543,marketContext_1741456784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.511e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,552
93,66728.76934389,38728.0826689,-33.29897499,0.0,-18.96530327,34853.42500078,558,-0.539743873256,0,26uMXG2oD9VvnQVBE6j1j2AgKMrvSfNzSjyNcxiX1NXS,-10.22716258,0,0,0,-1.56659161,3.485e-05,0,0,35246.40105282,-1.71578231,0,-5,0,-29,0,25553.00607817,-12,-5,620,0,35951.96576575,0,0.0,2025-03-08 17:59:45.327000+00:00,543,marketContext_1741456785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.504e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,552
92,66728.76934389,38558.14368959,-33.29897499,0.0,-18.96530327,34853.42500078,559,0.0,0,26uMXG2oD9VvnQVBE6j1j2AgKMrvSfNzSjyNcxiX1NXS,-9.60158965,0,0,0,-1.71578231,3.485e-05,0,0,35170.34498345,-0.74169298,0,-5,0,-29,0,25553.00607817,-12,-1,620,0,35809.58397133,0,0.0,2025-03-08 17:59:46.330000+00:00,543,marketContext_1741456786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.485e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,552
91,66728.76934389,38478.09264869,-33.71575766,0.0,-19.50132787,34635.64268574,560,-0.6248519766167471,0,26uMXG2oD9VvnQVBE6j1j2AgKMrvSfNzSjyNcxiX1NXS,-10.14774041,0,0,0,-2.32991319,3.464e-05,0,0,35110.93361704,-1.36191047,0,-5,0,-28,0,25553.00607817,-10,-1,620,0,35659.13464467,0,0.0,2025-03-08 17:59:47.327000+00:00,543,marketContext_1741456787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.485e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,552
90,66728.76934389,38303.8193285,-34.04819897,0.0,-19.58514555,34486.96013161,561,-0.5015389685967768,0,26uMXG2oD9VvnQVBE6j1j2AgKMrvSfNzSjyNcxiX1NXS,-10.53345473,0,0,0,-2.74918758,3.449e-05,0,0,35002.60990324,-1.78534027,0,-5,0,-28,0,25553.00607817,-10,0,620,0,35502.96675823,0,0.0,2025-03-08 17:59:48.587000+00:00,543,marketContext_1741456788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.464e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,552
