,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,140670.0091236,118989.49046956,170.17527543,0.0,-3.96048168,120339.29999118,1102,0.21340761978858255,0,27dTajp8Y65REwzuKHoBVRooNg3wfk2N3UVn2cATmCTC,-1.19785915,0,0,0,2.09313995,0.00012034,0,0,122380.55126135,-3.58971061,0,6,0,50,0,43081.08399525,6,0,1086,0,119044.22936282,0,0.0,2025-03-10 19:02:41.786000+00:00,408,marketContext_1741633361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012034,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
98,140670.0091236,119595.05319451,170.94623279,0.0,34.392032,120682.69362326,1103,0.28535452017754975,0,27dTajp8Y65REwzuKHoBVRooNg3wfk2N3UVn2cATmCTC,-0.82609718,0,0,0,2.12041661,0.00012068,0,0,122658.97810549,-3.80520105,0,4,0,31,0,43081.08399525,4,0,1086,0,119107.24721899,0,0.0,2025-03-10 19:02:42.788000+00:00,408,marketContext_1741633362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012034,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
97,140670.0091236,120099.0044981,171.26728373,0.0,27.01891073,120825.69355191,1104,0.1184924899874475,0,27dTajp8Y65REwzuKHoBVRooNg3wfk2N3UVn2cATmCTC,-0.70858355,0,0,0,1.37353733,0.00012083,0,0,122840.87808681,-3.69121744,0,4,0,31,0,43081.08399525,4,0,1086,0,119074.08334089,0,0.0,2025-03-10 19:02:43.787000+00:00,408,marketContext_1741633363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012068,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
96,140670.0091236,120396.75208119,170.91819285,0.0,14.39552123,120670.20429751,1105,-0.12868889872107117,0,27dTajp8Y65REwzuKHoBVRooNg3wfk2N3UVn2cATmCTC,1.62824279,0,0,0,-2.82352992,0.00012067,0,0,122623.81070788,-2.4711556,0,-2,0,32,0,43081.08399525,4,0,1086,0,119148.44198231,0,0.0,2025-03-10 19:02:44.787000+00:00,408,marketContext_1741633364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012083,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
95,140670.0091236,120614.71583252,171.93220425,0.0,10.10506795,121121.85710645,1106,0.37428693484916375,0,27dTajp8Y65REwzuKHoBVRooNg3wfk2N3UVn2cATmCTC,1.22600953,0,0,0,-2.45981109,0.00012112,0,0,122318.36031806,0.86508762,0,-1,0,33,0,43081.08399525,5,1,1087,0,119221.53143135,0,0.0,2025-03-10 19:02:45.787000+00:00,408,marketContext_1741633365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012067,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
94,140670.0091236,120614.71583252,171.93220425,0.0,10.10506795,121121.85710645,1107,0.37428693484916375,0,27dTajp8Y65REwzuKHoBVRooNg3wfk2N3UVn2cATmCTC,1.22600953,0,0,0,-2.45981109,0.00012112,0,0,122318.36031806,0.86508762,0,1,0,32,0,43081.08399525,4,1,1087,0,119221.53143135,0,0.0,2025-03-10 19:02:46.785000+00:00,408,marketContext_1741633366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012112,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
93,140670.0091236,120722.70413326,168.94078084,0.0,1.9464035,119789.44133131,1108,-1.1000622075741677,0,27dTajp8Y65REwzuKHoBVRooNg3wfk2N3UVn2cATmCTC,-0.89866581,0,0,0,-4.51720227,0.00011979,0,0,121410.72225798,-0.74016602,0,1,0,32,0,43081.08399525,4,0,1087,0,119163.08473297,0,0.0,2025-03-10 19:02:47.788000+00:00,408,marketContext_1741633367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012112,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
92,140670.0091236,120918.28670326,168.86440799,0.0,8.89203301,119755.42395252,1109,-0.028397643740623604,0,27dTajp8Y65REwzuKHoBVRooNg3wfk2N3UVn2cATmCTC,1.12490583,0,0,0,-4.54431713,0.00011976,0,0,120777.26177714,-0.88579636,0,1,0,32,0,43081.08399525,9,0,1087,0,119214.32128325,0,0.0,2025-03-10 19:02:48.786000+00:00,408,marketContext_1741633368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011979,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
91,140670.0091236,121029.09210773,161.41339752,0.0,4.99589797,116436.65474818,1110,-2.771289261737038,0,27dTajp8Y65REwzuKHoBVRooNg3wfk2N3UVn2cATmCTC,-1.11605465,0,0,0,-5.8928221,0.00011644,0,0,119967.1446944,-3.50836362,0,2,0,33,0,43081.08399525,10,0,1088,0,119163.77653399,0,0.0,2025-03-10 19:02:49.787000+00:00,408,marketContext_1741633369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011976,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
90,140670.0091236,120910.90630011,158.19157381,0.0,-0.23746865,115001.61591881,1111,-1.2324631212322,0,27dTajp8Y65REwzuKHoBVRooNg3wfk2N3UVn2cATmCTC,-1.10983036,0,0,0,-4.23158674,0.000115,0,0,119402.54272457,-5.05296181,0,2,0,20,0,43081.08399525,10,0,1088,0,119114.13627096,0,0.0,2025-03-10 19:02:50.786000+00:00,408,marketContext_1741633370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011644,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
