,athMarketCap,maMarketCap60s,priceChangeFromStart,timeFromStart,trade_last5Seconds.tradeCount.buy.small,marketCap,marketCapChange60s,trade_last10Seconds.tradeCount.buy.medium,priceChangePercent,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.tradeCount.buy.large,largeBuy10s,marketCapChange10s,trade_last10Seconds.volume.buy,largeBuy5s,maMarketCap10s,netVolume10s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,trade_last10Seconds.tradeCount.buy.super,holderDelta5s,trade_last10Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.small,originalTimestamp,trade_last10Seconds.tradeCount.bot,trade_last5Seconds.tradeCount.sell.big,initialHoldersCount,trade_last10Seconds.volume.sell,trade_last10Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,buyVolume10s,creationTime,poolAddress,marketCapChange30s,superBuy5s,bigBuy5s,netVolume5s,currentPrice,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.sell.small,marketCapChange5s,buyVolume5s,trade_last5Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,minMarketCap,holderDelta30s,trade_last10Seconds.tradeCount.buy.big,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,trade_last5Seconds.tradeCount.bot,timestamp,doc_id,lastPrice,totalVolume
99,939051.7168759514,528726.9695362163,738.8325073980369,1086,19,736263.3754976605,75.15986950891096,10,16.164994611910505,0,0,0,0,22.12275333,11.910171942,1,3,15.636311656432976,41.277586761,1,642746.1083426102,11.233184807,0,0,0,0,0,4,1,3,0,10,2025-01-31 20:20:12.046000+00:00,0,0,72,30.044401954,4,2,41.277586761,2025-01-31T20:02:06.000Z,2A7zg1Y3TRdLokVbvzjdqGpKZsowTxi7eHyRF9qQxsCw,22.262752916378847,0,1,10.212581388,0.0007362633754976,1,3,20,19.90246373100904,22.12275333,0,26,26519.153951106768,0,1,1872,0,603055.4151649963,1,0,2025-01-31 20:20:12.046000+00:00,marketContext_0000000934,0.0007362633754976,10.212581388
98,939051.7168759514,533852.7814001655,677.4710052402012,1087,12,682404.9159054435,62.095852577377855,11,-7.31510779764272,0,0,0,0,23.03519964,11.32506633,2,4,13.601534018839939,45.456586761,2,648458.4683985268,14.312472555,0,0,0,0,0,4,1,4,0,10,2025-01-31 20:20:13.176000+00:00,0,0,72,31.144114206,5,2,45.456586761,2025-01-31T20:02:06.000Z,2A7zg1Y3TRdLokVbvzjdqGpKZsowTxi7eHyRF9qQxsCw,11.172113915949366,0,1,11.71013331,0.0006824049159054,1,2,25,4.11652738841626,23.03519964,0,27,26519.153951106768,0,1,1872,0,605693.0112549183,1,0,2025-01-31 20:20:13.176000+00:00,marketContext_0000000935,0.0007362633754976,21.922714698
97,939051.7168759514,540026.624095996,748.7068427638104,1088,21,744930.3160645578,73.21369135814514,11,9.162507288821752,0,0,0,0,33.954023771,25.414394147,3,5,24.010282853529468,54.021153026,3,666487.2027737283,18.526222228,0,0,0,0,0,4,1,5,0,27,2025-01-31 20:20:14.212000+00:00,0,0,72,35.494930798,8,3,54.021153026,2025-01-31T20:02:06.000Z,2A7zg1Y3TRdLokVbvzjdqGpKZsowTxi7eHyRF9qQxsCw,25.2101220922761,0,1,8.539629624,0.0007449303160645,4,4,40,14.435179193726905,33.954023771,0,33,26519.153951106768,0,1,1872,0,611461.7093516771,1,0,2025-01-31 20:20:14.212000+00:00,marketContext_0000000936,0.0006824049159054,30.462344322
96,939051.7168759514,544068.242886957,754.7001681211808,1089,17,750190.8012259648,78.1384285390009,11,0.7061714428804621,0,0,0,0,36.128362404,19.982121562,4,4,22.17058233343931,49.329653026,4,683504.5634659437,12.458051808,0,0,0,0,0,5,1,4,0,29,2025-01-31 20:20:15.266000+00:00,0,0,72,36.871601218,6,2,49.329653026,2025-01-31T20:02:06.000Z,2A7zg1Y3TRdLokVbvzjdqGpKZsowTxi7eHyRF9qQxsCw,27.417850517854713,0,1,16.146240842,0.0007501908012259,4,4,40,18.362413889479075,36.128362404,0,36,26519.153951106768,0,1,1872,0,617670.4213734856,1,0,2025-01-31 20:20:15.266000+00:00,marketContext_0000000937,0.0007449303160645,46.608585164000004
95,939051.7168759514,550282.3681489413,747.9460084379239,1090,16,744262.5135604449,75.062150370049,9,-0.7902373177372868,0,0,0,0,51.932800149,44.112423996,4,6,21.20514480054351,78.654453175,4,699780.8881999691,21.532144985,0,0,0,0,0,5,1,6,1,35,2025-01-31 20:20:16.338000+00:00,0,1,72,57.12230819,7,3,78.654453175,2025-01-31T20:02:06.000Z,2A7zg1Y3TRdLokVbvzjdqGpKZsowTxi7eHyRF9qQxsCw,29.03722069622859,0,1,7.820376153,0.0007442625135604,5,5,50,1.0864506274507642,51.932800149,0,37,26519.153951106768,0,2,1872,0,624112.0078652862,2,0,2025-01-31 20:20:16.338000+00:00,marketContext_0000000938,0.0007501908012259,54.428961317
94,939051.7168759514,556350.0825064847,743.8450731638891,1091,12,740663.0244837472,78.8644120130679,8,-0.4836316502732755,0,0,0,0,52.150800149,34.917765781,5,7,13.005138557552025,80.261999789,5,704323.3477870555,21.203763987,0,0,0,0,0,5,1,7,1,26,2025-01-31 20:20:17.352000+00:00,0,1,72,59.058235802,8,2,80.261999789,2025-01-31T20:02:06.000Z,2A7zg1Y3TRdLokVbvzjdqGpKZsowTxi7eHyRF9qQxsCw,31.21403024791828,0,1,17.233034368,0.0007406630244837,5,5,50,0.5975645580785443,52.150800149,0,35,26519.153951106768,0,2,1872,0,628428.7121844884,2,0,2025-01-31 20:20:17.352000+00:00,marketContext_0000000939,0.0007442625135604,71.661995685
93,939051.7168759514,564431.0197602905,850.527366210992,1092,9,834300.627332893,96.43064745529432,10,12.64240278693709,1,0,0,1,82.370039147,67.110619751,4,7,28.164124524641295,116.324062918,4,724198.5064647457,23.79904902,0,0,0,0,0,7,3,7,1,23,2025-01-31 20:20:18.385000+00:00,0,1,72,92.525013898,12,4,116.324062918,2025-01-31T20:02:06.000Z,2A7zg1Y3TRdLokVbvzjdqGpKZsowTxi7eHyRF9qQxsCw,51.80362557131831,0,3,15.259419396,0.0008343006273328,8,6,50,22.258882942821096,82.370039147,0,30,26519.153951106768,0,4,1872,0,638422.4620442052,4,0,2025-01-31 20:20:18.385000+00:00,marketContext_0000000940,0.0007406630244837,86.92141508099999
92,939051.7168759514,570765.0402474954,759.153322269223,1093,11,754099.4412413824,77.21465914881715,11,-9.612984032853866,1,0,0,1,101.77366862,96.607372069,4,8,15.84372769824058,141.986192391,4,735658.1459499766,15.375982058,0,0,0,0,0,10,4,8,2,29,2025-01-31 20:20:19.444000+00:00,0,2,72,126.610210333,15,6,141.986192391,2025-01-31T20:02:06.000Z,2A7zg1Y3TRdLokVbvzjdqGpKZsowTxi7eHyRF9qQxsCw,38.016535663527385,0,4,5.166296551,0.0007540994412413,11,6,61,1.230870187330374,101.77366862,0,35,26519.153951106768,0,5,1872,0,645996.8106101187,5,0,2025-01-31 20:20:19.444000+00:00,marketContext_0000000941,0.0008343006273328,92.087711632
91,939051.7168759514,576734.0316377431,738.4371587358835,1094,10,735916.3685112498,72.6366055526616,11,-2.411230102518048,1,0,0,1,84.373560907,92.432380691,2,7,16.11024509421319,140.485361056,2,747003.4870914826,2.840844117,0,0,0,0,0,8,4,7,3,23,2025-01-31 20:20:20.550000+00:00,0,2,72,137.644516939,19,5,140.485361056,2025-01-31T20:02:06.000Z,2A7zg1Y3TRdLokVbvzjdqGpKZsowTxi7eHyRF9qQxsCw,36.11312957621326,0,4,-8.058819784,0.0007359163685112,13,5,63,-1.9027736265744368,84.373560907,0,27,26519.153951106768,0,5,1872,0,653016.5501545328,5,0,2025-01-31 20:20:20.550000+00:00,marketContext_0000000942,0.0007540994412413,100.14653141599999
90,939051.7168759514,583499.4318538513,603.4649254023043,1095,19,617448.007740529,46.01504383221515,13,-16.0980738898879,4,0,2,4,155.571206098,171.639680633,4,9,-16.137617557958908,214.232736247,4,734047.9391563872,-15.908939285,0,0,0,2,0,10,4,9,3,29,2025-01-31 20:20:21.897000+00:00,0,2,72,230.141675532,19,5,214.232736247,2025-01-31T20:02:06.000Z,2A7zg1Y3TRdLokVbvzjdqGpKZsowTxi7eHyRF9qQxsCw,14.184327450036644,2,4,-16.068474535,0.0006174480077405,11,5,68,-16.635772634809303,155.571206098,0,37,26519.153951106768,0,5,1872,2,660287.8041299969,5,0,2025-01-31 20:20:21.897000+00:00,marketContext_0000000943,0.0007359163685112,116.215005951
