,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,65388.17469277,28306.99485336,-44.93273733,0.0,4.6305542,29560.81044989,1102,0.07509318036149737,2.41115,2AsWMvpFTg8Ka3c8i8tSwMFkBpVe7awrGZu9M4KwXWBH,23.38089945,0,0,0,-7.29129412,2.956e-05,0,0.543899589,30261.99826216,1.44045545,1.32915,4,0,-29,-2.563110022,23647.31539955,-6,1,439,0,27966.31319007,0,0.0,2025-03-05 15:29:36.279000+00:00,178,marketContext_1741188576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.956e-05,0.543899589,1.32915,0.785250411,0,1,0,0,0,0,0,0,0,0,0,2.41115,4.974260022,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
98,65388.17469277,28312.58546929,-44.93273733,0.0,1.14775935,29560.81044989,1103,0.0,0.0,2AsWMvpFTg8Ka3c8i8tSwMFkBpVe7awrGZu9M4KwXWBH,20.9750072,0,0,0,-7.64663664,2.956e-05,0,0.0,30017.24185246,1.56572035,0.0,4,0,-27,0.0,23647.31539955,-5,1,439,0,28137.15790319,0,0.0,2025-03-05 15:29:37.279000+00:00,178,marketContext_1741188577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.956e-05,0.543899589,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
97,65388.17469277,28309.74430378,-44.91438798,0.0,-0.57317905,29570.66061668,1104,0.03332170748419644,1.01,2AsWMvpFTg8Ka3c8i8tSwMFkBpVe7awrGZu9M4KwXWBH,22.75193519,0,0,0,-8.1621179,2.957e-05,0,0.08543997,29754.43176504,0.92350846,1.01,4,0,-27,0.08543997,23647.31539955,-5,0,439,0,28319.85420929,0,0.0,2025-03-05 15:29:38.279000+00:00,178,marketContext_1741188578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.956e-05,0.629339559,1.01,0.92456003,0,1,0,0,0,0,0,0,0,0,0,1.01,0.92456003,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
96,65388.17469277,28292.57251848,-45.62739703,0.0,-3.40955647,29187.90824341,1105,-1.294365311047033,1.207314949,2AsWMvpFTg8Ka3c8i8tSwMFkBpVe7awrGZu9M4KwXWBH,23.43011353,0,0,0,-8.98448442,2.919e-05,0,-0.179039833,29466.30692698,2.19052758,1.207314949,5,0,-20,-0.179039833,23647.31539955,1,2,441,0,28504.54063742,0,0.0,2025-03-05 15:29:39.282000+00:00,178,marketContext_1741188579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.957e-05,0.8083793920000001,1.207314949,1.386354782,0,1,0,0,0,0,0,0,0,0,0,1.207314949,1.386354782,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
95,65388.17469277,28275.03585925,-45.66393196,0.0,-3.48174158,29168.29582661,1106,-0.06719363595576838,1.207314949,2AsWMvpFTg8Ka3c8i8tSwMFkBpVe7awrGZu9M4KwXWBH,14.17538816,0,0,0,-6.31905066,2.917e-05,0,-0.179039833,29269.55834557,-1.25372484,1.207314949,5,0,-20,-0.179039833,23647.31539955,1,2,441,0,28625.253143,0,0.0,2025-03-05 15:29:40.279000+00:00,178,marketContext_1741188580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.919e-05,0.9874192250000001,1.207314949,1.386354782,0,1,0,0,0,0,0,0,0,0,0,1.207314949,1.386354782,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
94,65388.17469277,28270.86597718,-45.66393196,0.0,-0.85046151,29168.29582661,1107,0.0,1.207314949,2AsWMvpFTg8Ka3c8i8tSwMFkBpVe7awrGZu9M4KwXWBH,13.09063366,0,0,0,0.09350787,2.917e-05,0,-0.395856835,29272.28326269,-1.32782091,1.207314949,1,0,-20,-0.395856835,23647.31539955,2,0,439,0,28737.79752825,0,0.0,2025-03-05 15:29:41.280000+00:00,178,marketContext_1741188581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.917e-05,1.38327606,1.207314949,1.603171784,0,1,0,0,0,0,0,0,0,0,0,1.207314949,1.603171784,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
93,65388.17469277,28263.52112275,-45.96137638,0.0,-1.49643978,29008.62385972,1108,-0.5474161666399826,1.207314949,2AsWMvpFTg8Ka3c8i8tSwMFkBpVe7awrGZu9M4KwXWBH,9.57215256,0,0,0,-0.33149519,2.901e-05,0,0.0,29262.63506012,-1.86796837,0.0,1,0,-20,-0.558883765,23647.31539955,2,-2,439,0,28822.27001711,0,0.0,2025-03-05 15:29:42.282000+00:00,178,marketContext_1741188582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.917e-05,1.38327606,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1.207314949,1.766198714,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
92,65388.17469277,28258.144757,-45.96134733,0.0,-1.09979036,29008.63945419,1109,5.3758073531209126e-05,1.207314949,2AsWMvpFTg8Ka3c8i8tSwMFkBpVe7awrGZu9M4KwXWBH,15.32059375,0,0,0,-0.99464779,2.901e-05,0,0.0,29233.49180821,-1.90060401,0.0,1,0,-19,-0.558883765,23647.31539955,3,-1,440,0,28950.73206247,0,0.0,2025-03-05 15:29:43.280000+00:00,178,marketContext_1741188583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.901e-05,1.38327606,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1.207314949,1.766198714,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
91,65388.17469277,28248.66620886,-45.96134733,0.0,-1.9227985,29008.63945419,1110,0.0,1.207314949,2AsWMvpFTg8Ka3c8i8tSwMFkBpVe7awrGZu9M4KwXWBH,12.6134724,0,0,0,1.56288507,2.901e-05,0,0.0,29278.13131352,-0.61418855,0.0,1,0,-19,-0.558883765,23647.31539955,3,1,440,0,29059.03753881,0,0.0,2025-03-05 15:29:44.281000+00:00,178,marketContext_1741188584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.901e-05,1.38327606,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1.207314949,1.766198714,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
90,65388.17469277,28238.74087122,-45.96134733,0.0,-2.01161007,29008.63945419,1111,0.0,1.207314949,2AsWMvpFTg8Ka3c8i8tSwMFkBpVe7awrGZu9M4KwXWBH,14.2141795,0,0,0,-1.79422512,2.901e-05,0,0.0,29225.13236354,-0.5473627,0.0,1,0,-19,-0.558883765,23647.31539955,4,1,440,0,29057.41179415,0,0.0,2025-03-05 15:29:45.281000+00:00,178,marketContext_1741188585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.901e-05,1.38327606,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1.207314949,1.766198714,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
