,athMarketCap,maMarketCap60s,priceChangeFromStart,timeFromStart,trade_last5Seconds.tradeCount.buy.small,marketCap,marketCapChange60s,trade_last10Seconds.tradeCount.buy.medium,priceChangePercent,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.tradeCount.buy.large,largeBuy10s,marketCapChange10s,trade_last10Seconds.volume.buy,largeBuy5s,maMarketCap10s,netVolume10s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,trade_last10Seconds.tradeCount.buy.super,holderDelta5s,trade_last10Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.small,originalTimestamp,trade_last10Seconds.tradeCount.bot,trade_last5Seconds.tradeCount.sell.big,initialHoldersCount,trade_last10Seconds.volume.sell,trade_last10Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,buyVolume10s,creationTime,poolAddress,marketCapChange30s,superBuy5s,bigBuy5s,netVolume5s,currentPrice,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.sell.small,marketCapChange5s,buyVolume5s,trade_last5Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,minMarketCap,holderDelta30s,trade_last10Seconds.tradeCount.buy.big,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,trade_last5Seconds.tradeCount.bot,timestamp,doc_id,lastPrice,totalVolume
99,492726.21434859425,134565.4558777396,28.31334595243778,825,0,117538.97033556808,-18.543737844280276,0,-0.12335358514727512,0,0,0,0,0.0,0.020819892,0,0,-0.2117279271598455,0.0,0,117735.35852255572,-0.059586801,0,0,0,0,0,0,0,0,0,1,2025-01-30 21:29:14.214000+00:00,0,0,132,0.059586801,0,0,0.0,2025-01-30T21:15:29.000Z,2AzRLVp1wb8eohVEeJS2iAYVWZpQAfcSARdRSGx9HCxT,-25.081689994521103,0,0,-0.020819892,0.0001175389703355,0,0,2,-0.1908133944123692,0.0,0,0,54444.89367101452,0,0,330,0,120853.48999375454,0,0,2025-01-30 21:29:14.214000+00:00,marketContext_0000000672,0.0001175389703355,0.020819892
98,492726.21434859425,134010.3387456859,28.436094421524903,826,0,117651.4117075834,-18.465814293904774,0,0.09566305685195202,0,0,0,0,0.0,0.020819892,0,0,-0.1162674157152239,0.0,0,117720.14191327013,-0.020819892,0,0,0,0,0,0,0,0,0,1,2025-01-30 21:29:15.268000+00:00,0,0,132,0.020819892,0,0,0.0,2025-01-30T21:15:29.000Z,2AzRLVp1wb8eohVEeJS2iAYVWZpQAfcSARdRSGx9HCxT,-25.01002084902804,0,0,-0.020819892,0.0001176514117075,0,0,1,-0.095332875486395,0.0,0,0,54444.89367101452,0,0,330,0,119218.56918331288,0,0,2025-01-30 21:29:15.268000+00:00,marketContext_0000000673,0.0001175389703355,0.041639784
97,492726.21434859425,133454.38888897933,28.3924596599116,827,0,117611.44092424208,-18.49351464381532,0,-0.03397390882199513,0,0,0,0,0.0,0.020819892,0,0,-0.1502018239514142,0.0,0,117700.48410583552,-0.020819892,0,0,0,0,0,0,0,0,0,1,2025-01-30 21:29:16.618000+00:00,0,0,132,0.020819892,0,0,0.0,2025-01-30T21:15:29.000Z,2AzRLVp1wb8eohVEeJS2iAYVWZpQAfcSARdRSGx9HCxT,-26.920311500707776,0,0,-0.020819892,0.0001176114409242,0,0,1,-0.129274396004195,0.0,0,0,54444.89367101452,0,0,330,0,119154.28405295004,0,0,2025-01-30 21:29:16.618000+00:00,marketContext_0000000674,0.0001176514117075,0.062459676
96,492726.21434859425,132896.929228342,28.31334595243778,828,0,117538.97033556808,-18.543737844280276,0,-0.061618655552966174,0,0,0,0,0.0,0.020819892,0,0,-0.1908133944123692,0.0,0,117675.51645320396,-0.020819892,0,0,-9,0,0,0,0,0,0,1,2025-01-30 21:29:17.785000+00:00,0,0,132,0.020819892,0,0,0.0,2025-01-30T21:15:29.000Z,2AzRLVp1wb8eohVEeJS2iAYVWZpQAfcSARdRSGx9HCxT,-0.2690544945769391,0,0,-0.020819892,0.0001175389703355,0,0,1,-0.1233535851472751,0.0,0,0,54444.89367101452,0,0,321,0,117418.40760415864,0,0,2025-01-30 21:29:17.785000+00:00,marketContext_0000000675,0.0001176114409242,0.083279568
95,492726.21434859425,132339.46956770465,28.31334595243778,829,0,117538.97033556808,-19.2432948656644,0,0.0,0,0,0,0,0.0,0.0,0,0,-0.1908133944123692,0.0,0,117650.5488005724,-0.020819892,0,0,-9,0,0,0,0,0,0,0,2025-01-30 21:29:18.936000+00:00,0,0,132,0.020819892,0,0,0.0,2025-01-30T21:15:29.000Z,2AzRLVp1wb8eohVEeJS2iAYVWZpQAfcSARdRSGx9HCxT,2.1474218404913925,0,0,0.0,0.0001175389703355,0,0,1,0.0,0.0,0,0,54444.89367101452,0,0,321,0,117405.72372230171,0,0,2025-01-30 21:29:18.936000+00:00,marketContext_0000000676,0.0001175389703355,0.083279568
94,492726.21434859425,131755.96872490275,28.31334595243778,831,0,117538.97033556808,-19.2432948656644,0,0.0,0,0,0,0,0.0,0.0,0,0,-0.1908133944123692,0.0,0,117625.58114794081,-0.020819892,0,0,-9,0,0,0,0,0,0,0,2025-01-30 21:29:20.307000+00:00,0,0,132,0.020819892,0,0,0.0,2025-01-30T21:15:29.000Z,2AzRLVp1wb8eohVEeJS2iAYVWZpQAfcSARdRSGx9HCxT,-2.710399747572809,0,0,0.0,0.0001175389703355,0,0,1,-0.0955716301091064,0.0,0,0,54444.89367101452,0,0,321,0,117504.5635157922,0,0,2025-01-30 21:29:20.307000+00:00,marketContext_0000000677,0.0001175389703355,0.083279568
93,492726.21434859425,131172.46788210084,28.31334595243778,832,0,117538.97033556808,-19.2432948656644,0,0.0,0,0,0,0,0.0,0.0,0,0,-0.1908133944123692,0.0,0,117600.61349530926,-0.020819892,0,0,-9,0,0,0,0,0,0,0,2025-01-30 21:29:21.598000+00:00,0,0,132,0.020819892,0,0,0.0,2025-01-30T21:15:29.000Z,2AzRLVp1wb8eohVEeJS2iAYVWZpQAfcSARdRSGx9HCxT,4.3114678158637885,0,0,0.0,0.0001175389703355,0,0,1,-0.0616186555529661,0.0,0,0,54444.89367101452,0,0,321,0,117373.58236479522,0,0,2025-01-30 21:29:21.598000+00:00,marketContext_0000000678,0.0001175389703355,0.083279568
92,492726.21434859425,130586.15436809516,28.165962015816127,833,0,117403.96211778742,-19.367844728044744,0,-0.1148625152961743,0,0,0,0,0.0,0.05609247,0,0,-0.2380744134128412,0.0,0,117560.64492959096,-0.076912362,0,0,-9,0,0,0,0,0,0,1,2025-01-30 21:29:22.719000+00:00,0,0,132,0.076912362,0,0,0.0,2025-01-30T21:15:29.000Z,2AzRLVp1wb8eohVEeJS2iAYVWZpQAfcSARdRSGx9HCxT,2.074505267301286,0,0,-0.05609247,0.0001174039621177,0,0,2,-0.1148625152961743,0.0,0,0,54444.89367101452,0,0,321,0,117562.50985001375,0,0,2025-01-30 21:29:22.719000+00:00,marketContext_0000000679,0.0001175389703355,0.139372038
91,492726.21434859425,129998.33373957008,28.14963399811083,834,0,117389.00515150728,-19.40997076452972,0,-0.01273974575502815,0,0,0,0,0.0,0.108290507,0,0,-0.1275876278587858,0.0,0,117527.85239766228,-0.108290507,0,0,-9,0,0,0,0,0,0,2,2025-01-30 21:29:23.782000+00:00,0,0,132,0.108290507,0,0,0.0,2025-01-30T21:15:29.000Z,2AzRLVp1wb8eohVEeJS2iAYVWZpQAfcSARdRSGx9HCxT,-0.1667100521164954,0,0,-0.108290507,0.0001173890051515,0,0,2,-0.1275876278587858,0.0,0,0,54444.89367101452,0,0,321,0,117657.3536750211,0,0,2025-01-30 21:29:23.782000+00:00,marketContext_0000000680,0.0001174039621177,0.247662545
90,492726.21434859425,129409.00178664229,28.13326714772275,835,0,117374.01261329568,-19.420263458391705,0,-0.012771671582235633,0,0,0,0,0.0,0.11987391,0,0,-0.2357805063802994,0.0,0,117509.52376185425,-0.11987391,0,0,-9,0,0,0,0,0,0,3,2025-01-30 21:29:24.805000+00:00,0,0,132,0.11987391,0,0,0.0,2025-01-30T21:15:29.000Z,2AzRLVp1wb8eohVEeJS2iAYVWZpQAfcSARdRSGx9HCxT,-0.1794604320383802,0,0,-0.11987391,0.0001173740126132,0,0,3,-0.1403430043682118,0.0,0,0,54444.89367101452,0,0,321,0,117648.91293081961,0,0,2025-01-30 21:29:24.805000+00:00,marketContext_0000000681,0.0001173890051515,0.367536455
89,492726.21434859425,128820.20660187645,28.161393792834843,836,0,117399.77748507056,-19.4025753302156,0,0.02195108712842297,0,0,0,0,0.0,0.11987391,0,0,-0.1799684091174906,0.0,0,117481.56440379727,-0.11987391,0,0,0,0,0,0,0,0,0,3,2025-01-30 21:29:25.957000+00:00,0,0,132,0.11987391,0,0,0.0,2025-01-30T21:15:29.000Z,2AzRLVp1wb8eohVEeJS2iAYVWZpQAfcSARdRSGx9HCxT,-0.157548738425755,0,0,-0.11987391,0.000117399777485,0,0,3,-0.1184227240549563,0.0,0,0,54444.89367101452,0,0,321,0,117641.50278148914,0,0,2025-01-30 21:29:25.957000+00:00,marketContext_0000000682,0.0001173740126132,0.487410365
88,492726.21434859425,128231.4114171106,28.161393792834843,838,0,117399.77748507056,-20.651509048901175,0,0.0,0,0,0,0,0.0,0.06378144,0,0,-0.1184227240549563,0.0,0,117458.04624388932,-0.11987391,0,0,0,0,0,0,0,0,0,2,2025-01-30 21:29:27.210000+00:00,0,0,132,0.11987391,0,0,0.0,2025-01-30T21:15:29.000Z,2AzRLVp1wb8eohVEeJS2iAYVWZpQAfcSARdRSGx9HCxT,-0.2882128851332408,0,0,-0.06378144,0.000117399777485,0,0,3,-0.0035643028066385,0.0,0,0,54444.89367101452,0,0,321,0,117634.09263215866,0,0,2025-01-30 21:29:27.210000+00:00,marketContext_0000000683,0.000117399777485,0.551191805
87,492726.21434859425,127594.85169334985,28.161393792834843,839,1,117399.77748507056,-20.651509048901175,0,0.0,0,0,0,0,0.00999,0.0,0,0,-0.1184227240549563,0.00999,0,117442.5803716118,-0.10988391,0,0,0,0,0,0,0,0,0,0,2025-01-30 21:29:28.459000+00:00,0,0,132,0.11987391,0,0,0.00999,2025-01-30T21:15:29.000Z,2AzRLVp1wb8eohVEeJS2iAYVWZpQAfcSARdRSGx9HCxT,-0.2882128851332408,0,0,0.00999,0.000117399777485,0,0,3,0.0091766120254305,0.00999,0,1,54444.89367101452,0,0,321,0,117620.51905994136,0,0,2025-01-30 21:29:28.459000+00:00,marketContext_0000000684,0.000117399777485,0.561181805
86,492726.21434859425,126897.97761063185,25.000922122334597,840,1,114504.68825512382,-22.61190093795248,0,-2.4660091287778587,0,0,0,0,0.00999,0.0,0,0,-2.5815115376470725,0.00999,0,117105.43791822912,-0.10988391,0,0,0,0,0,0,0,0,0,0,2025-01-30 21:29:29.762000+00:00,0,0,132,0.11987391,0,0,0.00999,2025-01-30T21:15:29.000Z,2AzRLVp1wb8eohVEeJS2iAYVWZpQAfcSARdRSGx9HCxT,-2.7471146578533996,0,0,0.00999,0.0001145046882551,0,0,3,-2.4445993574618883,0.00999,0,1,54444.89367101452,0,0,321,0,117491.1419185262,0,0,2025-01-30 21:29:29.762000+00:00,marketContext_0000000685,0.000117399777485,0.5711718050000001
85,492726.21434859425,126195.68032470543,24.724366067265155,841,1,114251.35440499587,-22.783116853983703,0,-0.2212432119490954,0,0,0,0,0.00999,1.126672978,0,0,-2.797043330553441,0.00999,0,116740.14725927664,-1.236556888,0,0,0,0,0,0,0,0,0,0,2025-01-30 21:29:30.966000+00:00,0,0,132,1.246546888,1,0,0.00999,2025-01-30T21:15:29.000Z,2AzRLVp1wb8eohVEeJS2iAYVWZpQAfcSARdRSGx9HCxT,-2.9622800650975356,0,0,-1.116682978,0.0001142513544049,1,0,3,-2.681796462923488,0.00999,0,1,54444.89367101452,0,0,321,0,117351.63142310592,0,0,2025-01-30 21:29:30.966000+00:00,marketContext_0000000686,0.0001145046882551,1.6878547830000001
84,492726.21434859425,124923.97130109048,-5.112802012250657,843,1,86919.59099594624,-41.25531433752501,0,-23.922485253141566,0,0,0,0,0.00999,13.949092969,0,0,-26.050406305419383,0.00999,0,113337.99399931869,-14.002884409,0,0,-1,0,0,1,0,0,0,1,2025-01-30 21:29:32.031000+00:00,0,0,132,14.012874409,7,1,0.00999,2025-01-30T21:15:29.000Z,2AzRLVp1wb8eohVEeJS2iAYVWZpQAfcSARdRSGx9HCxT,-26.207300735414876,0,0,-13.939102969,8.69195909959e-05,7,0,3,-25.96272935270291,0.00999,0,1,54444.89367101452,0,0,320,0,116116.86002499648,0,0,2025-01-30 21:29:32.031000+00:00,marketContext_0000000687,0.0001142513544049,15.626957752000001
83,492726.21434859425,123652.26227747554,-5.112802012250657,844,0,86919.59099594624,-41.25531433752501,0,0.0,0,0,0,0,0.0,18.343275619,0,0,-25.955935239621393,0.00999,0,109950.84165244742,-18.333285619,0,0,-1,0,0,2,0,0,0,1,2025-01-30 21:29:33.329000+00:00,0,0,132,18.343275619,8,2,0.00999,2025-01-30T21:15:29.000Z,2AzRLVp1wb8eohVEeJS2iAYVWZpQAfcSARdRSGx9HCxT,-26.240938798482414,0,0,-18.343275619,8.69195909959e-05,8,0,1,-25.96272935270291,0.0,0,1,54444.89367101452,0,0,320,0,114993.8881392638,0,0,2025-01-30 21:29:33.329000+00:00,marketContext_0000000688,8.69195909959e-05,33.970233371
82,492726.21434859425,121924.09312193251,-28.899838161010432,845,0,65129.93446796102,-56.89242036512361,0,-25.068751794979615,0,0,0,0,0.0,22.049397989,0,0,-44.510771151242594,0.00999,0,102490.56144689812,-23.166080967,0,0,-1,0,0,3,0,0,0,1,2025-01-30 21:29:34.869000+00:00,0,0,132,23.176070967,8,3,0.00999,2025-01-30T21:15:29.000Z,2AzRLVp1wb8eohVEeJS2iAYVWZpQAfcSARdRSGx9HCxT,-44.70596771249372,0,0,-22.049397989,6.51299344679e-05,7,0,1,-43.1202901292152,0.0,0,1,54444.89367101452,0,0,320,0,112966.47815903364,0,0,2025-01-30 21:29:34.869000+00:00,marketContext_0000000689,8.69195909959e-05,56.01963136
