,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,561088.08305792,252020.65941841,423.01621369,0.0,10.77592147,293755.92853242,1092,0.0,4.0691,2B1Fh2X3rTQw8Whjq8FQvHAenzyfAG3vvHLopdt6Gaud,24.89099034,0,0,0,17.45997581,0.00029376,0,0.0,277307.80094236,8.85671803,0.0,0,0,-18,3.599880877,55639.75404663,-3,0,1844,0,253991.3091199,0,0.0,2025-03-07 19:37:59.160000+00:00,389,marketContext_1741376279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029376,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,4.0691,0.4692191229999998,0,2,0,0,0,0,0,0,0,0,0,0,0,1092
98,561088.08305792,252559.8220907,423.01621369,0.0,14.45823699,293755.92853242,1093,0.0,0.0,2B1Fh2X3rTQw8Whjq8FQvHAenzyfAG3vvHLopdt6Gaud,24.7970937,0,0,0,12.0510098,0.00029376,0,0.0,280818.16206195,11.29297306,0.0,0,0,-18,0.0,55639.75404663,-3,0,1844,0,256236.27427112,0,0.0,2025-03-07 19:38:00.246000+00:00,389,marketContext_1741376280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029376,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1092
97,561088.08305792,253568.09381586,452.09351186,0.0,16.65476119,310087.40832492,1094,5.559540491346692,0.0,2B1Fh2X3rTQw8Whjq8FQvHAenzyfAG3vvHLopdt6Gaud,31.78822518,0,0,0,15.86808245,0.00031009,0,0.0,285536.64349515,-0.38442257,0.0,0,0,-18,0.0,55639.75404663,-3,0,1844,0,258230.76071756,0,0.0,2025-03-07 19:38:01.273000+00:00,389,marketContext_1741376281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029376,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1092
96,561088.08305792,254853.96165767,494.6103914,0.0,25.46126749,333967.32848934,1095,7.701028652993423,0.0,2B1Fh2X3rTQw8Whjq8FQvHAenzyfAG3vvHLopdt6Gaud,41.93727417,0,0,0,26.27116386,0.00033397,0,0.0,290379.71199457,7.28700159,0.0,0,0,-18,0.0,55639.75404663,0,0,1844,0,261885.39527612,0,0.0,2025-03-07 19:38:02.295000+00:00,389,marketContext_1741376282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031009,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1092
95,561088.08305792,255831.48466136,466.18197476,0.0,22.22972477,318000.29781282,1096,-4.781015780421034,0.0,2B1Fh2X3rTQw8Whjq8FQvHAenzyfAG3vvHLopdt6Gaud,35.15123069,0,0,0,18.25862878,0.000318,0,0.0,298712.30796178,8.25323574,0.0,0,0,-18,0.0,55639.75404663,0,0,1844,0,264948.65832814,0,0.0,2025-03-07 19:38:03.378000+00:00,389,marketContext_1741376283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033397,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1092
94,561088.08305792,256895.09196044,463.5771497,0.0,21.66738428,316537.27853554,1097,-0.460068524255754,15.449978279,2B1Fh2X3rTQw8Whjq8FQvHAenzyfAG3vvHLopdt6Gaud,33.1329908,0,0,1,17.29877061,0.00031654,0,15.449978279,303899.16328167,7.75519668,15.449978279,0,0,-13,15.449978279,55639.75404663,0,0,1844,0,267866.32753259,1,0.0,2025-03-07 19:38:04.425000+00:00,389,marketContext_1741376284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000318,15.449978279,15.449978279,0.0,0,1,0,0,1,0,0,0,0,0,0,15.449978279,0.0,0,2,0,0,1,0,0,0,0,0,0,0,0,1092
93,561088.08305792,257698.92392354,450.14426956,0.0,15.99278229,308992.60195568,1098,-2.3835033316677032,19.250192229,2B1Fh2X3rTQw8Whjq8FQvHAenzyfAG3vvHLopdt6Gaud,29.95976153,0,1,0,17.06557038,0.00030899,1,0.893700996,304408.50714907,5.18684797,2.40021395,0,0,-13,16.135832476,55639.75404663,0,0,1844,0,270504.56427113,1,0.0,2025-03-07 19:38:05.463000+00:00,389,marketContext_1741376285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031654,16.343679275,2.40021395,1.506512954,0,1,0,1,0,0,0,0,0,0,0,19.250192229,3.1143597529999987,0,2,0,1,1,0,0,0,0,0,0,0,0,1092
92,561088.08305792,258820.6990044,462.85470619,0.0,23.16295534,316131.51278532,1099,2.3103824442600636,21.603767229,2B1Fh2X3rTQw8Whjq8FQvHAenzyfAG3vvHLopdt6Gaud,30.23072319,0,1,0,1.55724594,0.00031613,1,2.239597179,309626.82679951,1.94916153,4.75378895,0,0,-13,17.481728659,55639.75404663,0,0,1844,0,273222.49954312,1,0.0,2025-03-07 19:38:06.476000+00:00,389,marketContext_1741376286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030899,18.583276454,4.75378895,2.5141917709999997,0,1,0,1,0,0,0,0,0,0,0,21.603767229,4.122038569999997,0,2,0,1,1,0,0,0,0,0,0,0,0,1092
91,561088.08305792,259829.50818373,465.36589676,0.0,20.24685236,317541.94156255,1100,0.44615254100981533,23.623673632,2B1Fh2X3rTQw8Whjq8FQvHAenzyfAG3vvHLopdt6Gaud,30.65850939,0,1,0,8.09720272,0.00031754,1,0.885252231,310252.61550634,-4.91826162,6.773695353,0,0,-13,16.127383711,55639.75404663,0,0,1844,0,275982.12834031,1,0.0,2025-03-07 19:38:07.627000+00:00,389,marketContext_1741376287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031613,19.468528685,6.773695353,5.888443122,0,1,0,1,0,0,0,0,0,0,0,23.623673632,7.496289920999999,0,2,0,1,1,0,0,0,0,0,0,0,0,1092
90,561088.08305792,260871.50211453,468.5922403,0.0,20.90865128,319354.04129789,1101,0.5706646896545652,24.675557952,2B1Fh2X3rTQw8Whjq8FQvHAenzyfAG3vvHLopdt6Gaud,32.1183237,0,1,0,8.71407528,0.00031935,1,1.937136551,312812.42678289,0.4257051,7.825579673,0,0,-13,17.179268031,55639.75404663,0,0,1844,0,278857.52966292,1,0.0,2025-03-07 19:38:08.671000+00:00,389,marketContext_1741376288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031754,21.405665235999997,7.825579673,5.888443122,0,1,0,1,0,0,0,0,0,0,0,24.675557952,7.496289920999999,0,2,0,1,1,0,0,0,0,0,0,0,0,1092
