,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,553730.66272154,425173.72213217,1005.40205629,0.0,59.90655921,534520.48851488,810,7.8816012362260155,0,2C9hMX4dD7BjsigrmBgeEUu5a8PLfwBaDezMeM7F9L7M,13.97880884,0,0,0,-3.4692271,0.00053452,0,0,511587.44711812,5.95319827,0,60,0,316,0,41382.08421465,192,6,1733,0,489660.05761338,0,0.0,2025-03-11 22:17:17.883000+00:00,230,marketContext_1741731437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00053452,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,810
98,553730.66272154,427671.34789406,991.04145872,0.0,47.00443611,527576.37836976,811,-1.2991289004487219,0,2C9hMX4dD7BjsigrmBgeEUu5a8PLfwBaDezMeM7F9L7M,4.83983032,0,0,0,-1.85922975,0.00052758,0,0,510159.63553405,-2.54138902,0,51,0,317,0,41382.08421465,172,7,1734,0,491383.52673867,0,0.0,2025-03-11 22:17:18.888000+00:00,230,marketContext_1741731438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00053452,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,810
97,553730.66272154,427671.34789406,991.04145872,0.0,47.00443611,527576.37836976,812,-1.2991289004487219,0,2C9hMX4dD7BjsigrmBgeEUu5a8PLfwBaDezMeM7F9L7M,4.83983032,0,0,0,-1.85922975,0.00052758,0,0,510159.63553405,-2.54138902,0,51,0,317,0,41382.08421465,172,1,1734,0,491383.52673867,0,0.0,2025-03-11 22:17:19.881000+00:00,230,marketContext_1741731439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00052758,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,810
96,553730.66272154,432934.17606562,926.11286886,0.0,39.98449344,496179.96348853,813,-5.951065318398207,0,2C9hMX4dD7BjsigrmBgeEUu5a8PLfwBaDezMeM7F9L7M,5.96493453,0,0,0,5.13625845,0.00049618,0,0,513622.50032243,0.14338105,0,31,0,326,0,41382.08421465,165,12,1745,0,492149.85840196,0,0.0,2025-03-11 22:17:20.889000+00:00,230,marketContext_1741731440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00052758,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,810
95,553730.66272154,436228.70071498,918.5225932,0.0,36.53188516,492509.6628674,814,-0.7397115746739432,0,2C9hMX4dD7BjsigrmBgeEUu5a8PLfwBaDezMeM7F9L7M,-2.00875825,0,0,0,-2.37423058,0.00049251,0,0,510983.39564055,-7.85953514,0,31,0,326,0,41382.08421465,165,11,1745,0,492166.21315039,0,0.0,2025-03-11 22:17:21.891000+00:00,230,marketContext_1741731441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00049618,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,810
94,553730.66272154,436228.70071498,918.5225932,0.0,36.53188516,492509.6628674,815,-0.7397115746739432,0,2C9hMX4dD7BjsigrmBgeEUu5a8PLfwBaDezMeM7F9L7M,-2.00875825,0,0,0,-2.37423058,0.00049251,0,0,510983.39564055,-7.85953514,0,31,0,332,0,41382.08421465,159,24,1758,0,492166.21315039,0,0.0,2025-03-11 22:17:22.885000+00:00,230,marketContext_1741731442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00049251,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,810
93,553730.66272154,440607.32455793,919.31228748,0.0,55.12095841,492891.52191493,816,0.07753331078006706,0,2C9hMX4dD7BjsigrmBgeEUu5a8PLfwBaDezMeM7F9L7M,7.20489562,0,0,0,-8.94868486,0.00049289,0,0,504991.07936837,-6.57437631,0,31,0,332,0,41382.08421465,159,13,1758,0,493246.50200457,0,0.0,2025-03-11 22:17:23.889000+00:00,230,marketContext_1741731443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00049251,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,810
92,553730.66272154,441751.50657866,908.20133496,0.0,43.34461456,487518.78740788,817,-1.0900440093129518,0,2C9hMX4dD7BjsigrmBgeEUu5a8PLfwBaDezMeM7F9L7M,8.34621049,0,0,0,-1.66828682,0.00048752,0,0,503809.47951193,-1.74557151,0,28,0,331,0,41382.08421465,155,16,1761,0,492986.15134108,0,0.0,2025-03-11 22:17:24.889000+00:00,230,marketContext_1741731444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00049289,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,810
91,553730.66272154,441751.50657866,908.20133496,0.0,43.34461456,487518.78740788,818,-1.0900440093129518,0,2C9hMX4dD7BjsigrmBgeEUu5a8PLfwBaDezMeM7F9L7M,8.34621049,0,0,0,-1.66828682,0.00048752,0,0,503809.47951193,-1.74557151,0,28,0,331,0,41382.08421465,155,3,1761,0,492986.15134108,0,0.0,2025-03-11 22:17:25.880000+00:00,230,marketContext_1741731445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048752,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,810
90,553730.66272154,445542.33320664,924.76151057,0.0,39.7009327,495526.51012684,819,1.6425464875985187,0,2C9hMX4dD7BjsigrmBgeEUu5a8PLfwBaDezMeM7F9L7M,6.66476917,0,0,0,-7.2951326,0.00049553,0,0,503817.6160986,0.6125458,0,27,0,323,0,41382.08421465,146,3,1761,0,496509.21978331,0,0.0,2025-03-11 22:17:26.886000+00:00,230,marketContext_1741731446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048752,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,810
