,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,96219.60953935,88444.73744287,99.91164037,0.0,7.83111799,91329.63235977,1102,-0.08959239022133603,0,2CCjwBiFa5HSfaVXK7tdWFg9uusCjswLjFxrgG3jJnjV,0.55322339,0,0,0,1.30122111,9.133e-05,0,0,91573.08576671,-0.03139916,0,4,0,21,0,45701.39576124,10,0,490,0,90865.35097807,0,0.0,2025-03-11 14:53:03.386000+00:00,72,marketContext_1741704783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.133e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
98,96219.60953935,88634.52755636,100.17977768,0.0,8.88317101,91452.13089011,1103,0.13412791354459877,0,2CCjwBiFa5HSfaVXK7tdWFg9uusCjswLjFxrgG3jJnjV,1.66963044,0,0,0,-0.75389609,9.145e-05,0,0,91693.40201503,0.0476078,0,4,0,21,0,45701.39576124,10,0,490,0,90928.95144571,0,0.0,2025-03-11 14:53:04.398000+00:00,72,marketContext_1741704784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.133e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
97,96219.60953935,88634.52755636,100.17977768,0.0,8.88317101,91452.13089011,1104,0.13412791354459877,0,2CCjwBiFa5HSfaVXK7tdWFg9uusCjswLjFxrgG3jJnjV,1.66963044,0,0,0,-0.75389609,9.145e-05,0,0,91693.40201503,0.0476078,0,1,0,22,0,45701.39576124,9,1,491,0,90928.95144571,0,0.0,2025-03-11 14:53:05.388000+00:00,72,marketContext_1741704785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.145e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
96,96219.60953935,88956.56985801,100.2553237,0.0,9.05222866,91486.64409201,1105,0.03773908991445036,0,2CCjwBiFa5HSfaVXK7tdWFg9uusCjswLjFxrgG3jJnjV,1.63085236,0,0,0,-1.83856202,9.149e-05,0,0,91663.86516888,0.08217121,0,1,0,22,0,45701.39576124,9,1,491,0,91064.88078321,0,0.0,2025-03-11 14:53:06.391000+00:00,72,marketContext_1741704786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.145e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
95,96219.60953935,89155.35975431,100.16751548,0.0,9.00439837,91446.528903,1106,-0.04384813696650438,0,2CCjwBiFa5HSfaVXK7tdWFg9uusCjswLjFxrgG3jJnjV,0.629488,0,0,0,0.09655475,9.145e-05,0,0,91413.34253499,0.1279941,0,2,0,23,0,45701.39576124,9,2,492,0,91084.96752636,0,0.0,2025-03-11 14:53:07.393000+00:00,72,marketContext_1741704787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.149e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
94,96219.60953935,89155.35975431,100.16751548,0.0,9.00439837,91446.528903,1107,-0.04384813696650438,0,2CCjwBiFa5HSfaVXK7tdWFg9uusCjswLjFxrgG3jJnjV,0.629488,0,0,0,0.09655475,9.145e-05,0,0,91413.34253499,0.1279941,0,2,0,23,0,45701.39576124,9,1,492,0,91084.96752636,0,0.0,2025-03-11 14:53:08.382000+00:00,72,marketContext_1741704788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.145e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
93,96219.60953935,89362.56332163,100.53430735,0.0,9.40255732,91614.09776939,1108,0.18324245698657915,0,2CCjwBiFa5HSfaVXK7tdWFg9uusCjswLjFxrgG3jJnjV,0.81388394,0,0,0,0.22479775,9.161e-05,0,0,91449.8824873,0.17710564,0,2,0,23,0,45701.39576124,8,1,492,0,91123.89451801,0,0.0,2025-03-11 14:53:09.381000+00:00,72,marketContext_1741704789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.145e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
92,96219.60953935,89569.32268562,100.49644306,0.0,9.382447,91596.79946798,1109,-0.018881702529615765,0,2CCjwBiFa5HSfaVXK7tdWFg9uusCjswLjFxrgG3jJnjV,0.79484857,0,0,0,0.20267611,9.16e-05,0,0,91476.76623097,0.12040596,0,2,0,23,0,45701.39576124,8,0,492,0,91161.91107275,0,0.0,2025-03-11 14:53:10.404000+00:00,72,marketContext_1741704790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.161e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
91,96219.60953935,89569.32268562,100.49644306,0.0,9.382447,91596.79946798,1110,-0.018881702529615765,0,2CCjwBiFa5HSfaVXK7tdWFg9uusCjswLjFxrgG3jJnjV,0.79484857,0,0,0,0.20267611,9.16e-05,0,0,91476.76623097,0.12040596,0,3,0,23,0,45701.39576124,8,1,493,0,91161.91107275,0,0.0,2025-03-11 14:53:11.394000+00:00,72,marketContext_1741704791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.16e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
90,96219.60953935,89778.39276016,100.69610738,0.0,9.48691749,91688.01611273,1111,0.09958496943652242,0,2CCjwBiFa5HSfaVXK7tdWFg9uusCjswLjFxrgG3jJnjV,0.71769799,0,0,0,0.39240687,9.169e-05,0,0,91516.26422786,0.26407477,0,3,0,23,0,45701.39576124,8,0,493,0,91196.29812242,0,0.0,2025-03-11 14:53:12.390000+00:00,72,marketContext_1741704792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.16e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
