,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,469347.50349951,4135.91154366,-92.09836466,0.0,-14.17523743,3850.67357824,1006,0.0,0.0,2CCn9UJKrUu9y1HUW74PNngTSYhVJaQywtu33tdbiXz7,-6.84470897,0,0,0,0.0,3.85e-06,0,0.0,3850.67357824,0.0,0.0,0,0,-2,0.0,3236.96021414,0,0,169,0,3897.33961942,0,0.0,2025-03-11 19:30:58.549000+00:00,17,marketContext_1741721458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1006
98,469347.50349951,4119.75905097,-92.09836466,0.0,-14.97886882,3850.67357824,1007,0.0,0.0,2CCn9UJKrUu9y1HUW74PNngTSYhVJaQywtu33tdbiXz7,-6.84470897,0,0,0,0.0,3.85e-06,0,0.0,3850.67357824,0.0,0.0,0,0,-2,0.0,3236.96021414,0,0,169,0,3871.37958494,0,0.0,2025-03-11 19:30:59.554000+00:00,17,marketContext_1741721459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1006
97,469347.50349951,4103.60655827,-92.09836466,0.0,-14.97886882,3850.67357824,1008,0.0,0.0,2CCn9UJKrUu9y1HUW74PNngTSYhVJaQywtu33tdbiXz7,-6.84470897,0,0,0,0.0,3.85e-06,0,0.0,3850.67357824,0.0,0.0,0,0,-2,0.0,3236.96021414,0,0,169,0,3857.23291668,0,0.0,2025-03-11 19:31:00.560000+00:00,17,marketContext_1741721460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1006
96,469347.50349951,4103.60655827,-92.09836466,0.0,-14.97886882,3850.67357824,1009,0.0,0.0,2CCn9UJKrUu9y1HUW74PNngTSYhVJaQywtu33tdbiXz7,-6.84470897,0,0,0,0.0,3.85e-06,0,0.0,3850.67357824,0.0,0.0,0,0,-2,0.0,3236.96021414,1,0,169,0,3857.23291668,0,0.0,2025-03-11 19:31:01.544000+00:00,17,marketContext_1741721461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1006
95,469347.50349951,4076.68274349,-92.09836466,0.0,-14.97886882,3850.67357824,1010,0.0,0.0,2CCn9UJKrUu9y1HUW74PNngTSYhVJaQywtu33tdbiXz7,1.20823168,0,0,0,0.0,3.85e-06,0,0.0,3850.67357824,0.0,0.0,0,0,-2,0.0,3236.96021414,1,0,169,0,3843.08624841,0,0.0,2025-03-11 19:31:02.542000+00:00,17,marketContext_1741721462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1006
94,469347.50349951,4060.13628755,-92.09836466,0.0,-14.97886882,3850.67357824,1011,0.0,0.0,2CCn9UJKrUu9y1HUW74PNngTSYhVJaQywtu33tdbiXz7,-2.90662239,0,0,0,0.0,3.85e-06,0,0.0,3850.67357824,0.0,0.0,0,0,-2,0.0,3236.96021414,1,0,169,0,3845.38473034,0,0.0,2025-03-11 19:31:03.547000+00:00,17,marketContext_1741721463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1006
93,469347.50349951,4043.58983162,-92.09836466,0.0,-14.97886882,3850.67357824,1012,0.0,0.0,2CCn9UJKrUu9y1HUW74PNngTSYhVJaQywtu33tdbiXz7,-2.90662239,0,0,0,0.0,3.85e-06,0,0.0,3850.67357824,0.0,0.0,0,0,-2,0.0,3236.96021414,1,0,169,0,3839.62097264,0,0.0,2025-03-11 19:31:04.552000+00:00,17,marketContext_1741721464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1006
92,469347.50349951,4027.04337569,-92.09836466,0.0,-14.97886882,3850.67357824,1013,0.0,0.0,2CCn9UJKrUu9y1HUW74PNngTSYhVJaQywtu33tdbiXz7,1.20823168,0,0,0,0.0,3.85e-06,0,0.0,3850.67357824,0.0,0.0,0,0,-2,0.0,3236.96021414,1,0,169,0,3841.91945456,0,0.0,2025-03-11 19:31:05.559000+00:00,17,marketContext_1741721465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1006
91,469347.50349951,4027.04337569,-92.09836466,0.0,-14.97886882,3850.67357824,1014,0.0,0.0,2CCn9UJKrUu9y1HUW74PNngTSYhVJaQywtu33tdbiXz7,1.20823168,0,0,0,0.0,3.85e-06,0,0.0,3850.67357824,0.0,0.0,0,0,-2,0.0,3236.96021414,1,0,169,0,3841.91945456,0,0.0,2025-03-11 19:31:06.554000+00:00,17,marketContext_1741721466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1006
90,469347.50349951,4010.49691976,-92.09836466,0.0,-10.27194264,3850.67357824,1015,0.0,0.0,2CCn9UJKrUu9y1HUW74PNngTSYhVJaQywtu33tdbiXz7,1.20823168,0,0,0,0.0,3.85e-06,0,0.0,3850.67357824,0.0,0.0,0,0,-1,0.0,3236.96021414,1,0,169,0,3844.21793648,0,0.0,2025-03-11 19:31:07.547000+00:00,17,marketContext_1741721467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1006
