,athMarketCap,maMarketCap60s,priceChangeFromStart,timeFromStart,trade_last5Seconds.tradeCount.buy.small,marketCap,marketCapChange60s,trade_last10Seconds.tradeCount.buy.medium,priceChangePercent,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.tradeCount.buy.large,largeBuy10s,marketCapChange10s,trade_last10Seconds.volume.buy,largeBuy5s,maMarketCap10s,netVolume10s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,trade_last10Seconds.tradeCount.buy.super,holderDelta5s,trade_last10Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.small,originalTimestamp,trade_last10Seconds.tradeCount.bot,trade_last5Seconds.tradeCount.sell.big,initialHoldersCount,trade_last10Seconds.volume.sell,trade_last10Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,buyVolume10s,creationTime,poolAddress,marketCapChange30s,superBuy5s,bigBuy5s,netVolume5s,currentPrice,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.sell.small,marketCapChange5s,buyVolume5s,trade_last5Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,minMarketCap,holderDelta30s,trade_last10Seconds.tradeCount.buy.big,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,trade_last5Seconds.tradeCount.bot,timestamp,doc_id,lastPrice,totalVolume
99,164778.58781241835,45391.109186183385,-45.775128374908824,1101,1,44357.25919683674,-11.586001398209756,0,0.0,0,0,0,0,0.198,0.168478312,0,0,-0.2476656372756962,0.305041914,0,44471.3890322412,0.039021894,0,0,-14,0,0,0,0,0,0,1,2025-02-02 09:13:11.864000+00:00,0,0,271,0.26602002,0,0,0.305041914,2025-02-02T08:54:50.000Z,2CjR6rmLB6ehFqa54poq22acCQjvUmq1Zr6M1bMWVdc9,0.7308108209093153,0,0,0.029521688,4.43572591968e-05,0,0,2,-0.6087499376240032,0.198,0,3,37797.62127427162,-3,0,420,0,44223.24192058185,0,0,2025-02-02 09:13:11.864000+00:00,marketContext_0000001100,4.43572591968e-05,0.029521688
98,164778.58781241835,45292.58899722591,-45.775128374908824,1102,1,44357.25919683674,-11.586001398209756,0,0.0,0,0,0,0,0.198,0.0,0,0,-0.2476656372756962,0.305041914,0,44460.37598784783,0.039021894,0,0,-14,0,0,0,0,0,0,0,2025-02-02 09:13:12.865000+00:00,0,0,271,0.26602002,0,0,0.305041914,2025-02-02T08:54:50.000Z,2CjR6rmLB6ehFqa54poq22acCQjvUmq1Zr6M1bMWVdc9,0.7308108209093153,0,0,0.198,4.43572591968e-05,0,0,2,-0.0381033930720363,0.198,0,3,37797.62127427162,-3,0,420,0,44233.96911343137,0,0,2025-02-02 09:13:12.865000+00:00,marketContext_0000001101,4.43572591968e-05,0.227521688
97,164778.58781241835,45194.06880826844,-45.775128374908824,1103,0,44357.25919683674,-11.586001398209756,0,0.0,0,0,0,0,0.0,0.0,0,0,-0.2476656372756962,0.305041914,0,44449.362943454464,0.136563602,0,0,-11,0,0,0,0,0,0,0,2025-02-02 09:13:13.866000+00:00,0,0,271,0.168478312,0,0,0.305041914,2025-02-02T08:54:50.000Z,2CjR6rmLB6ehFqa54poq22acCQjvUmq1Zr6M1bMWVdc9,0.7308108209093153,0,0,0.0,4.43572591968e-05,0,0,1,-0.7065715359956368,0.0,0,3,37797.62127427162,-3,0,420,0,44244.696306280886,0,0,2025-02-02 09:13:13.866000+00:00,marketContext_0000001102,4.43572591968e-05,0.227521688
96,164778.58781241835,45095.54861931097,-45.775128374908824,1104,0,44357.25919683674,-11.586001398209756,0,0.0,0,0,0,0,0.0,0.208705097,0,0,-0.2714805365110099,0.305041914,0,44437.288029889416,-0.072141495,0,0,-11,0,0,0,0,0,0,1,2025-02-02 09:13:14.867000+00:00,0,0,271,0.377183409,0,0,0.305041914,2025-02-02T08:54:50.000Z,2CjR6rmLB6ehFqa54poq22acCQjvUmq1Zr6M1bMWVdc9,0.7308108209093153,0,0,-0.208705097,4.43572591968e-05,0,0,2,0.0,0.0,0,3,37797.62127427162,-3,0,420,0,44255.42349913041,0,0,2025-02-02 09:13:14.867000+00:00,marketContext_0000001103,4.43572591968e-05,0.436226785
95,164778.58781241835,44999.08521017779,-46.44087696344747,1105,0,43812.66071616329,-11.49672940689756,0,-1.2277550293555555,0,0,0,0,0.0,0.557053485,0,0,-1.6623995033921184,0.298,0,44363.222621491186,-0.427531797,-1,0,-12,0,-1,0,0,0,0,2,2025-02-02 09:13:15.868000+00:00,0,0,271,0.725531797,0,0,0.298,2025-02-02T08:54:50.000Z,2CjR6rmLB6ehFqa54poq22acCQjvUmq1Zr6M1bMWVdc9,-0.5059167750550287,0,0,-0.557053485,4.38126607161e-05,0,0,3,-1.2277550293555552,0.0,0,2,37797.62127427162,-3,0,419,0,44247.99740929081,0,0,2025-02-02 09:13:15.868000+00:00,marketContext_0000001104,4.43572591968e-05,0.99328027
94,164778.58781241835,44900.413165711725,-47.024511474703495,1106,0,43335.2335408443,-11.843001692367112,0,-1.0897013957037855,0,0,0,0,0.0,0.570549723,0,0,-2.898801428274993,0.198,0,44233.8521927729,-0.541028035,-1,0,-12,0,-1,0,0,0,0,3,2025-02-02 09:13:16.868000+00:00,0,0,271,0.739028035,0,0,0.198,2025-02-02T08:54:50.000Z,2CjR6rmLB6ehFqa54poq22acCQjvUmq1Zr6M1bMWVdc9,-1.59010518859994,0,0,-0.570549723,4.33352335408e-05,0,0,4,-2.30407756136863,0.0,0,1,37797.62127427162,-3,0,419,0,44224.657080273915,0,0,2025-02-02 09:13:16.868000+00:00,marketContext_0000001105,4.38126607161e-05,1.563829993
93,164778.58781241835,44801.74112124566,-47.024511474703495,1107,0,43335.2335408443,-11.843001692367112,0,0.0,0,0,0,0,0.0,0.889620669,0,0,-2.3413030227107736,0.198,0,44129.958820836306,-0.691620669,-3,0,-13,0,-3,0,0,0,0,4,2025-02-02 09:13:17.870000+00:00,0,0,271,0.889620669,0,0,0.198,2025-02-02T08:54:50.000Z,2CjR6rmLB6ehFqa54poq22acCQjvUmq1Zr6M1bMWVdc9,-1.473385041062046,0,0,-0.889620669,4.33352335408e-05,0,0,4,-2.30407756136863,0.0,0,1,37797.62127427162,-5,0,417,0,44203.05564636132,0,0,2025-02-02 09:13:17.870000+00:00,marketContext_0000001106,4.33352335408e-05,2.453450662
92,164778.58781241835,44703.78610488213,-47.19656375417215,1108,0,43194.49060633699,-11.80088465598758,0,-0.32477714554062254,0,0,0,0,0.0,0.889620669,0,0,-3.309421260065425,0.0,0,43982.11735852093,-0.889620669,-3,0,-12,0,-2,0,0,0,0,4,2025-02-02 09:13:18.871000+00:00,0,0,271,0.889620669,0,0,0.0,2025-02-02T08:54:50.000Z,2CjR6rmLB6ehFqa54poq22acCQjvUmq1Zr6M1bMWVdc9,-1.7933769687234848,0,0,-0.889620669,4.31944906063e-05,0,0,4,-2.6213715895743976,0.0,0,0,37797.62127427162,-5,0,417,0,44176.76278129848,0,0,2025-02-02 09:13:18.871000+00:00,marketContext_0000001107,4.33352335408e-05,3.343071331
91,164778.58781241835,44608.914338488845,-47.19656375417215,1109,0,43194.49060633699,-11.472050421144328,0,0.0,0,0,0,0,0.0,0.775311207,0,0,-2.6213715895743976,0.0,0,43865.84049947096,-0.984016304,-4,0,-13,0,-3,0,0,0,0,4,2025-02-02 09:13:19.871000+00:00,0,0,271,0.984016304,0,0,0.0,2025-02-02T08:54:50.000Z,2CjR6rmLB6ehFqa54poq22acCQjvUmq1Zr6M1bMWVdc9,-1.9603044471723452,0,0,-0.775311207,4.31944906063e-05,0,0,5,-2.6213715895743976,0.0,0,0,37797.62127427162,-6,0,416,0,44147.97364252108,0,0,2025-02-02 09:13:19.871000+00:00,marketContext_0000001108,4.31944906063e-05,4.118382538
90,164778.58781241835,44533.498306954345,-47.50695627785715,1110,1,42940.581999212045,-9.389183067208476,0,-0.5878263722079674,0,0,0,0,0.02,0.413466581,0,0,-3.193788848265279,0.02,0,43724.17277970849,-0.964016304,-4,0,-11,0,-1,0,0,0,0,2,2025-02-02 09:13:20.872000+00:00,0,0,271,0.984016304,0,0,0.02,2025-02-02T08:54:50.000Z,2CjR6rmLB6ehFqa54poq22acCQjvUmq1Zr6M1bMWVdc9,-2.7026862900666107,0,0,-0.393466581,4.29405819992e-05,0,0,5,-1.9904719382393687,0.02,0,1,37797.62127427162,-6,0,416,0,44108.21409252886,0,0,2025-02-02 09:13:20.872000+00:00,marketContext_0000001109,4.31944906063e-05,4.511849119
