,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,75276.35556359,2620.23981465,-94.86313765,0.0,-0.54288556,2615.72681142,1102,0.0,0,2CnsgLtuNfgGKzPXK1Wtk8jUHhcor5D4eLZY6pT39wpw,-0.05668246,0,0,0,0.0,2.62e-06,0,0.0,2615.72681142,0.0,0,0,0,-2,0.0,2402.46755206,0,0,46,0,2615.78386909,0,0.0,2025-03-04 13:58:16.672000+00:00,3,marketContext_1741096696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
98,75276.35556359,2619.96523935,-94.86313765,0.0,-0.54288556,2615.72681142,1103,0.0,0,2CnsgLtuNfgGKzPXK1Wtk8jUHhcor5D4eLZY6pT39wpw,-0.05668246,0,0,0,0.0,2.62e-06,0,0.0,2615.72681142,0.0,0,0,0,-2,0.0,2402.46755206,0,0,46,0,2615.72681142,0,0.0,2025-03-04 13:58:17.670000+00:00,3,marketContext_1741096697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
97,75276.35556359,2619.69066404,-94.86313765,0.0,-0.54288556,2615.72681142,1104,0.0,0,2CnsgLtuNfgGKzPXK1Wtk8jUHhcor5D4eLZY6pT39wpw,0.0,0,0,0,0.0,2.62e-06,0,0.0,2615.72681142,0.0,0,0,0,-2,0.0,2402.46755206,0,0,46,0,2615.72681142,0,0.0,2025-03-04 13:58:18.672000+00:00,3,marketContext_1741096698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
96,75276.35556359,2619.41608874,-94.86313765,0.0,-0.54288556,2615.72681142,1105,0.0,0,2CnsgLtuNfgGKzPXK1Wtk8jUHhcor5D4eLZY6pT39wpw,0.0,0,0,0,0.0,2.62e-06,0,0.0,2615.72681142,0.0,0,0,0,-2,0.0,2402.46755206,0,0,46,0,2615.72681142,0,0.0,2025-03-04 13:58:19.672000+00:00,3,marketContext_1741096699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
95,75276.35556359,2619.34647973,-94.86313765,0.0,-0.54288556,2615.72681142,1106,0.0,0,2CnsgLtuNfgGKzPXK1Wtk8jUHhcor5D4eLZY6pT39wpw,0.0,0,0,0,0.0,2.62e-06,0,0.0,2615.72681142,0.0,0,0,0,-2,0.0,2402.46755206,0,0,46,0,2615.72681142,0,0.0,2025-03-04 13:58:20.676000+00:00,3,marketContext_1741096700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
94,75276.35556359,2619.07708509,-94.86313765,0.0,-0.54288556,2615.72681142,1107,0.0,0,2CnsgLtuNfgGKzPXK1Wtk8jUHhcor5D4eLZY6pT39wpw,0.0,0,0,0,0.0,2.62e-06,0,0.0,2615.72681142,0.0,0,0,0,-2,0.0,2402.46755206,0,0,46,0,2615.72681142,0,0.0,2025-03-04 13:58:21.675000+00:00,3,marketContext_1741096701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
93,75276.35556359,2618.80769045,-94.86313765,0.0,-0.54288556,2615.72681142,1108,0.0,0,2CnsgLtuNfgGKzPXK1Wtk8jUHhcor5D4eLZY6pT39wpw,0.0,0,0,0,0.0,2.62e-06,0,0.0,2615.72681142,0.0,0,0,0,-2,0.0,2402.46755206,0,0,46,0,2615.72681142,0,0.0,2025-03-04 13:58:22.673000+00:00,3,marketContext_1741096702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
92,75276.35556359,2618.53829581,-94.86313765,0.0,-0.54288556,2615.72681142,1109,0.0,0,2CnsgLtuNfgGKzPXK1Wtk8jUHhcor5D4eLZY6pT39wpw,0.0,0,0,0,0.0,2.62e-06,0,0.0,2615.72681142,0.0,0,0,0,-2,0.0,2402.46755206,0,0,46,0,2615.72681142,0,0.0,2025-03-04 13:58:23.672000+00:00,3,marketContext_1741096703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
91,75276.35556359,2618.26890118,-94.86313765,0.0,-0.54288556,2615.72681142,1110,0.0,0,2CnsgLtuNfgGKzPXK1Wtk8jUHhcor5D4eLZY6pT39wpw,0.0,0,0,0,0.0,2.62e-06,0,0.0,2615.72681142,0.0,0,0,0,-2,0.0,2402.46755206,0,0,46,0,2615.72681142,0,0.0,2025-03-04 13:58:24.674000+00:00,3,marketContext_1741096704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
90,75276.35556359,2617.99950654,-94.86313765,0.0,-0.54288556,2615.72681142,1111,0.0,0,2CnsgLtuNfgGKzPXK1Wtk8jUHhcor5D4eLZY6pT39wpw,0.0,0,0,0,0.0,2.62e-06,0,0.0,2615.72681142,0.0,0,0,0,-2,0.0,2402.46755206,0,0,46,0,2615.72681142,0,0.0,2025-03-04 13:58:25.673000+00:00,3,marketContext_1741096705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
