,athMarketCap,maMarketCap60s,priceChangeFromStart,timeFromStart,trade_last5Seconds.tradeCount.buy.small,marketCap,marketCapChange60s,trade_last10Seconds.tradeCount.buy.medium,priceChangePercent,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.tradeCount.buy.large,largeBuy10s,marketCapChange10s,trade_last10Seconds.volume.buy,largeBuy5s,maMarketCap10s,netVolume10s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,trade_last10Seconds.tradeCount.buy.super,holderDelta5s,trade_last10Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.small,originalTimestamp,trade_last10Seconds.tradeCount.bot,trade_last5Seconds.tradeCount.sell.big,initialHoldersCount,trade_last10Seconds.volume.sell,trade_last10Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,buyVolume10s,creationTime,poolAddress,marketCapChange30s,superBuy5s,bigBuy5s,netVolume5s,currentPrice,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.sell.small,marketCapChange5s,buyVolume5s,trade_last5Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,minMarketCap,holderDelta30s,trade_last10Seconds.tradeCount.buy.big,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,trade_last5Seconds.tradeCount.bot,timestamp,doc_id,lastPrice,totalVolume
99,138623.12979130933,129555.55503176352,52.20434881518444,1102,2,132261.06236622803,1.0610407418824304,2,0.0,0,0,0,0,0.55,0.11861384,0,0,-3.174206516804956,3.555111142,0,132964.91425577324,3.436497302,-1,0,20,0,0,0,0,0,0,1,2025-02-01 10:44:34.746000+00:00,0,0,151,0.11861384,0,0,3.555111142,2025-02-01T10:26:12.000Z,2DPQeErjsu9QDrSi1A5k9XB1YNxYJsi15iZBGzbPTN78,8.473298404301708,0,0,0.43138616,0.0001322610623662,0,0,1,0.1757462774703532,0.55,0,2,82257.41133187874,7,0,450,0,131701.0346699489,0,0,2025-02-01 10:44:34.746000+00:00,marketContext_0000001100,0.0001322610623662,0.43138616
98,138623.12979130933,129613.45901666788,53.73962629747175,1103,1,133595.1729380674,2.6700078086079917,2,1.0086948856839428,0,0,0,0,0.05,0.11861384,0,0,-0.8941960010363627,3.555111142,0,132844.3761393575,3.436497302,-1,0,20,0,0,0,0,0,0,1,2025-02-01 10:44:35.746000+00:00,0,0,151,0.11861384,0,0,3.555111142,2025-02-01T10:26:12.000Z,2DPQeErjsu9QDrSi1A5k9XB1YNxYJsi15iZBGzbPTN78,7.289395762666061,0,0,-0.06861384,0.000133595172938,0,0,1,1.0972740026333103,0.05,0,2,82257.41133187874,7,0,450,0,132003.5896057854,0,0,2025-02-01 10:44:35.746000+00:00,marketContext_0000001101,0.0001322610623662,0.5
97,138623.12979130933,129672.25472391072,53.8011972611786,1104,1,133648.67627837387,2.7111259736302866,2,0.040048857402392946,0,0,0,0,0.05,0.11861384,0,0,-0.8545052589153226,3.555111142,0,132729.18835697247,3.436497302,1,0,20,0,1,0,0,0,0,1,2025-02-01 10:44:36.748000+00:00,0,0,151,0.11861384,0,0,3.555111142,2025-02-01T10:26:12.000Z,2DPQeErjsu9QDrSi1A5k9XB1YNxYJsi15iZBGzbPTN78,7.093530502144745,0,0,-0.06861384,0.0001336486762783,0,0,1,1.0491477138627283,0.05,0,2,82257.41133187874,6,0,451,0,132298.67153317688,0,0,2025-02-01 10:44:36.748000+00:00,marketContext_0000001102,0.000133595172938,0.56861384
96,138623.12979130933,129742.43497460485,54.587268531844586,1105,1,134331.74888545225,3.2360780984731092,2,0.5110956771884646,0,0,0,0,0.01,0.11861384,0,0,-0.3477769211665223,3.565111142,0,132682.30783529527,3.446497302,1,0,20,0,1,0,0,0,0,1,2025-02-01 10:44:37.749000+00:00,0,0,151,0.11861384,0,0,3.565111142,2025-02-01T10:26:12.000Z,2DPQeErjsu9QDrSi1A5k9XB1YNxYJsi15iZBGzbPTN78,7.196126317557457,0,0,-0.10861384,0.0001343317488854,0,0,1,1.565605539664067,0.01,0,3,82257.41133187874,6,0,451,0,132599.26331344777,0,0,2025-02-01 10:44:37.749000+00:00,marketContext_0000001103,0.0001336486762783,0.67722768
95,138623.12979130933,129822.60651949103,55.88573166760622,1106,2,135460.07481776676,3.6818222081556713,2,0.8399547699454666,0,0,0,0,0.109,0.0,0,0,2.5987077594857957,3.664111142,0,133025.41269033367,3.545497302,18,0,36,0,18,0,0,0,0,0,2025-02-01 10:44:38.751000+00:00,0,0,151,0.11861384,0,0,3.664111142,2025-02-01T10:26:12.000Z,2DPQeErjsu9QDrSi1A5k9XB1YNxYJsi15iZBGzbPTN78,7.539834599282489,0,0,0.109,0.0001354600748177,0,0,1,2.4187106880184723,0.109,0,4,82257.41133187874,24,0,468,0,132915.84261101324,0,0,2025-02-01 10:44:38.751000+00:00,marketContext_0000001104,0.0001343317488854,0.78622768
94,138623.12979130933,129894.37288167264,55.66344470087783,1107,2,135266.91404017713,3.2879895209722703,0,-0.1425960954543096,0,0,0,0,0.109,0.0,0,0,2.4524060082341914,0.659,0,133349.2014676131,0.54038616,18,0,36,0,17,0,0,0,0,0,2025-02-01 10:44:39.751000+00:00,0,0,151,0.11861384,0,0,0.659,2025-02-01T10:26:12.000Z,2DPQeErjsu9QDrSi1A5k9XB1YNxYJsi15iZBGzbPTN78,4.70035230753205,0,0,0.109,0.0001352669140401,0,0,1,2.2726656055627124,0.109,0,4,82257.41133187874,24,0,468,0,133118.26222646143,0,0,2025-02-01 10:44:39.751000+00:00,marketContext_0000001105,0.0001354600748177,0.89522768
93,138623.12979130933,129968.3828928269,55.81836246340372,1108,2,135401.5329785358,3.3907827250102134,0,0.099520965133193,0,0,0,0,0.109,0.664666607,0,0,2.464225157697121,0.159,0,133674.83694032853,-0.624280447,28,0,46,0,27,0,0,0,0,0,2025-02-01 10:44:40.752000+00:00,0,0,151,0.783280447,1,0,0.159,2025-02-01T10:26:12.000Z,2DPQeErjsu9QDrSi1A5k9XB1YNxYJsi15iZBGzbPTN78,6.610041022995186,0,0,-0.555666607,0.0001354015329785,1,0,1,1.3521147514108098,0.109,0,3,82257.41133187874,31,0,478,0,133398.1013107154,0,0,2025-02-01 10:44:40.752000+00:00,marketContext_0000001106,0.0001352669140401,1.4508942870000001
92,138623.12979130933,130060.19930405026,55.81836568413745,1109,1,135401.53577725784,4.2411859853278315,0,2.066979572603285e-06,0,0,0,0,0.099,0.664666607,0,0,2.3744504654997463,0.159,0,133988.88428143153,-0.624280447,28,0,46,0,10,0,0,0,0,0,2025-02-01 10:44:41.754000+00:00,0,0,151,0.783280447,1,0,0.159,2025-02-01T10:26:12.000Z,2DPQeErjsu9QDrSi1A5k9XB1YNxYJsi15iZBGzbPTN78,5.765695723431793,0,0,-0.565666607,0.0001354015357772,1,0,1,1.3115427310577925,0.099,0,3,82257.41133187874,31,0,478,0,133644.14329702524,0,0,2025-02-01 10:44:41.754000+00:00,marketContext_0000001107,0.0001354015329785,2.0165608940000004
91,138623.12979130933,130135.58819635208,54.68409089061745,1110,0,134415.88464196504,3.4823656165564754,0,-0.7279467914708505,0,0,0,0,0.0,0.664666607,0,0,1.629218938050226,0.109,0,134204.36650900522,-0.674280447,43,0,61,0,25,0,0,0,0,0,2025-02-01 10:44:42.755000+00:00,0,0,151,0.783280447,1,0,0.109,2025-02-01T10:26:12.000Z,2DPQeErjsu9QDrSi1A5k9XB1YNxYJsi15iZBGzbPTN78,4.717065454381779,0,0,-0.664666607,0.0001344158846419,1,0,1,0.062632815556164,0.0,0,2,82257.41133187874,46,0,493,0,133845.97239502167,0,0,2025-02-01 10:44:42.755000+00:00,marketContext_0000001108,0.0001354015357772,2.6812275010000004
90,138623.12979130933,130204.51151040608,54.20389513360299,1111,0,133998.60877921287,3.184426786677528,0,-0.31043642190328663,0,0,0,0,0.0,0.664666607,0,0,1.3137248271706854,0.109,0,134378.1211503037,-0.555666607,43,0,61,0,15,0,0,0,0,0,2025-02-01 10:44:43.759000+00:00,0,0,151,0.664666607,1,0,0.109,2025-02-01T10:26:12.000Z,2DPQeErjsu9QDrSi1A5k9XB1YNxYJsi15iZBGzbPTN78,4.429625554194459,0,0,-0.664666607,0.0001339986087792,1,0,0,-1.0788906181544566,0.0,0,2,82257.41133187874,46,0,493,0,133850.89614935045,0,0,2025-02-01 10:44:43.759000+00:00,marketContext_0000001109,0.0001344158846419,3.3458941080000004
89,138623.12979130933,130273.4348902866,54.20389967874198,1112,0,133998.61272880377,3.18442982802458,0,2.9474865022071247e-06,0,0,0,0,0.0,0.664666607,0,0,1.3137278133790495,0.109,0,134551.87618656128,-0.555666607,52,0,72,0,25,0,0,0,0,0,2025-02-01 10:44:44.760000+00:00,0,0,151,0.664666607,1,0,0.109,2025-02-01T10:26:12.000Z,2DPQeErjsu9QDrSi1A5k9XB1YNxYJsi15iZBGzbPTN78,4.429628632243577,0,0,-0.664666607,0.0001339986127288,1,0,0,-0.9376286288283712,0.0,0,2,82257.41133187874,54,0,503,0,134224.89671191745,0,0,2025-02-01 10:44:44.760000+00:00,marketContext_0000001110,0.0001339986087792,4.010560715
88,148290.81615135187,130585.56889439956,70.65118564594242,1113,0,148290.81615135187,14.454800089009519,0,10.665933871624262,0,0,0,0,0.0,0.0,0,0,11.00013038652012,0.109,0,136021.44050788973,-0.555666607,52,0,72,0,10,0,0,0,0,0,2025-02-01 10:44:45.763000+00:00,0,0,151,0.664666607,1,0,0.109,2025-02-01T10:26:12.000Z,2DPQeErjsu9QDrSi1A5k9XB1YNxYJsi15iZBGzbPTN78,15.568023764541472,0,0,0.0,0.0001482908161513,0,0,0,9.519303725209157,0.0,0,2,82257.41133187874,54,0,503,0,134890.76571694345,0,0,2025-02-01 10:44:45.763000+00:00,marketContext_0000001111,0.0001339986127288,4.010560715
87,148290.81615135187,130894.68049070895,70.39542032869032,1114,0,148068.56368064703,14.31935477689766,0,-0.149876085703121,0,0,0,0,0.0,0.0,0,0,10.789397848010323,0.099,0,137463.42924811703,-0.565666607,41,0,78,0,16,0,0,0,0,0,2025-02-01 10:44:46.766000+00:00,0,0,151,0.664666607,1,0,0.099,2025-02-01T10:26:12.000Z,2DPQeErjsu9QDrSi1A5k9XB1YNxYJsi15iZBGzbPTN78,12.345247163505485,0,0,0.0,0.0001480685636806,0,0,0,9.35515821934772,0.0,0,1,82257.41133187874,57,0,509,0,135433.12452070083,0,0,2025-02-01 10:44:46.766000+00:00,marketContext_0000001112,0.0001482908161513,4.010560715
86,148290.81615135187,131225.0470424534,67.13599896730422,1115,0,145236.22324286122,15.80521850098292,0,-1.9128573732197256,0,0,0,0,0.0,0.0,0,0,8.117570453659077,0.0,0,138553.87668385793,-0.664666607,41,0,78,0,6,0,0,0,0,0,2025-02-01 10:44:47.767000+00:00,0,0,151,0.664666607,1,0,0.0,2025-02-01T10:26:12.000Z,2DPQeErjsu9QDrSi1A5k9XB1YNxYJsi15iZBGzbPTN78,6.303796484067749,0,0,0.0,0.0001452362232428,0,0,0,8.049895761738,0.0,0,0,82257.41133187874,57,0,509,0,135720.20727275003,0,0,2025-02-01 10:44:47.767000+00:00,marketContext_0000001113,0.0001480685636806,4.010560715
85,148290.81615135187,131614.57394076823,66.33140166971164,1116,0,144537.05206815444,19.289010341579566,0,-0.48140275139048744,0,0,0,0,0.0,0.946988802,0,0,6.700850610483471,0.0,0,139461.5744088967,-1.611655409,30,0,78,0,5,0,0,0,0,0,2025-02-01 10:44:48.768000+00:00,0,0,151,1.611655409,2,0,0.0,2025-02-01T10:26:12.000Z,2DPQeErjsu9QDrSi1A5k9XB1YNxYJsi15iZBGzbPTN78,5.792047082960902,0,0,-0.946988802,0.0001445370520681,1,0,0,7.864591569234566,0.0,0,0,82257.41133187874,58,0,508,0,135983.98431897565,0,0,2025-02-01 10:44:48.768000+00:00,marketContext_0000001114,0.0001452362232428,4.957549517
84,150578.8517070311,132038.44352203893,73.28422787006923,1117,0,150578.8517070311,20.321893893057943,0,4.180104376300509,0,0,0,0,0.0,0.946988802,0,0,11.319795217850547,0.0,0,140992.7681755821,-1.611655409,30,0,78,0,-1,0,0,0,0,0,2025-02-01 10:44:49.769000+00:00,0,0,151,1.611655409,2,0,0.0,2025-02-01T10:26:12.000Z,2DPQeErjsu9QDrSi1A5k9XB1YNxYJsi15iZBGzbPTN78,10.450166655020496,0,0,-0.946988802,0.000150578851707,1,0,0,12.37344076970681,0.0,0,0,82257.41133187874,58,0,508,0,136458.88147326573,0,0,2025-02-01 10:44:49.769000+00:00,marketContext_0000001115,0.0001445370520681,5.904538319
83,150814.83696777336,132581.85769614132,73.55579670747805,1118,0,150814.83696777336,27.582145473113926,1,0.15671872780738436,0,0,0,0,0.52,0.946988802,0,0,11.383404345710687,0.52,0,142534.09857450586,-0.426988802,15,0,79,0,-1,0,0,0,0,0,2025-02-01 10:44:50.772000+00:00,0,0,151,0.946988802,1,0,0.52,2025-02-01T10:26:12.000Z,2DPQeErjsu9QDrSi1A5k9XB1YNxYJsi15iZBGzbPTN78,10.647348851321173,0,0,-0.426988802,0.0001508148369677,1,1,0,1.702074937564138,0.52,0,0,82257.41133187874,57,0,508,0,136942.63404327643,0,0,2025-02-01 10:44:50.772000+00:00,marketContext_0000001116,0.000150578851707,6.331527121000001
