,athMarketCap,maMarketCap60s,priceChangeFromStart,timeFromStart,trade_last5Seconds.tradeCount.buy.small,marketCap,marketCapChange60s,trade_last10Seconds.tradeCount.buy.medium,priceChangePercent,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.tradeCount.buy.large,largeBuy10s,marketCapChange10s,trade_last10Seconds.volume.buy,largeBuy5s,maMarketCap10s,netVolume10s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,trade_last10Seconds.tradeCount.buy.super,holderDelta5s,trade_last10Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.small,originalTimestamp,trade_last10Seconds.tradeCount.bot,trade_last5Seconds.tradeCount.sell.big,initialHoldersCount,trade_last10Seconds.volume.sell,trade_last10Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,buyVolume10s,creationTime,poolAddress,marketCapChange30s,superBuy5s,bigBuy5s,netVolume5s,currentPrice,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.sell.small,marketCapChange5s,buyVolume5s,trade_last5Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,minMarketCap,holderDelta30s,trade_last10Seconds.tradeCount.buy.big,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,trade_last5Seconds.tradeCount.bot,timestamp,doc_id,lastPrice,totalVolume
99,94808.99749413373,70729.95264134588,-38.179390590804736,493,1,54308.45067679077,-25.20722762680098,0,-1.3241990400510502,0,0,0,0,0.1,2.981143678,0,0,-15.998120231063243,0.1,0,57610.44883326983,-3.772664211,0,0,7,0,0,0,0,0,0,4,2025-01-31 20:17:39.568000+00:00,0,0,344,3.872664211,4,0,0.1,2025-01-31T20:09:26.000Z,2EFzL2nemnKrcu8TSTQPRez6uyBiJCVU6mAfPNnfEhvc,-27.07093009308341,0,0,-2.881143678,5.43084506767e-05,3,0,7,-7.5314537136567665,0.1,0,1,34403.77959395776,0,0,428,0,66318.24598950072,0,0,2025-01-31 20:17:39.568000+00:00,marketContext_0000000425,5.43084506767e-05,2.881143678
98,94808.99749413373,70364.16758674283,-38.99599769826255,494,0,53591.073943667,-26.22025596056404,0,-1.3209302128560907,0,0,0,0,0.0,2.058943879,0,0,-11.040297935862299,0.1,0,57208.51134430955,-3.814060958,0,0,7,0,0,0,0,0,0,4,2025-01-31 20:17:40.576000+00:00,0,0,344,3.914060958,4,0,0.1,2025-01-31T20:09:26.000Z,2EFzL2nemnKrcu8TSTQPRez6uyBiJCVU6mAfPNnfEhvc,-28.03427221143881,0,0,-2.058943879,5.35910739436e-05,2,0,8,-8.664736331009923,0.0,0,1,34403.77959395776,0,0,428,0,65846.86924706244,0,0,2025-01-31 20:17:40.576000+00:00,marketContext_0000000426,5.43084506767e-05,4.940087557
97,94808.99749413373,69986.28093664281,-39.684241733732314,495,1,52986.462186987264,-27.08144184385482,0,-1.1281948880428752,0,0,0,0,0.15,2.024463968,0,0,-12.043936746968072,0.25,0,56482.96090989569,-3.635091388,0,0,7,0,0,0,0,0,0,3,2025-01-31 20:17:41.643000+00:00,0,0,344,3.885091388,4,0,0.25,2025-01-31T20:09:26.000Z,2EFzL2nemnKrcu8TSTQPRez6uyBiJCVU6mAfPNnfEhvc,-28.84087300044373,0,0,-1.874463968,5.29864621869e-05,2,0,7,-7.230592570353275,0.15,0,2,34403.77959395776,0,0,428,0,65051.27548029314,0,0,2025-01-31 20:17:41.643000+00:00,marketContext_0000000427,5.35910739436e-05,6.814551525
96,94808.99749413373,69607.8424561197,-39.684241733732314,496,1,52986.462186987264,-27.08144184385482,1,0.0,0,0,0,0,0.899255495,2.489553437,0,0,-9.869896700385869,0.999255495,0,55757.410475481855,-2.557433798,0,0,7,0,0,0,0,0,0,4,2025-01-31 20:17:42.689000+00:00,0,0,344,3.556689293,3,0,0.999255495,2025-01-31T20:09:26.000Z,2EFzL2nemnKrcu8TSTQPRez6uyBiJCVU6mAfPNnfEhvc,-28.549347263316474,0,0,-1.590297942,5.29864621869e-05,2,1,8,-4.274149486451523,0.899255495,0,2,34403.77959395776,0,0,428,0,64255.88763507519,0,0,2025-01-31 20:17:42.689000+00:00,marketContext_0000000428,5.29864621869e-05,8.404849467
95,94808.99749413373,69284.76304770024,-36.40738077344717,497,1,55865.133936377635,-23.119890445506808,2,5.43284384458739,0,0,0,0,2.384255495,1.522975395,0,0,-4.880959430567249,2.484255495,0,55465.03765383952,-1.257047917,0,0,7,0,0,0,0,0,0,5,2025-01-31 20:17:43.740000+00:00,0,0,344,3.741303412,3,0,2.484255495,2025-01-31T20:09:26.000Z,2EFzL2nemnKrcu8TSTQPRez6uyBiJCVU6mAfPNnfEhvc,-24.284107277054687,0,0,0.8612801,5.58651339363e-05,1,2,10,1.5042183713541812,2.384255495,0,2,34403.77959395776,0,0,428,0,63578.36956068078,0,0,2025-01-31 20:17:43.740000+00:00,marketContext_0000000429,5.29864621869e-05,9.266129567
94,94808.99749413373,68948.64861347007,-37.17896103251418,498,1,55187.31259422028,-24.05269012522793,2,-1.2133173133161894,0,0,0,0,2.384255495,1.497684808,0,0,-5.9442669076845105,2.484255495,0,55110.58793898558,-1.994572991,0,0,-5,0,0,0,0,0,0,6,2025-01-31 20:17:44.837000+00:00,0,0,344,4.478828486,4,0,2.484255495,2025-01-31T20:09:26.000Z,2EFzL2nemnKrcu8TSTQPRez6uyBiJCVU6mAfPNnfEhvc,-25.202781312394094,0,0,0.886570687,5.51873125942e-05,1,2,10,1.6182783829719876,2.384255495,0,2,34403.77959395776,-12,0,416,0,62889.65620667032,0,0,2025-01-31 20:17:44.837000+00:00,marketContext_0000000430,5.58651339363e-05,10.152700254
93,94808.99749413373,68599.43362311077,-37.214021442405254,499,1,55156.512565565215,-24.768475871126522,2,-0.05580998096706853,0,0,0,0,2.286725495,1.43809145,0,0,-3.4312393128603382,2.436725495,0,54758.72737251968,-1.097666803,0,0,-11,0,0,0,0,0,0,6,2025-01-31 20:17:45.971000+00:00,0,0,344,3.534392298,3,0,2.436725495,2025-01-31T20:09:26.000Z,2EFzL2nemnKrcu8TSTQPRez6uyBiJCVU6mAfPNnfEhvc,-25.244525625907546,0,0,0.848634045,5.51565125655e-05,1,2,11,2.921080894075286,2.286725495,0,2,34403.77959395776,-12,0,416,0,62199.80211085782,0,0,2025-01-31 20:17:45.971000+00:00,marketContext_0000000431,5.51873125942e-05,11.001334299000002
92,94808.99749413373,68252.87458589712,-35.92147040607088,501,2,56291.99869025487,-24.250202916474855,2,2.0586619274376554,0,0,0,0,1.63747,0.973001981,0,0,1.6976644471192628,2.536725495,0,54676.29625724999,-0.925829923,0,0,-11,0,0,0,0,0,0,5,2025-01-31 20:17:47.245000+00:00,0,0,344,3.462555418,3,0,2.536725495,2025-01-31T20:09:26.000Z,2EFzL2nemnKrcu8TSTQPRez6uyBiJCVU6mAfPNnfEhvc,-23.747152617405952,0,0,0.664468019,5.62919986902e-05,1,1,9,6.238454818142953,1.63747,0,3,34403.77959395776,-12,0,416,0,61552.00305670049,0,0,2025-01-31 20:17:47.245000+00:00,marketContext_0000000432,5.51565125655e-05,11.665802318
91,94808.99749413373,67923.48875567883,-34.90493943061202,502,3,57185.00545401424,-23.048520923955753,3,1.5863831175601326,0,0,0,0,2.64747,0.788387862,0,0,3.90236042004045,3.546725495,0,54859.56656936267,1.05472417,0,0,-11,0,0,0,0,0,0,3,2025-01-31 20:17:48.345000+00:00,0,0,344,2.492001325,2,0,3.546725495,2025-01-31T20:09:26.000Z,2EFzL2nemnKrcu8TSTQPRez6uyBiJCVU6mAfPNnfEhvc,-22.439172526128758,0,0,1.859082138,5.7185005454e-05,1,2,9,2.3626033352748372,2.64747,0,4,34403.77959395776,0,0,416,0,60935.78787692754,0,0,2025-01-31 20:17:48.345000+00:00,marketContext_0000000433,5.62919986902e-05,13.524884456
90,94808.99749413373,67741.99107192794,-33.63103421074619,503,5,58304.11151688167,-21.54258652564799,3,1.9569921415280138,0,0,0,0,1.76247,0.026293942,0,0,7.3573463987594065,4.146725495,0,55186.25237517463,2.629880329,0,0,-11,0,0,0,0,0,0,3,2025-01-31 20:17:49.425000+00:00,0,0,344,1.516845166,1,0,4.146725495,2025-01-31T20:09:26.000Z,2EFzL2nemnKrcu8TSTQPRez6uyBiJCVU6mAfPNnfEhvc,-17.926273517417624,0,0,1.736176058,5.83041115168e-05,0,1,8,5.647672945371515,1.76247,0,6,34403.77959395776,0,0,416,0,60364.48697385808,0,0,2025-01-31 20:17:49.425000+00:00,marketContext_0000000434,5.7185005454e-05,15.261060514
89,94808.99749413373,67512.76829697039,-29.23693302306596,504,6,62164.261552614975,-16.34814346584986,3,6.620716678986893,0,0,0,0,1.91097,0.0,0,0,15.997417066058052,4.295225495,0,55971.83346275704,2.819777076,0,0,-11,0,0,0,0,0,0,0,2025-01-31 20:17:50.432000+00:00,0,0,344,1.475448419,1,0,4.295225495,2025-01-31T20:09:26.000Z,2EFzL2nemnKrcu8TSTQPRez6uyBiJCVU6mAfPNnfEhvc,-12.49898034502608,0,0,1.91097,6.21642615526e-05,0,1,7,12.705206803493176,1.91097,0,7,34403.77959395776,0,0,416,0,60035.803924802225,0,0,2025-01-31 20:17:50.432000+00:00,marketContext_0000000435,5.83041115168e-05,17.172030514
88,94808.99749413373,67297.33725324852,-28.40486175945751,505,4,62895.223308105735,-15.36451868892702,5,1.1758552860345486,0,0,0,0,4.7585,0.036064596,0,0,18.70055239044044,7.145225495,0,56902.248399200915,5.671069449,0,0,-11,0,0,0,0,0,0,1,2025-01-31 20:17:51.455000+00:00,0,0,344,1.474156046,1,0,7.145225495,2025-01-31T20:09:26.000Z,2EFzL2nemnKrcu8TSTQPRez6uyBiJCVU6mAfPNnfEhvc,-10.152058834233424,0,0,4.722435404,6.28952233081e-05,0,3,7,14.03045693532822,4.7585,0,6,34403.77959395776,0,0,416,0,59733.995808234606,0,0,2025-01-31 20:17:51.455000+00:00,marketContext_0000000436,6.21642615526e-05,21.894465917999998
