,athMarketCap,maMarketCap60s,priceChangeFromStart,timeFromStart,trade_last5Seconds.tradeCount.buy.small,marketCap,marketCapChange60s,trade_last10Seconds.tradeCount.buy.medium,priceChangePercent,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.tradeCount.buy.large,largeBuy10s,marketCapChange10s,trade_last10Seconds.volume.buy,largeBuy5s,maMarketCap10s,netVolume10s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,trade_last10Seconds.tradeCount.buy.super,holderDelta5s,trade_last10Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.small,originalTimestamp,trade_last10Seconds.tradeCount.bot,trade_last5Seconds.tradeCount.sell.big,initialHoldersCount,trade_last10Seconds.volume.sell,trade_last10Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,buyVolume10s,creationTime,poolAddress,marketCapChange30s,superBuy5s,bigBuy5s,netVolume5s,currentPrice,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.sell.small,marketCapChange5s,buyVolume5s,trade_last5Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,minMarketCap,holderDelta30s,trade_last10Seconds.tradeCount.buy.big,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,trade_last5Seconds.tradeCount.bot,timestamp,doc_id,lastPrice,totalVolume
99,207583.36906376868,51657.561138241785,-48.39618336752545,1095,0,46933.88299617986,-9.567766983060428,0,-0.332062356168206,0,0,0,0,0.0,1.437368269,0,0,-8.079524860301332,0.0,0,48790.622566337646,-2.680548031,0,0,2,0,0,0,0,0,0,6,2025-01-31 00:33:39.146000+00:00,0,0,221,2.680548031,2,0,0.0,2025-01-31T00:15:24.000Z,2ETe6M7DTFVwkoetPgXwYwpC515ZNbh4rh5oMNYqhFCu,-8.511184032522255,0,0,-1.437368269,4.69338829961e-05,1,0,8,-4.790760278536879,0.0,0,0,34753.48339511618,-1,0,406,0,50444.14617239177,0,0,2025-01-31 00:33:39.146000+00:00,marketContext_0000001017,4.69338829961e-05,1.437368269
98,207583.36906376868,51568.88928317721,-48.39618336752545,1096,0,46933.88299617986,-9.567766983060428,0,0.0,0,0,0,0,0.0,1.53034745,0,0,-8.079524860301332,0.0,0,48378.08828180332,-2.773527212,0,0,2,0,0,0,0,0,0,7,2025-01-31 00:33:40.219000+00:00,0,0,221,2.773527212,2,0,0.0,2025-01-31T00:15:24.000Z,2ETe6M7DTFVwkoetPgXwYwpC515ZNbh4rh5oMNYqhFCu,-8.666969049825534,0,0,-1.53034745,4.69338829961e-05,1,0,9,-2.326188455186054,0.0,0,0,34753.48339511618,-2,0,406,0,50288.20872203743,0,0,2025-01-31 00:33:40.219000+00:00,marketContext_0000001018,4.69338829961e-05,2.967715719
97,207583.36906376868,51481.152018720895,-48.33863874090164,1097,0,46986.22007024274,-9.466923878357912,0,0.11151234613837858,0,0,0,0,0.0,0.686000944,0,0,-6.503007121956918,0.0,0,47970.78770467528,-2.773527212,0,0,2,0,0,0,0,0,0,6,2025-01-31 00:33:41.260000+00:00,0,0,221,2.773527212,2,0,0.0,2025-01-31T00:15:24.000Z,2ETe6M7DTFVwkoetPgXwYwpC515ZNbh4rh5oMNYqhFCu,-8.56807547975948,0,0,-0.686000944,4.69862200702e-05,0,0,9,-0.9699713718737952,0.0,0,0,34753.48339511618,-2,0,406,0,50131.01539358695,0,0,2025-01-31 00:33:41.260000+00:00,marketContext_0000001019,4.69338829961e-05,3.653716663
96,207583.36906376868,51393.41475426458,-48.33863874090164,1098,0,46986.22007024274,-9.58222409126363,0,0.0,0,0,0,0,0.0,0.263524901,0,0,-5.001627985037978,0.0,0,47643.98390666524,-2.479991309,0,0,2,0,0,0,0,0,0,4,2025-01-31 00:33:42.331000+00:00,0,0,221,2.479991309,2,0,0.0,2025-01-31T00:15:24.000Z,2ETe6M7DTFVwkoetPgXwYwpC515ZNbh4rh5oMNYqhFCu,-8.574991530751609,0,0,-0.263524901,4.69862200702e-05,0,0,8,-0.5703632873748808,0.0,0,0,34753.48339511618,-2,0,406,0,49973.76277008637,0,0,2025-01-31 00:33:42.331000+00:00,marketContext_0000001020,4.69862200702e-05,3.917241564
95,207583.36906376868,51305.43364712453,-48.280885561319735,1099,0,47038.74682407685,-9.516404694234117,0,0.11179182695603108,0,0,0,0,0.0,0.092979181,0,0,-4.5780353836210415,0.0,0,47401.85592885444,-1.532875044,0,0,0,0,0,0,0,0,0,1,2025-01-31 00:33:43.528000+00:00,0,0,221,1.532875044,1,0,0.0,2025-01-31T00:15:24.000Z,2ETe6M7DTFVwkoetPgXwYwpC515ZNbh4rh5oMNYqhFCu,-8.46635935033718,0,0,-0.092979181,4.7038746824e-05,0,0,8,-0.1093754444379077,0.0,0,0,34753.48339511618,-2,0,406,0,49818.24726425746,0,0,2025-01-31 00:33:43.528000+00:00,marketContext_0000001021,4.69862200702e-05,4.010220745
94,207583.36906376868,51217.09092647231,-48.280885561319735,1100,0,47038.74682407685,-9.436223930223116,0,0.0,0,0,0,0,0.0,0.0,0,0,-2.1079569961629034,0.0,0,47176.17932679792,-1.53034745,0,0,0,0,0,0,0,0,0,0,2025-01-31 00:33:44.554000+00:00,0,0,221,1.53034745,1,0,0.0,2025-01-31T00:15:24.000Z,2ETe6M7DTFVwkoetPgXwYwpC515ZNbh4rh5oMNYqhFCu,-8.46635935033718,0,0,0.0,4.7038746824e-05,0,0,7,0.2234288347834392,0.0,0,0,34753.48339511618,-2,0,406,0,49662.86062515032,0,0,2025-01-31 00:33:44.554000+00:00,marketContext_0000001022,4.7038746824e-05,4.010220745
93,207583.36906376868,51129.25739333783,-48.30013926437097,1101,1,47021.235502139454,-9.291912631717135,0,-0.03722744145987512,0,0,0,0,0.069392912,0.0,0,0,-0.8961714531322184,0.069392912,0,47073.137372167614,-0.616608032,0,0,0,0,0,0,0,0,0,0,2025-01-31 00:33:45.644000+00:00,0,0,221,0.686000944,0,0,0.069392912,2025-01-31T00:15:24.000Z,2ETe6M7DTFVwkoetPgXwYwpC515ZNbh4rh5oMNYqhFCu,-8.500434982826127,0,0,0.069392912,4.70212355021e-05,0,0,6,0.1861182164848906,0.069392912,0,1,34753.48339511618,-2,0,406,0,49506.848581688275,0,0,2025-01-31 00:33:45.644000+00:00,marketContext_0000001023,4.7038746824e-05,4.0796136569999994
92,207583.36906376868,51043.244190987774,-48.30013926437097,1102,1,47021.235502139454,-12.557996191615524,0,0.0,0,0,0,0,0.069392912,0.0,0,0,-0.4962655696265479,0.069392912,0,47030.61722984224,-0.616608032,0,0,-3,0,0,0,0,0,0,0,2025-01-31 00:33:46.857000+00:00,0,0,221,0.686000944,0,0,0.069392912,2025-01-31T00:15:24.000Z,2ETe6M7DTFVwkoetPgXwYwpC515ZNbh4rh5oMNYqhFCu,-8.500434982826127,0,0,0.069392912,4.70212355021e-05,0,0,6,0.0745227682592189,0.069392912,0,1,34753.48339511618,-5,0,403,0,49350.83653822623,0,0,2025-01-31 00:33:46.857000+00:00,marketContext_0000001024,4.70212355021e-05,4.149006568999999
91,207583.36906376868,50922.655590494425,-48.30013926437097,1103,1,47021.235502139454,-12.557996191615524,0,0.0,0,0,0,0,0.069392912,0.0,0,0,-0.1465621682182332,0.069392912,0,47007.16582839022,-0.023586269,0,0,-3,0,0,0,0,0,0,0,2025-01-31 00:33:47.924000+00:00,0,0,221,0.092979181,0,0,0.069392912,2025-01-31T00:15:24.000Z,2ETe6M7DTFVwkoetPgXwYwpC515ZNbh4rh5oMNYqhFCu,-8.500434982826127,0,0,0.069392912,4.70212355021e-05,0,0,1,0.0745227682592189,0.069392912,0,1,34753.48339511618,-5,0,403,0,49194.82449476417,0,0,2025-01-31 00:33:47.924000+00:00,marketContext_0000001025,4.70212355021e-05,4.218399480999999
90,207583.36906376868,50802.06699000106,-48.30013926437097,1105,1,47021.235502139454,-13.73481539450864,0,0.0,0,0,0,0,0.069392912,0.0,0,0,0.1861182164848906,0.069392912,0,47007.63986593077,0.069392912,0,0,-2,0,0,0,0,0,0,0,2025-01-31 00:33:49.193000+00:00,0,0,221,0.0,0,0,0.069392912,2025-01-31T00:15:24.000Z,2ETe6M7DTFVwkoetPgXwYwpC515ZNbh4rh5oMNYqhFCu,-8.500434982826127,0,0,0.069392912,4.70212355021e-05,0,0,0,-0.0372274414598751,0.069392912,0,1,34753.48339511618,-5,0,403,0,49038.81245130214,0,0,2025-01-31 00:33:49.193000+00:00,marketContext_0000001026,4.70212355021e-05,4.287792392999998
