,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,82663.23219431,7535.41456427,-83.71871897,0.0,31.49026401,8833.17803097,1102,0.0,0.0,2FFNHjgT22Jpgh32Q2uAH9ZtucbxAqwRp5fYTJzuafMa,26.67501769,0,0,0,-0.66058956,8.83e-06,0,0.0,8840.52041548,0.0,0.0,0,0,-8,0.0,5421.121652,-3,0,225,0,8185.4830007,0,0.0,2025-03-05 04:24:26.496000+00:00,367,marketContext_1741148666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.83e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
98,82663.23219431,7578.58670738,-83.71871897,0.0,31.49026401,8833.17803097,1103,0.0,0.0,2FFNHjgT22Jpgh32Q2uAH9ZtucbxAqwRp5fYTJzuafMa,26.67501769,0,0,0,-0.66058956,8.83e-06,0,0.0,8833.17803097,0.0,0.0,0,0,-8,0.0,5421.121652,-3,0,225,0,8259.88604701,0,0.0,2025-03-05 04:24:27.497000+00:00,367,marketContext_1741148667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.83e-06,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
97,82663.23219431,7621.75885049,-83.71871897,0.0,31.49026401,8833.17803097,1104,0.0,8.324085573,2FFNHjgT22Jpgh32Q2uAH9ZtucbxAqwRp5fYTJzuafMa,26.67501769,0,2,0,-0.66058956,8.83e-06,2,8.216039923,8833.17803097,0.0,8.324085573,0,0,-8,8.216039923,5421.121652,-3,0,225,0,8281.9357387,0,0.0,2025-03-05 04:24:28.498000+00:00,367,marketContext_1741148668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.83e-06,8.216039923,8.324085573,0.10804564999999933,0,1,0,2,0,0,0,0,0,0,0,8.324085573,0.10804564999999933,0,2,0,2,0,0,0,0,0,0,0,0,0,1102
96,82663.23219431,7715.04685614,-79.19242373,0.0,68.04535786,11288.85529556,1105,27.80060875015206,8.324085573,2FFNHjgT22Jpgh32Q2uAH9ZtucbxAqwRp5fYTJzuafMa,61.89144374,0,2,0,27.80060875,1.129e-05,0,0.0,9106.03106037,27.80060875,0.0,0,0,-8,4.159140666,5421.121652,-3,0,225,0,8447.92625495,0,0.0,2025-03-05 04:24:29.498000+00:00,367,marketContext_1741148669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.83e-06,8.216039923,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,8.324085573,4.164944907,0,2,0,2,0,0,0,0,0,0,0,0,0,1102
95,82663.23219431,7807.75619488,-79.24468697,0.0,67.62327147,11260.50061696,1106,-0.2511740814785094,8.324085573,2FFNHjgT22Jpgh32Q2uAH9ZtucbxAqwRp5fYTJzuafMa,61.48481439,0,2,0,27.47960674,1.126e-05,0,-0.497551787,9321.47801603,27.47960674,0.0,0,0,-8,3.661588879,5421.121652,-2,0,225,0,8612.82620664,0,0.0,2025-03-05 04:24:30.495000+00:00,367,marketContext_1741148670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.129e-05,8.713591710000001,0.0,0.497551787,0,1,0,0,0,0,0,0,0,0,0,8.324085573,4.662496694,0,2,0,2,0,0,0,0,0,0,0,0,0,1102
94,82663.23219431,7866.22146675,-82.33749529,0.0,42.64525025,9582.54134041,1107,-14.901284886294915,8.324085573,2FFNHjgT22Jpgh32Q2uAH9ZtucbxAqwRp5fYTJzuafMa,37.42150215,0,2,0,8.48350737,9.58e-06,0,-0.497551787,9345.21104552,8.48350737,0.0,-3,0,-11,3.661588879,5421.121652,-5,-3,222,0,8713.18926307,0,0.0,2025-03-05 04:24:31.496000+00:00,367,marketContext_1741148671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.126e-05,9.211143497000002,0.0,0.497551787,0,1,0,0,0,0,0,0,0,0,0,8.324085573,4.662496694,0,2,0,2,0,0,0,0,0,0,0,0,0,1102
93,82663.23219431,7866.22146675,-82.33749529,0.0,42.64525025,9582.54134041,1108,-14.901284886294915,8.324085573,2FFNHjgT22Jpgh32Q2uAH9ZtucbxAqwRp5fYTJzuafMa,37.42150215,0,2,0,8.48350737,9.58e-06,0,-0.497551787,9345.21104552,8.48350737,0.0,-3,0,-11,3.661588879,5421.121652,-5,-3,222,0,8713.18926307,0,0.0,2025-03-05 04:24:32.493000+00:00,367,marketContext_1741148672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.58e-06,9.708695284000003,0.0,0.497551787,0,1,0,0,0,0,0,0,0,0,0,8.324085573,4.662496694,0,2,0,2,0,0,0,0,0,0,0,0,0,1102
92,82663.23219431,7924.68191736,-82.33749529,0.0,44.52188625,9582.54134041,1109,0.0,8.324085573,2FFNHjgT22Jpgh32Q2uAH9ZtucbxAqwRp5fYTJzuafMa,37.42150215,0,2,0,8.48350737,9.58e-06,0,-0.497551787,9471.35067791,8.48350737,0.0,-3,0,-11,3.661588879,5421.121652,-5,0,222,0,8813.5523195,0,0.0,2025-03-05 04:24:33.496000+00:00,367,marketContext_1741148673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.58e-06,10.206247071000004,0.0,0.497551787,0,1,0,0,0,0,0,0,0,0,0,8.324085573,4.662496694,0,2,0,2,0,0,0,0,0,0,0,0,0,1102
91,82663.23219431,7984.92740945,-82.33749529,0.0,44.52188625,9582.54134041,1110,0.0,0.0,2FFNHjgT22Jpgh32Q2uAH9ZtucbxAqwRp5fYTJzuafMa,37.87401785,0,0,0,8.48350737,9.58e-06,0,0.0,9625.52133973,-15.1150308,0.0,-3,0,-10,0.0,5421.121652,-5,0,222,0,8914.79562157,0,0.0,2025-03-05 04:24:34.495000+00:00,367,marketContext_1741148674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.58e-06,10.206247071000004,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
90,82663.23219431,8045.17290153,-82.33749529,0.0,44.52188625,9582.54134041,1111,0.0,0.0,2FFNHjgT22Jpgh32Q2uAH9ZtucbxAqwRp5fYTJzuafMa,37.98760741,0,0,0,8.48350737,9.58e-06,0,-2.398645678,9708.78392967,-14.90128489,0.0,-3,0,-10,-2.398645678,5421.121652,-5,0,222,0,8939.52694449,0,0.0,2025-03-05 04:24:35.497000+00:00,367,marketContext_1741148675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.58e-06,12.604892749000003,0.0,2.398645678,0,1,0,0,0,0,0,0,0,0,0,0.0,2.398645678,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
