,athMarketCap,maMarketCap60s,priceChangeFromStart,timeFromStart,trade_last5Seconds.tradeCount.buy.small,marketCap,marketCapChange60s,trade_last10Seconds.tradeCount.buy.medium,priceChangePercent,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.tradeCount.buy.large,largeBuy10s,marketCapChange10s,trade_last10Seconds.volume.buy,largeBuy5s,maMarketCap10s,netVolume10s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,trade_last10Seconds.tradeCount.buy.super,holderDelta5s,trade_last10Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.small,originalTimestamp,trade_last10Seconds.tradeCount.bot,trade_last5Seconds.tradeCount.sell.big,initialHoldersCount,trade_last10Seconds.volume.sell,trade_last10Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,buyVolume10s,creationTime,poolAddress,marketCapChange30s,superBuy5s,bigBuy5s,netVolume5s,currentPrice,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.sell.small,marketCapChange5s,buyVolume5s,trade_last5Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,minMarketCap,holderDelta30s,trade_last10Seconds.tradeCount.buy.big,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,trade_last5Seconds.tradeCount.bot,timestamp,doc_id,lastPrice,totalVolume
99,229122.91300176253,49278.23463515736,-62.417780341080466,785,4,31289.929700159657,-43.770261425168016,1,-4.706099150625703,0,0,0,0,2.734640329,5.727966119,0,0,-30.9197991293977,3.761881602,0,37701.16568614134,-9.162800113,-25,0,-74,0,-7,2,0,0,0,21,2025-02-02 01:07:22.567000+00:00,0,0,147,12.924681715,2,1,3.761881602,2025-02-02T00:54:17.000Z,2FGqVvEo9wWv6BaRf1jvPvKEjC9XHFGNfrT1DQuPy4hS,-44.42133755487405,0,0,-2.99332579,3.12899297001e-05,1,1,40,-14.471182727801066,2.734640329,0,15,31289.929700159657,-56,0,934,0,44863.10495827792,0,0,2025-02-02 01:07:22.567000+00:00,marketContext_0000000783,3.12899297001e-05,2.99332579
98,229122.91300176253,48886.56779349425,-59.977577685828095,786,3,33321.575787856025,-40.11928075878562,4,6.492971084195196,0,0,0,0,5.345604558,7.416002984,0,0,-26.434441661965536,6.72633616,0,36503.815633822865,-8.294777828,-37,0,-86,0,-12,2,0,0,0,23,2025-02-02 01:07:23.567000+00:00,0,0,147,15.021113988,4,1,6.72633616,2025-02-02T00:54:17.000Z,2FGqVvEo9wWv6BaRf1jvPvKEjC9XHFGNfrT1DQuPy4hS,-38.26955179913818,0,0,-2.070398426,3.33215757878e-05,3,4,47,-8.917821353663044,5.345604558,0,15,31289.929700159657,-68,0,922,0,44478.38731926386,0,0,2025-02-02 01:07:23.567000+00:00,marketContext_0000000784,3.12899297001e-05,5.063724216000001
97,229122.91300176253,48462.55341817898,-58.61088897612883,787,2,34459.44348264885,-41.223836776888845,5,3.4148075770399657,0,0,0,0,5.845604558,3.735987378,0,0,-23.613183732419326,7.21633616,0,35438.58316304891,-4.938934066,-26,0,-86,0,-12,1,0,0,0,25,2025-02-02 01:07:24.569000+00:00,0,0,147,12.155270226,4,0,7.21633616,2025-02-02T00:54:17.000Z,2FGqVvEo9wWv6BaRf1jvPvKEjC9XHFGNfrT1DQuPy4hS,-38.680863913308514,0,0,2.10961718,3.44594434826e-05,3,5,52,-4.285039616889451,5.845604558,0,13,31289.929700159657,-60,0,922,0,43401.20766055954,0,0,2025-02-02 01:07:24.569000+00:00,marketContext_0000000785,3.33215757878e-05,7.1733413960000005
96,229122.91300176253,48271.117597387725,-56.43260768143774,788,4,36273.02099873579,-23.125725373178152,5,5.26293327110787,0,0,0,0,7.279711243,4.120366334,1,1,-11.97663364419435,10.003142845,1,34945.045251860654,-1.903926834,-37,0,-97,0,-11,1,0,1,0,29,2025-02-02 01:07:25.570000+00:00,0,0,147,11.907069679,4,0,10.003142845,2025-02-02T00:54:17.000Z,2FGqVvEo9wWv6BaRf1jvPvKEjC9XHFGNfrT1DQuPy4hS,-35.28939329129857,0,0,3.159344909,3.62730209987e-05,3,4,53,14.203234895919344,7.279711243,0,12,31289.929700159657,-71,0,911,0,42719.09760856795,0,0,2025-02-02 01:07:25.570000+00:00,marketContext_0000000786,3.44594434826e-05,10.332686305000001
95,229122.91300176253,48271.117597387725,-56.43260768143774,789,3,36273.02099873579,-23.125725373178152,5,5.26293327110787,0,0,0,0,6.933061243,4.959768975,1,1,-11.97663364419435,9.942897845,1,34945.045251860654,-3.08420914,-30,0,-97,0,-11,1,0,1,0,23,2025-02-02 01:07:26.566000+00:00,0,0,147,13.027106985,6,0,9.942897845,2025-02-02T00:54:17.000Z,2FGqVvEo9wWv6BaRf1jvPvKEjC9XHFGNfrT1DQuPy4hS,-35.28939329129857,0,0,1.973292268,3.62730209987e-05,4,4,49,14.203234895919344,6.933061243,0,10,31289.929700159657,-71,0,911,0,42719.09760856795,0,0,2025-02-02 01:07:26.566000+00:00,marketContext_0000000787,3.62730209987e-05,12.305978573
94,229122.91300176253,47932.885754965,-58.61880418432287,790,3,34452.8534964745,-30.006905967988192,6,-5.017965011308904,0,0,0,0,4.976018559,2.486762438,1,1,-5.8255534786077945,10.675113446,1,34108.89485694443,-0.012621648,-36,0,-103,0,-6,1,0,1,0,15,2025-02-02 01:07:27.569000+00:00,0,0,147,10.687735094,5,0,10.675113446,2025-02-02T00:54:17.000Z,2FGqVvEo9wWv6BaRf1jvPvKEjC9XHFGNfrT1DQuPy4hS,-34.43183521393432,0,0,2.489256121,3.44528534964e-05,2,2,44,10.108440084794118,4.976018559,0,7,31289.929700159657,-77,0,905,0,41697.27569607576,0,0,2025-02-02 01:07:27.569000+00:00,marketContext_0000000788,3.62730209987e-05,14.795234694000001
93,229122.91300176253,47604.228767385604,-58.3348763309644,791,3,34689.244072979345,-34.66451772522703,7,0.6861277151659961,0,0,0,0,4.976018559,4.707990255,1,1,-5.179396500420343,11.321623117,1,33898.35769199798,-0.921791803,-29,0,-99,0,-6,1,0,1,0,13,2025-02-02 01:07:28.569000+00:00,0,0,147,12.24341492,7,0,11.321623117,2025-02-02T00:54:17.000Z,2FGqVvEo9wWv6BaRf1jvPvKEjC9XHFGNfrT1DQuPy4hS,-35.38575301789164,0,0,0.268028304,3.46892440729e-05,4,2,42,4.104452604014483,4.976018559,0,6,31289.929700159657,-75,0,905,0,41018.79583815189,0,0,2025-02-02 01:07:28.569000+00:00,marketContext_0000000789,3.44528534964e-05,15.063262998
92,229122.91300176253,47419.26893989326,-56.130929185799054,792,2,36524.190275224864,-22.093262786784813,8,5.289669035119799,0,0,0,0,3.542411874,4.336907156,0,1,1.4500256505481248,12.307123117,0,33956.362181756434,3.7828969,-33,0,-103,0,-4,0,0,1,0,7,2025-02-02 01:07:29.572000+00:00,0,0,147,8.524226217,7,0,12.307123117,2025-02-02T00:54:17.000Z,2FGqVvEo9wWv6BaRf1jvPvKEjC9XHFGNfrT1DQuPy4hS,-22.47352906389309,0,0,-0.794495282,3.65241902752e-05,4,3,39,5.991816999643831,3.542411874,0,6,31289.929700159657,-79,0,901,0,40640.66349473873,0,0,2025-02-02 01:07:29.572000+00:00,marketContext_0000000790,3.46892440729e-05,15.85775828
91,229122.91300176253,47215.065795580624,-57.8226536308019,793,2,35115.70670409502,-24.565220392778077,7,-3.8563033444857564,0,0,0,0,3.992911874,2.556500337,0,1,10.559506510465292,11.322123117,0,34329.016737022146,2.729247372,-21,0,-98,0,-4,0,0,1,0,8,2025-02-02 01:07:30.573000+00:00,0,0,147,8.592875745,7,0,11.322123117,2025-02-02T00:54:17.000Z,2FGqVvEo9wWv6BaRf1jvPvKEjC9XHFGNfrT1DQuPy4hS,-24.094355560176112,0,0,1.436411537,3.5115706704e-05,2,3,39,-3.190564950962038,3.992911874,0,7,31289.929700159657,-77,0,901,0,40242.57041797999,0,0,2025-02-02 01:07:30.573000+00:00,marketContext_0000000791,3.65241902752e-05,17.294169817
90,229122.91300176253,47015.680387907974,-58.1695271336687,794,2,34826.90929888444,-24.276968507076305,7,-0.8224166115868222,0,0,0,0,2.9855,4.073440512,0,1,6.065819687703273,10.925973117,0,34550.3193130065,1.89276363,-25,0,-102,0,-4,0,0,1,0,8,2025-02-02 01:07:31.573000+00:00,0,0,147,9.033209487,7,0,10.925973117,2025-02-02T00:54:17.000Z,2FGqVvEo9wWv6BaRf1jvPvKEjC9XHFGNfrT1DQuPy4hS,-23.51612731377732,0,0,-1.087940512,3.48269092988e-05,3,2,31,1.0857034017464493,2.9855,0,5,31289.929700159657,-81,0,897,0,39860.13964053366,0,0,2025-02-02 01:07:31.573000+00:00,marketContext_0000000792,3.5115706704e-05,18.382110329
