,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,430560.46815952,376995.24123513,683.40857391,0.0,17.95143788,419436.8913078,1100,-0.5578192730267665,9.268078535,2Fbk2JkHksfBGryuTA6S6L8CVdqmqAQWZVEuvMcqijQs,15.01518886,0,0,0,6.22728479,0.00041944,0,0.2,417148.1883547,0.37103596,0.2,-9,0,20,1.891691273,53316.32756404,13,-6,1905,0,389263.3902917,0,0.0,2025-03-08 00:53:40.906000+00:00,366,marketContext_1741395220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041944,0.2,0.2,0.0,0,1,0,0,0,0,0,0,0,0,0,9.268078535,7.376387262000001,0,2,0,0,0,0,0,0,0,0,0,0,0,1100
98,430560.46815952,377882.07567071,686.95745694,0.0,17.61744997,421336.96301424,1101,0.4530053855098016,10.268078535,2Fbk2JkHksfBGryuTA6S6L8CVdqmqAQWZVEuvMcqijQs,17.99256214,0,0,0,5.20262002,0.00042134,0,1.2,419752.75290507,-0.46537459,1.2,-9,0,20,2.891691273,53316.32756404,13,0,1905,0,390599.78915514,0,0.0,2025-03-08 00:53:41.908000+00:00,366,marketContext_1741395221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041944,1.4,1.2,0.0,0,1,0,0,0,0,0,0,0,0,0,10.268078535,7.376387262000001,0,2,0,0,0,0,0,0,0,0,0,0,0,1100
97,430560.46815952,379173.09393356,689.64801665,0.0,18.01957688,422777.48847996,1102,0.3418939215357756,17.703678535,2Fbk2JkHksfBGryuTA6S6L8CVdqmqAQWZVEuvMcqijQs,18.39597154,0,0,0,3.38748677,0.00042278,0,6.079756967,421484.28879006,-1.80763917,8.6356,-8,0,20,7.77144824,53316.32756404,8,0,1905,0,393336.86237976,0,0.0,2025-03-08 00:53:42.907000+00:00,366,marketContext_1741395222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042134,7.479756967,8.6356,2.5558430330000004,0,1,0,0,0,0,0,0,0,0,0,17.703678535,9.932230295000002,0,2,0,0,0,0,0,0,0,0,0,0,0,1100
96,437423.23585758,380874.03075883,717.00279708,0.0,24.13522658,437423.23585758,1103,3.4641738921048644,1.0,2Fbk2JkHksfBGryuTA6S6L8CVdqmqAQWZVEuvMcqijQs,23.74808385,0,0,0,5.45922879,0.00043742,0,6.809244084,424314.75885674,3.7064726,9.6356,-8,0,20,0.729487117,53316.32756404,8,0,1905,0,396834.54740825,0,0.0,2025-03-08 00:53:43.907000+00:00,366,marketContext_1741395223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042278,14.289001051,9.6356,2.826355916,0,1,0,0,0,0,0,0,0,0,0,1.0,0.270512883,0,2,0,0,0,0,0,0,0,0,0,0,0,1100
95,442066.52643215,382374.17355252,725.67536195,0.0,20.43460606,442066.52643215,1104,1.061509813365213,1.035,2Fbk2JkHksfBGryuTA6S6L8CVdqmqAQWZVEuvMcqijQs,25.18729017,0,0,0,5.78629621,0.00044207,0,4.627940449,426287.17747623,5.39524195,9.6706,-7,0,19,-1.451816518,53316.32756404,0,-1,1904,0,398643.82656921,0,0.0,2025-03-08 00:53:44.909000+00:00,366,marketContext_1741395224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043742,18.9169415,9.6706,5.042659551000001,0,1,0,0,0,0,0,0,0,0,0,1.035,2.486816518,0,2,0,0,0,0,0,0,0,0,0,0,0,1100
94,442066.52643215,383796.9958876,709.56793029,0.0,19.63588843,433442.60873934,1105,-1.9508189779523302,1.535,2Fbk2JkHksfBGryuTA6S6L8CVdqmqAQWZVEuvMcqijQs,22.74511275,0,0,0,3.72259706,0.00043344,0,0.378653514,428015.64705419,3.33917157,0.5,-7,0,19,-1.073163004,53316.32756404,0,-1,1904,0,401856.56580941,0,0.0,2025-03-08 00:53:45.908000+00:00,366,marketContext_1741395225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044207,19.295595014,0.5,0.12134648599999998,0,1,0,0,0,0,0,0,0,0,0,1.535,2.6081630039999997,0,2,0,0,0,0,0,0,0,0,0,0,0,1100
93,442066.52643215,385451.2235361,719.27515001,0.0,23.2382035,438639.85344311,1106,1.1990617901840168,3.2,2Fbk2JkHksfBGryuTA6S6L8CVdqmqAQWZVEuvMcqijQs,25.33952363,0,0,0,3.62217735,0.00043864,0,2.043653514,429719.3056741,4.1066633,2.165,-1,0,19,0.591836996,53316.32756404,-7,-1,1904,0,405403.70708096,0,0.0,2025-03-08 00:53:46.908000+00:00,366,marketContext_1741395226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043344,21.339248528,2.165,0.1213464860000002,0,1,0,0,0,0,0,0,0,0,0,3.2,2.608163004,0,2,0,0,0,0,0,0,0,0,0,0,0,1100
92,442066.52643215,386876.76635465,721.85592995,0.0,19.32968445,440021.6028299,1107,0.315007716682095,3.26,2Fbk2JkHksfBGryuTA6S6L8CVdqmqAQWZVEuvMcqijQs,21.23862794,0,0,0,2.19739975,0.00044002,0,1.650597895,430770.5428597,4.07876834,2.225,-1,0,19,0.198781377,53316.32756404,-7,0,1904,0,406735.16460977,0,0.0,2025-03-08 00:53:47.923000+00:00,366,marketContext_1741395227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043864,22.989846423,2.225,0.5744021050000001,0,1,0,0,0,0,0,0,0,0,0,3.26,3.061218623,0,2,0,0,0,0,0,0,0,0,0,0,0,1100
91,442066.52643215,388237.65789471,718.47981712,0.0,18.38200749,438214.03227439,1108,-0.41079132112581557,9.96,2Fbk2JkHksfBGryuTA6S6L8CVdqmqAQWZVEuvMcqijQs,20.74059018,0,0,0,3.89395854,0.00043821,0,5.157373762,432595.46693094,0.18078519,8.925,-2,0,18,3.705557244,53316.32756404,-14,-1,1903,0,409630.37912914,0,0.0,2025-03-08 00:53:48.924000+00:00,366,marketContext_1741395228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044002,28.147220185,8.925,3.767626238000001,0,1,0,0,0,0,0,0,0,0,0,9.96,6.254442756000001,0,2,0,0,0,0,0,0,0,0,0,0,0,1100
90,442066.52643215,389643.01675018,724.44275324,0.0,18.93307089,441406.58782542,1109,0.7285379554050763,10.46,2Fbk2JkHksfBGryuTA6S6L8CVdqmqAQWZVEuvMcqijQs,17.7374247,0,0,0,5.23790276,0.00044141,0,2.537458159,433476.57902039,-0.14928491,9.425,-2,0,16,1.085641641,53316.32756404,-14,-1,1903,0,410807.27574752,0,0.0,2025-03-08 00:53:49.927000+00:00,366,marketContext_1741395229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043821,30.684678343999998,9.425,6.887541841000001,0,1,0,0,0,0,0,0,0,0,0,10.46,9.374358359,0,2,0,0,0,0,0,0,0,0,0,0,0,1100
