,athMarketCap,maMarketCap60s,priceChangeFromStart,timeFromStart,trade_last5Seconds.tradeCount.buy.small,marketCap,marketCapChange60s,trade_last10Seconds.tradeCount.buy.medium,priceChangePercent,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.tradeCount.buy.large,largeBuy10s,marketCapChange10s,trade_last10Seconds.volume.buy,largeBuy5s,maMarketCap10s,netVolume10s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,trade_last10Seconds.tradeCount.buy.super,holderDelta5s,trade_last10Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.small,originalTimestamp,trade_last10Seconds.tradeCount.bot,trade_last5Seconds.tradeCount.sell.big,initialHoldersCount,trade_last10Seconds.volume.sell,trade_last10Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,buyVolume10s,creationTime,poolAddress,marketCapChange30s,superBuy5s,bigBuy5s,netVolume5s,currentPrice,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.sell.small,marketCapChange5s,buyVolume5s,trade_last5Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,minMarketCap,holderDelta30s,trade_last10Seconds.tradeCount.buy.big,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,trade_last5Seconds.tradeCount.bot,timestamp,doc_id,lastPrice,totalVolume
99,141357.75572395878,108410.00846855067,38.68681347167083,1102,0,108574.06787647608,0.2135499921296251,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,108574.06787647608,0.0,0,0,0,0,0,0,0,0,0,0,2025-02-02 22:06:25.729000+00:00,0,0,316,0.0,0,0,0.0,2025-02-02T21:48:03.000Z,2GDDmxCdFmcs16c9QjAYSVEA8vc75tFZu7rv3VrW9YdJ,0.2135499921296251,0,0,0.0,0.0001085740678764,0,0,0,0.0,0.0,0,0,60089.33399110644,0,0,484,0,108474.91109146622,0,0,2025-02-02 22:06:25.729000+00:00,marketContext_0000001080,0.0001085740678764,0.0
98,141357.75572395878,108412.93810083506,38.68681347167083,1103,0,108574.06787647608,0.2135499921296251,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,108574.06787647608,0.0,0,0,0,0,0,0,0,0,0,0,2025-02-02 22:06:26.728000+00:00,0,0,316,0.0,0,0,0.0,2025-02-02T21:48:03.000Z,2GDDmxCdFmcs16c9QjAYSVEA8vc75tFZu7rv3VrW9YdJ,0.2135499921296251,0,0,0.0,0.0001085740678764,0,0,0,0.0,0.0,0,0,60089.33399110644,0,0,484,0,108483.17415688372,0,0,2025-02-02 22:06:26.728000+00:00,marketContext_0000001081,0.0001085740678764,0.0
97,141357.75572395878,108417.0696335438,38.68681347167083,1104,0,108574.06787647608,0.2135499921296251,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,108574.06787647608,0.0,0,0,0,0,0,0,0,0,0,0,2025-02-02 22:06:27.730000+00:00,0,0,316,0.0,0,0,0.0,2025-02-02T21:48:03.000Z,2GDDmxCdFmcs16c9QjAYSVEA8vc75tFZu7rv3VrW9YdJ,0.2135499921296251,0,0,0.0,0.0001085740678764,0,0,0,0.0,0.0,0,0,60089.33399110644,0,0,484,0,108491.4372223012,0,0,2025-02-02 22:06:27.730000+00:00,marketContext_0000001082,0.0001085740678764,0.0
96,141357.75572395878,108421.20116625256,38.68681347167083,1105,0,108574.06787647608,0.2135499921296251,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,108574.06787647608,0.0,0,0,0,0,0,0,0,0,0,0,2025-02-02 22:06:28.730000+00:00,0,0,316,0.0,0,0,0.0,2025-02-02T21:48:03.000Z,2GDDmxCdFmcs16c9QjAYSVEA8vc75tFZu7rv3VrW9YdJ,0.2135499921296251,0,0,0.0,0.0001085740678764,0,0,0,0.0,0.0,0,0,60089.33399110644,0,0,484,0,108499.70028771868,0,0,2025-02-02 22:06:28.730000+00:00,marketContext_0000001083,0.0001085740678764,0.0
95,141357.75572395878,108425.3326989613,38.68681347167083,1106,0,108574.06787647608,0.2135499921296251,0,0,0,0,0,0,0.0,0.009574932,0,0,0.0,0.0,0,108574.06787647608,-0.009574932,0,0,0,0,0,0,0,0,0,1,2025-02-02 22:06:29.730000+00:00,0,0,316,0.009574932,0,0,0.0,2025-02-02T21:48:03.000Z,2GDDmxCdFmcs16c9QjAYSVEA8vc75tFZu7rv3VrW9YdJ,0.2135499921296251,0,0,-0.009574932,0.0001085740678764,0,0,1,0.0,0.0,0,0,60089.33399110644,0,0,484,0,108507.96335313618,0,0,2025-02-02 22:06:29.730000+00:00,marketContext_0000001084,0.0001085740678764,0.009574932
94,141357.75572395878,108429.46423167003,38.68681347167083,1107,0,108574.06787647608,0.2135499921296251,0,0,0,0,0,0,0.0,0.009574932,0,0,0.0,0.0,0,108574.06787647608,-0.009574932,0,0,0,0,0,0,0,0,0,1,2025-02-02 22:06:30.730000+00:00,0,0,316,0.009574932,0,0,0.0,2025-02-02T21:48:03.000Z,2GDDmxCdFmcs16c9QjAYSVEA8vc75tFZu7rv3VrW9YdJ,0.2135499921296251,0,0,-0.009574932,0.0001085740678764,0,0,1,0.0,0.0,0,0,60089.33399110644,0,0,484,0,108516.22641855366,0,0,2025-02-02 22:06:30.730000+00:00,marketContext_0000001085,0.0001085740678764,0.019149864
93,141357.75572395878,108433.59576437878,38.68681347167083,1108,0,108574.06787647608,0.2135499921296251,0,0,0,0,0,0,0.0,0.009574932,0,0,0.0,0.0,0,108574.06787647608,-0.009574932,0,0,0,0,0,0,0,0,0,1,2025-02-02 22:06:31.731000+00:00,0,0,316,0.009574932,0,0,0.0,2025-02-02T21:48:03.000Z,2GDDmxCdFmcs16c9QjAYSVEA8vc75tFZu7rv3VrW9YdJ,0.2135499921296251,0,0,-0.009574932,0.0001085740678764,0,0,1,0.0,0.0,0,0,60089.33399110644,0,0,484,0,108524.48948397116,0,0,2025-02-02 22:06:31.731000+00:00,marketContext_0000001086,0.0001085740678764,0.028724795999999997
92,141357.75572395878,108436.06018739803,38.68681347167083,1109,0,108574.06787647608,0.2135499921296251,0,0,0,0,0,0,0.0,0.009574932,0,0,0.0,0.0,0,108574.06787647608,-0.009574932,0,0,0,0,0,0,0,0,0,1,2025-02-02 22:06:32.733000+00:00,0,0,316,0.009574932,0,0,0.0,2025-02-02T21:48:03.000Z,2GDDmxCdFmcs16c9QjAYSVEA8vc75tFZu7rv3VrW9YdJ,0.2135499921296251,0,0,-0.009574932,0.0001085740678764,0,0,1,0.0,0.0,0,0,60089.33399110644,0,0,484,0,108532.75254938864,0,0,2025-02-02 22:06:32.733000+00:00,marketContext_0000001087,0.0001085740678764,0.038299728
91,141357.75572395878,108440.1192370768,38.68681347167083,1110,0,108574.06787647608,0.2135499921296251,0,0,0,0,0,0,0.0,0.009574932,0,0,0.0,0.0,0,108574.06787647608,-0.009574932,0,0,0,0,0,0,0,0,0,1,2025-02-02 22:06:33.733000+00:00,0,0,316,0.009574932,0,0,0.0,2025-02-02T21:48:03.000Z,2GDDmxCdFmcs16c9QjAYSVEA8vc75tFZu7rv3VrW9YdJ,0.2135499921296251,0,0,-0.009574932,0.0001085740678764,0,0,1,0.0,0.0,0,0,60089.33399110644,0,0,484,0,108541.01561480612,0,0,2025-02-02 22:06:33.733000+00:00,marketContext_0000001088,0.0001085740678764,0.04787466
90,141357.75572395878,108442.4286963768,38.68681347167083,1111,0,108574.06787647608,0.2135499921296251,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,108574.06787647608,-0.009574932,0,0,0,0,0,0,0,0,0,0,2025-02-02 22:06:34.732000+00:00,0,0,316,0.009574932,0,0,0.0,2025-02-02T21:48:03.000Z,2GDDmxCdFmcs16c9QjAYSVEA8vc75tFZu7rv3VrW9YdJ,0.2135499921296251,0,0,0.0,0.0001085740678764,0,0,1,0.0,0.0,0,0,60089.33399110644,0,0,484,0,108549.27868022362,0,0,2025-02-02 22:06:34.732000+00:00,marketContext_0000001089,0.0001085740678764,0.04787466
