,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,55384.95690098,3757.88197103,-93.36669516,0.0,-3.09833899,3686.94056614,1072,0.0,0,2HBeuiJRNgcoACEHSicHWpEYTfrMgXCbr8mbMfTZXdAT,-2.84447006,0,0,0,-0.04287127,3.69e-06,0,0,3688.74188067,-0.06609294,0,0,0,0,0,3686.94056614,0,0,179,0,3717.54112953,0,0.0,2025-03-07 14:45:20.480000+00:00,559,marketContext_1741358720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1072
98,55384.95690098,3755.37374893,-93.36669516,0.0,-3.09833899,3686.94056614,1073,0.0,0,2HBeuiJRNgcoACEHSicHWpEYTfrMgXCbr8mbMfTZXdAT,-2.84447006,0,0,0,-0.06609294,3.69e-06,0,0,3688.56617887,-0.06609294,0,0,0,0,0,3686.94056614,0,0,179,0,3716.26610605,0,0.0,2025-03-07 14:45:21.772000+00:00,559,marketContext_1741358721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1072
97,55384.95690098,3752.86552683,-93.36669516,0.0,-3.09833899,3686.94056614,1075,0.0,0,2HBeuiJRNgcoACEHSicHWpEYTfrMgXCbr8mbMfTZXdAT,-2.84447006,0,0,0,-0.06609294,3.69e-06,0,0,3688.15977569,-0.06609294,0,0,0,0,0,3686.94056614,0,0,179,0,3708.15466293,0,0.0,2025-03-07 14:45:23.079000+00:00,559,marketContext_1741358723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1072
96,55384.95690098,3750.35730473,-93.36669516,0.0,-3.09833899,3686.94056614,1076,0.0,0,2HBeuiJRNgcoACEHSicHWpEYTfrMgXCbr8mbMfTZXdAT,-2.84447006,0,0,0,-0.06609294,3.69e-06,0,0,3687.8549733,0.0,0,0,0,0,0,3686.94056614,0,0,179,0,3703.46142964,0,0.0,2025-03-07 14:45:24.270000+00:00,559,marketContext_1741358724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1072
95,55384.95690098,3747.84908263,-93.36669516,0.0,-3.09833899,3686.94056614,1077,0.0,0,2HBeuiJRNgcoACEHSicHWpEYTfrMgXCbr8mbMfTZXdAT,-2.84447006,0,0,0,-0.06609294,3.69e-06,0,0,3687.55017091,0.0,0,0,0,0,0,3686.94056614,0,0,179,0,3702.77306032,0,0.0,2025-03-07 14:45:25.376000+00:00,559,marketContext_1741358725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1072
94,55384.95690098,3746.5801552,-93.36669516,0.0,-3.09833899,3686.94056614,1078,0.0,0,2HBeuiJRNgcoACEHSicHWpEYTfrMgXCbr8mbMfTZXdAT,-2.84447006,0,0,0,-0.06609294,3.69e-06,0,0,3687.24536853,0.0,0,0,0,0,0,3686.94056614,0,0,179,0,3698.27537841,0,0.0,2025-03-07 14:45:26.398000+00:00,559,marketContext_1741358726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1072
93,55384.95690098,3745.36302073,-93.36669516,0.0,-2.84447006,3686.94056614,1079,0.0,0,2HBeuiJRNgcoACEHSicHWpEYTfrMgXCbr8mbMfTZXdAT,-2.84447006,0,0,0,-0.06609294,3.69e-06,0,0,3687.2115016,0.0,0,0,0,0,0,3686.94056614,0,0,179,0,3693.7776965,0,0.0,2025-03-07 14:45:27.567000+00:00,559,marketContext_1741358727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1072
92,55384.95690098,3744.0828165,-93.36669516,0.0,-2.9917145,3681.35280929,1081,0.0,0,2HBeuiJRNgcoACEHSicHWpEYTfrMgXCbr8mbMfTZXdAT,-0.30107484,0,0,0,-0.15155538,3.68e-06,0,0,3686.24209653,-0.15155538,0,0,0,0,0,3681.35280929,0,0,179,0,3688.91367211,0,0.0,2025-03-07 14:45:29.343000+00:00,559,marketContext_1741358729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1072
91,55384.95690098,3740.71395818,-93.36802822,0.0,-3.01120967,3680.61298987,1082,-0.020096400971521742,0,2HBeuiJRNgcoACEHSicHWpEYTfrMgXCbr8mbMfTZXdAT,-0.32111074,0,0,0,-0.17162133,3.68e-06,0,0,3685.61664024,-0.17162133,0,0,0,0,0,3680.61298987,0,0,179,0,3688.39815396,0,0.0,2025-03-07 14:45:30.009000+00:00,559,marketContext_1741358730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1072
90,55384.95690098,3737.20473077,-93.36802822,0.0,-3.01120967,3680.61298987,1083,0.0,0,2HBeuiJRNgcoACEHSicHWpEYTfrMgXCbr8mbMfTZXdAT,-0.32111074,0,0,0,-0.17162133,3.68e-06,0,0,3684.91357621,-0.17162133,0,0,0,-2,0,3680.61298987,0,0,177,0,3687.88263581,0,0.0,2025-03-07 14:45:31.305000+00:00,559,marketContext_1741358731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1072
