,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,354162.31176564,269913.76135762,300.94518673,0.0,-25.05793525,228397.90446103,1102,0.0,0.0,2Hr9ozHQjkRxZTz5pXFVtsYTSYcfhbJ5NiZAU9NnFmrc,-24.20008814,0,0,0,-0.12477433,0.0002284,0,-0.037771412,228630.96465444,-0.21237914,0.0,-2,0,-21,-0.169117612,56795.30466892,-21,0,137,0,240241.37841513,0,0.0,2025-03-06 06:40:47.342000+00:00,3,marketContext_1741243247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002284,0.037771412,0.0,0.037771412,0,1,0,0,0,0,0,0,0,0,0,0.0,0.169117612,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
98,354162.31176564,268517.40877051,301.70012043,0.0,-24.08796026,228827.95146112,1103,0.18828850514219436,0.15,2Hr9ozHQjkRxZTz5pXFVtsYTSYcfhbJ5NiZAU9NnFmrc,-24.05736562,0,0,0,0.06327924,0.00022883,0,0.112228588,228645.43555635,-0.02449052,0.15,-1,0,-21,-0.019117612,56795.30466892,-20,1,138,0,237556.60450605,0,0.0,2025-03-06 06:40:48.379000+00:00,3,marketContext_1741243248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002284,0.15,0.15,0.03777141199999999,0,1,0,0,0,0,0,0,0,0,0,0.15,0.169117612,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
97,354162.31176564,267766.42941495,301.50272064,0.0,-23.99757507,228715.50292605,1104,-0.049141083663235434,0.15,2Hr9ozHQjkRxZTz5pXFVtsYTSYcfhbJ5NiZAU9NnFmrc,-13.29524774,0,0,0,0.01410706,0.00022872,0,-0.004185124,228648.66160475,0.09149648,0.15,-1,0,-21,-0.135531324,56795.30466892,-20,1,138,0,237240.85087819,0,0.0,2025-03-06 06:40:49.379000+00:00,3,marketContext_1741243249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022883,0.154185124,0.15,0.154185124,0,1,0,0,0,0,0,0,0,0,0,0.15,0.28553132400000003,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
96,354162.31176564,266397.54561314,300.91552536,0.0,-24.10872815,228381.00789725,1105,-0.14624939040780413,0.15,2Hr9ozHQjkRxZTz5pXFVtsYTSYcfhbJ5NiZAU9NnFmrc,-13.42205292,0,0,0,-0.13216296,0.00022838,0,-0.08162471,228618.43815028,-0.05488672,0.15,-1,0,-23,-0.21297091,56795.30466892,-19,1,138,0,235976.36606746,0,0.0,2025-03-06 06:40:50.379000+00:00,3,marketContext_1741243250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022872,0.235809834,0.15,0.23162471,0,1,0,0,0,0,0,0,0,0,0,0.15,0.36297091000000004,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
95,354162.31176564,265691.81465928,300.75238307,0.0,-24.12454943,228288.07410465,1106,-0.04069243474187732,0.15,2Hr9ozHQjkRxZTz5pXFVtsYTSYcfhbJ5NiZAU9NnFmrc,-13.36451697,0,0,0,-0.17280162,0.00022829,0,0.0,228578.92131654,-0.04808729,0.0,-1,0,-23,-0.21297091,56795.30466892,-19,0,138,0,234718.64985609,0,0.0,2025-03-06 06:40:51.380000+00:00,3,marketContext_1741243251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022838,0.235809834,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.15,0.36297091000000004,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
94,354162.31176564,265691.81465928,300.75238307,0.0,-24.12454943,228288.07410465,1107,-0.04069243474187732,0.15,2Hr9ozHQjkRxZTz5pXFVtsYTSYcfhbJ5NiZAU9NnFmrc,-13.36451697,0,0,0,-0.17280162,0.00022829,0,0.0,228578.92131654,-0.04808729,0.0,2,0,-22,-0.21297091,56795.30466892,-18,1,139,0,234718.64985609,0,0.0,2025-03-06 06:40:52.379000+00:00,3,marketContext_1741243252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022829,0.235809834,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.15,0.36297091000000004,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
93,354162.31176564,263655.12380641,300.78252224,0.0,-24.16860549,228305.24284731,1108,0.007520648080344289,0.15,2Hr9ozHQjkRxZTz5pXFVtsYTSYcfhbJ5NiZAU9NnFmrc,-13.22216186,0,0,0,-0.25286323,0.00022831,0,0.0,228480.71592453,-0.22842866,0.0,2,0,-22,-0.21297091,56795.30466892,-18,0,139,0,232385.10805613,0,0.0,2025-03-06 06:40:53.381000+00:00,3,marketContext_1741243253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022829,0.235809834,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.15,0.36297091000000004,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
92,354162.31176564,262281.47841328,300.78252224,0.0,-24.17840023,228305.24284731,1109,0.0,0.0,2Hr9ozHQjkRxZTz5pXFVtsYTSYcfhbJ5NiZAU9NnFmrc,-13.21284394,0,0,0,-0.08804336,0.00022831,0,0.0,228458.36206521,-0.17937572,0.0,2,0,-21,0.0,56795.30466892,-3,0,139,0,231097.76893002,0,0.0,2025-03-06 06:40:54.381000+00:00,3,marketContext_1741243254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022831,0.235809834,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
91,354162.31176564,260876.73955729,300.78252224,0.0,-24.59110982,228305.24284731,1110,0.0,0.0,2Hr9ozHQjkRxZTz5pXFVtsYTSYcfhbJ5NiZAU9NnFmrc,-13.22735751,0,0,0,-0.08804336,0.00022831,0,0.0,228436.00820589,-0.03317485,0.0,2,0,-21,0.0,56795.30466892,-3,0,139,0,229808.80017714,0,0.0,2025-03-06 06:40:55.380000+00:00,3,marketContext_1741243255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022831,0.235809834,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
90,354162.31176564,260876.73955729,300.78252224,0.0,-24.59110982,228305.24284731,1111,0.0,0.0,2Hr9ozHQjkRxZTz5pXFVtsYTSYcfhbJ5NiZAU9NnFmrc,-13.22735751,0,0,0,-0.08804336,0.00022831,0,0.0,228436.00820589,-0.03317485,0.0,1,0,-22,0.0,56795.30466892,-3,0,139,0,229808.80017714,0,0.0,2025-03-06 06:40:56.380000+00:00,3,marketContext_1741243256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022831,0.235809834,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
