,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,179042.24750451,133249.62874378,153.80714326,0.0,15.52380128,138850.8848767,830,1.964228206674878,0,2HypFgyJyWkwHnTvWqU6hRwhnuPGRnAQzdL32jJSwceZ,-5.827445,0,0,0,1.07902717,0.00013885,0,0,137809.51701317,-0.55224014,0,0,0,-8,0,54401.79615515,0,0,1088,0,142008.03907227,0,0.0,2025-03-07 21:21:53.781000+00:00,450,marketContext_1741382513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013885,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,830
98,179042.24750451,133614.39304702,153.80714326,0.0,15.72979858,138850.8848767,832,0.0,0,2HypFgyJyWkwHnTvWqU6hRwhnuPGRnAQzdL32jJSwceZ,-8.68648141,0,0,0,-0.17265252,0.00013885,0,0,137782.51467248,1.96422821,0,0,0,-8,0,54401.79615515,0,0,1088,0,141262.29391324,0,0.0,2025-03-07 21:21:55.422000+00:00,450,marketContext_1741382515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013885,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,830
97,179042.24750451,133859.35214211,142.14604756,0.0,11.07158374,132471.42117969,833,-4.594471041850764,0,2HypFgyJyWkwHnTvWqU6hRwhnuPGRnAQzdL32jJSwceZ,-14.15235135,0,0,0,-4.64440534,0.00013247,0,0,137047.00268778,-2.72048873,0,0,0,-8,0,54401.79615515,0,0,1088,0,140388.75474202,0,0.0,2025-03-07 21:21:56.765000+00:00,450,marketContext_1741382516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013885,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,830
96,179042.24750451,134124.18384833,142.69753507,0.0,13.15559759,132773.12477755,834,0.22774995178297805,0,2HypFgyJyWkwHnTvWqU6hRwhnuPGRnAQzdL32jJSwceZ,-13.80117866,0,0,0,-4.90525257,0.00013277,0,0,136363.61698632,-2.49893469,0,0,0,-8,0,54401.79615515,0,0,1088,0,139538.42960419,0,0.0,2025-03-07 21:21:57.873000+00:00,450,marketContext_1741382517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013247,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,830
95,179042.24750451,134426.85744568,142.69753507,0.0,12.78893009,132773.12477755,835,0.0,0,2HypFgyJyWkwHnTvWqU6hRwhnuPGRnAQzdL32jJSwceZ,-13.80117866,0,0,0,-4.90525257,0.00013277,0,0,135602.63826826,-4.377185,0,0,0,0,0,54401.79615515,0,0,1088,0,139278.22557239,0,0.0,2025-03-07 21:21:58.954000+00:00,450,marketContext_1741382518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013277,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,830
94,179042.24750451,135155.80505618,140.11108464,0.0,17.68397438,131358.14911793,838,-1.065709391105599,0,2HypFgyJyWkwHnTvWqU6hRwhnuPGRnAQzdL32jJSwceZ,-9.61521855,0,0,0,-3.5380127,0.00013136,0,0,135178.18935323,-0.84038659,0,0,0,0,0,54401.79615515,0,0,1088,0,138129.14430011,0,0.0,2025-03-07 21:22:01.210000+00:00,450,marketContext_1741382521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013277,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,830
93,179042.24750451,135515.64205503,136.67913249,0.0,16.13781324,129480.62279334,839,-1.4293184984742153,0,2HypFgyJyWkwHnTvWqU6hRwhnuPGRnAQzdL32jJSwceZ,-12.65883209,0,0,0,-4.91676173,0.00012948,0,0,134323.37381806,-2.47979551,0,0,0,0,0,54401.79615515,0,0,1088,0,137378.49097022,0,0.0,2025-03-07 21:22:02.370000+00:00,450,marketContext_1741382522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013136,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,830
92,179042.24750451,135875.47905387,136.67913249,0.0,12.07534068,129480.62279334,840,0.0,0,2HypFgyJyWkwHnTvWqU6hRwhnuPGRnAQzdL32jJSwceZ,-10.65889638,0,0,0,-6.74843527,0.00012948,0,0,132455.42147373,-2.47979551,0,0,0,0,0,54401.79615515,0,0,1088,0,136704.54174053,0,0.0,2025-03-07 21:22:03.867000+00:00,450,marketContext_1741382523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012948,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,830
91,179042.24750451,136009.32059556,123.41112275,0.0,6.24367982,122222.06076081,842,-5.605906023568874,0,2HypFgyJyWkwHnTvWqU6hRwhnuPGRnAQzdL32jJSwceZ,-10.73192248,0,0,0,-11.97603035,0.00012222,0,0,131176.25138462,-6.95509827,0,0,0,0,0,54401.79615515,0,0,1088,0,135749.64422261,0,0.0,2025-03-07 21:22:05.274000+00:00,450,marketContext_1741382525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012948,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,830
90,179042.24750451,136134.64289543,121.73570469,0.0,7.62324574,121305.48577127,843,-0.7499259821343214,0,2HypFgyJyWkwHnTvWqU6hRwhnuPGRnAQzdL32jJSwceZ,-12.06032791,0,0,0,-8.42893909,0.00012131,0,0,128983.07649644,-7.65286616,0,0,0,0,0,54401.79615515,0,0,1088,0,135056.46829289,0,0.0,2025-03-07 21:22:06.629000+00:00,450,marketContext_1741382526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012222,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,830
