,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,632773.55556854,302894.0916433,506.60391855,0.0,-4.03869359,295938.70038102,1101,0.0,0,2JdY6z48khGTtwMaCgcNN2CDPqkkE67ngasSsGS6xTyN,-2.97484635,0,0,0,0.0,0.00029594,0,0,295938.70038102,0.0,0,0,0,-1,0,48520.02374094,-1,0,197,0,300441.44454542,0,0.0,2025-03-10 07:03:08.875000+00:00,167,marketContext_1741590188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029594,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
98,632773.55556854,302659.09013701,506.60391855,0.0,-4.03869359,295938.70038102,1102,0.0,0,2JdY6z48khGTtwMaCgcNN2CDPqkkE67ngasSsGS6xTyN,-2.97484635,0,0,0,0.0,0.00029594,0,0,295938.70038102,0.0,0,0,0,-1,0,48520.02374094,-1,0,197,0,300128.56010646,0,0.0,2025-03-10 07:03:09.875000+00:00,167,marketContext_1741590189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029594,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
97,632773.55556854,302534.63847486,506.60391855,0.0,-4.03869359,295938.70038102,1103,0.0,0,2JdY6z48khGTtwMaCgcNN2CDPqkkE67ngasSsGS6xTyN,-2.97484635,0,0,0,0.0,0.00029594,0,0,295938.70038102,0.0,0,0,0,-1,0,48520.02374094,-1,0,197,0,299815.67566751,0,0.0,2025-03-10 07:03:10.876000+00:00,167,marketContext_1741590190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029594,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
96,632773.55556854,302303.98884832,506.60391855,0.0,-4.03869359,295938.70038102,1104,0.0,0,2JdY6z48khGTtwMaCgcNN2CDPqkkE67ngasSsGS6xTyN,-2.97484635,0,0,0,0.0,0.00029594,0,0,295938.70038102,0.0,0,0,0,-1,0,48520.02374094,-1,0,197,0,299502.79122855,0,0.0,2025-03-10 07:03:11.875000+00:00,167,marketContext_1741590191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029594,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
95,632773.55556854,302073.33922178,506.60391855,0.0,-4.03869359,295938.70038102,1105,0.0,0,2JdY6z48khGTtwMaCgcNN2CDPqkkE67ngasSsGS6xTyN,-2.97484635,0,0,0,0.0,0.00029594,0,0,295938.70038102,0.0,0,0,0,-1,0,48520.02374094,-1,0,197,0,299189.9067896,0,0.0,2025-03-10 07:03:12.877000+00:00,167,marketContext_1741590192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029594,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
94,632773.55556854,301842.68959524,506.60391855,0.0,-4.03869359,295938.70038102,1106,0.0,0,2JdY6z48khGTtwMaCgcNN2CDPqkkE67ngasSsGS6xTyN,-2.97484635,0,0,0,0.0,0.00029594,0,0,295938.70038102,0.0,0,0,0,-1,0,48520.02374094,-1,0,197,0,298877.02235065,0,0.0,2025-03-10 07:03:13.876000+00:00,167,marketContext_1741590193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029594,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
93,632773.55556854,301612.0399687,506.60391855,0.0,-4.03869359,295938.70038102,1107,0.0,0,2JdY6z48khGTtwMaCgcNN2CDPqkkE67ngasSsGS6xTyN,-2.97484635,0,0,0,0.0,0.00029594,0,0,295938.70038102,0.0,0,0,0,-1,0,48520.02374094,-1,0,197,0,298564.13791169,0,0.0,2025-03-10 07:03:14.878000+00:00,167,marketContext_1741590194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029594,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
92,632773.55556854,301508.88833984,506.60391855,0.0,-4.03869359,295938.70038102,1108,0.0,0,2JdY6z48khGTtwMaCgcNN2CDPqkkE67ngasSsGS6xTyN,-2.97484635,0,0,0,0.0,0.00029594,0,0,295938.70038102,0.0,0,0,0,-1,0,48520.02374094,-1,0,197,0,298251.25347274,0,0.0,2025-03-10 07:03:15.875000+00:00,167,marketContext_1741590195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029594,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
91,632773.55556854,301282.43234287,506.60391855,0.0,-4.03869359,295938.70038102,1109,0.0,0,2JdY6z48khGTtwMaCgcNN2CDPqkkE67ngasSsGS6xTyN,-2.97484635,0,0,0,0.0,0.00029594,0,0,295938.70038102,0.0,0,0,0,-1,0,48520.02374094,-1,0,197,0,297938.36903378,0,0.0,2025-03-10 07:03:16.877000+00:00,167,marketContext_1741590196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029594,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
90,632773.55556854,301282.43234287,506.60391855,0.0,-4.03869359,295938.70038102,1110,0.0,0,2JdY6z48khGTtwMaCgcNN2CDPqkkE67ngasSsGS6xTyN,-2.97484635,0,0,0,0.0,0.00029594,0,0,295938.70038102,0.0,0,0,0,-1,0,48520.02374094,-1,0,197,0,297938.36903378,0,0.0,2025-03-10 07:03:17.875000+00:00,167,marketContext_1741590197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029594,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
