,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,58487.85246597,44060.98662075,-16.26963045,0.0,-18.64854676,40964.52055673,1101,0.04427983283149942,0,2JhkZXrfYMFBZNFQSQPnNmiv4aeu7BM6bGXs4dZGQDsk,6.89527092,0,0,0,-0.41250835,4.096e-05,0,0,41017.60278666,0.18435655,0,0,0,3,0,30086.0301416,12,0,537,0,40270.04225803,0,0.0,2025-03-09 19:23:54.691000+00:00,303,marketContext_1741548234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.096e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
98,58487.85246597,43912.22019241,-15.01615264,0.0,-17.4306823,41577.77615176,1102,1.4970408214174888,0,2JhkZXrfYMFBZNFQSQPnNmiv4aeu7BM6bGXs4dZGQDsk,13.19333875,0,0,0,1.07835706,4.158e-05,0,0,41061.96014429,1.54198354,0,0,0,3,0,30086.0301416,12,0,537,0,40382.30669686,0,0.0,2025-03-09 19:23:55.694000+00:00,303,marketContext_1741548235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.096e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
97,58487.85246597,43756.18146519,-15.89315116,0.0,-18.36325497,41148.71051875,1103,-1.031959072173626,0,2JhkZXrfYMFBZNFQSQPnNmiv4aeu7BM6bGXs4dZGQDsk,12.02522982,0,0,0,0.03526978,4.115e-05,0,0,41063.41093862,0.49411183,0,0,0,5,0,30086.0301416,10,1,538,0,40534.61927659,0,0.0,2025-03-09 19:23:56.692000+00:00,303,marketContext_1741548236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.158e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
96,58487.85246597,43599.78045778,-15.83536025,0.0,-18.3878299,41176.98433661,1104,0.06871130954682751,0,2JhkZXrfYMFBZNFQSQPnNmiv4aeu7BM6bGXs4dZGQDsk,10.41849457,0,0,0,0.10400533,4.118e-05,0,0,41067.68911474,0.56316265,0,0,0,5,0,30086.0301416,10,1,538,0,40556.03144526,0,0.0,2025-03-09 19:23:57.693000+00:00,303,marketContext_1741548237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.115e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
95,58487.85246597,43440.08010665,-16.13140804,0.0,-18.18729868,41032.14494306,1105,-0.35174842423738334,0,2JhkZXrfYMFBZNFQSQPnNmiv4aeu7BM6bGXs4dZGQDsk,9.40096873,0,0,0,-0.24810894,4.103e-05,0,0,41057.4833515,0.20943331,0,1,0,5,0,30086.0301416,6,1,538,0,40680.71141594,0,0.0,2025-03-09 19:23:58.713000+00:00,303,marketContext_1741548238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.118e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
94,58487.85246597,43285.47648083,-16.13140804,0.0,-18.18729868,41032.14494306,1106,0.0,0,2JhkZXrfYMFBZNFQSQPnNmiv4aeu7BM6bGXs4dZGQDsk,8.62878563,0,0,0,0.34974126,4.103e-05,0,0,41071.78397055,0.16508038,0,2,0,6,0,30086.0301416,7,1,539,0,40798.24295034,0,0.0,2025-03-09 19:23:59.717000+00:00,303,marketContext_1741548239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.103e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
93,58487.85246597,43130.872855,-16.13140804,0.0,-17.96820765,41032.14494306,1107,0.0,0,2JhkZXrfYMFBZNFQSQPnNmiv4aeu7BM6bGXs4dZGQDsk,8.01287344,0,0,0,0.20943331,4.103e-05,0,0,41080.35950847,-1.31231456,0,2,0,7,0,30086.0301416,3,1,539,0,40906.88744407,0,0.0,2025-03-09 19:24:00.885000+00:00,303,marketContext_1741548240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.103e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
92,58487.85246597,42978.53958466,-16.13140804,0.0,-18.0697439,41032.14494306,1108,0.0,0,2JhkZXrfYMFBZNFQSQPnNmiv4aeu7BM6bGXs4dZGQDsk,4.6265264,0,0,0,0.20943331,4.103e-05,0,0,41088.93504639,-0.28327881,0,2,0,7,0,30086.0301416,3,0,539,0,41008.35232008,0,0.0,2025-03-09 19:24:01.934000+00:00,303,marketContext_1741548241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.103e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
91,58487.85246597,42825.05448036,-16.14360771,0.0,-18.0684771,41026.17633476,1109,-0.014546176675790114,0,2JhkZXrfYMFBZNFQSQPnNmiv4aeu7BM6bGXs4dZGQDsk,3.92048099,0,0,0,0.19485667,4.103e-05,0,0,41096.91372347,-0.36624343,0,2,0,7,0,30086.0301416,2,0,539,0,41068.63398213,0,0.0,2025-03-09 19:24:02.933000+00:00,303,marketContext_1741548242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.103e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
90,58487.85246597,42672.65857656,-16.02872906,0.0,-17.95623541,41082.37994501,1110,0.13699451244397998,0,2JhkZXrfYMFBZNFQSQPnNmiv4aeu7BM6bGXs4dZGQDsk,1.24382827,0,0,0,0.33211812,4.108e-05,0,0,41110.51276159,0.12242841,0,2,0,7,0,30086.0301416,2,0,539,0,41122.09891641,0,0.0,2025-03-09 19:24:03.940000+00:00,303,marketContext_1741548243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.103e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
