,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,91919.09119675,85608.14256085,61.95646458,0.0,-1.41338337,84988.98751919,1101,-0.01738677342589033,0,2Jo8zfiTN8ABzTBz3RoxSvfsWRkrxnkyQpQ5movkUBuq,0.59404735,0,0,0,-7.53407721,8.499e-05,0,0,87301.46874253,3.32228248,0,0,0,-8,0,52622.93608748,-6,0,338,0,88096.39902236,0,0.0,2025-03-09 02:47:34.466000+00:00,150,marketContext_1741488454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.499e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
98,91919.09119675,85595.75946002,61.95646458,0.0,-2.51653285,84988.98751919,1102,0.0,0,2Jo8zfiTN8ABzTBz3RoxSvfsWRkrxnkyQpQ5movkUBuq,-0.70526729,0,0,0,-7.53935182,8.499e-05,0,0,85858.65840326,2.9017368,0,2,0,-6,0,52622.93608748,-4,0,340,0,88073.18144839,0,0.0,2025-03-09 02:47:35.466000+00:00,150,marketContext_1741488455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.499e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
97,91919.09119675,85551.87969562,61.95646458,0.0,-2.51653285,84988.98751919,1103,0.0,0,2Jo8zfiTN8ABzTBz3RoxSvfsWRkrxnkyQpQ5movkUBuq,-0.70526729,0,0,0,-7.49897739,8.499e-05,0,0,84997.41049729,1.9885839,0,2,0,-6,0,52622.93608748,-4,0,340,0,88049.96387442,0,0.0,2025-03-09 02:47:36.467000+00:00,150,marketContext_1741488456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.499e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
96,91919.09119675,85495.44397609,61.95646458,0.0,-3.21348493,84988.98751919,1104,0.0,0,2Jo8zfiTN8ABzTBz3RoxSvfsWRkrxnkyQpQ5movkUBuq,-2.07839751,0,0,0,-7.49897739,8.499e-05,0,0,84996.47461083,1.9885839,0,2,0,-6,0,52622.93608748,-4,0,340,0,87980.58305741,0,0.0,2025-03-09 02:47:37.467000+00:00,150,marketContext_1741488457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.499e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
95,91919.09119675,85495.44397609,61.95646458,0.0,-3.21348493,84988.98751919,1105,0.0,0,2Jo8zfiTN8ABzTBz3RoxSvfsWRkrxnkyQpQ5movkUBuq,-2.07839751,0,0,0,-7.49897739,8.499e-05,0,0,84996.47461083,1.9885839,0,2,0,-5,0,52622.93608748,-4,0,340,0,87980.58305741,0,0.0,2025-03-09 02:47:38.466000+00:00,150,marketContext_1741488458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.499e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
94,91919.09119675,85360.13736368,61.95646458,0.0,-4.02930435,84988.98751919,1106,0.0,0,2Jo8zfiTN8ABzTBz3RoxSvfsWRkrxnkyQpQ5movkUBuq,-2.43169923,0,0,0,3.32228248,8.499e-05,0,0,84484.11777781,0.0,0,2,0,-5,0,52622.93608748,-4,0,340,0,87935.16376439,0,0.0,2025-03-09 02:47:39.466000+00:00,150,marketContext_1741488459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.499e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
93,91919.09119675,85270.03532035,61.69007606,0.0,-4.94599212,84849.19630222,1107,-0.1644815652596136,0,2Jo8zfiTN8ABzTBz3RoxSvfsWRkrxnkyQpQ5movkUBuq,-3.0456738,0,0,0,2.73248242,8.485e-05,0,0,84766.2205405,-0.16448157,0,0,0,-5,0,52622.93608748,-5,0,340,0,87816.47270815,0,0.0,2025-03-09 02:47:40.468000+00:00,150,marketContext_1741488460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.499e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
92,91919.09119675,85370.77049973,61.98280297,0.0,6.1648832,85002.80896609,1108,0.1810419786671673,0,2Jo8zfiTN8ABzTBz3RoxSvfsWRkrxnkyQpQ5movkUBuq,-2.87014577,0,0,0,2.00516993,8.5e-05,0,0,84792.50814335,0.01626263,0,-1,0,-6,0,52622.93608748,-6,-1,339,0,87719.86514056,0,0.0,2025-03-09 02:47:41.467000+00:00,150,marketContext_1741488461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.485e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
91,91919.09119675,85471.00420702,62.34036882,0.0,6.11797849,85190.44679545,1109,0.22074309266549774,0,2Jo8zfiTN8ABzTBz3RoxSvfsWRkrxnkyQpQ5movkUBuq,-3.18502381,0,0,0,2.2303393,8.519e-05,0,0,84999.01739903,0.23704162,0,-1,0,-6,0,52622.93608748,-5,-1,339,0,87612.07285307,0,0.0,2025-03-09 02:47:42.468000+00:00,150,marketContext_1741488462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
90,91919.09119675,85471.00420702,62.34036882,0.0,6.11797849,85190.44679545,1110,0.22074309266549774,0,2Jo8zfiTN8ABzTBz3RoxSvfsWRkrxnkyQpQ5movkUBuq,-3.18502381,0,0,0,2.2303393,8.519e-05,0,0,84999.01739903,0.23704162,0,0,0,-5,0,52622.93608748,-4,1,340,0,87612.07285307,0,0.0,2025-03-09 02:47:43.466000+00:00,150,marketContext_1741488463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.519e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
