,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,63203.3475863,24185.61508387,-56.69975237,0.0,-0.71884331,24041.93489925,508,0.0,0.0,2JsM1juL6bPx41EJweqTpMyeChv6wzTqQ79mc8MVy8Zq,-0.70054119,0,0,0,-0.60173568,2.404e-05,0,0.0,24138.89436893,-0.60173568,0.0,-1,0,-1,0.0,18587.80542441,-1,0,124,0,24174.8203823,0,0.0,2025-03-05 20:46:29.765000+00:00,95,marketContext_1741207589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.404e-05,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,508
98,63203.3475863,24182.06252941,-56.69975237,0.0,-0.71884331,24041.93489925,509,0.0,0.0,2JsM1juL6bPx41EJweqTpMyeChv6wzTqQ79mc8MVy8Zq,-0.70054119,0,0,0,-0.60173568,2.404e-05,0,0.0,24120.70128193,-0.60173568,0.0,-1,0,-1,0.0,18587.80542441,-1,0,124,0,24168.03590797,0,0.0,2025-03-05 20:46:30.766000+00:00,95,marketContext_1741207590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.404e-05,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,508
97,63203.3475863,24182.06252941,-56.69975237,0.0,-0.71884331,24041.93489925,510,0.0,0.0,2JsM1juL6bPx41EJweqTpMyeChv6wzTqQ79mc8MVy8Zq,-0.70054119,0,0,0,-0.60173568,2.404e-05,0,0.0,24120.70128193,-0.60173568,0.0,-1,0,-1,0.0,18587.80542441,-1,0,124,0,24168.03590797,0,0.0,2025-03-05 20:46:31.765000+00:00,95,marketContext_1741207591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.404e-05,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,508
96,63203.3475863,24177.72872302,-56.69975237,0.0,-0.71884331,24041.93489925,511,0.0,0.0,2JsM1juL6bPx41EJweqTpMyeChv6wzTqQ79mc8MVy8Zq,-0.70054119,0,0,0,-0.60173568,2.404e-05,0,0.0,24102.50819493,-0.19905563,0.0,-1,0,-1,0.0,18587.80542441,-1,0,124,0,24159.15579514,0,0.0,2025-03-05 20:46:32.766000+00:00,95,marketContext_1741207592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.404e-05,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,508
95,63203.3475863,24174.10215701,-56.69975237,0.0,-0.71884331,24041.93489925,512,0.0,0.0,2JsM1juL6bPx41EJweqTpMyeChv6wzTqQ79mc8MVy8Zq,-0.60173568,0,0,0,-0.60173568,2.404e-05,0,0.0,24084.31510793,0.0,0.0,0,0,0,0.0,18587.80542441,-1,0,124,0,24153.0914328,0,0.0,2025-03-05 20:46:33.766000+00:00,95,marketContext_1741207593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.404e-05,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,508
94,63203.3475863,24174.10215701,-56.69975237,0.0,-0.71884331,24041.93489925,513,0.0,0.0,2JsM1juL6bPx41EJweqTpMyeChv6wzTqQ79mc8MVy8Zq,-0.60173568,0,0,0,-0.60173568,2.404e-05,0,0.0,24084.31510793,0.0,0.0,0,0,0,0.0,18587.80542441,-1,0,124,0,24153.0914328,0,0.0,2025-03-05 20:46:34.765000+00:00,95,marketContext_1741207594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.404e-05,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,508
93,63203.3475863,24169.50677234,-56.69975237,0.0,-0.71884331,24041.93489925,514,0.0,0.0,2JsM1juL6bPx41EJweqTpMyeChv6wzTqQ79mc8MVy8Zq,-0.60173568,0,0,0,-0.60173568,2.404e-05,0,0.0,24048.78522461,0.0,0.0,0,0,0,0.0,18587.80542441,-1,0,124,0,24145.26826505,0,0.0,2025-03-05 20:46:35.766000+00:00,95,marketContext_1741207595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.404e-05,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,508
92,63203.3475863,24167.91541626,-56.69975237,0.0,-0.31013218,24041.93489925,515,0.0,0.0,2JsM1juL6bPx41EJweqTpMyeChv6wzTqQ79mc8MVy8Zq,-0.60173568,0,0,0,-0.19905563,2.404e-05,0,0.0,24047.92893394,0.0,0.0,0,0,0,0.0,18587.80542441,-1,0,124,0,24138.94023479,0,0.0,2025-03-05 20:46:36.766000+00:00,95,marketContext_1741207596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.404e-05,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,508
91,63203.3475863,24166.32406019,-56.69975237,0.0,-0.31013218,24041.93489925,516,0.0,0.0,2JsM1juL6bPx41EJweqTpMyeChv6wzTqQ79mc8MVy8Zq,-0.60173568,0,0,0,-0.19905563,2.404e-05,0,0.0,24041.93489925,0.0,0.0,0,0,0,0.0,18587.80542441,-1,0,124,0,24132.61220453,0,0.0,2025-03-05 20:46:37.767000+00:00,95,marketContext_1741207597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.404e-05,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,508
90,63203.3475863,24166.32406019,-56.69975237,0.0,-0.31013218,24041.93489925,517,0.0,0.0,2JsM1juL6bPx41EJweqTpMyeChv6wzTqQ79mc8MVy8Zq,-0.60173568,0,0,0,-0.19905563,2.404e-05,0,0.0,24041.93489925,0.0,0.0,0,0,0,0.0,18587.80542441,-1,0,124,0,24132.61220453,0,0.0,2025-03-05 20:46:38.766000+00:00,95,marketContext_1741207598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.404e-05,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,508
