,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,130499.77946144,67116.69229827,3.256163,0.0,-27.30323422,54317.05625194,792,-4.561212810727487,0,2JuyH3rKFx1KGhRCf6gerdciCixWyKbukbg1g2QEpuf2,-21.46950059,0,0,0,-15.90715387,5.432e-05,0,0,59958.58023854,-3.94673869,0,-8,0,-37,0,52498.21803528,-24,-2,1027,0,62751.12454228,0,0.0,2025-03-08 18:51:10.208000+00:00,459,marketContext_1741459870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.432e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,792
98,130499.77946144,66798.65059031,5.09678578,0.0,-24.69346016,55285.30074348,793,1.7825790982605114,0,2JuyH3rKFx1KGhRCf6gerdciCixWyKbukbg1g2QEpuf2,-17.2353508,0,0,0,-14.53901222,5.529e-05,0,0,58913.53723913,-4.92005605,0,-8,0,-34,0,52498.21803528,-24,-4,1027,0,62272.4511535,0,0.0,2025-03-08 18:51:11.206000+00:00,459,marketContext_1741459871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.432e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,792
97,130499.77946144,66508.93481352,7.93743497,0.0,-22.53108634,56779.6009104,794,2.702888736823863,0,2JuyH3rKFx1KGhRCf6gerdciCixWyKbukbg1g2QEpuf2,-14.99831442,0,0,0,-11.18097708,5.678e-05,0,0,58119.34874296,-6.66154367,0,-9,0,-38,0,52498.21803528,-29,-8,1023,0,61926.98201753,0,0.0,2025-03-08 18:51:12.207000+00:00,459,marketContext_1741459872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.529e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,792
96,130499.77946144,66191.96786931,4.02012616,0.0,-24.82222371,54718.93279404,795,-3.6292402259159413,0,2JuyH3rKFx1KGhRCf6gerdciCixWyKbukbg1g2QEpuf2,-12.14487361,0,0,0,-14.16643413,5.472e-05,0,0,57779.30714807,-9.55876978,0,-9,0,-32,0,52498.21803528,-29,-4,1023,0,61666.1472303,0,0.0,2025-03-08 18:51:13.207000+00:00,459,marketContext_1741459873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.678e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,792
95,130499.77946144,65864.21801243,1.22649366,0.0,-25.97171456,53249.36536779,796,-2.6856653651911406,0,2JuyH3rKFx1KGhRCf6gerdciCixWyKbukbg1g2QEpuf2,-16.48933925,0,0,0,-16.47163648,5.325e-05,0,0,56729.23965917,-6.4372188,0,-11,0,-37,0,52498.21803528,-31,-9,1018,0,61303.58899724,0,0.0,2025-03-08 18:51:14.207000+00:00,459,marketContext_1741459874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.472e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,792
94,130499.77946144,65537.23819831,0.25934924,0.0,-26.11130913,52740.60699087,797,-0.9554261790850083,0,2JuyH3rKFx1KGhRCf6gerdciCixWyKbukbg1g2QEpuf2,-18.74160855,0,0,0,-6.73450193,5.274e-05,0,0,56348.41102805,-2.90230983,0,-11,0,-36,0,52498.21803528,-31,-5,1018,0,60884.13361872,0,0.0,2025-03-08 18:51:15.206000+00:00,459,marketContext_1741459875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.325e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,792
93,130499.77946144,65145.64151945,-6.00862011,0.0,-31.10317857,49443.39321145,798,-6.251755464234139,0,2JuyH3rKFx1KGhRCf6gerdciCixWyKbukbg1g2QEpuf2,-22.31536032,0,0,0,-14.96699861,4.944e-05,0,0,55478.13809274,-10.56683685,0,-23,0,-46,0,49443.39321145,-37,-15,1008,0,60394.37846138,0,0.0,2025-03-08 18:51:16.207000+00:00,459,marketContext_1741459876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.274e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,792
92,130499.77946144,64893.23159522,-3.98887047,0.0,-28.79739635,50505.86591443,799,2.1488668838614187,0,2JuyH3rKFx1KGhRCf6gerdciCixWyKbukbg1g2QEpuf2,-20.59661027,0,0,0,-16.97476762,5.051e-05,0,0,54445.52991738,-11.04927632,0,-23,0,-46,0,49443.39321145,-37,-10,1008,0,59942.62599528,0,0.0,2025-03-08 18:51:17.207000+00:00,459,marketContext_1741459877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.944e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,792
91,130499.77946144,64515.58901571,-6.79572823,0.0,-31.27009953,49029.34145289,800,-2.9234712340929847,0,2JuyH3rKFx1KGhRCf6gerdciCixWyKbukbg1g2QEpuf2,-22.32244492,0,0,0,-18.96271124,4.903e-05,0,0,53298.24419468,-10.39784778,0,-23,0,-50,0,49029.34145289,-37,-14,1004,0,59456.77368252,0,0.0,2025-03-08 18:51:18.208000+00:00,459,marketContext_1741459878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.051e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,792
90,130499.77946144,64078.87247452,-12.54173461,0.0,-34.93347904,46006.70200207,801,-6.1649603303825895,0,2JuyH3rKFx1KGhRCf6gerdciCixWyKbukbg1g2QEpuf2,-23.12909327,0,0,0,-19.16307428,4.601e-05,0,0,52207.61656393,-13.60140786,0,-23,0,-50,0,46006.70200207,-37,-4,1004,0,58979.44260847,0,0.0,2025-03-08 18:51:19.207000+00:00,459,marketContext_1741459879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.903e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,792
