,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,147548.59373837,97794.7942136,66.81877861,0.0,-11.41982336,87080.14624941,774,0.0,0,2KENCCrJigfVCrAEPt73aACgsztfGdgYf5Urr7kewLmC,-13.94473805,0,0,0,-9.3402074,8.708e-05,0,0,93286.73106317,-7.30025932,0,-2,0,3,0,52432.29026341,-2,-3,666,0,95830.8894717,0,0.0,2025-03-08 23:46:12.290000+00:00,133,marketContext_1741477572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.708e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,774
98,147548.59373837,97548.4661808,64.28885279,0.0,-13.85618456,85759.51369331,775,-1.5165713575122393,0,2KENCCrJigfVCrAEPt73aACgsztfGdgYf5Urr7kewLmC,-14.55479209,0,0,0,-10.71512785,8.576e-05,0,0,92257.52630376,-8.9597446,0,-2,0,3,0,52432.29026341,-2,-1,666,0,95309.16335949,0,0.0,2025-03-08 23:46:13.291000+00:00,133,marketContext_1741477573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.708e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,774
97,147548.59373837,97296.81082303,64.77775343,0.0,-14.07757761,86014.72200655,776,0.2975860079523464,0,2KENCCrJigfVCrAEPt73aACgsztfGdgYf5Urr7kewLmC,-14.83067931,0,0,0,-10.5720848,8.601e-05,0,0,91240.66827602,-8.54387537,0,-1,0,2,0,52432.29026341,-2,-1,666,0,94774.23869917,0,0.0,2025-03-08 23:46:14.292000+00:00,133,marketContext_1741477574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.576e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,774
96,147548.59373837,97098.87944029,64.77775343,0.0,-14.45244958,86014.72200655,777,0.0,0,2KENCCrJigfVCrAEPt73aACgsztfGdgYf5Urr7kewLmC,-14.83067931,0,0,0,-10.5720848,8.601e-05,0,0,90223.81024829,-8.33464433,0,-1,0,2,0,52432.29026341,-2,0,666,0,94239.31403885,0,0.0,2025-03-08 23:46:15.292000+00:00,133,marketContext_1741477575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.601e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,774
95,147548.59373837,96879.93783493,68.70818402,0.0,-12.41189069,88066.42430021,778,2.385292012572172,0,2KENCCrJigfVCrAEPt73aACgsztfGdgYf5Urr7kewLmC,-12.92527279,0,0,0,-6.57628921,8.807e-05,0,0,89603.89238071,1.13260955,0,-2,0,3,0,52432.29026341,-2,1,667,0,93772.43978282,0,0.0,2025-03-08 23:46:16.293000+00:00,133,marketContext_1741477576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.601e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,774
94,147548.59373837,96879.93783493,68.70818402,0.0,-12.41189069,88066.42430021,779,2.385292012572172,0,2KENCCrJigfVCrAEPt73aACgsztfGdgYf5Urr7kewLmC,-12.92527279,0,0,0,-6.57628921,8.807e-05,0,0,89603.89238071,1.13260955,0,-2,0,3,0,52432.29026341,-2,1,667,0,93772.43978282,0,0.0,2025-03-08 23:46:17.292000+00:00,133,marketContext_1741477577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.807e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,774
93,147548.59373837,96597.69697391,68.37653982,0.0,-12.49732282,87893.30454708,780,-0.19657861041611263,0,2KENCCrJigfVCrAEPt73aACgsztfGdgYf5Urr7kewLmC,-12.98205197,0,0,0,-6.6945631,8.789e-05,0,0,88421.64690695,2.48810979,0,-1,0,3,0,52432.29026341,-2,0,666,0,93019.37246591,0,0.0,2025-03-08 23:46:18.293000+00:00,133,marketContext_1741477578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.807e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,774
92,147548.59373837,96366.32749088,67.60340853,0.0,-12.89910716,87489.72656795,781,-0.45916805745934064,0,2KENCCrJigfVCrAEPt73aACgsztfGdgYf5Urr7kewLmC,-12.23878513,0,0,0,-6.97556011,8.749e-05,0,0,87692.69886914,1.71482803,0,-1,0,3,0,52432.29026341,-2,-1,666,0,92821.88511241,0,0.0,2025-03-08 23:46:19.290000+00:00,133,marketContext_1741477579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.789e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,774
91,147548.59373837,96128.26150921,66.99310582,0.0,-13.27552735,87091.39651302,782,-0.36413502501624245,0,2KENCCrJigfVCrAEPt73aACgsztfGdgYf5Urr7kewLmC,-12.63835124,0,0,0,-7.18723898,8.709e-05,0,0,86943.3446815,1.25173282,0,-1,0,2,0,52432.29026341,0,-1,665,0,92371.91173233,0,0.0,2025-03-08 23:46:20.429000+00:00,133,marketContext_1741477580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.749e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,774
90,147548.59373837,95890.116445,66.99310582,0.0,-13.27993731,87086.96789056,783,0.0,0,2KENCCrJigfVCrAEPt73aACgsztfGdgYf5Urr7kewLmC,-12.74009174,0,0,0,0.00783375,8.709e-05,0,0,86944.10264163,-1.11217915,0,-1,0,2,0,52432.29026341,0,-1,665,0,91917.81022674,0,0.0,2025-03-08 23:46:21.292000+00:00,133,marketContext_1741477581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.709e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,774
