,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,88924.67785174,38518.80282834,-48.20838195,0.0,-37.87360282,29578.84593599,1102,-8.796284852398964,3.354995196,2KN7kjG5VdeeV2a4m2LJZN25zmujj9fEKQ8YEFQ2QafB,-23.50086184,0,1,0,-10.68333789,2.958e-05,0,0.0,31016.402044,0.16443656,0.0,-2,0,-29,2.709434663,20736.32365824,-15,0,532,0,34117.64474182,0,0.0,2025-03-06 03:18:23.562000+00:00,460,marketContext_1741231103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.958e-05,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,3.354995196,0.6455605329999998,0,2,0,1,0,0,0,0,0,0,0,0,0,1102
98,88924.67785174,38223.69244104,-43.50498794,0.0,-32.23166817,32265.01354746,1103,9.081380718089923,3.354995196,2KN7kjG5VdeeV2a4m2LJZN25zmujj9fEKQ8YEFQ2QafB,-12.71224181,0,1,0,-2.40396599,3.227e-05,0,-0.05837239,30928.09700394,9.22726812,0.0,-5,0,-32,2.651062273,20736.32365824,-16,-3,529,0,33943.60962332,0,0.0,2025-03-06 03:18:24.565000+00:00,460,marketContext_1741231104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.958e-05,0.05837239,0.0,0.05837239,0,1,0,0,0,0,0,0,0,0,0,3.354995196,0.703932923,0,2,0,1,0,0,0,0,0,0,0,0,0,1102
97,88924.67785174,38223.69244104,-43.50498794,0.0,-32.23166817,32265.01354746,1104,9.081380718089923,3.354995196,2KN7kjG5VdeeV2a4m2LJZN25zmujj9fEKQ8YEFQ2QafB,-12.71224181,0,1,0,-2.40396599,3.227e-05,0,-0.05837239,30928.09700394,9.22726812,0.0,-5,0,-32,2.651062273,20736.32365824,-16,0,529,0,33943.60962332,0,0.0,2025-03-06 03:18:25.562000+00:00,460,marketContext_1741231105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.227e-05,0.11674478,0.0,0.05837239,0,1,0,0,0,0,0,0,0,0,0,3.354995196,0.703932923,0,2,0,1,0,0,0,0,0,0,0,0,0,1102
96,88924.67785174,37753.79088319,-42.67064696,0.0,-30.98012711,32741.51619734,1105,1.476840073794912,3.904995196,2KN7kjG5VdeeV2a4m2LJZN25zmujj9fEKQ8YEFQ2QafB,-9.96309158,0,1,0,-0.86995271,3.274e-05,0,0.49162761,30629.58575772,11.26470358,0.55,-3,0,-31,3.201062273,20736.32365824,-13,1,530,0,33706.55402141,0,0.0,2025-03-06 03:18:26.563000+00:00,460,marketContext_1741231106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.227e-05,0.60837239,0.55,0.05837239000000005,0,1,0,0,0,0,0,0,0,0,0,3.904995196,0.703932923,0,2,0,1,0,0,0,0,0,0,0,0,0,1102
95,88924.67785174,37453.94262436,-43.49008032,0.0,-32.14970597,32273.52747696,1106,-1.4293434597276247,3.904995196,2KN7kjG5VdeeV2a4m2LJZN25zmujj9fEKQ8YEFQ2QafB,-11.73974294,0,1,0,9.28958156,3.227e-05,0,-0.14747685,30812.24594875,-0.48747631,0.55,-3,0,-31,2.561957813,20736.32365824,-13,1,530,0,33541.44664081,0,0.0,2025-03-06 03:18:27.563000+00:00,460,marketContext_1741231107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.274e-05,0.75584924,0.55,0.69747685,0,1,0,0,0,0,0,0,0,0,0,3.904995196,1.343037383,0,2,0,1,0,0,0,0,0,0,0,0,0,1102
94,88924.67785174,37150.62596092,-43.79980669,0.0,-32.52158803,32096.63884142,1107,-0.5480920412691205,0.0,2KN7kjG5VdeeV2a4m2LJZN25zmujj9fEKQ8YEFQ2QafB,-12.23604171,0,0,0,8.69057406,3.21e-05,0,0.0,31097.39611468,8.51214044,0.0,-4,0,-34,0.0,20736.32365824,-15,-1,528,0,33369.33471908,0,0.0,2025-03-06 03:18:28.563000+00:00,460,marketContext_1741231108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.227e-05,0.75584924,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
93,88924.67785174,36850.06382368,-43.55382922,0.0,-32.22624795,32237.11967754,1108,0.4376808326209024,0.2,2KN7kjG5VdeeV2a4m2LJZN25zmujj9fEKQ8YEFQ2QafB,-11.00342503,0,0,0,9.13283855,3.224e-05,0,0.2,31397.14946863,-0.08645237,0.2,-4,0,-34,0.2,20736.32365824,-15,-2,528,0,33216.03636958,0,0.0,2025-03-06 03:18:29.563000+00:00,460,marketContext_1741231109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21e-05,0.95584924,0.2,0.0,0,1,0,0,0,0,0,0,0,0,0,0.2,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
92,88924.67785174,36850.06382368,-43.55382922,0.0,-32.22624795,32237.11967754,1109,0.4376808326209024,0.2,2KN7kjG5VdeeV2a4m2LJZN25zmujj9fEKQ8YEFQ2QafB,-11.00342503,0,0,0,9.13283855,3.224e-05,0,0.2,31397.14946863,-0.08645237,0.2,-1,0,-32,0.2,20736.32365824,-12,-2,528,0,33216.03636958,0,0.0,2025-03-06 03:18:30.562000+00:00,460,marketContext_1741231110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.224e-05,1.15584924,0.2,0.0,0,1,0,0,0,0,0,0,0,0,0,0.2,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
91,88924.67785174,36559.82838268,-42.68624781,0.0,-31.13942934,32732.60635307,1110,1.5370066571681946,0.648,2KN7kjG5VdeeV2a4m2LJZN25zmujj9fEKQ8YEFQ2QafB,-9.89884673,0,0,0,11.23442547,3.273e-05,0,0.470522492,32044.61149896,-0.02721268,0.648,-1,0,-32,0.470522492,20736.32365824,-12,0,528,0,33077.72385099,0,0.0,2025-03-06 03:18:31.563000+00:00,460,marketContext_1741231111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.224e-05,1.626371732,0.648,0.177477508,0,1,0,0,0,0,0,0,0,0,0,0.648,0.177477508,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
90,88924.67785174,36269.59294167,-42.68624781,0.0,-31.13942934,32732.60635307,1111,0.0,0.846,2KN7kjG5VdeeV2a4m2LJZN25zmujj9fEKQ8YEFQ2QafB,-9.68920111,0,0,0,0.92805217,3.273e-05,0,0.668522492,32121.05537164,1.42246266,0.846,-1,0,-32,0.668522492,20736.32365824,-13,0,528,0,32942.65490033,0,0.0,2025-03-06 03:18:32.564000+00:00,460,marketContext_1741231112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.273e-05,2.294894224,0.846,0.17747750799999995,0,1,0,0,0,0,0,0,0,0,0,0.846,0.17747750799999995,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
