,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,89421.56176089,3029.50833598,-94.44435458,0.0,-0.1318306,3027.22568406,1102,0.0,0,2Lfvktt4y99Ly2xmTpEVhgdnvAFfXGTEy1Zx8wi9v2R8,-0.14923516,0,0,0,-0.07463149,3.03e-06,0,0.0,3027.22568406,0.0,0,0,0,0,0.0,3027.22568406,0,0,63,0,3028.70699688,0,0.0,2025-03-05 18:43:11.114000+00:00,65,marketContext_1741200191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
98,89421.56176089,3029.43822935,-94.44435458,0.0,-0.1318306,3027.22568406,1103,0.0,0,2Lfvktt4y99Ly2xmTpEVhgdnvAFfXGTEy1Zx8wi9v2R8,-0.07463149,0,0,0,0.0,3.03e-06,0,0.0,3027.22568406,0.0,0,0,0,0,0.0,3027.22568406,0,0,63,0,3028.62903305,0,0.0,2025-03-05 18:43:12.114000+00:00,65,marketContext_1741200192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
97,89421.56176089,3029.36812272,-94.44435458,0.0,-0.1318306,3027.22568406,1104,0.0,0,2Lfvktt4y99Ly2xmTpEVhgdnvAFfXGTEy1Zx8wi9v2R8,-0.07463149,0,0,0,0.0,3.03e-06,0,0.0,3027.22568406,0.0,0,0,0,0,0.0,3027.22568406,0,0,63,0,3028.55106922,0,0.0,2025-03-05 18:43:13.114000+00:00,65,marketContext_1741200193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
96,89421.56176089,3029.29801609,-94.44435458,0.0,-0.1318306,3027.22568406,1105,0.0,0,2Lfvktt4y99Ly2xmTpEVhgdnvAFfXGTEy1Zx8wi9v2R8,-0.07463149,0,0,0,0.0,3.03e-06,0,0.0,3027.22568406,0.0,0,0,0,0,0.0,3027.22568406,0,0,63,0,3028.47310538,0,0.0,2025-03-05 18:43:14.114000+00:00,65,marketContext_1741200194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
95,89421.56176089,3029.22790947,-94.44435458,0.0,-0.1318306,3027.22568406,1106,0.0,0,2Lfvktt4y99Ly2xmTpEVhgdnvAFfXGTEy1Zx8wi9v2R8,-0.07463149,0,0,0,0.0,3.03e-06,0,0.0,3027.22568406,0.0,0,0,0,0,0.0,3027.22568406,0,0,63,0,3028.39514155,0,0.0,2025-03-05 18:43:15.114000+00:00,65,marketContext_1741200195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
94,89421.56176089,3029.15780284,-94.44435458,0.0,-0.1318306,3027.22568406,1107,0.0,0,2Lfvktt4y99Ly2xmTpEVhgdnvAFfXGTEy1Zx8wi9v2R8,-0.07463149,0,0,0,0.0,3.03e-06,0,0.0,3027.22568406,0.0,0,0,0,0,0.0,3027.22568406,0,0,63,0,3028.31717772,0,0.0,2025-03-05 18:43:16.115000+00:00,65,marketContext_1741200196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
93,89421.56176089,3029.08769621,-94.44435458,0.0,-0.1318306,3027.22568406,1108,0.0,0,2Lfvktt4y99Ly2xmTpEVhgdnvAFfXGTEy1Zx8wi9v2R8,-0.07463149,0,0,0,0.0,3.03e-06,0,0.0,3027.22568406,0.0,0,0,0,0,0.0,3027.22568406,0,0,63,0,3028.23921389,0,0.0,2025-03-05 18:43:17.115000+00:00,65,marketContext_1741200197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
92,89421.56176089,3029.01758959,-94.44435458,0.0,-0.1318306,3027.22568406,1109,0.0,0,2Lfvktt4y99Ly2xmTpEVhgdnvAFfXGTEy1Zx8wi9v2R8,-0.07463149,0,0,0,0.0,3.03e-06,0,0.0,3027.22568406,0.0,0,0,0,0,0.0,3027.22568406,0,0,63,0,3028.16125005,0,0.0,2025-03-05 18:43:18.115000+00:00,65,marketContext_1741200198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
91,89421.56176089,3028.94748296,-94.44435458,0.0,-0.1318306,3027.22568406,1110,0.0,0,2Lfvktt4y99Ly2xmTpEVhgdnvAFfXGTEy1Zx8wi9v2R8,-0.07463149,0,0,0,0.0,3.03e-06,0,0.0,3027.22568406,0.0,0,0,0,0,0.0,3027.22568406,0,0,63,0,3028.08328622,0,0.0,2025-03-05 18:43:19.115000+00:00,65,marketContext_1741200199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
90,89421.56176089,3028.87830424,-94.44435458,0.0,-0.13008801,3027.22568406,1111,0.0,0,2Lfvktt4y99Ly2xmTpEVhgdnvAFfXGTEy1Zx8wi9v2R8,-0.07463149,0,0,0,0.0,3.03e-06,0,0.0,3027.22568406,0.0,0,0,0,0,0.0,3027.22568406,0,0,63,0,3028.00532239,0,0.0,2025-03-05 18:43:20.114000+00:00,65,marketContext_1741200200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03e-06,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
