,athMarketCap,maMarketCap60s,priceChangeFromStart,timeFromStart,trade_last5Seconds.tradeCount.buy.small,marketCap,marketCapChange60s,trade_last10Seconds.tradeCount.buy.medium,priceChangePercent,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.tradeCount.buy.large,largeBuy10s,marketCapChange10s,trade_last10Seconds.volume.buy,largeBuy5s,maMarketCap10s,netVolume10s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,trade_last10Seconds.tradeCount.buy.super,holderDelta5s,trade_last10Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.small,originalTimestamp,trade_last10Seconds.tradeCount.bot,trade_last5Seconds.tradeCount.sell.big,initialHoldersCount,trade_last10Seconds.volume.sell,trade_last10Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,buyVolume10s,creationTime,poolAddress,marketCapChange30s,superBuy5s,bigBuy5s,netVolume5s,currentPrice,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.sell.small,marketCapChange5s,buyVolume5s,trade_last5Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,minMarketCap,holderDelta30s,trade_last10Seconds.tradeCount.buy.big,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,trade_last5Seconds.tradeCount.bot,timestamp,doc_id,lastPrice,totalVolume
99,77587.63769453843,31230.995779883404,-59.99683579782454,1102,0,31250.634371884727,0.0707475127727043,0,0,0,0,0,0,0.0,0.0,0,0,0.0707475127727043,0.0,0,31243.26989988423,0.0,0,0,0,0,0,0,0,0,0,0,2025-02-02 22:05:13.699000+00:00,0,0,322,0.0,0,0,0.0,2025-02-02T21:46:51.000Z,2MZTiTbDZZ1xiscPkQU4uJdANFbLTYpXf3QcaCefn5Zw,0.0707475127727043,0,0,0.0,3.12506343718e-05,0,0,0,0.0,0.0,0,0,26511.73512426134,0,0,268,0,31233.27525931213,0,0,2025-02-02 22:05:13.699000+00:00,marketContext_0000001069,3.12506343718e-05,0.0
98,77587.63769453843,31231.404917216765,-59.99683579782454,1103,0,31250.634371884727,0.0707475127727043,0,0,0,0,0,0,0.0,0.0,0,0,0.0707475127727043,0.0,0,31245.7247238844,0.0,0,0,0,0,0,0,0,0,0,0,2025-02-02 22:05:14.701000+00:00,0,0,322,0.0,0,0,0.0,2025-02-02T21:46:51.000Z,2MZTiTbDZZ1xiscPkQU4uJdANFbLTYpXf3QcaCefn5Zw,0.0707475127727043,0,0,0.0,3.12506343718e-05,0,0,0,0.0,0.0,0,0,26511.73512426134,0,0,268,0,31234.064309883608,0,0,2025-02-02 22:05:14.701000+00:00,marketContext_0000001070,3.12506343718e-05,0.0
97,77587.63769453843,31231.814054550123,-59.99683579782454,1104,0,31250.634371884727,0.0707475127727043,0,0,0,0,0,0,0.0,0.0,0,0,0.0707475127727043,0.0,0,31248.179547884563,0.0,0,0,0,0,0,0,0,0,0,0,2025-02-02 22:05:15.700000+00:00,0,0,322,0.0,0,0,0.0,2025-02-02T21:46:51.000Z,2MZTiTbDZZ1xiscPkQU4uJdANFbLTYpXf3QcaCefn5Zw,0.0707475127727043,0,0,0.0,3.12506343718e-05,0,0,0,0.0,0.0,0,0,26511.73512426134,0,0,268,0,31234.85336045509,0,0,2025-02-02 22:05:15.700000+00:00,marketContext_0000001071,3.12506343718e-05,0.0
96,77587.63769453843,31232.223191883488,-59.99683579782454,1105,0,31250.634371884727,0.0707475127727043,0,0,0,0,0,0,0.0,0.0,0,0,0.0707475127727043,0.0,0,31248.42503028458,0.0,0,0,0,0,0,0,0,0,0,0,2025-02-02 22:05:16.703000+00:00,0,0,322,0.0,0,0,0.0,2025-02-02T21:46:51.000Z,2MZTiTbDZZ1xiscPkQU4uJdANFbLTYpXf3QcaCefn5Zw,0.0707475127727043,0,0,0.0,3.12506343718e-05,0,0,0,0.0,0.0,0,0,26511.73512426134,0,0,268,0,31235.642411026576,0,0,2025-02-02 22:05:16.703000+00:00,marketContext_0000001072,3.12506343718e-05,0.0
95,77587.63769453843,31232.63232921685,-59.99683579782454,1106,0,31250.634371884727,0.0707475127727043,0,0,0,0,0,0,0.0,0.0,0,0,0.0707475127727043,0.0,0,31250.634371884727,0.0,0,0,0,0,0,0,0,0,0,0,2025-02-02 22:05:17.702000+00:00,0,0,322,0.0,0,0,0.0,2025-02-02T21:46:51.000Z,2MZTiTbDZZ1xiscPkQU4uJdANFbLTYpXf3QcaCefn5Zw,0.0707475127727043,0,0,0.0,3.12506343718e-05,0,0,0,0.0,0.0,0,0,26511.73512426134,0,0,268,0,31236.431461598055,0,0,2025-02-02 22:05:17.702000+00:00,marketContext_0000001073,3.12506343718e-05,0.0
94,77587.63769453843,31233.041466550207,-59.99683579782454,1107,0,31250.634371884727,0.0707475127727043,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,31250.634371884727,0.0,0,0,0,0,0,0,0,0,0,0,2025-02-02 22:05:18.702000+00:00,0,0,322,0.0,0,0,0.0,2025-02-02T21:46:51.000Z,2MZTiTbDZZ1xiscPkQU4uJdANFbLTYpXf3QcaCefn5Zw,0.0707475127727043,0,0,0.0,3.12506343718e-05,0,0,0,0.0,0.0,0,0,26511.73512426134,0,0,0,0,31237.220512169537,0,0,2025-02-02 22:05:18.702000+00:00,marketContext_0000001074,3.12506343718e-05,0.0
93,77587.63769453843,31233.450603883568,-59.99683579782454,1108,0,31250.634371884727,0.0707475127727043,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,31250.634371884727,0.0,0,0,0,0,0,0,0,0,0,0,2025-02-02 22:05:19.701000+00:00,0,0,322,0.0,0,0,0.0,2025-02-02T21:46:51.000Z,2MZTiTbDZZ1xiscPkQU4uJdANFbLTYpXf3QcaCefn5Zw,0.0707475127727043,0,0,0.0,3.12506343718e-05,0,0,0,0.0,0.0,0,0,26511.73512426134,0,0,0,0,31238.00956274102,0,0,2025-02-02 22:05:19.701000+00:00,marketContext_0000001075,3.12506343718e-05,0.0
92,77587.63769453843,31233.450603883568,-59.99683579782454,1109,0,31250.634371884727,0.0707475127727043,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,31250.634371884727,0.0,0,0,0,0,0,0,0,0,0,0,2025-02-02 22:05:20.699000+00:00,0,0,322,0.0,0,0,0.0,2025-02-02T21:46:51.000Z,2MZTiTbDZZ1xiscPkQU4uJdANFbLTYpXf3QcaCefn5Zw,0.0707475127727043,0,0,0.0,3.12506343718e-05,0,0,0,0.0,0.0,0,0,26511.73512426134,0,0,0,0,31238.00956274102,0,0,2025-02-02 22:05:20.699000+00:00,marketContext_0000001076,3.12506343718e-05,0.0
91,77587.63769453843,31233.85974121693,-59.99683579782454,1110,0,31250.634371884727,0.0707475127727043,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,31250.634371884727,0.0,0,0,0,0,0,0,0,0,0,0,2025-02-02 22:05:21.702000+00:00,0,0,322,0.0,0,0,0.0,2025-02-02T21:46:51.000Z,2MZTiTbDZZ1xiscPkQU4uJdANFbLTYpXf3QcaCefn5Zw,0.0707475127727043,0,0,0.0,3.12506343718e-05,0,0,0,0.0,0.0,0,0,26511.73512426134,0,0,268,0,31239.178526550622,0,0,2025-02-02 22:05:21.702000+00:00,marketContext_0000001077,3.12506343718e-05,0.0
90,77587.63769453843,31234.26887855029,-59.99683579782454,1111,0,31250.634371884727,0.0707475127727043,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,31250.634371884727,0.0,0,0,0,0,0,0,0,0,0,0,2025-02-02 22:05:22.704000+00:00,0,0,322,0.0,0,0,0.0,2025-02-02T21:46:51.000Z,2MZTiTbDZZ1xiscPkQU4uJdANFbLTYpXf3QcaCefn5Zw,0.0707475127727043,0,0,0.0,3.12506343718e-05,0,0,0,0.0,0.0,0,0,26511.73512426134,0,0,268,0,31239.996801217345,0,0,2025-02-02 22:05:22.704000+00:00,marketContext_0000001078,3.12506343718e-05,0.0
