,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,85811.60918449,37297.6458877,-31.49965334,0.0,-0.24410703,37265.38587011,1102,0,0,2MmsEVE5g8xVAsMgsGnCqE348y89Vsw2bsGs4XA42SJx,-0.0896104,0,0,0,0.0,3.727e-05,0,0,37265.38587011,0.0,0,0,0,-2,0,37265.38587011,0,0,866,0,37271.54045425,0,0.0,2025-03-04 19:43:17.738000+00:00,826,marketContext_1741117397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.727e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
98,85811.60918449,37297.07992248,-31.49965334,0.0,-0.24410703,37265.38587011,1103,0,0,2MmsEVE5g8xVAsMgsGnCqE348y89Vsw2bsGs4XA42SJx,-0.0896104,0,0,0,0.0,3.727e-05,0,0,37265.38587011,0.0,0,0,0,-2,0,37265.38587011,0,0,866,0,37270.38791592,0,0.0,2025-03-04 19:43:18.740000+00:00,826,marketContext_1741117398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.727e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
97,85811.60918449,37297.07992248,-31.49965334,0.0,-0.24410703,37265.38587011,1104,0,0,2MmsEVE5g8xVAsMgsGnCqE348y89Vsw2bsGs4XA42SJx,-0.0896104,0,0,0,0.0,3.727e-05,0,0,37265.38587011,0.0,0,0,0,-2,0,37265.38587011,0,0,866,0,37270.38791592,0,0.0,2025-03-04 19:43:19.738000+00:00,826,marketContext_1741117399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.727e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
96,85811.60918449,37294.41747593,-31.49965334,0.0,-0.23986364,37265.38587011,1105,0,0,2MmsEVE5g8xVAsMgsGnCqE348y89Vsw2bsGs4XA42SJx,-0.0896104,0,0,0,0.0,3.727e-05,0,0,37265.38587011,0.0,0,0,0,-2,0,37265.38587011,0,0,866,0,37268.17915958,0,0.0,2025-03-04 19:43:20.738000+00:00,826,marketContext_1741117400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.727e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
95,85811.60918449,37292.8174575,-31.49965334,0.0,-0.23986364,37265.38587011,1106,0,0,2MmsEVE5g8xVAsMgsGnCqE348y89Vsw2bsGs4XA42SJx,-0.0896104,0,0,0,0.0,3.727e-05,0,0,37265.38587011,0.0,0,0,0,-2,0,37265.38587011,0,0,866,0,37266.98545916,0,0.0,2025-03-04 19:43:21.741000+00:00,826,marketContext_1741117401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.727e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
94,85811.60918449,37292.8174575,-31.49965334,0.0,-0.23986364,37265.38587011,1107,0,0,2MmsEVE5g8xVAsMgsGnCqE348y89Vsw2bsGs4XA42SJx,-0.0896104,0,0,0,0.0,3.727e-05,0,0,37265.38587011,0.0,0,0,0,-2,0,37265.38587011,0,0,866,0,37266.98545916,0,0.0,2025-03-04 19:43:22.738000+00:00,826,marketContext_1741117402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.727e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
93,85811.60918449,37290.05799429,-31.49965334,0.0,-0.23986364,37265.38587011,1108,0,0,2MmsEVE5g8xVAsMgsGnCqE348y89Vsw2bsGs4XA42SJx,0.0,0,0,0,0.0,3.727e-05,0,0,37265.38587011,0.0,0,0,0,-1,0,37265.38587011,0,0,866,0,37265.38587011,0,0.0,2025-03-04 19:43:23.738000+00:00,826,marketContext_1741117403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.727e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
92,85811.60918449,37288.42888461,-31.49965334,0.0,-0.23986364,37265.38587011,1109,0,0,2MmsEVE5g8xVAsMgsGnCqE348y89Vsw2bsGs4XA42SJx,0.0,0,0,0,0.0,3.727e-05,0,0,37265.38587011,0.0,0,0,0,-1,0,37265.38587011,0,0,866,0,37265.38587011,0,0.0,2025-03-04 19:43:24.739000+00:00,826,marketContext_1741117404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.727e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
91,85811.60918449,37286.79977494,-31.49965334,0.0,-0.06279691,37265.38587011,1110,0,0,2MmsEVE5g8xVAsMgsGnCqE348y89Vsw2bsGs4XA42SJx,0.0,0,0,0,0.0,3.727e-05,0,0,37265.38587011,0.0,0,0,0,-1,0,37265.38587011,0,0,866,0,37265.38587011,0,0.0,2025-03-04 19:43:25.742000+00:00,826,marketContext_1741117405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.727e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
90,85811.60918449,37286.37402554,-31.49965334,0.0,-0.06279691,37265.38587011,1111,0,0,2MmsEVE5g8xVAsMgsGnCqE348y89Vsw2bsGs4XA42SJx,0.0,0,0,0,0.0,3.727e-05,0,0,37265.38587011,0.0,0,0,0,-1,0,37265.38587011,0,0,866,0,37265.38587011,0,0.0,2025-03-04 19:43:26.739000+00:00,826,marketContext_1741117406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.727e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
89,85811.60918449,37285.94827615,-31.49965334,0.0,-0.06279691,37265.38587011,1112,0,0,2MmsEVE5g8xVAsMgsGnCqE348y89Vsw2bsGs4XA42SJx,0.0,0,0,0,0.0,3.727e-05,0,0,37265.38587011,0.0,0,0,0,-1,0,37265.38587011,0,0,866,0,37265.38587011,0,0.0,2025-03-04 19:43:27.740000+00:00,826,marketContext_1741117407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.727e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
88,85811.60918449,37285.52252675,-31.49965334,0.0,-0.06279691,37265.38587011,1113,0,0,2MmsEVE5g8xVAsMgsGnCqE348y89Vsw2bsGs4XA42SJx,0.0,0,0,0,0.0,3.727e-05,0,0,37265.38587011,0.0,0,0,0,-1,0,37265.38587011,0,0,866,0,37265.38587011,0,0.0,2025-03-04 19:43:28.739000+00:00,826,marketContext_1741117408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.727e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
87,85811.60918449,37285.52252675,-31.49965334,0.0,-0.06279691,37265.38587011,1114,0,0,2MmsEVE5g8xVAsMgsGnCqE348y89Vsw2bsGs4XA42SJx,0.0,0,0,0,0.0,3.727e-05,0,0,37265.38587011,0.0,0,0,0,-1,0,37265.38587011,0,0,866,0,37265.38587011,0,0.0,2025-03-04 19:43:29.737000+00:00,826,marketContext_1741117409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.727e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
86,85811.60918449,37285.67833216,-31.49965334,0.0,0.03132371,37341.40579846,1115,0,0,2MmsEVE5g8xVAsMgsGnCqE348y89Vsw2bsGs4XA42SJx,0.20399609,0,0,0,0.20399609,3.734e-05,0,0,37274.88836116,0.20399609,0,0,0,-1,0,37265.38587011,0,0,866,0,37268.30971351,0,0.0,2025-03-04 19:43:30.876000+00:00,826,marketContext_1741117410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.727e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
85,85811.60918449,37285.89487017,-31.49965334,0.0,0.03132371,37341.40579846,1116,0,0,2MmsEVE5g8xVAsMgsGnCqE348y89Vsw2bsGs4XA42SJx,0.20399609,0,0,0,0.20399609,3.734e-05,0,0,37284.3908522,0.20399609,0,0,0,-1,0,37265.38587011,0,0,866,0,37271.23355691,0,0.0,2025-03-04 19:43:31.740000+00:00,826,marketContext_1741117411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.734e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
84,85811.60918449,37286.11140817,-31.49965334,0.0,0.03132371,37341.40579846,1117,0,0,2MmsEVE5g8xVAsMgsGnCqE348y89Vsw2bsGs4XA42SJx,0.20399609,0,0,0,0.20399609,3.734e-05,0,0,37290.72584623,0.20399609,0,0,0,-1,0,37265.38587011,0,0,866,0,37274.15740031,0,0.0,2025-03-04 19:43:32.741000+00:00,826,marketContext_1741117412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.734e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
