,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,98122.24613077,96638.10637707,76.72869538,0.0,-0.82194166,96001.43979858,1101,0.0,0.041418291,2NSJzDXiUQuRU3xG1d1TKcdfWJRK3FZMe18YDAAkyVDU,0.10545845,0,0,0,-0.82606655,9.6e-05,0,0.041418291,96210.91758456,0.0214637,0.041418291,0,0,13,-0.077808279,43666.88439124,7,0,455,0,96460.70669878,0,0.0,2025-03-07 12:43:23.668000+00:00,90,marketContext_1741351403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6e-05,0.041418291,0.041418291,0.0,0,1,0,0,0,0,0,0,0,0,0,0.041418291,0.11922657,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
98,98122.24613077,96623.25143107,76.89273185,0.0,-0.85829155,96090.54664904,1102,0.09281824381087317,0.090993291,2NSJzDXiUQuRU3xG1d1TKcdfWJRK3FZMe18YDAAkyVDU,-0.23725937,0,0,0,-0.83094949,9.609e-05,0,0.090993291,96130.4021515,0.11430187,0.090993291,3,0,15,-0.028233279,43666.88439124,8,3,458,0,96452.54505492,0,0.0,2025-03-07 12:43:24.668000+00:00,90,marketContext_1741351404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6e-05,0.132411582,0.090993291,0.0,0,1,0,0,0,0,0,0,0,0,0,0.090993291,0.11922657,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
97,98122.24613077,96607.1038479,76.92582961,0.0,-0.9321087,96108.52579888,1103,0.01871063332346666,0.090993291,2NSJzDXiUQuRU3xG1d1TKcdfWJRK3FZMe18YDAAkyVDU,-0.11892328,0,0,0,-0.92192746,9.611e-05,0,0.0,96040.97258658,0.13303389,0.0,3,0,15,-0.028233279,43666.88439124,8,3,458,0,96440.68232196,0,0.0,2025-03-07 12:43:25.669000+00:00,90,marketContext_1741351405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.609e-05,0.132411582,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.090993291,0.11922657,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
96,98122.24613077,96590.95626473,76.92582961,0.0,-0.9321087,96108.52579888,1104,0.0,0.100993291,2NSJzDXiUQuRU3xG1d1TKcdfWJRK3FZMe18YDAAkyVDU,-0.11892328,0,0,0,-0.29571256,9.611e-05,0,-0.022010785,96012.46779608,0.22700886,0.01,3,0,15,-0.050244064,43666.88439124,8,3,458,0,96436.73640829,0,0.0,2025-03-07 12:43:26.669000+00:00,90,marketContext_1741351406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.611e-05,0.154422367,0.01,0.032010785,0,1,0,0,0,0,0,0,0,0,0,0.100993291,0.151237355,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
95,98122.24613077,96574.9268913,76.77443607,0.0,-0.92613341,96026.28676661,1105,-0.08556892491006914,0.100993291,2NSJzDXiUQuRU3xG1d1TKcdfWJRK3FZMe18YDAAkyVDU,-0.14253827,0,0,0,0.04735113,9.603e-05,0,-0.031644577,96017.01259703,0.02588187,0.01,3,0,15,-0.059877856,43666.88439124,8,0,458,0,96432.00987084,0,0.0,2025-03-07 12:43:27.670000+00:00,90,marketContext_1741351407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.611e-05,0.186066944,0.01,0.041644577,0,1,0,0,0,0,0,0,0,0,0,0.100993291,0.160871147,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
94,98122.24613077,96566.28665912,77.53618407,0.0,-0.49920901,96440.07867709,1106,0.43091524666307834,0.23,2NSJzDXiUQuRU3xG1d1TKcdfWJRK3FZMe18YDAAkyVDU,0.28773735,0,0,0,0.47847042,9.644e-05,0,0.198355423,96062.93658904,0.45690865,0.24,4,0,15,0.23,43666.88439124,7,1,459,0,96441.55118008,0,0.0,2025-03-07 12:43:28.670000+00:00,90,marketContext_1741351408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.603e-05,0.384422367,0.24,0.04164457699999999,0,1,0,0,0,0,0,0,0,0,0,0.23,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
93,98122.24613077,96554.33331777,77.36098541,0.0,-0.68998812,96344.90836949,1107,-0.09868335747880318,0.23,2NSJzDXiUQuRU3xG1d1TKcdfWJRK3FZMe18YDAAkyVDU,-0.16618901,0,0,0,0.37931489,9.634e-05,0,0.145632166,96099.34355029,0.26471045,0.24,4,0,15,0.177276743,43666.88439124,7,1,459,0,96438.32975306,0,0.0,2025-03-07 12:43:29.670000+00:00,90,marketContext_1741351409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.644e-05,0.5300545329999999,0.24,0.09436783399999998,0,1,0,0,0,0,0,0,0,0,0,0.23,0.05272325700000002,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
92,98122.24613077,96554.33331777,77.36098541,0.0,-0.68998812,96344.90836949,1108,-0.09868335747880318,0.279575,2NSJzDXiUQuRU3xG1d1TKcdfWJRK3FZMe18YDAAkyVDU,-0.16618901,0,0,0,0.37931489,9.634e-05,0,0.195207166,96099.34355029,0.26471045,0.289575,5,0,16,0.226851743,43666.88439124,8,2,460,0,96438.32975306,0,0.0,2025-03-07 12:43:30.669000+00:00,90,marketContext_1741351410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.634e-05,0.7252616989999999,0.289575,0.09436783400000004,0,1,0,0,0,0,0,0,0,0,0,0.279575,0.05272325700000002,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
91,98122.24613077,96573.8898112,77.54840056,0.0,0.01141562,96446.71484146,1109,0.10566876204332659,0.28654,2NSJzDXiUQuRU3xG1d1TKcdfWJRK3FZMe18YDAAkyVDU,-0.18157428,0,0,0,0.57969012,9.645e-05,0,-0.016391556,96174.2740554,0.35188246,0.006965,5,0,16,0.210460187,43666.88439124,8,1,460,0,96429.97110521,0,0.0,2025-03-07 12:43:31.670000+00:00,90,marketContext_1741351411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.634e-05,0.7416532549999999,0.006965,0.023356556,0,1,0,0,0,0,0,0,0,0,0,0.28654,0.07607981300000002,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
90,98122.24613077,96564.55739173,76.5260051,0.0,-0.53242581,95891.33567102,1110,-0.5758404227121238,0.28654,2NSJzDXiUQuRU3xG1d1TKcdfWJRK3FZMe18YDAAkyVDU,-0.82123823,0,0,0,-0.11469008,9.589e-05,0,-0.043641516,96162.04026345,-0.14053558,0.006965,3,0,16,0.183210227,43666.88439124,8,2,461,0,96402.5912059,0,0.0,2025-03-07 12:43:32.670000+00:00,90,marketContext_1741351412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.645e-05,0.7852947709999999,0.006965,0.050606516,0,1,0,0,0,0,0,0,0,0,0,0.28654,0.10332977300000001,0,2,0,0,0,0,0,0,0,0,0,0,0,1101
