,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,125101.2288699,100354.03547648,104.38710714,0.0,3.18211383,98957.44261183,754,1.3226916767777903,1.899829122,2Nf5T9g6eaS5vaAdUHQZg3ScB5whF9V9fM3YCZX5bLUa,-6.12029093,0,0,0,3.21230729,9.896e-05,0,1.686131231,97029.68595036,1.32269168,1.899829122,1,0,3,1.686131231,48605.09326245,1,0,293,0,96082.60166495,0,0.0,2025-03-12 12:20:17.756000+00:00,76,marketContext_1741782017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.896e-05,1.686131231,1.899829122,0.21369789100000003,0,1,0,0,0,0,0,0,0,0,0,1.899829122,0.21369789100000003,0,2,0,0,0,0,0,0,0,0,0,0,0,754
98,125101.2288699,100450.76161178,104.38710714,0.0,1.36538732,98957.44261183,755,0.0,1.899829122,2Nf5T9g6eaS5vaAdUHQZg3ScB5whF9V9fM3YCZX5bLUa,-6.12029093,0,0,0,3.12026395,9.896e-05,0,1.686131231,97528.7364902,1.32269168,1.899829122,1,0,2,1.686131231,48605.09326245,-1,0,293,0,95293.72730471,0,0.0,2025-03-12 12:20:18.752000+00:00,76,marketContext_1741782018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.896e-05,3.372262462,1.899829122,0.21369789100000003,0,1,0,0,0,0,0,0,0,0,0,1.899829122,0.21369789100000003,0,2,0,0,0,0,0,0,0,0,0,0,0,754
97,125101.2288699,100471.46889035,104.38710714,0.0,0.88666099,98957.44261183,756,0.0,1.899829122,2Nf5T9g6eaS5vaAdUHQZg3ScB5whF9V9fM3YCZX5bLUa,5.69079112,0,0,0,3.12026395,9.896e-05,0,0.0,98027.78703005,1.32269168,0.0,1,0,2,1.686131231,48605.09326245,-1,0,293,0,95560.13941561,0,0.0,2025-03-12 12:20:19.755000+00:00,76,marketContext_1741782019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.896e-05,3.372262462,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1.899829122,0.21369789100000003,0,2,0,0,0,0,0,0,0,0,0,0,0,754
96,125101.2288699,100471.46889035,104.38710714,0.0,0.88666099,98957.44261183,757,0.0,2.008641573,2Nf5T9g6eaS5vaAdUHQZg3ScB5whF9V9fM3YCZX5bLUa,5.69079112,0,0,0,3.12026395,9.896e-05,0,0.108812451,98027.78703005,1.32269168,0.108812451,1,0,4,1.794943682,48605.09326245,-2,0,293,0,95560.13941561,0,0.0,2025-03-12 12:20:20.750000+00:00,76,marketContext_1741782020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.896e-05,3.481074913,0.108812451,0.0,0,1,0,0,0,0,0,0,0,0,0,2.008641573,0.2136978909999998,0,2,0,0,0,0,0,0,0,0,0,0,0,754
95,125101.2288699,100500.46931578,105.10651252,0.0,1.24176366,99305.75478018,758,0.3519817804015068,2.108716532,2Nf5T9g6eaS5vaAdUHQZg3ScB5whF9V9fM3YCZX5bLUa,5.68084592,0,0,0,3.48322849,9.931e-05,0,0.20888741,98584.88959795,0.35198178,0.20888741,1,0,4,1.895018641,48605.09326245,-2,0,293,0,95827.04714469,0,0.0,2025-03-12 12:20:21.754000+00:00,76,marketContext_1741782021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.896e-05,3.689962323,0.20888741,0.0,0,1,0,0,0,0,0,0,0,0,0,2.108716532,0.2136978909999998,0,2,0,0,0,0,0,0,0,0,0,0,0,754
94,125101.2288699,100500.46931578,105.10651252,0.0,1.24176366,99305.75478018,759,0.3519817804015068,0.0,2Nf5T9g6eaS5vaAdUHQZg3ScB5whF9V9fM3YCZX5bLUa,5.68084592,0,0,0,3.48322849,9.931e-05,0,0.20888741,98584.88959795,0.35198178,0.20888741,2,0,6,0.0,48605.09326245,0,2,295,0,95827.04714469,0,0.0,2025-03-12 12:20:22.751000+00:00,76,marketContext_1741782022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.931e-05,3.898849733,0.20888741,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,754
93,125101.2288699,100534.26020225,105.46701341,0.0,-0.2303566,99480.29732587,760,0.17576277032006332,0.0,2Nf5T9g6eaS5vaAdUHQZg3ScB5whF9V9fM3YCZX5bLUa,5.8665935,0,0,0,1.8580435,9.948e-05,0,0.20888741,98887.33457126,0.5283632,0.20888741,2,0,6,0.0,48605.09326245,0,2,295,0,96102.68200106,0,0.0,2025-03-12 12:20:23.751000+00:00,76,marketContext_1741782023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.931e-05,4.107737143,0.20888741,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,754
92,125101.2288699,100528.79142756,105.46701341,0.0,-0.2303566,99480.29732587,761,0.0,0.0,2Nf5T9g6eaS5vaAdUHQZg3ScB5whF9V9fM3YCZX5bLUa,5.64908115,0,0,0,1.8580435,9.948e-05,0,0.0,99189.77954457,0.5283632,0.0,2,0,7,0.0,48605.09326245,3,2,295,0,96368.64374266,0,0.0,2025-03-12 12:20:24.877000+00:00,76,marketContext_1741782024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.948e-05,4.107737143,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,754
91,125101.2288699,100528.79142756,105.46701341,0.0,-0.2303566,99480.29732587,762,0.0,0.099991525,2Nf5T9g6eaS5vaAdUHQZg3ScB5whF9V9fM3YCZX5bLUa,5.64908115,0,0,0,1.8580435,9.948e-05,0,0.099991525,99189.77954457,0.5283632,0.099991525,2,0,7,0.099991525,48605.09326245,3,0,295,0,96368.64374266,0,0.0,2025-03-12 12:20:25.757000+00:00,76,marketContext_1741782025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.948e-05,4.207728668,0.099991525,0.0,0,1,0,0,0,0,0,0,0,0,0,0.099991525,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,754
90,125101.2288699,100541.46791099,105.31683584,0.0,-0.29994963,99407.5863407,763,-0.07309084021705367,0.150062717,2Nf5T9g6eaS5vaAdUHQZg3ScB5whF9V9fM3YCZX5bLUa,6.35306376,0,0,0,0.45488618,9.941e-05,0,0.058651441,99220.89480116,0.10254346,0.150062717,2,0,5,0.058651441,48605.09326245,4,0,295,0,96513.35529494,0,0.0,2025-03-12 12:20:26.756000+00:00,76,marketContext_1741782026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.948e-05,4.266380109,0.150062717,0.09141127600000001,0,1,0,0,0,0,0,0,0,0,0,0.150062717,0.09141127600000001,0,2,0,0,0,0,0,0,0,0,0,0,0,754
